expt,physics_ml,physics,ml
-3.82,-4.079553863754272,-7.40799,3.3284361
-2.93,-3.3837365631484984,-4.61494,1.2312034
-0.98,-1.1444397837352753,-1.03292,-0.111519784
-0.74,-1.8737902838516236,-3.15843,1.2846397
-1.59,-1.098159661359787,-1.07732,-0.020839661
-3.75,-3.6392599797725675,-3.77505,0.13579002
-4.55,-4.79977757396698,-5.87065,1.0708724
-2.73,-2.1930013908195494,-2.41788,0.22487861
-0.53,-1.7715545221328735,-2.7346,0.9630455
-0.25,-0.7330386220979691,-0.71708,-0.015958622
-5.48,-4.464071483836174,-4.36136,-0.102711484
2.51,1.930318074836731,1.40514,0.5251781
-0.64,0.15375659748077397,1.28346,-1.1297034
-0.83,-0.2806250878353119,-0.126202,-0.15442309
-6.88,-7.019926839895248,-6.78707,-0.23285684
-3.64,-3.6250353020572663,-3.56014,-0.0648953
-4.84,-4.1574362315559386,-4.16219,0.0047537684
-5.22,-2.4856766976013183,0.758061,-3.2437377
-9.01,-9.012173544044494,-7.90712,-1.1050535
-0.83,-1.094440278596878,-1.12182,0.027379721
-0.68,-0.4872832937550545,-0.52897,0.041686706
-3.56,-3.218861996393204,-3.07073,-0.148132
-4.93,-4.603099438984394,-4.70552,0.10242056
-8.42,-11.994687503814696,-17.769,5.7743125
-6.16,-6.196372578392029,-7.09326,0.8968874
-2.23,-2.763597969093323,-3.54854,0.78494203
-0.53,-0.453141052110672,-0.480758,0.027616948
-4.47,-3.3149836867523197,-4.35282,1.0378363
-7.17,-7.5697443063354495,-4.25126,-3.3184843
-2.78,-3.5834747142028807,-5.86792,2.2844453
3.43,3.968552632476807,0.254252,3.7143006
-11.0,-10.896826091861724,-11.1336,0.23677391
-6.21,-6.107930492401122,-11.8365,5.7285695
-5.71,-7.382624914741516,-8.60135,1.2187251
-5.26,-5.02163785282135,-5.99241,0.97077215
-1.14,-1.4521526041126251,-1.29576,-0.1563926
-2.4,-2.8364120120620724,-4.12996,1.293548
-2.33,-2.0389096675395963,-1.8648,-0.17410967
2.38,1.3582204363536834,1.44952,-0.09129956
-6.5,-3.9241759774780274,-9.71401,5.789834
