expt,physics_ml,physics,ml
-2.49,-2.3901577816009523,-3.886,1.4958422
-3.82,-4.381837837219239,-8.342,3.9601622
-0.98,-1.2254933214187624,-0.5100000000000002,-0.7154933
-1.59,-0.6108154633045197,-0.3540000000000001,-0.25681546
-4.55,-4.650682352542877,-3.886,-0.76468235
-2.73,-2.2137667826712133,-2.164,-0.049766783
-0.53,-0.7289719161987307,-1.1310000000000002,0.40202808
-0.25,-0.46088729810714746,-0.1470000000000002,-0.3138873
-2.82,-2.622727841377258,-1.0439999999999996,-1.5787278
2.51,2.6055204286575315,2.514,0.09152043
-0.83,-0.8542748527526856,1.117,-1.9712749
-7.5,-8.092974006652833,-12.912,4.819026
-1.99,-2.5424150080680845,-2.022,-0.520415
-6.88,-5.507155563354493,-7.502000000000001,1.9948444
-3.64,-4.372481866836548,-3.096,-1.2764819
-5.22,-3.240935321807861,2.454,-5.6949353
-0.83,-0.9035044503211975,-0.395,-0.50850445
-0.68,-0.3121915245056153,0.3349999999999999,-0.6471915
-3.56,-3.9408861255645755,-2.3600000000000003,-1.5808861
-2.49,-2.7340824356079096,-3.0489999999999995,0.31491756
-0.99,-1.5044844369888306,-0.798,-0.70648444
-6.16,-5.496846503257752,-4.644,-0.8528465
-2.23,-1.4735557365417482,-3.18,1.7064443
-0.53,-1.2391633949279788,0.5789999999999997,-1.8181634
-5.1,-5.424226130485534,-4.789,-0.63522613
-4.47,-4.372096939086914,-2.9200000000000004,-1.4520969
-7.17,-6.945588863372803,-4.813000000000001,-2.1325889
1.38,1.2790102913379668,1.539,-0.2599897
0.29,0.1843089876174926,1.031,-0.846691
-10.08,-9.266487400054931,-14.392,5.1255126
-2.78,-3.4232097606658938,-6.998,3.5747902
-11.0,-9.063858283996582,-13.089,4.0251417
-3.15,-4.372700388669967,-4.664,0.2912996
-5.85,-6.665729691028595,-5.939,-0.7267297
-6.21,-5.957979167938232,-9.289,3.3310208
-5.26,-5.246867383956909,-4.414,-0.8328674
-1.14,-1.575750517845154,-0.6750000000000003,-0.9007505
-10.03,-8.826545654296876,-17.736,8.909454
-2.4,-2.7203041019439698,-3.919,1.1986959
-2.33,-2.030096387863159,-0.5999999999999996,-1.4300964
2.38,2.28299862241745,2.551,-0.26800138
1.77,2.2701239430904385,1.89,0.38012394
-6.5,-6.231143962860106,-10.986999999999998,4.755856
-1.62,-1.6032333545684812,1.2070000000000003,-2.8102334
-1.79,-2.412896147489548,-2.1220000000000003,-0.29089615
-6.79,-6.417597599983216,-5.371,-1.0465976
-1.1,-1.8037659521102904,-1.162,-0.64176595
-0.9,-1.1304031932353973,-0.815,-0.3154032
-3.41,-3.7786684378385553,-3.689000000000001,-0.08966844
-3.52,-3.541248294353485,-4.359,0.8177517
-1.43,-1.299954647064209,-0.0689999999999999,-1.2309546
0.0,0.2120075120925904,1.064,-0.8519925
-20.52,-19.225527126312258,-15.182,-4.043527
1.47,1.5549184041023256,2.083,-0.5280816
-4.62,-4.29049792766571,-2.405,-1.8854979
-2.38,-2.172406488418579,-2.106,-0.06640649
