expt,physics_ml,physics,ml
-2.49,-3.171497988910675,-3.72622,0.554722
-3.82,-4.363412762908935,-5.70653,1.3431172
-0.98,-2.1285703148880004,-0.999704,-1.1288663
-1.59,-1.9960288608093262,-0.719727,-1.2763019
-4.55,-3.967553293247223,-3.02802,-0.9395333
-2.73,-2.365251185417175,-2.63325,0.2679988
-0.53,-0.7933308032045364,-0.940476,0.1471452
-0.25,-0.3181231623945236,-0.471056,0.15293284
-2.82,-2.7805109999656676,-1.84855,-0.931961
2.51,1.604069617137909,1.94086,-0.33679038
-0.83,-1.318807721220398,0.0773561,-1.3961638
-7.5,-9.650084001617431,-8.80233,-0.847754
-1.99,-2.3201394889116287,-2.3491,0.028960511
-6.88,-7.0115450088500975,-6.14795,-0.863595
-3.64,-4.121995189685822,-5.01902,0.8970248
-5.22,-3.1800177494239805,-2.18137,-0.99864775
-0.83,-1.0865495962142944,-1.44315,0.3566004
-0.68,-0.8151499733695984,-0.835526,0.020376027
-3.56,-3.5503928224754335,-2.86147,-0.6889228
-2.49,-2.2083950930023195,-3.65004,1.4416449
-0.99,-1.3130735722637177,-1.62836,0.31528643
-6.16,-5.952812960548401,-4.45142,-1.501393
-2.23,-2.3462271836090087,-3.55178,1.2055528
-0.53,-0.822619787210083,-0.0964986,-0.7261212
-5.1,-4.417427424201965,-4.07426,-0.34316742
-4.47,-4.0283291766548155,-3.08674,-0.9415892
-7.17,-6.31115465227604,-6.12954,-0.18161465
1.38,1.2104046494750977,0.995003,0.21540165
0.29,1.1858360991401673,0.842092,0.3437441
-10.08,-12.554455358314515,-11.4593,-1.0951554
-2.78,-3.9109382495689395,-4.36373,0.45279175
-11.0,-9.957976390838622,-11.027,1.0690236
-3.15,-3.6462339507102968,-3.9786,0.33236605
-5.85,-5.180961395988464,-4.87226,-0.3087014
-6.21,-6.264958248214722,-7.45533,1.1903718
-5.26,-4.1583662100172045,-4.11941,-0.03895621
-1.14,-1.5361465004348756,-1.21859,-0.3175565
-10.03,-11.49464328918457,-14.7366,3.2419567
-2.4,-2.7243609524345396,-3.65181,0.92744905
-2.33,-2.086998026280403,-2.13828,0.051281974
2.38,0.9237217250823975,1.99285,-1.0691283
1.77,1.7993923543548584,1.49411,0.30528235
-6.5,-6.851544616470337,-9.58076,2.7292154
-1.62,-1.9985889885787964,-0.783938,-1.214651
-1.79,-1.9445724311685564,-2.10896,0.16438757
-6.79,-6.844767190361023,-6.0964,-0.7483672
-1.1,-1.5002163278961183,-1.82824,0.32802367
-0.9,-1.2309840276145936,-1.62474,0.39375597
-3.41,-3.6175621183395386,-3.92455,0.30698788
-3.52,-2.9246356951141355,-4.42939,1.5047543
-1.43,-1.0655864602279663,-1.41537,0.34978354
0.0,0.2334292893819809,0.166193,0.06723629
-20.52,-15.26346923713684,-13.1838,-2.0796692
1.47,0.8208302280426025,1.41845,-0.5976198
-4.62,-3.8993105968475343,-2.75965,-1.1396606
-2.38,-2.6831710824632644,-2.83859,0.15541892
-7.19,-8.452507139110566,-7.9709,-0.48160714
2.1,1.929099983663559,1.86422,0.06487998
-9.73,-12.888579983139039,-14.4769,1.58832
-4.02,-3.6694342760276792,-2.83267,-0.8367643
-10.0,-8.07002583070755,-8.86721,0.79718417
-3.5,-3.658165239868164,-4.48506,0.82689476
-2.07,-1.6596853781127932,-2.91204,1.2523546
-0.33,-0.1235827892255783,-0.33592,0.21233721
-0.9,-0.8045774340248109,-1.05546,0.25088257
1.83,2.0603814264106752,1.58483,0.47555143
0.1,-0.5826560662841798,-0.445985,-0.13667107
-1.5,-0.9955611810112,-1.21919,0.22362882
-6.6,-6.273846683502197,-5.06,-1.2138467
-7.0,-8.699078224563598,-10.2434,1.5443218
-0.46,-0.6087188813591002,-1.27049,0.6617711
-10.17,-8.654278713302613,-7.41383,-1.2404487
-5.66,-5.499642554702759,-4.31219,-1.1874526
1.83,0.966469617614746,1.23501,-0.26854038
-0.1,0.10075501757602692,-0.0144752,0.11523022
-0.45,-0.7435466496276855,-1.07818,0.33463335
3.16,1.9272076101112368,2.91848,-0.9912724
-0.63,-0.5135843622732162,-0.552755,0.039170638
2.51,1.1673584922981264,2.14692,-0.9795615
-3.15,-2.53381206489563,-3.07776,0.54394794
-2.56,-3.5541848446273807,-4.44589,0.89170516
-9.51,-8.951778641223907,-8.1405,-0.81127864
-5.0,-4.187943943576813,-3.49758,-0.69036394
-14.21,-14.837934381461144,-14.8526,0.014665619
2.55,1.8259116079139708,2.45293,-0.6270184
-2.56,-3.3071840843772886,-3.93896,0.6317759
-6.25,-5.922758806152344,-4.41767,-1.5050888
-2.92,-2.7040605012512207,-3.39716,0.6930995
-6.0,-7.570710159683227,-9.0964,1.5256898
-1.66,-1.7847541182670592,-0.987116,-0.7976381
-11.85,-14.46176464767456,-16.8997,2.4379354
-4.1,-5.272058495883941,-4.35713,-0.9149285
-7.66,-7.202830664596558,-5.90371,-1.2991207
-1.45,-0.9457943365745545,-0.516043,-0.42975134
-1.93,-2.48726120950222,-2.62514,0.13787879
-1.36,-1.8079329692077637,-1.42337,-0.38456297
0.25,-0.22790823902606963,-0.15377,-0.07413824
-2.45,-2.0238136418199537,-2.05691,0.03309636
0.34,0.4131314583358765,0.154981,0.25815046
-5.74,-8.647066018676757,-17.1026,8.455534
-16.43,-16.18937163362503,-15.5051,-0.68427163
2.88,2.6047431420326235,2.28365,0.32109314
-4.52,-4.157427038440704,-4.74726,0.58983296
-2.26,-1.8857566498184206,-3.31809,1.4323334
2.56,2.7685060561180115,2.26505,0.50345606
-5.33,-3.9938620662117,-4.45569,0.46182793
-4.8,-5.464465973033905,-4.92789,-0.536576
-9.76,-8.566974819893836,-8.48162,-0.08535482
-9.65,-8.01731534893036,-6.91532,-1.1019953
-0.78,-1.7405755992584229,-0.522718,-1.2178576
-5.04,-6.550612616009712,-6.65232,0.101707384
-7.98,-7.380170634179115,-7.39253,0.012359366
-9.8,-6.476236120834351,-8.14114,1.6649039
-18.72,-18.65763445596695,-18.2348,-0.42283446
-10.64,-7.372354025650025,-6.17855,-1.193804
-2.22,-3.0482470612096786,-2.90258,-0.14566706
-7.77,-7.189246638112068,-7.02368,-0.16556664
-9.61,-10.842589486694337,-12.4311,1.5885105
-3.68,-3.692877239608765,-4.5269,0.83402276
-4.78,-6.042761101665497,-5.43569,-0.6070711
-3.84,-3.5139505892181395,-2.40379,-1.1101606
-3.37,-2.9818753223228454,-2.15698,-0.8248953
-4.68,-8.070907678723335,-8.1745,0.10359232
-1.24,-1.606373061656952,-2.152,0.54562694
-4.39,-4.133990460205078,-2.5708,-1.5631905
-9.94,-7.973149212646485,-9.41755,1.4444008
-6.13,-5.6963705186462406,-4.28096,-1.4154105
