expt,physics_ml,physics,ml
-2.49,-2.4975063154983523,-4.00628,1.5087737
-3.82,-2.5318689558410643,-7.40799,4.876121
-0.98,-1.0948234916162491,-1.03292,-0.06190349
-1.59,-2.1137515509796145,-1.07732,-1.0364316
-4.55,-4.044686860466004,-5.87065,1.8259631
-2.73,-2.391176895623207,-2.41788,0.026703104
-0.53,-0.41607706985473625,-2.7346,2.318523
-0.25,-0.2994090348052979,-0.71708,0.41767097
-2.82,-2.6895869290924073,-1.56176,-1.1278269
2.51,2.764212327613831,1.40514,1.3590723
-0.83,-1.2316715844650268,-0.126202,-1.1054696
-7.5,-8.577316786193848,-10.8339,2.2565832
-1.99,-2.2123979888200758,-2.4254,0.21300201
-6.88,-5.27337952835083,-6.78707,1.5136905
-3.64,-3.395485223546028,-3.56014,0.16465478
-5.22,-3.27158348928833,0.758061,-4.0296445
-0.83,-0.8230171473693848,-1.12182,0.29880285
-0.68,-0.6674959181261063,-0.52897,-0.13852592
-3.56,-4.326309829216004,-3.07073,-1.2555798
-2.49,-2.283612325401306,-3.53497,1.2513577
-0.99,-1.4723446948862076,-1.64191,0.1695653
-6.16,-5.954656789550781,-7.09326,1.1386032
-2.23,-1.8073748388671875,-3.54854,1.7411652
-0.53,-1.0245967989997864,-0.480758,-0.5438388
-5.1,-4.894829822196961,-6.24389,1.3490602
-4.47,-4.304994857258797,-4.35282,0.047825143
-7.17,-7.338310914764405,-4.25126,-3.087051
1.38,1.2876936333885194,0.742274,0.54541963
0.29,0.5740157764816284,0.17009,0.40392578
-10.08,-9.275320215606689,-12.6779,3.4025798
-2.78,-2.567073184890747,-5.86792,3.3008468
-11.0,-9.345637324905395,-11.1336,1.7879627
-3.15,-3.7828265670776364,-4.9079,1.1250734
-5.85,-6.959279579620361,-8.22223,1.2629504
-6.21,-4.851898502349853,-11.8365,6.9846015
-5.26,-4.959688122901916,-5.99241,1.0327219
-1.14,-0.9529411437606812,-1.29576,0.34281886
-10.03,-9.89673098449707,-14.2538,4.357069
-2.4,-2.482341348609924,-4.12996,1.6476187
-2.33,-2.0452915219545362,-1.8648,-0.18049152
2.38,2.066027232189178,1.44952,0.61650723
1.77,2.20908904788208,0.791322,1.417767
-6.5,-5.43327736831665,-9.71401,4.2807326
-1.62,-1.3880518548965455,0.120075,-1.5081269
-1.79,-2.2595143970537186,-2.33928,0.0797656
-6.79,-7.166520006637573,-7.52273,0.35621
-1.1,-1.703006354546547,-1.8681,0.16509365
-0.9,-0.9748807767868042,-1.43665,0.46176922
-3.41,-3.241413167667389,-3.8887,0.64728683
-3.52,-3.236311285667419,-4.39293,1.1566187
-1.43,-1.9668675501441957,-0.99751,-0.96935755
0.0,0.23639446718502044,0.101348,0.13504647
-20.52,-20.8892220164299,-21.1951,0.30587798
1.47,1.8964136594581604,1.07213,0.82428366
-4.62,-4.68010500453949,-4.35224,-0.327865
-2.38,-2.5780003779792784,-2.95259,0.37458962
-7.19,-7.21609967880249,-10.7518,3.5357003
2.1,1.856646346950531,1.31365,0.54299635
-9.73,-10.391546851348878,-12.2162,1.8246531
-4.02,-3.5695070827293396,-2.79528,-0.7742271
-10.0,-9.140695231895446,-8.58373,-0.55696523
-3.5,-3.306307516708374,-5.56639,2.2600825
-2.07,-1.6795278248977663,-3.57202,1.8924922
-0.33,-0.34263117050647734,-0.47762,0.13498883
-0.9,-0.676575560128212,-0.799137,0.12256144
1.83,1.9358249337997435,0.946109,0.98971593
0.1,1.0444770805358887,-3.94705,4.991527
-1.5,-1.391693899219513,-0.982718,-0.4089759
-6.6,-6.193357858085632,-8.02315,1.8297921
-7.0,-6.872069686126709,-14.5282,7.6561303
-0.46,-0.37401994972229025,-3.0203,2.64628
-10.17,-10.425965025615692,-11.2377,0.811735
-5.66,-5.636600929222107,-6.91146,1.2748591
1.83,1.74997669921875,0.970985,0.7789917
-0.1,-0.03217205855655669,-0.133123,0.10095094
-0.45,-0.2781747341585159,-0.52667,0.24849527
3.16,2.769617817211151,2.51855,0.25106782
-0.63,-0.915602030081749,-0.812795,-0.10280703
2.51,1.9512904482460023,1.62481,0.32648045
-3.15,-3.1868140806055067,-3.19751,0.010695919
-2.56,-2.702979370651245,-5.48206,2.7790806
-9.51,-11.060446875190735,-12.4726,1.4121531
-5.0,-4.601236492347717,-5.6162,1.0149635
-14.21,-14.095277555084227,-16.0251,1.9298224
2.55,2.30369533305645,2.29093,0.012765333
-2.56,-2.731440749092102,-4.24467,1.5132293
-6.25,-6.046356953983307,-6.98088,0.93452305
-2.92,-2.941596364994049,-3.33477,0.39317364
-6.0,-7.5252485644531255,-9.76472,2.2394714
-1.66,-1.4474990044260025,-1.30244,-0.145059
-11.85,-8.406696572494507,-12.3627,3.9560034
-4.1,-4.267107520370484,-4.60303,0.33592248
-7.66,-7.176310820617676,-9.20204,2.0257292
-1.45,-1.5411150178527833,0.526665,-2.06778
-1.93,-2.208935929450989,-2.69166,0.48272407
-1.36,-1.391501921505928,-1.36047,-0.031031922
0.25,0.1323060143699646,-0.276351,0.408657
-2.45,-2.3869316205978395,-2.10475,-0.28218162
0.34,0.4114031959762573,0.119949,0.2914542
