expt,physics_ml,physics,ml
-2.49,-2.7100558280944824,0,-2.7100558
-3.82,-4.479471683502197,0,-4.4794717
-0.98,-1.0998313426971436,0,-1.0998313
-1.59,-1.4046950340270996,0,-1.404695
-4.55,-5.532567977905273,0,-5.532568
-2.73,-2.0101025104522705,0,-2.0101025
-0.53,-0.31213390827178955,0,-0.3121339
-0.25,0.12309052050113678,0,0.12309052
-2.82,-2.3425652980804443,0,-2.3425653
2.51,2.4933242797851562,0,2.4933243
-0.83,-1.2924864292144775,0,-1.2924864
-7.5,-5.9329304695129395,0,-5.9329305
-1.99,-1.2256509065628052,0,-1.2256509
-6.88,-6.537899971008301,0,-6.5379
-3.64,-3.6681008338928223,0,-3.6681008
-5.22,-4.092454433441162,0,-4.0924544
-0.83,-0.8108009099960327,0,-0.8108009
-0.68,-1.0586594343185425,0,-1.0586594
-3.56,-3.7561447620391846,0,-3.7561448
-2.49,-2.5327844619750977,0,-2.5327845
-0.99,-0.6045176982879639,0,-0.6045177
-6.16,-5.686659336090088,0,-5.6866593
-2.23,-2.247663736343384,0,-2.2476637
-0.53,-0.7211188673973083,0,-0.72111887
-5.1,-4.680131912231445,0,-4.680132
-4.47,-4.015251159667969,0,-4.015251
-7.17,-7.596569061279297,0,-7.596569
1.38,1.2431526184082031,0,1.2431526
0.29,-0.602401852607727,0,-0.60240185
-10.08,-8.343599319458008,0,-8.343599
-2.78,-4.24912166595459,0,-4.2491217
-11.0,-9.507498741149902,0,-9.507499
-3.15,-3.4673101902008057,0,-3.4673102
-5.85,-6.643145561218262,0,-6.6431456
-6.21,-4.920577049255371,0,-4.920577
-5.26,-5.513600826263428,0,-5.513601
-1.14,-0.9883276224136353,0,-0.9883276
-10.03,-9.043828010559082,0,-9.043828
-2.4,-2.5239381790161133,0,-2.5239382
-2.33,-1.618904709815979,0,-1.6189047
2.38,2.454021692276001,0,2.4540217
1.77,1.1243278980255127,0,1.1243279
-6.5,-5.548396587371826,0,-5.5483966
-1.62,-1.6454594135284424,0,-1.6454594
-1.79,-1.93181312084198,0,-1.9318131
-6.79,-5.915065288543701,0,-5.9150653
