expt,physics_ml,physics,ml
-2.49,-2.8623015632629394,-3.299,0.43669844
-3.82,-4.187634198188782,-5.442,1.2543658
-0.98,-1.174050316810608,-0.11,-1.0640503
-1.59,-2.0463206930160522,-0.617,-1.4293207
-4.55,-4.684989301681519,-3.317,-1.3679893
-2.73,-1.9804174423217773,-1.325,-0.65541744
-0.53,-0.5149004422426224,-0.443,-0.07190044
-0.25,-0.35219341945648197,0.833,-1.1851934
-2.82,-2.727276873588562,-1.325,-1.4022769
2.51,2.06495060300827,2.506,-0.4410494
-0.83,-0.7784565672874451,0.139,-0.91745657
-7.5,-7.719265295028686,-10.251,2.5317347
-1.99,-1.681514796257019,-0.384,-1.2975148
-6.88,-7.33430206823349,-6.588,-0.74630207
-3.64,-4.963244334936142,-4.573,-0.39024433
-5.22,-2.855541666984558,-1.284,-1.5715417
-0.83,-0.9195087136030197,-0.697,-0.22250871
-0.68,-0.9913256464004516,-0.456,-0.53532565
-3.56,-3.975389894247055,-3.59,-0.3853899
-2.49,-2.2946138446331026,-2.563,0.26838616
-0.99,-1.3265205373764037,-0.174,-1.1525205
-6.16,-5.860322294712066,-5.148,-0.7123223
-2.23,-3.203095892906189,-2.929,-0.2740959
-0.53,-0.9177655844688415,-0.178,-0.7397656
-5.1,-5.032990756988525,-3.491,-1.5419908
-4.47,-4.627940190315247,-3.288,-1.3399402
-7.17,-6.857157054901123,-6.116,-0.74115705
1.38,1.192603723526001,2.367,-1.1743963
0.29,-0.40670588922500606,0.553,-0.9597059
-10.08,-9.483968719482421,-10.559,1.0750313
-2.78,-3.134028854846954,-4.028,0.89397115
-11.0,-9.53065520477295,-10.412,0.8813448
-3.15,-4.242553496360779,-4.9,0.6574465
-5.85,-6.747444148540497,-5.833,-0.91444415
-6.21,-7.108317890644074,-7.878,0.7696821
-5.26,-4.999309034824371,-4.308,-0.69130903
-1.14,-1.1734880309104918,-0.473,-0.70048803
-10.03,-11.131588274002075,-14.106,2.9744117
-2.4,-3.0420258440971373,-3.304,0.26197416
-2.33,-2.6008832693099975,-1.275,-1.3258833
2.38,1.475709762573242,2.59,-1.1142902
1.77,1.3134198937416077,1.691,-0.3775801
-6.5,-4.769997667312622,-7.024,2.2540023
-1.62,-1.5827551259994506,0.136,-1.7187551
-1.79,-1.9218197708129883,-0.363,-1.5588198
-6.79,-6.800568013191223,-5.28,-1.520568
-1.1,-1.427700716972351,-0.182,-1.2457007
-0.9,-0.6911534675955773,-0.79,0.09884653
-3.41,-3.2845489412546156,-3.05,-0.23454894
-3.52,-2.8348346564769744,-3.166,0.33116534
-1.43,-0.8422992024421692,-0.091,-0.7512992
0.0,0.15796788787841787,1.261,-1.1030321
-20.52,-15.717727778434753,-14.148,-1.5697278
1.47,1.4961202726364138,2.486,-0.9898797
-4.62,-4.624232192039489,-3.145,-1.4792322
-2.38,-2.5463280825614927,-1.853,-0.6933281
-7.19,-7.628693262100219,-10.466,2.8373067
2.1,1.317767918586731,2.588,-1.2702321
-9.73,-14.480449015930295,-14.496,0.015550984
-4.02,-3.4538207769393923,-2.075,-1.3788208
-10.0,-7.576732612609863,-8.276,0.6992674
-3.5,-3.2020677090883254,-3.372,0.16993229
-2.07,-1.7473951921463011,-2.336,0.5886048
-0.33,-0.3418488998413086,0.973,-1.3148489
-0.9,-1.1520310311317443,-0.553,-0.59903103
1.83,0.8869545125961302,2.465,-1.5780455
0.1,-0.6864929614067077,-1.156,0.46950704
-1.5,-1.0899140014648436,0.386,-1.475914
-6.6,-6.520803553581238,-5.707,-0.81380355
-7.0,-9.861709303379058,-10.857,0.9952907
-0.46,-0.6667645288705826,-0.492,-0.17476453
-10.17,-9.712081685066224,-8.39,-1.3220817
-5.66,-5.281666152954101,-4.768,-0.51366615
1.83,1.4203477878570556,2.452,-1.0316522
-0.1,-0.08258544540405266,1.084,-1.1665854
-0.45,-0.2015548975020647,-0.22,0.018445102
3.16,2.559462568759918,3.335,-0.77553743
-0.63,-0.39275977611541746,0.775,-1.1677598
2.51,1.6476786379814148,2.613,-0.96532136
-3.15,-3.4354163866043095,-4.198,0.7625836
-2.56,-3.0901034636497497,-3.867,0.77689654
-9.51,-9.470534536838532,-9.785,0.31446546
-5.0,-4.903684443473816,-3.394,-1.5096844
-14.21,-15.020319246292114,-13.599,-1.4213192
2.55,2.012171733140945,2.381,-0.36882827
-2.56,-3.069761232852936,-3.492,0.42223877
-6.25,-6.074176892757416,-5.272,-0.8021769
-2.92,-3.048648689031601,-2.704,-0.3446487
-6.0,-6.490636521935463,-6.716,0.22536348
-1.66,-1.6535309057235716,-0.598,-1.0555309
-11.85,-14.516514446258546,-15.252,0.73548555
