expt,physics_ml,physics,ml
-2.49,-2.8886570553445816,-3.00434,0.115682945
-3.82,-5.009035731391907,-6.57758,1.5685443
-0.98,-0.8944954563903809,-1.45543,0.56093454
-1.59,-1.4054177183132173,-0.907798,-0.49761972
-4.55,-4.372239537935257,-4.56098,0.18874046
-2.73,-2.368344091205597,-1.61028,-0.7580641
-0.53,-0.6379315565872192,0.516745,-1.1546766
-0.25,-0.48355640207862854,-0.333791,-0.1497654
-2.82,-1.6160527311706545,-2.20814,0.59208727
2.51,2.2831021321487426,1.90732,0.37578213
-0.83,-1.6163222429260253,0.0647066,-1.6810288
-7.5,-7.969895213317871,-11.5907,3.6208048
-1.99,-2.9296567932987214,-2.59119,-0.3384668
-6.88,-6.4322665226364135,-7.73074,1.2984735
-3.64,-3.285545005340576,-1.97427,-1.311275
-5.22,-2.718692672340393,-0.845567,-1.8731257
-0.83,-1.187097337064743,-0.78156,-0.40553734
-0.68,-0.45845119364547726,-0.174978,-0.2834732
-3.56,-4.0547987329101565,-4.87666,0.82186127
-2.49,-1.9785547678303717,-2.04742,0.06886523
-0.99,-0.3482755561904907,0.370867,-0.71914256
-6.16,-5.252437031922341,-5.22681,-0.025627032
-2.23,-2.7438699730110168,-2.60682,-0.13704997
-0.53,-2.4032643443603514,-0.328502,-2.0747623
-5.1,-4.762447108821869,-4.24733,-0.5151171
-4.47,-5.332090719375611,-3.01116,-2.3209307
-7.17,-6.95452373462677,-5.51506,-1.4394637
1.38,0.9241643309783936,1.24102,-0.31685567
0.29,0.744918656844139,0.587594,0.15732466
-10.08,-8.53736085510254,-12.6835,4.146139
-2.78,-3.601652865028381,-4.6221,1.0204471
-11.0,-9.242671052742004,-10.5443,1.301629
-3.15,-4.950717561759949,-6.23754,1.2868224
-5.85,-6.621199661788941,-6.02331,-0.59788966
-6.21,-7.067968374938966,-8.16397,1.0960016
-5.26,-5.407445993890763,-4.98249,-0.424956
-1.14,-1.278026821153164,-1.37383,0.09580318
-10.03,-8.585933929443359,-13.9935,5.407566
-2.4,-2.8669241061115267,-3.03474,0.1678159
-2.33,-1.6597798092803955,-0.656971,-1.0028088
2.38,1.9237632371628284,1.92139,0.0023732372
1.77,2.4302413228321074,2.14558,0.28466132
-6.5,-5.815702614593507,-8.7748,2.9590974
-1.62,-1.2949380545387268,-0.702526,-0.59241205
-1.79,-2.671207273006439,-2.24375,-0.42745727
-6.79,-5.840406092653274,-5.55451,-0.2858961
-1.1,-0.5599370587158203,0.13347,-0.69340706
-0.9,-1.5275481353092193,-1.10628,-0.42126814
-3.41,-3.6234870852279664,-2.60413,-1.0193571
-3.52,-3.5395525219726562,-2.92428,-0.6152725
-1.43,-1.349269410007,-1.25393,-0.09533941
0.0,-0.037331541706085214,0.494274,-0.53160554
-20.52,-17.603776459121704,-15.0244,-2.5793765
1.47,1.058208879928589,1.58098,-0.5227711
-4.62,-5.527717687530517,-2.76292,-2.7647977
-2.38,-3.3319645233917234,-2.19608,-1.1358845
