expt,physics_ml,physics,ml
-2.49,-2.435088716506958,-3.886,1.4509113
-3.82,-4.283725254058838,-8.342,4.0582747
-0.98,-1.2701959109306338,-0.5100000000000002,-0.7601959
-1.59,-1.6556622066497804,-0.3540000000000001,-1.3016622
-4.55,-4.52556481218338,-3.886,-0.6395648
-2.73,-2.4825548782348634,-2.164,-0.31855488
-0.53,-0.8705506501197817,-1.1310000000000002,0.26044935
-0.25,-0.2369762660264971,-0.1470000000000002,-0.089976266
-2.82,-2.8403840961456295,-1.0439999999999996,-1.7963841
2.51,2.3662768914699552,2.514,-0.14772311
-0.83,-0.32256780433654786,1.117,-1.4395678
-7.5,-8.169599830627442,-12.912,4.7424
-1.99,-2.093547731757164,-2.022,-0.07154773
-6.88,-5.989473011016846,-7.502000000000001,1.512527
-3.64,-3.793971522808075,-3.096,-0.6979715
-5.22,-4.68806838607788,2.454,-7.1420684
-0.83,-0.7099905204772949,-0.395,-0.31499052
-0.68,-0.6954124355316162,0.3349999999999999,-1.0304124
-3.56,-4.258358345031739,-2.3600000000000003,-1.8983583
-2.49,-2.7908111562728877,-3.0489999999999995,0.25818884
-0.99,-1.6682118396759034,-0.798,-0.87021184
-6.16,-5.706614440917969,-4.644,-1.0626144
-2.23,-2.3398220467567445,-3.18,0.84017795
-0.53,-0.8991084060668948,0.5789999999999997,-1.4781084
-5.1,-4.838473315477371,-4.789,-0.049473315
-4.47,-3.519277257919312,-2.9200000000000004,-0.59927726
-7.17,-7.016052759170533,-4.813000000000001,-2.2030528
1.38,1.401210214138031,1.539,-0.13778979
0.29,0.32613102769851676,1.031,-0.704869
-10.08,-9.70368794631958,-14.392,4.688312
-2.78,-3.0702429752349856,-6.998,3.927757
-11.0,-10.44229294204712,-13.089,2.646707
-3.15,-4.254690582990646,-4.664,0.40930942
-5.85,-7.2176359786987305,-5.939,-1.278636
-6.21,-5.715150560379028,-9.289,3.5738494
-5.26,-5.281987871170044,-4.414,-0.8679879
-1.14,-1.051917898654938,-0.6750000000000003,-0.3769179
-10.03,-9.227869926452637,-17.736,8.50813
-2.4,-2.417138189315796,-3.919,1.5018618
-2.33,-1.3428849339485165,-0.5999999999999996,-0.74288493
2.38,1.825821698665619,2.551,-0.7251783
1.77,1.8323814266920089,1.89,-0.057618573
-6.5,-5.7221875305175764,-10.986999999999998,5.2648125
-1.62,-1.66404058265686,1.2070000000000003,-2.8710406
-1.79,-2.550520798683167,-2.1220000000000003,-0.4285208
-6.79,-6.0866143784523015,-5.371,-0.7156144
-1.1,-1.8059138054847717,-1.162,-0.6439138
-0.9,-0.8084923499822616,-0.815,0.00650765
-3.41,-3.124802936553956,-3.689000000000001,0.56419706
-3.52,-3.334023031234741,-4.359,1.024977
-1.43,-0.5856770815849304,-0.0689999999999999,-0.5166771
0.0,-0.08718956565856928,1.064,-1.1511896
-20.52,-20.04685576629639,-15.182,-4.864856
1.47,1.3779406504631044,2.083,-0.70505935
-4.62,-3.487536935806274,-2.405,-1.0825369
-2.38,-2.646805637836456,-2.106,-0.54080564
-7.19,-5.875942516326905,-13.05,7.1740575
2.1,0.985773036956787,2.348,-1.362227
-9.73,-11.026013339996338,-13.664,2.6379867
-4.02,-4.39339647102356,-2.998,-1.3953965
-10.0,-8.966702056407929,-9.663,0.69629794
-3.5,-3.748648931503297,-6.277000000000001,2.528351
-2.07,-2.6953191714286806,-3.333,0.6376808
-0.33,-0.5553830637931823,0.1360000000000001,-0.69138306
-0.9,-0.9624794807434083,0.0409999999999999,-1.0034795
1.83,1.3416181302070618,1.76,-0.41838187
0.1,-0.2980525169372559,-4.766,4.4679475
-1.5,-1.0147855315208432,-0.4909999999999996,-0.52378553
-6.6,-6.246251089453697,-6.148,-0.09825109
-7.0,-8.199950483322144,-12.178,3.9780495
-0.46,-1.2035082578659058,-1.375,0.17149174
-10.17,-10.229019731044769,-10.456,0.22698027
-5.66,-5.18958707857132,-4.423,-0.7665871
1.83,1.739262907743454,1.824,-0.08473709
-0.1,-0.30305305480957045,0.7149999999999999,-1.018053
-0.45,-0.6684379019737245,0.2959999999999998,-0.9644379
3.16,2.1571717472076415,4.122,-1.9648283
-0.63,-0.526413083076477,-0.375,-0.15141308
2.51,1.2993901462554933,2.797,-1.4976099
-3.15,-2.430000157773495,-2.547,0.11699984
-2.56,-2.419904815673828,-6.337,3.9170952
-9.51,-9.455994092941284,-11.187,1.7310059
-5.0,-4.596830896377563,-3.754,-0.8428309
-14.21,-13.731464817047117,-15.301999999999998,1.5705352
2.55,1.4701853256225585,3.698,-2.2278147
-2.56,-2.4101883544921883,-4.239000000000001,1.8288116
-6.25,-5.985406288146972,-4.834,-1.1514063
-2.92,-2.833627796769142,-2.835,0.0013722032
-6.0,-7.3119455928802495,-11.137,3.8250544
-1.66,-1.3350288929939271,-0.6440000000000001,-0.6910289
-11.85,-10.085083923339845,-13.96,3.874916
-4.1,-4.531696088314057,-5.445,0.9133039
-7.66,-7.710628174304963,-7.261000000000001,-0.44962817
-1.45,-0.7661323890686036,1.789,-2.5551324
-1.93,-2.7131062335968017,-2.432,-0.28110623
-1.36,-1.3284977917671204,-0.863,-0.4654978
0.25,-0.04572407197952272,0.298,-0.34372407
-2.45,-3.6486819763183593,-2.077,-1.571682
0.34,0.17512388038635263,1.723,-1.5478761
-5.74,-12.041618019104003,-20.831,8.789382
-16.43,-15.963549302577972,-15.161,-0.8025493
2.88,2.6736305112838745,3.012,-0.3383695
-4.52,-4.4503693065643315,-4.746,0.2956307
