model_num,epochs,train,valid,test,conv_criterion
0,36,0.9816278317333494,1.2109528230504012,1.298980358891425,converged
1,61,0.6587666799606087,0.966249891283996,1.307530688664008,converged
2,41,0.8421179666476317,1.0751896549123277,1.207868019458397,converged
3,53,0.8109061387106621,1.267583623788106,1.279126679019331,converged
4,36,0.9161679470004567,1.1917299321076549,1.3228918641657181,converged
5,51,0.7523024492276684,0.9433074609030883,1.2629328295709845,converged
6,45,0.7815783175036936,1.2372648725692332,1.5120228735252728,converged
7,55,0.7464707272750692,1.068875620693853,1.3843062836126414,converged
8,82,0.38076503180094406,1.0735527428391403,1.2464462237599712,converged
9,89,0.3863705795357702,1.0287871163884212,0.9960875294178796,converged
10,34,1.0134763688217343,1.1683821922933575,1.2745582646154585,converged
11,36,0.8422009047747591,1.0161102039805348,1.1849457170044455,converged
12,65,0.5954892836088164,1.1664438745891441,1.0350557430086202,converged
13,61,0.5234393178914125,1.0013704381893023,1.2259173166979325,converged
14,58,0.8585740359817756,1.2365026378474528,1.2539507237200438,converged
15,53,0.8760516027871835,1.111657279401818,1.2153864524696931,converged
16,44,0.9131442604559389,1.1136539454895706,1.40979560130563,converged
17,42,0.7970004178309197,1.0938415792465068,1.2730688256139446,converged
18,51,0.8207670279733845,1.135769160511597,1.3631028640082796,converged
19,59,0.6454555657945049,1.18102044113889,1.2972217798209094,converged
