expt,physics_ml,physics,ml
-2.49,-2.2512767197799683,-3.72622,1.4749433
-3.82,-3.7952678454208373,-5.70653,1.9112622
-0.98,-0.915416907910347,-0.999704,0.08428709
-1.59,-1.5547961199302673,-0.719727,-0.8350691
-4.55,-4.867973541755676,-3.02802,-1.8399535
-2.73,-2.4567247797250746,-2.63325,0.17652522
-0.53,-0.58593338697052,-0.940476,0.3545426
-0.25,-0.08848197818374631,-0.471056,0.38257402
-2.82,-2.6931187890052795,-1.84855,-0.8445688
2.51,2.7683124211883543,1.94086,0.8274524
-0.83,-0.9846794606079101,0.0773561,-1.0620356
-7.5,-7.4349535532760616,-8.80233,1.3673764
-1.99,-2.198262667989731,-2.3491,0.15083733
-6.88,-6.066943785977363,-6.14795,0.081006214
-3.64,-3.954985180397034,-5.01902,1.0640348
-5.22,-5.266102770919799,-2.18137,-3.0847328
-0.83,-0.4641902607917785,-1.44315,0.97895974
-0.68,-0.43189115378952025,-0.835526,0.40363485
-3.56,-3.611057118625641,-2.86147,-0.7495871
-2.49,-2.6958829455757143,-3.65004,0.95415705
-0.99,-1.464602601275444,-1.62836,0.1637574
-6.16,-6.19448309223175,-4.45142,-1.7430631
-2.23,-2.5008300688552856,-3.55178,1.0509499
-0.53,-0.651252439969635,-0.0964986,-0.55475384
-5.1,-5.2793257272338865,-4.07426,-1.2050657
-4.47,-4.621489627113342,-3.08674,-1.5347496
-7.17,-7.81786552433014,-6.12954,-1.6883255
1.38,1.4306678921966554,0.995003,0.4356649
0.29,0.2514943704528808,0.842092,-0.5905976
-10.08,-10.138189751434327,-11.4593,1.3211102
-2.78,-2.954671429138184,-4.36373,1.4090586
-11.0,-10.999814679145812,-11.027,0.02718532
-3.15,-3.279076133823395,-3.9786,0.69952387
-5.85,-6.527898217926025,-4.87226,-1.6556382
-6.21,-5.788045153694153,-7.45533,1.6672848
-5.26,-5.406883320960999,-4.11941,-1.2874733
-1.14,-0.9033579018974305,-1.21859,0.3152321
-10.03,-10.363225537872314,-14.7366,4.3733745
-2.4,-2.340694377479553,-3.65181,1.3111156
-2.33,-1.9953328328418731,-2.13828,0.14294717
2.38,2.2607673946380613,1.99285,0.2679174
1.77,1.6196167139863968,1.49411,0.12550671
-6.5,-6.67711329246521,-9.58076,2.9036467
-1.62,-1.4668653104667664,-0.783938,-0.6829273
-1.79,-1.8026348623847963,-2.10896,0.30632514
-6.79,-6.59075967206955,-6.0964,-0.49435967
-1.1,-1.5197937118911744,-1.82824,0.3084463
-0.9,-0.8123890712165833,-1.62474,0.8123509
-3.41,-3.5221859844207764,-3.92455,0.40236402
-3.52,-3.5725201236152646,-4.42939,0.8568699
-1.43,-1.3327658748579025,-1.41537,0.082604125
0.0,0.19488844923305512,0.166193,0.02869545
-20.52,-20.884593743133543,-13.1838,-7.7007937
1.47,1.3395651152849197,1.41845,-0.078884885
-4.62,-4.5813509305953986,-2.75965,-1.8217009
-2.38,-2.1742303708457946,-2.83859,0.6643596
-7.19,-7.519674898052216,-7.9709,0.4512251
2.1,1.8883181429815292,1.86422,0.024098143
-9.73,-9.561306852722169,-14.4769,4.915593
-4.02,-3.8165994552803038,-2.83267,-0.98392946
-10.0,-10.055132596931458,-8.86721,-1.1879226
-3.5,-3.4083303447341917,-4.48506,1.0767297
-2.07,-2.1571965861701967,-2.91204,0.7548434
-0.33,-0.3151568561029434,-0.33592,0.020763144
-0.9,-1.0793516575908662,-1.05546,-0.023891658
1.83,1.92917974193573,1.58483,0.34434974
0.1,0.10945238603591917,-0.445985,0.5554374
-1.5,-1.3492925301218033,-1.21919,-0.13010253
-6.6,-6.338750896453857,-5.06,-1.2787509
-7.0,-7.059204719924926,-10.2434,3.1841953
-0.46,-0.585324952354431,-1.27049,0.68516505
-10.17,-9.909346061782838,-7.41383,-2.495516
-5.66,-5.527066532554627,-4.31219,-1.2148765
1.83,1.646738262901306,1.23501,0.41172826
-0.1,0.0430080409620285,-0.0144752,0.05748324
-0.45,-0.45289586465835563,-1.07818,0.62528414
3.16,2.780536389451027,2.91848,-0.13794361
-0.63,-0.4871429669904709,-0.552755,0.06561203
2.51,2.1513866826725008,2.14692,0.0044666827
-3.15,-2.7719280312156678,-3.07776,0.30583197
-2.56,-2.5277680660629276,-4.44589,1.9181219
-9.51,-9.184162071228027,-8.1405,-1.0436621
-5.0,-4.796132751541138,-3.49758,-1.2985528
-14.21,-13.939080617523194,-14.8526,0.9135194
2.55,2.2177465076971052,2.45293,-0.23518349
-2.56,-2.4078095397567747,-3.93896,1.5311505
-6.25,-5.867146003646851,-4.41767,-1.449476
-2.92,-3.123334771785736,-3.39716,0.27382523
-6.0,-5.988943077468871,-9.0964,3.107457
-1.66,-1.6595150440368651,-0.987116,-0.67239904
-11.85,-11.437526061248779,-16.8997,5.462174
-4.1,-4.157263839249611,-4.35713,0.19986616
-7.66,-7.764629833183289,-5.90371,-1.8609198
-1.45,-1.600936822669983,-0.516043,-1.0848938
-1.93,-1.8636464959526062,-2.62514,0.7614935
-1.36,-1.3332546167325974,-1.42337,0.09011538
0.25,0.19525030229568482,-0.15377,0.3490203
-2.45,-3.024925372753143,-2.05691,-0.9680154
0.34,0.1954824604330063,0.154981,0.04050146
-5.74,-7.211164376831054,-17.1026,9.891436
-16.43,-15.72273737499714,-15.5051,-0.21763737
2.88,2.6411639045715334,2.28365,0.3575139
-4.52,-4.738722528705597,-4.74726,0.008537471
-2.26,-1.8860031746292116,-3.31809,1.4320868
2.56,2.490046492266655,2.26505,0.22499649
-5.33,-4.675679016652107,-4.45569,-0.21998902
-4.8,-5.137852740540504,-4.92789,-0.20996274
-9.76,-9.511818454856872,-8.48162,-1.0301985
-9.65,-9.486199936218263,-6.91532,-2.57088
-0.78,-0.8041133161239624,-0.522718,-0.28139532
-5.04,-5.392267319030761,-6.65232,1.2600527
-7.98,-8.120155489234925,-7.39253,-0.7276255
-9.8,-9.606981174125671,-8.14114,-1.4658412
-18.72,-18.859829504299164,-18.2348,-0.6250295
-10.64,-10.534341091918947,-6.17855,-4.355791
-2.22,-2.304024435119629,-2.90258,0.59855556
-7.77,-8.310805587463378,-7.02368,-1.2871256
-9.61,-9.473522771453858,-12.4311,2.9575772
-3.68,-3.5993800229072574,-4.5269,0.92752
-4.78,-5.030535294952393,-5.43569,0.4051547
-3.84,-3.8283833294296263,-2.40379,-1.4245933
-3.37,-3.638394198875427,-2.15698,-1.4814142
-4.68,-5.064856779098511,-8.1745,3.1096432
-1.24,-1.4116291899681093,-2.152,0.7403708
-4.39,-4.7479621704101564,-2.5708,-2.1771622
-9.94,-9.554380046772957,-9.41755,-0.13683005
-6.13,-6.016509449920655,-4.28096,-1.7355494
-6.13,-6.304151358528137,-4.56342,-1.7407314
-6.09,-5.834914382362366,-7.55965,1.7247356
-3.65,-3.024582491645813,-1.81251,-1.2120725
-3.71,-4.061079699821472,-2.06332,-1.9977597
-3.78,-3.150261904144287,-3.55265,0.4023881
-1.4,-1.7047080574798583,-2.35133,0.64662194
1.16,0.9350166639323234,0.988937,-0.053920336
-1.08,-1.2533234587593078,-0.666442,-0.58688146
-4.31,-4.29626199043274,-3.20438,-1.091882
1.32,1.427008166267395,0.735927,0.69108117
-6.69,-6.82389088684082,-8.97106,2.147169
-0.85,-0.8189638348197936,-1.34506,0.52609617
-0.9,-0.9379841499710082,-1.75629,0.81830585
2.93,3.0051337736320494,2.63907,0.36606377
-2.93,-3.2476168739891054,-2.99426,-0.25335687
-11.14,-11.12241212310791,-13.9969,2.8744879
-5.91,-6.062260635032654,-4.30714,-1.7551206
-3.64,-3.7816932400131225,-2.09909,-1.6826032
-4.91,-5.24930840473175,-7.0248,1.7754916
-0.86,-1.0022136545562743,-1.18579,0.18357635
-5.53,-5.161744107246399,-6.689,1.5272559
-4.95,-5.285612438492775,-5.50793,0.22231756
0.14,0.5785928367023468,0.532738,0.045854837
-0.8,-0.9115678494071962,-1.48351,0.57194215
-13.43,-13.672365965461731,-12.3071,-1.365266
-7.78,-7.853924596176148,-9.22536,1.3714354
-1.92,-2.14098466835022,-5.60085,3.4598653
-6.23,-6.602878070297241,-3.60869,-2.994188
-2.64,-2.6795682808589936,-2.97567,0.29610172
-8.61,-8.527952500915527,-11.0391,2.5111475
-4.04,-4.182648374443054,-5.70588,1.5232316
-5.26,-5.0383940537643435,-3.98932,-1.049074
-0.11,-0.32731788038253784,-1.13449,0.8071721
-16.92,-17.089436686038972,-17.5375,0.4480633
-3.88,-3.9948035371017454,-2.30847,-1.6863335
-3.12,-2.6137462986373903,-1.46084,-1.1529063
-1.74,-2.041282283153534,-1.37084,-0.6704423
-0.77,-1.0272158367967605,-1.07941,0.052194163
-1.21,-1.2525294560670852,-1.2888,0.036270544
-4.7,-4.351089338874817,-6.00335,1.6522607
-5.94,-6.179501263771057,-5.00766,-1.1718413
-0.23,-0.42053473039627076,-1.05596,0.63542527
-4.4,-4.461726748542786,-2.75108,-1.7106467
-2.11,-2.1573336841773987,-2.93872,0.7813863
-3.04,-3.114702215099335,-4.0349,0.9201978
-4.59,-4.110689162158966,-4.9314,0.82071084
-4.09,-4.129526343345642,-2.43375,-1.6957763
-0.16,-0.129230699634552,-0.180725,0.0514943
-3.28,-3.7312172369384764,-2.54119,-1.1900272
-2.28,-2.209249223098755,-3.40136,1.1921108
-6.5,-6.814145681076051,-8.87193,2.0577843
-0.1,-0.12372202455615997,-0.204921,0.081198975
-1.24,-1.0344590152168274,-1.56209,0.527631
-0.19,-0.4190412713432312,-1.01339,0.5943487
-1.31,-1.2943409845590592,-1.0941,-0.20024098
-2.89,-3.4949243665885925,-3.72112,0.22619563
-8.84,-9.717363567109109,-9.68762,-0.029743567
-1.66,-1.6168800580835343,-1.57366,-0.043220058
-3.8,-3.8171684003829958,-5.1276,1.3104316
-4.7,-4.711073690066337,-4.89176,0.18068631
-3.92,-3.6166269176483157,-5.28305,1.6664231
-4.02,-3.963087976760864,-5.96932,2.006232
-3.64,-3.439207303085327,-5.18154,1.7423327
-4.15,-3.844930189781189,-2.18143,-1.6635002
-1.24,-1.3890530493497848,-1.3634,-0.02565305
-3.13,-3.3678507789611816,-4.87465,1.5067992
