expt,physics_ml,physics,ml
-2.49,-2.7287633266448976,-5.059,2.3302367
-3.82,-3.9925102081298824,-10.084,6.09149
-0.98,-1.0663893785476684,-1.884,0.8176106
-1.59,-1.6709201283454895,-1.157,-0.5139201
-4.55,-4.45930477809906,-5.567,1.1076952
-2.73,-2.3392401609420777,-3.516,1.1767598
-0.53,-1.0282407236099242,-1.92,0.8917593
-0.25,-0.48056529498100276,-0.941,0.4604347
-2.82,-2.6901672019958496,-1.839,-0.8511672
2.51,1.5693225700855256,1.177,0.39232257
-0.83,-0.43144525384902965,-0.1260000000000001,-0.30544525
-7.5,-7.297841918945313,-13.788,6.490158
-1.99,-2.788123621225357,-3.258,0.46987638
-6.88,-6.909698490142821,-8.578999999999999,1.6693015
-3.64,-3.9545813786983484,-4.154999999999999,0.20041862
-5.22,-4.104293880462647,0.565,-4.669294
-0.83,-0.9109829263687137,-1.9830000000000003,1.0720171
-0.68,-0.7915910224914551,-1.373,0.581409
-3.56,-3.3947749710083013,-4.3100000000000005,0.915225
-2.49,-3.038243444442749,-4.558,1.5197566
-0.99,-1.4813802187442782,-1.7380000000000002,0.25661978
-6.16,-5.376745880126952,-6.337999999999999,0.9612541
-2.23,-2.0587579841613763,-4.436999999999999,2.378242
-0.53,-0.47279233418405053,-0.47,-0.0027923342
-5.1,-5.145598199605942,-5.384,0.2384018
-4.47,-3.6480244178771972,-3.952,0.30397558
-7.17,-7.378390003204346,-4.476,-2.90239
1.38,1.069381357192993,0.176,0.89338136
0.29,0.14346173524856565,-0.53,0.67346174
-10.08,-7.725642715454102,-15.336,7.6103573
-2.78,-2.9668055152893062,-7.81,4.8431945
-11.0,-11.156343301773072,-13.534,2.3776567
-3.15,-4.778903287887574,-6.369000000000001,1.5900967
-5.85,-6.675259220123291,-7.212,0.5367408
-6.21,-6.314670415878297,-10.271,3.9563296
-5.26,-4.98492551612854,-5.908,0.9230745
-1.14,-1.0880274705886839,-2.143,1.0549725
-10.03,-8.56247179412842,-17.249000000000002,8.686528
-2.4,-2.9481382732391355,-4.938,1.9898617
-2.33,-1.62214458476007,-1.618,-0.0041445848
2.38,1.410854394197464,1.201,0.2098544
1.77,0.6645688571929931,-1.971,2.6355689
-6.5,-1.8027461624145502,-10.36,8.557254
-1.62,-1.7627812070846556,-0.4169999999999998,-1.3457812
-1.79,-2.4859259881973266,-2.904,0.418074
-6.79,-6.153962141036987,-7.431,1.2770379
-1.1,-1.655048597574234,-1.932,0.2769514
-0.9,-1.000795590400696,-2.462,1.4612044
-3.41,-3.7176953077316286,-4.95,1.2323047
-3.52,-3.658635536193848,-5.341,1.6823645
-1.43,-1.627912159204483,-1.914,0.28608784
0.0,-0.14704859453439711,-0.238,0.090951405
-20.52,-19.26057236480713,-14.703,-4.5575724
