expt,physics_ml,physics,ml
-2.49,-3.2806131839752197,0,-3.2806132
-3.82,-3.9291329383850098,0,-3.929133
-0.98,-0.993793785572052,0,-0.9937938
-1.59,-2.54056453704834,0,-2.5405645
-4.55,-5.909261226654053,0,-5.909261
-2.73,-2.1449601650238037,0,-2.1449602
-0.53,-0.6383535861968994,0,-0.6383536
-0.25,-0.28194189071655273,0,-0.2819419
-2.82,-2.8230535984039307,0,-2.8230536
2.51,1.8930999040603638,0,1.8930999
-0.83,-1.8975121974945068,0,-1.8975122
-7.5,-7.527358531951904,0,-7.5273585
-1.99,-2.183858633041382,0,-2.1838586
-6.88,-8.377256393432617,0,-8.377256
-3.64,-6.364464282989502,0,-6.3644643
-5.22,-4.729746341705322,0,-4.7297463
-0.83,-1.137995958328247,0,-1.137996
-0.68,-1.2808443307876587,0,-1.2808443
-3.56,-4.107624053955078,0,-4.107624
-2.49,-3.1051528453826904,0,-3.1051528
-0.99,-1.6727286577224731,0,-1.6727287
-6.16,-6.92163610458374,0,-6.921636
-2.23,-3.5393149852752686,0,-3.539315
-0.53,-1.9035552740097046,0,-1.9035553
-5.1,-5.398865222930908,0,-5.398865
-4.47,-3.3910369873046875,0,-3.391037
-7.17,-7.171891212463379,0,-7.171891
1.38,1.537007212638855,0,1.5370072
0.29,0.3150523900985718,0,0.3150524
-10.08,-7.622792720794678,0,-7.6227927
-2.78,-4.202719211578369,0,-4.202719
-11.0,-10.690845489501953,0,-10.6908455
-3.15,-4.075002193450928,0,-4.075002
-5.85,-7.594846725463867,0,-7.5948467
-6.21,-7.893916606903076,0,-7.8939166
-5.26,-5.490993976593018,0,-5.490994
-1.14,-1.2014957666397095,0,-1.2014958
-10.03,-10.860528945922852,0,-10.860529
-2.4,-2.8169612884521484,0,-2.8169613
-2.33,-2.9691567420959473,0,-2.9691567
2.38,1.7917433977127075,0,1.7917434
1.77,0.21744351089000702,0,0.21744351
-6.5,-6.920230388641357,0,-6.9202304
-1.62,-0.8598904013633728,0,-0.8598904
-1.79,-2.442812919616699,0,-2.442813
-6.79,-6.774785041809082,0,-6.774785
-1.1,-1.9517474174499512,0,-1.9517474
-0.9,-1.2496514320373535,0,-1.2496514
-3.41,-3.975649118423462,0,-3.975649
-3.52,-3.992018938064575,0,-3.992019
-1.43,-2.1863818168640137,0,-2.1863818
0.0,0.294111967086792,0,0.29411197
-20.52,-18.093584060668945,0,-18.093584
1.47,0.7485971450805664,0,0.74859715
-4.62,-4.33597993850708,0,-4.33598
-2.38,-2.0629489421844482,0,-2.062949
-7.19,-7.367552280426025,0,-7.3675523
2.1,1.8205426931381226,0,1.8205427
-9.73,-10.665629386901855,0,-10.665629
-4.02,-5.853288173675537,0,-5.853288
-10.0,-10.533791542053223,0,-10.533792
-3.5,-3.827130079269409,0,-3.82713
-2.07,-2.7313427925109863,0,-2.7313428
-0.33,-0.47059953212738037,0,-0.47059953
-0.9,-1.2122758626937866,0,-1.2122759
1.83,1.919948697090149,0,1.9199487
0.1,-0.564844012260437,0,-0.564844
-1.5,-1.1908111572265625,0,-1.1908112
-6.6,-6.354481220245361,0,-6.354481
-7.0,-7.532192230224609,0,-7.532192
-0.46,-0.2629128694534302,0,-0.26291287
-10.17,-9.285836219787598,0,-9.285836
-5.66,-6.09896993637085,0,-6.09897
1.83,1.629651665687561,0,1.6296517
-0.1,0.11460559070110321,0,0.11460559
-0.45,-0.6749264001846313,0,-0.6749264
3.16,1.8205500841140747,0,1.8205501
-0.63,-1.065818428993225,0,-1.0658184
2.51,1.8370484113693237,0,1.8370484
-3.15,-3.9172470569610596,0,-3.917247
-2.56,-3.6673357486724854,0,-3.6673357
-9.51,-9.036484718322754,0,-9.036485
-5.0,-5.0027384757995605,0,-5.0027385
-14.21,-10.962217330932617,0,-10.962217
2.55,1.206355094909668,0,1.2063551
-2.56,-3.3629748821258545,0,-3.362975
-6.25,-7.192040920257568,0,-7.192041
-2.92,-4.237010955810547,0,-4.237011
-6.0,-6.019061088562012,0,-6.019061
-1.66,-1.8658770322799683,0,-1.865877
-11.85,-11.824803352355957,0,-11.824803
-4.1,-4.765139102935791,0,-4.765139
-7.66,-8.585882186889648,0,-8.585882
-1.45,-3.5551774501800537,0,-3.5551775
-1.93,-1.570070743560791,0,-1.5700707
-1.36,-1.32122004032135,0,-1.32122
0.25,-0.07185222208499908,0,-0.07185222
-2.45,-3.9134104251861572,0,-3.9134104
0.34,0.33429068326950073,0,0.33429068
-5.74,-7.554679870605469,0,-7.55468
-16.43,-15.347662925720215,0,-15.347663
2.88,1.8949497938156128,0,1.8949498
-4.52,-5.272388935089111,0,-5.272389
-2.26,-3.0384109020233154,0,-3.038411
2.56,1.8342443704605103,0,1.8342444
-5.33,-3.807438373565674,0,-3.8074384
-4.8,-4.7656354904174805,0,-4.7656355
-9.76,-9.917925834655762,0,-9.917926
-9.65,-9.164693832397461,0,-9.164694
-0.78,-0.9016176462173462,0,-0.90161765
-5.04,-5.675512790679932,0,-5.675513
-7.98,-6.26619291305542,0,-6.266193
-9.8,-9.327508926391602,0,-9.327509
-18.72,-18.57321548461914,0,-18.573215
-10.64,-10.588398933410645,0,-10.588399
-2.22,-2.5495712757110596,0,-2.5495713
-7.77,-8.163476943969727,0,-8.163477
-9.61,-11.572442054748535,0,-11.572442
-3.68,-3.29838490486145,0,-3.298385
-4.78,-5.538665294647217,0,-5.5386653
-3.84,-4.472226619720459,0,-4.4722266
-3.37,-4.122793674468994,0,-4.1227937
-4.68,-6.965704917907715,0,-6.965705
-1.24,-1.372557282447815,0,-1.3725573
-4.39,-4.710928916931152,0,-4.710929
-9.94,-10.015128135681152,0,-10.015128
-6.13,-7.509537696838379,0,-7.5095377
-6.13,-7.135133266448975,0,-7.1351333
-6.09,-7.238609790802002,0,-7.23861
