expt,physics_ml,physics,ml
-2.49,-2.983318274259567,-3.299,0.31568173
-3.82,-3.4086705131530763,-5.442,2.0333295
-0.98,-1.4844031190872193,-0.11,-1.3744031
-1.59,-1.6308261318206787,-0.617,-1.0138261
-4.55,-4.932419268608093,-3.317,-1.6154193
-2.73,-2.700280022621155,-1.325,-1.37528
-0.53,-1.2037895731925965,-0.443,-0.7607896
-0.25,-0.1401005430221558,0.833,-0.97310054
-2.82,-2.338729214668274,-1.325,-1.0137292
2.51,2.5068349046111105,2.506,0.0008349046
-0.83,-0.6592332706451416,0.139,-0.7982333
-7.5,-6.892899585723876,-10.251,3.3581004
-1.99,-1.7761777009963988,-0.384,-1.3921777
-6.88,-6.9227758650779725,-6.588,-0.33477587
-3.64,-4.180305407524109,-4.573,0.3926946
-5.22,-3.801920970916748,-1.284,-2.517921
-0.83,-1.4655309648513795,-0.697,-0.76853096
-0.68,-0.8039920923709869,-0.456,-0.3479921
-3.56,-4.31561252117157,-3.59,-0.7256125
-2.49,-3.138636923313141,-2.563,-0.5756369
-0.99,-1.5207180728912353,-0.174,-1.3467181
-6.16,-6.497141478538513,-5.148,-1.3491415
-2.23,-2.7789322831630705,-2.929,0.15006772
-0.53,-1.0358813076019286,-0.178,-0.8578813
-5.1,-5.70139080619812,-3.491,-2.2103908
-4.47,-4.1288255577087405,-3.288,-0.84082556
-7.17,-6.99383133983612,-6.116,-0.87783134
1.38,1.2467211647033691,2.367,-1.1202788
0.29,-0.06626507949829097,0.553,-0.6192651
-10.08,-9.845394298076629,-10.559,0.7136057
-2.78,-3.0233252077102657,-4.028,1.0046748
-11.0,-10.638236760616303,-10.412,-0.22623676
-3.15,-4.3109658598899845,-4.9,0.58903414
-5.85,-7.230477507591248,-5.833,-1.3974775
-6.21,-5.53799174118042,-7.878,2.3400083
-5.26,-5.2572074251174925,-4.308,-0.9492074
-1.14,-1.7297216157913207,-0.473,-1.2567216
-10.03,-10.5673938331604,-14.106,3.5386062
-2.4,-3.3390993648171423,-3.304,-0.035099365
-2.33,-2.2894696235656737,-1.275,-1.0144696
2.38,1.919478323459625,2.59,-0.6705217
1.77,1.594759740293026,1.691,-0.09624026
-6.5,-3.723852466583252,-7.024,3.3001475
-1.62,-1.8024032487869261,0.136,-1.9384032
-1.79,-1.729390347480774,-0.363,-1.3663903
-6.79,-6.947977571487427,-5.28,-1.6679776
-1.1,-1.5512237138748168,-0.182,-1.3692237
-0.9,-1.2446461701393128,-0.79,-0.45464617
-3.41,-3.874333608150482,-3.05,-0.8243336
-3.52,-3.7554777178764343,-3.166,-0.5894777
-1.43,-0.9116653594970703,-0.091,-0.82066536
0.0,0.10553463554382314,1.261,-1.1554654
-20.52,-17.186216829299926,-14.148,-3.0382168
1.47,1.4336808309555056,2.486,-1.0523192
-4.62,-4.612413544654846,-3.145,-1.4674135
-2.38,-2.177866771697998,-1.853,-0.32486677
-7.19,-6.949616590499877,-10.466,3.5163834
2.1,1.8254265789985658,2.588,-0.7625734
-9.73,-11.267756887435914,-14.496,3.228243
-4.02,-3.6939908981323244,-2.075,-1.6189909
-10.0,-8.654472089767456,-8.276,-0.3784721
-3.5,-4.419231554985046,-3.372,-1.0472316
-2.07,-2.750669930934906,-2.336,-0.41466993
-0.33,-0.2763644952774048,0.973,-1.2493645
-0.9,-1.399960186958313,-0.553,-0.8469602
1.83,1.3047783041000365,2.465,-1.1602217
0.1,-0.7178537962436675,-1.156,0.4381462
-1.5,-0.6787708177566528,0.386,-1.0647708
-6.6,-6.848587495803833,-5.707,-1.1415875
-7.0,-8.07987631034851,-10.857,2.7771237
-0.46,-0.9775220317840576,-0.492,-0.48552203
-10.17,-10.287040963172913,-8.39,-1.897041
-5.66,-5.959672921180725,-4.768,-1.1916729
1.83,1.3962623853683471,2.452,-1.0557376
-0.1,-0.09169911479949944,1.084,-1.1756991
-0.45,-0.49849712967872617,-0.22,-0.27849713
3.16,2.6571293687820434,3.335,-0.67787063
-0.63,-0.47103497982025144,0.775,-1.246035
2.51,1.82988973903656,2.613,-0.78311026
-3.15,-3.6635769467353825,-4.198,0.53442305
-2.56,-2.8533200187683105,-3.867,1.01368
-9.51,-10.08663598060608,-9.785,-0.30163598
-5.0,-5.115546769142151,-3.394,-1.7215468
-14.21,-14.120931111812592,-13.599,-0.5219311
2.55,1.7426083860397337,2.381,-0.6383916
-2.56,-3.1315972073078155,-3.492,0.3604028
-6.25,-6.44708327960968,-5.272,-1.1750833
-2.92,-3.4216167964935305,-2.704,-0.7176168
-6.0,-5.7108583841323854,-6.716,1.0051416
-1.66,-1.6268546085357665,-0.598,-1.0288546
-11.85,-12.813640977859498,-15.252,2.438359
-4.1,-4.9160416965484615,-3.238,-1.6780417
-7.66,-8.352527398109437,-6.969,-1.3835274
-1.45,-1.4328889169692993,-0.379,-1.0538889
-1.93,-2.381697790145874,-1.742,-0.6396978
-1.36,-1.892513897895813,-0.553,-1.3395139
0.25,-0.070381323814392,1.108,-1.1783813
-2.45,-2.2257246372699737,-1.956,-0.26972464
0.34,0.35491956281661996,1.223,-0.86808044
-5.74,-13.072416677474976,-16.515,3.4425833
-16.43,-16.872864629268648,-16.039,-0.8338646
2.88,2.6883010596632957,2.686,0.0023010597
-4.52,-4.496951379776001,-6.79,2.2930486
-2.26,-1.7374505581855773,-2.219,0.48154944
2.56,2.665877787053585,2.593,0.07287779
-5.33,-4.82227283000946,-4.055,-0.76727283
-4.8,-5.28128842574358,-5.322,0.040711574
-9.76,-9.096007138252258,-8.081,-1.0150071
-9.65,-9.561548270225526,-7.739,-1.8225483
-0.78,-1.2374142160415649,0.326,-1.5634142
-5.04,-5.641574974060059,-5.495,-0.14657497
-7.98,-8.510814853668213,-11.246,2.7351851
-9.8,-9.107267170906066,-7.831,-1.2762672
-18.72,-19.00915922355652,-17.742,-1.2671592
-10.64,-9.763888952255249,-8.472,-1.291889
-2.22,-2.6910071291923523,-2.254,-0.43700713
-7.77,-8.848332903862,-8.173,-0.6753329
-9.61,-10.55339844226837,-11.825,1.2716016
-3.68,-3.5253919701576235,-3.123,-0.40239197
-4.78,-4.623140992164612,-4.014,-0.609141
-3.84,-4.548421177864075,-2.66,-1.8884212
-3.37,-3.8248840951919556,-2.54,-1.2848841
-4.68,-7.275562151908874,-8.809,1.5334378
-1.24,-1.9222308306694031,-1.078,-0.84423083
