expt,physics_ml,physics,ml
-2.49,-2.5648120413684845,-3.00434,0.43952796
-3.82,-3.8543677578735354,-6.57758,2.7232122
-0.98,-1.4058321108150482,-1.45543,0.04959789
-1.59,-2.2250564772109986,-0.907798,-1.3172585
-4.55,-5.776390590171814,-4.56098,-1.2154106
-2.73,-3.0328827727127075,-1.61028,-1.4226028
-0.53,-1.5471099327850342,0.516745,-2.063855
-0.25,-0.23359899704790116,-0.333791,0.100192
-2.82,-3.381020291938782,-2.20814,-1.1728803
2.51,1.897470325000286,1.90732,-0.009849675
-0.83,-1.3587493535980224,0.0647066,-1.423456
-7.5,-7.139464705657959,-11.5907,4.4512353
-1.99,-2.5029429764771463,-2.59119,0.08824702
-6.88,-7.738171142032146,-7.73074,-0.007431142
-3.64,-4.287203921813965,-1.97427,-2.312934
-5.22,-3.29635406741333,-0.845567,-2.450787
-0.83,-0.8515240810489655,-0.78156,-0.06996408
-0.68,-0.22895590670394897,-0.174978,-0.053977907
-3.56,-3.834841381225586,-4.87666,1.0418186
-2.49,-3.0126757373046873,-2.04742,-0.96525574
-0.99,-1.7479679723815917,0.370867,-2.118835
-6.16,-5.943806312141419,-5.22681,-0.7169963
-2.23,-2.2065267987918853,-2.60682,0.4002932
-0.53,-0.8846545821685792,-0.328502,-0.5561526
-5.1,-5.188971867160797,-4.24733,-0.94164187
-4.47,-4.083581669960022,-3.01116,-1.0724217
-7.17,-7.988959841308594,-5.51506,-2.4738998
1.38,1.193928504754305,1.24102,-0.047091495
0.29,0.32145744313621516,0.587594,-0.26613656
-10.08,-8.776498504638672,-12.6835,3.9070015
-2.78,-2.7365891977310177,-4.6221,1.8855108
-11.0,-11.052787403392792,-10.5443,-0.5084874
-3.15,-4.070305579223633,-6.23754,2.1672344
-5.85,-7.0254347863769535,-6.02331,-1.0021248
-6.21,-5.199453360290528,-8.16397,2.9645166
-5.26,-5.69371145652771,-4.98249,-0.71122146
-1.14,-1.5143228267002107,-1.37383,-0.14049283
-10.03,-9.391044384002685,-13.9935,4.6024556
-2.4,-3.3743689944648745,-3.03474,-0.339629
-2.33,-1.7845192177734375,-0.656971,-1.1275482
2.38,1.892611525222063,1.92139,-0.028778475
1.77,1.2965194049644468,2.14558,-0.8490606
-6.5,-4.381307778167725,-8.7748,4.393492
-1.62,-1.9287567405471802,-0.702526,-1.2262307
-1.79,-2.2540712296962737,-2.24375,-0.01032123
-6.79,-6.981056216011047,-5.55451,-1.4265462
-1.1,-1.9099763024139405,0.13347,-2.0434463
-0.9,-1.0281041795897483,-1.10628,0.07817582
-3.41,-4.118979781990051,-2.60413,-1.5148498
-3.52,-3.7483784082221985,-2.92428,-0.8240984
-1.43,-1.4048897301483154,-1.25393,-0.15095973
0.0,0.1959700084438324,0.494274,-0.298304
-20.52,-17.72888088645935,-15.0244,-2.704481
1.47,1.130068090658188,1.58098,-0.4509119
-4.62,-5.096797563476562,-2.76292,-2.3338776
-2.38,-2.4724629827308653,-2.19608,-0.27638298
-7.19,-7.914202558135987,-11.0791,3.1648974
2.1,1.5789454597187043,1.77912,-0.20017454
-9.73,-12.320885913085938,-10.2147,-2.106186
-4.02,-4.521613389148712,-3.53689,-0.9847234
-10.0,-9.267438249969484,-7.0254,-2.2420382
-3.5,-3.8249002712225915,-3.82261,-0.0022902712
-2.07,-2.5496801060676573,-1.9494,-0.6002801
-0.33,-0.21058891207647323,-0.111232,-0.09935691
-0.9,-0.6982206112976075,-0.454687,-0.24353361
1.83,1.3276966883945465,1.41048,-0.08278331
0.1,-0.8437823652458191,-0.295295,-0.54848737
-1.5,-1.5670292103652954,0.226437,-1.7934662
-6.6,-6.9306273371315,-6.11241,-0.81821734
-7.0,-7.992130710601806,-10.9895,2.9973693
-0.46,-0.15847126792907718,0.349135,-0.50760627
-10.17,-10.466630150938034,-10.1784,-0.28823015
-5.66,-5.44630170501709,-5.03739,-0.4089117
1.83,1.5124510815262795,1.48245,0.030001082
-0.1,0.003454155391693109,0.237144,-0.23368984
-0.45,-0.05398319508886337,-0.175011,0.121027805
3.16,2.5224516281890867,3.02248,-0.5000284
-0.63,-0.46091066929912566,-0.452146,-0.008764669
2.51,1.9854645317935944,2.09389,-0.10842547
-3.15,-3.309980326919556,-3.33028,0.020299673
-2.56,-2.4992783665084835,-4.23319,1.7339116
-9.51,-9.558505485486984,-10.0267,0.4681945
-5.0,-5.604664944038391,-3.71136,-1.893305
-14.21,-15.154992545127868,-13.9255,-1.2294925
2.55,2.194966067619324,2.63282,-0.43785393
-2.56,-2.6677340330505372,-3.25219,0.58445597
-6.25,-5.987595270080567,-5.03392,-0.95367527
-2.92,-3.5479150861358644,-2.03486,-1.5130551
-6.0,-6.382356047210694,-8.46006,2.077704
-1.66,-1.702169961872101,-1.05319,-0.64897996
-11.85,-11.951637337684632,-13.2855,1.3338627
-4.1,-4.241529199905395,-5.42207,1.1805408
-7.66,-8.40515798242569,-7.57558,-0.829578
-1.45,-1.1742782833366394,-0.198253,-0.9760253
-1.93,-2.4963509636473655,-2.59937,0.10301904
-1.36,-1.922870061941147,-1.79157,-0.13130006
0.25,-0.4084008480095863,-0.30804,-0.10036085
-2.45,-3.00287792137146,-2.42453,-0.5783479
0.34,0.38747485506057733,1.16712,-0.77964514
-5.74,-11.140281970977783,-15.6455,4.505218
-16.43,-15.49005166053772,-14.16,-1.3300517
2.88,2.2954157606649397,2.27878,0.01663576
-4.52,-5.330010663089753,-5.89031,0.56029934
-2.26,-2.164778429803848,-2.43606,0.27128157
2.56,2.04686456076622,2.20842,-0.16155544
-5.33,-4.365255668487549,-5.53734,1.1720843
-4.8,-5.518750779914856,-6.7953,1.2765492
-9.76,-9.106653964309693,-7.04878,-2.057874
-9.65,-9.806254534330368,-9.32659,-0.47966453
-0.78,-1.0291715230474472,-0.872876,-0.15629552
-5.04,-6.229755788021087,-6.36168,0.13192421
-7.98,-9.622126122283936,-13.9733,4.351174
-9.8,-7.951663595352173,-5.59666,-2.3550036
-18.72,-16.71063039627075,-14.1359,-2.5747304
-10.64,-9.90820679151535,-9.25937,-0.6488368
-2.22,-2.515380030040741,-3.02813,0.51274997
-7.77,-8.77520526626587,-6.11753,-2.6576753
-9.61,-9.778562155818939,-10.4711,0.69253784
-3.68,-3.343784665272236,-3.42936,0.085575335
