expt,physics_ml,physics,ml
-2.49,-3.2110991360855103,-3.72622,0.51512086
-3.82,-3.8834182274627684,-5.70653,1.8231118
-0.98,-1.0786520954408645,-0.999704,-0.078948095
-1.59,-1.4137382113952637,-0.719727,-0.6940112
-4.55,-5.076869582672119,-3.02802,-2.0488496
-2.73,-2.368463428735733,-2.63325,0.26478657
-0.53,-0.6679772135505676,-0.940476,0.2724988
-0.25,0.07860533832931521,-0.471056,0.54966134
-2.82,-3.3551121137619018,-1.84855,-1.5065621
2.51,2.1294174162006376,1.94086,0.18855742
-0.83,-0.68971514710083,0.0773561,-0.76707125
-7.5,-8.68944093366146,-8.80233,0.11288907
-1.99,-2.4477555218696594,-2.3491,-0.09865552
-6.88,-6.686358041000366,-6.14795,-0.53840804
-3.64,-4.7100042491149905,-5.01902,0.30901575
-5.22,-5.790255765075683,-2.18137,-3.6088858
-0.83,-1.0986477893829345,-1.44315,0.3445022
-0.68,0.002038826011657724,-0.835526,0.8375648
-3.56,-3.571917907447815,-2.86147,-0.7104479
-2.49,-3.1076422624969484,-3.65004,0.54239774
-0.99,-1.2700993982410431,-1.62836,0.3582606
-6.16,-6.5500242022705075,-4.45142,-2.0986042
-2.23,-2.7858165648269653,-3.55178,0.76596344
-0.53,-1.0508505020080567,-0.0964986,-0.9543519
-5.1,-5.282733801612854,-4.07426,-1.2084738
-4.47,-4.440610630264282,-3.08674,-1.3538706
-7.17,-6.8735773897552495,-6.12954,-0.7440374
1.38,1.4445879013328553,0.995003,0.4495849
0.29,-0.5063902511672974,0.842092,-1.3484823
-10.08,-12.129896957206727,-11.4593,-0.67059696
-2.78,-3.111062572937012,-4.36373,1.2526674
-11.0,-10.663237949132919,-11.027,0.36376205
-3.15,-3.832579140520096,-3.9786,0.14602086
-5.85,-6.225073243865967,-4.87226,-1.3528132
-6.21,-5.571289286689758,-7.45533,1.8840407
-5.26,-4.931089840087891,-4.11941,-0.81167984
-1.14,-0.836036392774582,-1.21859,0.3825536
-10.03,-10.634085733032226,-14.7366,4.1025143
-2.4,-3.356350342092514,-3.65181,0.29545966
-2.33,-1.9108813660430908,-2.13828,0.22739863
2.38,2.265670234298706,1.99285,0.27282023
1.77,0.44533206211090093,1.49411,-1.0487779
-6.5,-6.67782163406372,-9.58076,2.9029384
-1.62,-2.0021311734085083,-0.783938,-1.2181932
-1.79,-1.9948120016074182,-2.10896,0.114148
-6.79,-6.522529400730133,-6.0964,-0.4261294
-1.1,-1.4289933669471742,-1.82824,0.39924663
-0.9,-1.1816147520446778,-1.62474,0.44312525
