expt,physics_ml,physics,ml
-2.49,-2.5602173805236816,0,-2.5602174
-3.82,-4.344480037689209,0,-4.34448
-0.98,-1.2259843349456787,0,-1.2259843
-1.59,-2.3548805713653564,0,-2.3548806
-4.55,-6.5350446701049805,0,-6.5350447
-2.73,-2.835515022277832,0,-2.835515
-0.53,-1.0463119745254517,0,-1.046312
-0.25,-0.4625661373138428,0,-0.46256614
-2.82,-3.2153656482696533,0,-3.2153656
2.51,2.2991480827331543,0,2.299148
-0.83,-2.2341880798339844,0,-2.234188
-7.5,-6.5311102867126465,0,-6.5311103
-1.99,-2.26426362991333,0,-2.2642636
-6.88,-7.25438928604126,0,-7.2543893
-3.64,-5.025016784667969,0,-5.025017
-5.22,-4.827147960662842,0,-4.827148
-0.83,-1.000947117805481,0,-1.0009471
-0.68,-0.874355673789978,0,-0.8743557
-3.56,-4.159239292144775,0,-4.1592393
-2.49,-2.611410140991211,0,-2.6114101
-0.99,-1.343641757965088,0,-1.3436418
-6.16,-6.193098545074463,0,-6.1930985
-2.23,-2.4155142307281494,0,-2.4155142
-0.53,-2.1571810245513916,0,-2.157181
-5.1,-5.085613250732422,0,-5.0856133
-4.47,-2.813220262527466,0,-2.8132203
-7.17,-7.610720157623291,0,-7.61072
1.38,0.731338381767273,0,0.7313384
0.29,-0.24432741105556488,0,-0.24432741
-10.08,-7.225905895233154,0,-7.225906
-2.78,-3.6617820262908936,0,-3.661782
-11.0,-11.113332748413086,0,-11.113333
-3.15,-4.547502040863037,0,-4.547502
-5.85,-7.2960591316223145,0,-7.296059
-6.21,-6.228585243225098,0,-6.2285852
-5.26,-6.454488277435303,0,-6.4544883
-1.14,-1.7734777927398682,0,-1.7734778
-10.03,-10.726090431213379,0,-10.72609
-2.4,-2.197448968887329,0,-2.197449
-2.33,-2.671037435531616,0,-2.6710374
2.38,2.178943157196045,0,2.1789432
1.77,-0.002083823084831238,0,-0.002083823
-6.5,-7.093484878540039,0,-7.093485
-1.62,-1.5564842224121094,0,-1.5564842
-1.79,-1.7703534364700317,0,-1.7703534
-6.79,-8.04659652709961,0,-8.046597
-1.1,-1.3917229175567627,0,-1.3917229
-0.9,-1.2033534049987793,0,-1.2033534
-3.41,-4.046150207519531,0,-4.04615
-3.52,-3.9026670455932617,0,-3.902667
-1.43,-1.8331692218780518,0,-1.8331692
0.0,-0.23562021553516388,0,-0.23562022
-20.52,-19.229467391967773,0,-19.229467
1.47,0.9045836329460144,0,0.90458363
