expt,physics_ml,physics,ml
-2.49,-2.70493224465847,-3.299,0.5940677553415301
-3.82,-3.795716570138933,-5.442,1.6462834298610671
-0.98,-1.172173369526863,-0.11,-1.062173369526863
-1.59,-1.818780271530151,-0.617,-1.201780271530151
-4.55,-5.018159989833833,-3.317,-1.7011599898338332
-2.73,-2.3642708308994775,-1.325,-1.0392708308994776
-0.53,-1.1373909615278248,-0.443,-0.6943909615278248
-0.25,-0.14861487281322477,0.833,-0.9816148728132248
-2.82,-2.920331251621247,-1.325,-1.595331251621247
2.51,2.5042928870245817,2.506,-0.0017071129754180348
-0.83,-0.9104929760694505,0.139,-1.0494929760694505
-7.5,-7.641437203645706,-10.251,2.609562796354293
-1.99,-2.079279949903488,-0.384,-1.695279949903488
-6.88,-6.623002817213535,-6.588,-0.0350028172135346
-3.64,-4.087495341852309,-4.573,0.4855046581476916
-5.22,-4.394542544722558,-1.284,-3.1105425447225583
-0.83,-1.053727984920144,-0.697,-0.356727984920144
-0.68,-0.6854012035708873,-0.456,-0.22940120357088728
-3.56,-3.884953230582178,-3.59,-0.29495323058217826
-2.49,-2.942633661732078,-2.563,-0.3796336617320777
-0.99,-1.4566710879802702,-0.174,-1.2826710879802703
-6.16,-6.393968079566955,-5.148,-1.2459680795669552
-2.23,-2.4161055789291863,-2.929,0.5128944210708135
-0.53,-1.045147095501423,-0.178,-0.8671470955014231
-5.1,-5.391090551376342,-3.491,-1.900090551376342
-4.47,-4.09212108823657,-3.288,-0.8041210882365699
-7.17,-7.135543212652206,-6.116,-1.0195432126522066
1.38,1.1891355885267259,2.367,-1.1778644114732741
0.29,0.1749212063588202,0.553,-0.37807879364117986
-10.08,-9.918175889939068,-10.559,0.6408241100609313
-2.78,-2.857508081078529,-4.028,1.1704919189214706
-11.0,-11.031658876582984,-10.412,-0.6196588765829834
-3.15,-3.814403330162169,-4.9,1.0855966698378312
-5.85,-7.087584568738937,-5.833,-1.2545845687389372
-6.21,-5.466250237703323,-7.878,2.411749762296677
-5.26,-5.339203994899987,-4.308,-1.031203994899987
-1.14,-1.2785362239480016,-0.473,-0.8055362239480016
-10.03,-10.608403247356415,-14.106,3.4975967526435845
-2.4,-2.5694392190277577,-3.304,0.7345607809722421
-2.33,-2.5595648020505903,-1.275,-1.2845648020505904
2.38,2.227724539637566,2.59,-0.36227546036243385
1.77,1.6109461836367842,1.691,-0.08005381636321585
-6.5,-4.960508825048804,-7.024,2.0634911749511957
-1.62,-1.6708501353263856,0.136,-1.8068501353263855
-1.79,-1.8858028297424316,-0.363,-1.5228028297424316
-6.79,-6.598675754591822,-5.28,-1.3186757545918217
-1.1,-1.4901592947244642,-0.182,-1.3081592947244642
-0.9,-1.0773882368206977,-0.79,-0.2873882368206977
-3.41,-3.5446003131568427,-3.05,-0.49460031315684283
-3.52,-3.542012883707881,-3.166,-0.3760128837078809
-1.43,-1.2769934091567996,-0.091,-1.1859934091567996
0.0,0.0229242638349532,1.261,-1.2380757361650467
-20.52,-19.825398240566255,-14.148,-5.677398240566255
1.47,1.4751601979732516,2.486,-1.0108398020267486
-4.62,-4.582198761105536,-3.145,-1.437198761105536
-2.38,-2.352113689363003,-1.853,-0.4991136893630028
-7.19,-7.534759149312974,-10.466,2.9312408506870256
2.1,1.9393052314519885,2.588,-0.6486947685480116
-9.73,-10.228507979869843,-14.496,4.267492020130158
-4.02,-4.103507274389268,-2.075,-2.028507274389268
-10.0,-9.227356935501101,-8.276,-0.9513569355011011
-3.5,-3.8577582844793796,-3.372,-0.48575828447937974
-2.07,-2.47654283387959,-2.336,-0.1405428338795902
-0.33,-0.3469225157499314,0.973,-1.3199225157499312
-0.9,-1.0866657196283342,-0.553,-0.5336657196283342
1.83,1.5901455068588255,2.465,-0.8748544931411744
0.1,-0.5212401369065047,-1.156,0.6347598630934952
-1.5,-1.1032994225025177,0.386,-1.4892994225025178
-6.6,-6.792156431794166,-5.707,-1.0851564317941662
-7.0,-7.290391940593719,-10.857,3.5666080594062803
-0.46,-0.9683954967260362,-0.492,-0.4763954967260362
-10.17,-10.096567168235776,-8.39,-1.7065671682357753
-5.66,-5.778579051077367,-4.768,-1.0105790510773671
1.83,1.5428980876207348,2.452,-0.9091019123792652
-0.1,-0.18570144212245934,1.084,-1.2697014421224595
-0.45,-0.3077125054597854,-0.22,-0.0877125054597854
