expt,physics_ml,physics,ml
-2.49,-2.7346260299682617,-3.299,0.56437397
-3.82,-3.487063853263855,-5.442,1.9549361
-0.98,-1.209146604537964,-0.11,-1.0991466
-1.59,-1.8925162715911865,-0.617,-1.2755163
-4.55,-5.147748915672302,-3.317,-1.8307489
-2.73,-1.7955910086631774,-1.325,-0.470591
-0.53,-1.54573277759552,-0.443,-1.1027328
-0.25,-0.1812401456832886,0.833,-1.0142401
-2.82,-3.295539212226868,-1.325,-1.9705392
2.51,2.4658163962364195,2.506,-0.040183604
-0.83,-0.762719331741333,0.139,-0.90171933
-7.5,-7.868318630218505,-10.251,2.3826814
-1.99,-2.5636488761901854,-0.384,-2.1796489
-6.88,-7.599261582374573,-6.588,-1.0112616
-3.64,-3.650538371086121,-4.573,0.9224616
-5.22,-2.2915068473815916,-1.284,-1.0075068
-0.83,-1.1040321023464204,-0.697,-0.4070321
-0.68,-1.1871482429504394,-0.456,-0.73114824
-3.56,-4.319422330856323,-3.59,-0.72942233
-2.49,-3.010730749845505,-2.563,-0.44773075
-0.99,-1.3990586748123168,-0.174,-1.2250587
-6.16,-6.337864516258239,-5.148,-1.1898645
-2.23,-2.37472639465332,-2.929,0.5542736
-0.53,-1.0145616798400878,-0.178,-0.8365617
-5.1,-5.38873952960968,-3.491,-1.8977395
-4.47,-3.7330525939464567,-3.288,-0.4450526
-7.17,-7.2422661218643185,-6.116,-1.1262661
1.38,1.066302077293396,2.367,-1.3006979
0.29,0.15678259420394902,0.553,-0.3962174
-10.08,-10.27445574069023,-10.559,0.28454426
-2.78,-2.901056054115295,-4.028,1.126944
-11.0,-11.209417461872102,-10.412,-0.79741746
-3.15,-4.374620521068573,-4.9,0.5253795
-5.85,-6.84691613483429,-5.833,-1.0139161
-6.21,-4.97364208984375,-7.878,2.904358
-5.26,-5.322861941337585,-4.308,-1.014862
-1.14,-1.1474924783706664,-0.473,-0.6744925
-10.03,-10.799114757537842,-14.106,3.3068852
-2.4,-2.623254159927368,-3.304,0.68074584
-2.33,-2.936742568016052,-1.275,-1.6617426
2.38,2.150229808092117,2.59,-0.4397702
1.77,1.6956933516860009,1.691,0.0046933517
-6.5,-3.4961450805664063,-7.024,3.527855
-1.62,-1.8616979494094847,0.136,-1.997698
-1.79,-2.359306300163269,-0.363,-1.9963063
-6.79,-7.311364440917969,-5.28,-2.0313644
-1.1,-1.5094322748184203,-0.182,-1.3274323
-0.9,-0.9350694054365158,-0.79,-0.1450694
-3.41,-3.4581665873527525,-3.05,-0.4081666
-3.52,-3.6135034475326537,-3.166,-0.44750345
-1.43,-1.5258758459091186,-0.091,-1.4348758
0.0,-0.13995889568328868,1.261,-1.4009589
-20.52,-18.42131256866455,-14.148,-4.2733126
1.47,1.6229665861129763,2.486,-0.8630334
-4.62,-4.553958554267883,-3.145,-1.4089586
-2.38,-3.173956230163574,-1.853,-1.3209562
-7.19,-7.668714443206786,-10.466,2.7972856
2.1,1.7141990666389466,2.588,-0.87380093
-9.73,-10.65204066848755,-14.496,3.8439593
-4.02,-3.9280217409133913,-2.075,-1.8530217
-10.0,-9.586561537742615,-8.276,-1.3105615
-3.5,-3.623189351081848,-3.372,-0.25118935
-2.07,-2.1573520646095274,-2.336,0.17864794
-0.33,-0.5296099681854248,0.973,-1.50261
-0.9,-1.4571274189949035,-0.553,-0.9041274
1.83,1.1836304330825804,2.465,-1.2813696
0.1,-1.2234868077039718,-1.156,-0.06748681
-1.5,-0.9819382801055908,0.386,-1.3679383
-6.6,-6.694092614173889,-5.707,-0.9870926
-7.0,-7.052013523101806,-10.857,3.8049865
-0.46,-1.2549594802856445,-0.492,-0.7629595
-10.17,-9.964785590171815,-8.39,-1.5747856
-5.66,-5.9164251022338865,-4.768,-1.1484251
1.83,1.5278530497550964,2.452,-0.92414695
-0.1,-0.34353422260284416,1.084,-1.4275342
-0.45,-0.7363975954055786,-0.22,-0.5163976
3.16,2.565258584022522,3.335,-0.7697414
-0.63,-0.7715353727340698,0.775,-1.5465354
2.51,2.148507023334503,2.613,-0.46449298
-3.15,-3.1278859834671024,-4.198,1.070114
-2.56,-2.622733013153076,-3.867,1.244267
-9.51,-9.513846788406372,-9.785,0.2711532
-5.0,-5.338260716438294,-3.394,-1.9442607
-14.21,-11.6587802400589,-13.599,1.9402198
2.55,1.99421085691452,2.381,-0.38678914
-2.56,-2.921792106151581,-3.492,0.5702079
-6.25,-6.4227586240768435,-5.272,-1.1507586
-2.92,-3.067417387008667,-2.704,-0.3634174
-6.0,-5.041982928276062,-6.716,1.6740171
-1.66,-1.789454768180847,-0.598,-1.1914548
-11.85,-13.24976840209961,-15.252,2.0022316
-4.1,-4.812780106544494,-3.238,-1.5747801
-7.66,-8.072051781654359,-6.969,-1.1030518
-1.45,-0.9428309717178345,-0.379,-0.563831
-1.93,-2.6762567920684814,-1.742,-0.9342568
-1.36,-2.1829028396606445,-0.553,-1.6299028
0.25,-0.467112223625183,1.108,-1.5751122
-2.45,-2.829814344406128,-1.956,-0.87381434
0.34,0.08566541481018075,1.223,-1.1373346
-5.74,-12.481840744018555,-16.515,4.0331593
-16.43,-16.89033105516434,-16.039,-0.85133106
2.88,2.407641093492508,2.686,-0.2783589
-4.52,-5.30496148109436,-6.79,1.4850385
-2.26,-2.322636413812637,-2.219,-0.103636414
2.56,2.308823382139206,2.593,-0.28417662
-5.33,-4.892731122970581,-4.055,-0.8377311
-4.8,-5.495703104257584,-5.322,-0.1737031
-9.76,-9.848255306243896,-8.081,-1.7672553
-9.65,-9.31380013370514,-7.739,-1.5748001
-0.78,-1.3140107145309448,0.326,-1.6400107
-5.04,-5.980024213790894,-5.495,-0.4850242
-7.98,-8.276348777770997,-11.246,2.9696512
-9.8,-9.441442876815795,-7.831,-1.6104429
-18.72,-18.755294458389283,-17.742,-1.0132945
-10.64,-9.486496684074401,-8.472,-1.0144967
-2.22,-2.4267462112903595,-2.254,-0.17274621
-7.77,-8.461287967443466,-8.173,-0.28828797
-9.61,-9.795129013061523,-11.825,2.029871
-3.68,-3.4274418990612032,-3.123,-0.3044419
-4.78,-5.082708419799805,-4.014,-1.0687084
-3.84,-4.1818420028686525,-2.66,-1.521842
-3.37,-4.057048954963684,-2.54,-1.517049
-4.68,-7.184447869300842,-8.809,1.6245521
-1.24,-2.0291831998825076,-1.078,-0.9511832
-4.39,-4.280923314094544,-2.945,-1.3359233
-9.94,-9.539391871333121,-9.399,-0.14039187
-6.13,-6.452852299690247,-5.453,-0.9998523
-6.13,-6.57167303943634,-5.579,-0.99267304
-6.09,-5.483874935150146,-8.844,3.360125
-3.65,-2.9730070428848268,-2.233,-0.74000704
-3.71,-4.568124988555908,-1.878,-2.690125
-3.78,-3.679110149383545,-4.304,0.62488985
-1.4,-1.7222241487503052,-0.359,-1.3632241
1.16,1.3373167295455932,2.327,-0.9896833
-1.08,-0.983519163131714,0.285,-1.2685192
-4.31,-4.0073209252357485,-3.809,-0.19832093
1.32,1.005123188972473,2.328,-1.3228768
-6.69,-5.96700857257843,-7.281,1.3139914
-0.85,-1.5346668586730958,-0.761,-0.77366686
-0.9,-0.6536954400539399,-0.806,0.15230456
2.93,2.609787554740906,2.97,-0.36021245
-2.93,-3.8099579057693482,-3.221,-0.5889579
-11.14,-10.523177570343018,-13.769,3.2458224
-5.91,-6.223495425224304,-5.014,-1.2094954
-3.64,-4.080689092636108,-2.446,-1.6346891
-4.91,-5.833150979995728,-4.847,-0.986151
-0.86,-1.1342594456672668,-0.795,-0.33925945
-5.53,-5.615086507797241,-5.325,-0.2900865
-4.95,-5.747508364081383,-5.646,-0.101508364
0.14,0.11321942806243901,1.175,-1.0617806
-0.8,-1.0098714904785155,-0.658,-0.3518715
-13.43,-13.57226194381714,-10.14,-3.432262
-7.78,-6.663347904205322,-8.292,1.6286521
-1.92,-3.4975267186164856,-3.964,0.46647328
-6.23,-6.3511513261795045,-5.378,-0.9731513
-2.64,-2.726885296344757,-2.364,-0.3628853
-8.61,-9.71978973054886,-9.624,-0.09578973
-4.04,-5.319291606187821,-5.559,0.2397084
-5.26,-5.608292128562927,-4.127,-1.4812921
-0.11,-0.5149456968307495,0.226,-0.7409457
-16.92,-17.39368850803375,-16.371,-1.0226885
-3.88,-4.226943720817566,-2.564,-1.6629437
-3.12,-2.7004427161216737,-1.809,-0.8914427
-1.74,-1.8215297050476074,-1.057,-0.7645297
-0.77,-1.2791711053848267,-0.171,-1.1081711
-1.21,-1.3857616024017334,-0.883,-0.5027616
-4.7,-4.349298391342163,-4.91,0.5607016
-5.94,-6.262016960144043,-4.746,-1.516017
-0.23,-0.46064021015167234,-0.094,-0.3666402
-4.4,-4.757321000099182,-3.0,-1.757321
-2.11,-1.6173374662399294,-2.176,0.55866253
-3.04,-3.3924135935306547,-2.945,-0.4474136
-4.59,-4.807648051261902,-3.638,-1.169648
-4.09,-4.382837595939636,-2.69,-1.6928376
-0.16,-0.478718430519104,0.993,-1.4717184
-3.28,-2.933648271560669,-1.795,-1.1386483
-2.28,-2.2267653861045837,-2.754,0.5272346
-6.5,-6.964247084259987,-6.96,-0.0042470843
-0.1,-0.37138462162017827,0.824,-1.1953846
-1.24,-1.4733152160644531,-0.651,-0.8223152
-0.19,-0.6847767782211304,0.505,-1.1897768
-1.31,-1.648794400215149,0.038,-1.6867944
-2.89,-3.8527803888320924,-2.374,-1.4787804
-8.84,-9.218503717422486,-8.204,-1.0145037
-1.66,-1.7694643131494523,-1.596,-0.17346431
-3.8,-4.072083729267121,-3.506,-0.5660837
-4.7,-4.247822762966155,-3.889,-0.35882276
-3.92,-4.623491253614426,-4.921,0.29750875
-4.02,-4.327330024719238,-5.058,0.73067
-3.64,-4.416056481122971,-4.597,0.18094352
-4.15,-4.520997581481934,-2.31,-2.2109976
-1.24,-2.424982795715332,-0.51,-1.9149828
-3.13,-3.6645759361982346,-3.83,0.16542406
-0.84,-1.113995945930481,0.187,-1.300996
-2.74,-3.202724329471588,-2.629,-0.5737243
-5.9,-6.198584581375122,-5.076,-1.1225846
-18.17,-18.32685019779205,-17.298,-1.0288502
2.93,2.452122903108597,2.894,-0.4418771
-7.58,-8.092656420707701,-7.874,-0.21865642
-3.67,-4.250277896881103,-3.321,-0.9292779
2.56,1.9365249624252319,2.674,-0.73747504
-9.29,-9.87673791694641,-8.113,-1.7637379
-4.12,-4.474440536499023,-3.46,-1.0144405
-7.48,-7.568120566368103,-7.016,-0.55212057
-1.34,-2.792612174987793,-0.304,-2.4886122
0.16,-0.8227788515090942,-0.257,-0.56577885
-3.84,-3.671103421211243,-2.491,-1.1801034
-15.83,-15.519584813594818,-15.128,-0.3915848
-0.89,-1.3684395227432251,-0.641,-0.7274395
-9.53,-8.984665307044983,-10.984,1.9993347
-6.79,-6.277014746665954,-5.14,-1.1370147
-0.55,-0.9345372304916382,0.764,-1.6985372
-4.97,-6.323015290260315,-8.006,1.6829847
-2.78,-3.542620511054993,-2.47,-1.0726205
-0.8,-0.9427216563224793,-0.041,-0.90172166
-1.39,-1.792180902004242,-0.894,-0.8981809
-0.11,0.13569043552875518,0.206,-0.070309564
-1.01,-1.3007444763183593,-0.19,-1.1107445
2.34,1.8971664361953735,2.468,-0.57083356
-23.62,-22.379516899108886,-18.162,-4.217517
-4.23,-4.2418489198684695,-2.248,-1.9938489
-9.2,-9.37793694794178,-9.535,0.15706305
-7.63,-8.68268503856659,-7.997,-0.68568504
1.07,0.27272323131561277,-0.34,0.61272323
-5.21,-6.193808589935303,-5.211,-0.9828086
-6.4,-6.320354404449462,-3.94,-2.3803544
-2.55,-2.4149950971603396,-0.974,-1.4409951
-3.54,-4.707054657936096,-3.42,-1.2870547
-1.27,-2.0581183576583864,-0.265,-1.7931184
1.66,1.5334828720092775,2.761,-1.2275171
-6.01,-6.216398577690125,-4.98,-1.2363986
-6.16,-6.148670223236085,-9.053,2.9043298
-2.33,-2.955181785583496,0.379,-3.3341818
-4.87,-5.327363389968872,-6.219,0.8916366
-6.96,-8.492607825279237,-7.393,-1.0996078
-5.49,-5.852493213891983,-5.543,-0.3094932
-3.52,-3.2372321338653562,-2.147,-1.0902321
-2.13,-2.171135629653931,-3.414,1.2428644
-5.23,-5.512106409549713,-5.203,-0.3091064
-6.78,-7.8602124536037445,-7.665,-0.19521245
-5.99,-5.5357080514431,-5.362,-0.17370805
-1.46,-0.9418219575881959,0.299,-1.240822
-11.53,-12.027259726524353,-13.895,1.8677403
-4.09,-4.54390869474411,-3.591,-0.9529087
-1.28,-0.28575955390930174,0.64,-0.92575955
-3.3,-2.689476403236389,-1.984,-0.7054764
-4.58,-6.560503069877624,-5.667,-0.89350307
-6.12,-7.370819540977478,-6.771,-0.59981954
-5.66,-5.458887794494629,-7.503,2.0441122
-4.21,-4.641516868591308,-2.917,-1.7245169
-1.46,-1.927993025302887,-1.752,-0.17599303
0.56,0.5752305555343629,1.955,-1.3797694
2.3,2.0269494390487672,2.535,-0.50805056
-5.45,-6.141348465919495,-5.809,-0.33234847
-1.2,-1.2042493205070497,-0.273,-0.9312493
-5.73,-6.400745408654213,-6.227,-0.17374541
-7.43,-7.613714449644089,-7.349,-0.26471445
-2.32,-2.041032151222229,-0.404,-1.6370322
1.58,1.3859469680786134,2.628,-1.242053
-6.62,-7.400264366149902,-5.133,-2.2672644
-3.45,-4.256950826406479,-4.426,0.16904917
-3.11,-3.548047783613205,-3.234,-0.31404778
-1.12,-1.6920134401321412,-0.685,-1.0070134
-3.1,-4.584380606651306,-4.054,-0.5303806
-0.3,-1.1183455040454864,-0.674,-0.4443455
2.3,1.8335879068374634,2.673,-0.8394121
-5.91,-6.460141318321228,-5.543,-0.9171413
-8.41,-8.241248900413513,-6.282,-1.9592489
-3.81,-5.118992710113526,-2.775,-2.3439927
-5.57,-6.077392024040222,-5.494,-0.583392
-2.55,-2.3226078877449035,-1.501,-0.8216079
-5.21,-6.323473997116089,-5.57,-0.753474
-11.01,-11.387983560562134,-9.625,-1.7629836
-2.86,-2.2879684023857116,-2.968,0.6800316
1.01,1.2006424779891969,2.487,-1.2863575
-4.29,-4.367941561698913,-2.991,-1.3769416
-9.86,-8.748798929333686,-8.658,-0.09079893
-10.27,-10.20193500995636,-8.205,-1.996935
-3.58,-4.026463432788849,-3.133,-0.89346343
-5.73,-6.103108297348022,-5.436,-0.6671083
-4.57,-4.843644241333008,-3.054,-1.7896442
-5.1,-4.898319469451904,-8.411,3.5126805
-6.619999999999999,-7.2395454750061035,-4.686,-2.5535455
1.59,1.4075886344909667,1.785,-0.37741137
-5.72,-5.611481822967529,-4.989,-0.6224818
-6.25,-6.256225204467773,-3.85,-2.4062252
-0.04,-0.4839742541313171,-0.1,-0.38397425
-1.64,-2.579727915763855,-0.979,-1.6007279
-5.8,-6.12333888721466,-4.547,-1.5763389
2.51,2.2521109235286714,2.495,-0.24288908
-7.37,-8.55345407485962,-7.66,-0.8934541
-3.95,-3.8130422086715696,-2.772,-1.0410422
-3.43,-3.0105015931129455,-2.706,-0.3045016
