expt,physics_ml,physics,ml
-2.49,-2.8063559304142,-3.00434,0.19798407
-3.82,-3.815046096878052,-6.57758,2.762534
-0.98,-1.4143300716805458,-1.45543,0.04109993
-1.59,-1.6578258353691102,-0.907798,-0.75002784
-4.55,-5.554685451488495,-4.56098,-0.99370545
-2.73,-2.042507909564972,-1.61028,-0.4322279
-0.53,-0.8668286513137817,0.516745,-1.3835737
-0.25,-0.29646187012529374,-0.333791,0.03732913
-2.82,-3.0052631341362,-2.20814,-0.79712313
2.51,1.9390779880356788,1.90732,0.031757988
-0.83,-0.6837704417213439,0.0647066,-0.74847704
-7.5,-7.126868575286865,-11.5907,4.4638314
-1.99,-2.6630735517764093,-2.59119,-0.07188355
-6.88,-7.02191488861084,-7.73074,0.7088251
-3.64,-4.461475982208252,-1.97427,-2.487206
-5.22,-3.925349724380493,-0.845567,-3.0797827
-0.83,-0.6161264441585541,-0.78156,0.16543356
-0.68,-0.3461693645267486,-0.174978,-0.17119136
-3.56,-4.109107564601898,-4.87666,0.76755244
-2.49,-3.023130570812225,-2.04742,-0.9757106
-0.99,-1.64998842678833,0.370867,-2.0208554
-6.16,-6.342422030029297,-5.22681,-1.115612
-2.23,-2.4245387740802764,-2.60682,0.18228123
-0.53,-0.9505809551734925,-0.328502,-0.62207896
-5.1,-5.396666457252502,-4.24733,-1.1493365
-4.47,-3.8132437306976317,-3.01116,-0.80208373
-7.17,-7.778524689254761,-5.51506,-2.2634647
1.38,0.9482696712207794,1.24102,-0.29275033
0.29,0.4012657081069946,0.587594,-0.18632829
-10.08,-8.92919845199585,-12.6835,3.7543015
-2.78,-2.7304496809005734,-4.6221,1.8916503
-11.0,-11.523929218578338,-10.5443,-0.9796292
-3.15,-3.685336106338501,-6.23754,2.552204
-5.85,-6.91208159357071,-6.02331,-0.8887716
-6.21,-6.77158845111847,-8.16397,1.3923815
-5.26,-5.698129054775238,-4.98249,-0.71563905
-1.14,-1.2333820555973054,-1.37383,0.14044794
-10.03,-9.67264056777954,-13.9935,4.3208594
-2.4,-3.1723580946826937,-3.03474,-0.1376181
-2.33,-2.4957647545776367,-0.656971,-1.8387938
2.38,1.9248971223974227,1.92139,0.0035071224
1.77,1.7015484634208677,2.14558,-0.44403154
