expt,physics_ml,physics,ml
-4.72,-3.6856590273284913,-3.13599,-0.549669
-3.04,-2.771654320716858,-2.34475,-0.42690432
-4.59,-2.191100501060486,-1.75525,-0.4358505
-3.82,-3.7715569985198973,-5.70653,1.934973
-2.93,-2.9616004444885258,-4.29168,1.3300796
-0.98,-1.359719034675598,-0.999704,-0.36001503
-0.74,-0.69174676738739,-1.27761,0.58586323
2.89,2.171563668630123,2.21496,-0.04339633
-1.59,-1.3496293628234863,-0.719727,-0.62990236
-3.75,-3.051005134429932,-4.06934,1.0183349
-0.25,-0.2618858224210739,-0.471056,0.20917018
-2.82,-1.879308686363697,-1.84855,-0.030758686
-5.48,-3.6219147243309022,-3.16298,-0.45893472
2.51,1.8631292400217057,1.94086,-0.07773076
-0.64,0.16465545170211793,-0.443376,0.60803145
-7.5,-9.395238442020416,-8.80233,-0.59290844
-1.99,-2.0032178226470947,-2.3491,0.34588218
-4.84,-4.394443704304695,-4.40906,0.014616296
-5.22,-2.282510685379505,-2.18137,-0.101140685
-0.83,-1.6020486665010452,-1.44315,-0.15889867
-0.68,-1.0981404289970398,-0.835526,-0.26261443
-2.49,-2.500907748260498,-3.65004,1.1491323
-4.93,-4.615664315934181,-4.65612,0.040455684
-6.16,-4.575444391174316,-4.45142,-0.12402439
-2.23,-1.9912892725753784,-3.55178,1.5604907
-0.53,-0.7723792109428406,-0.0964986,-0.6758806
-5.1,-4.638418678054809,-4.07426,-0.5641587
-4.47,-3.644554061641693,-3.08674,-0.55781406
-7.17,-6.76612756017685,-6.12954,-0.63658756
0.29,0.8235810176057815,0.842092,-0.018510982
-2.78,-2.810264037590027,-4.36373,1.553466
3.43,4.7616775957632065,4.87378,-0.112102404
-3.15,-3.9604756729364397,-3.9786,0.018124327
-6.21,-5.879600391464233,-7.45533,1.5757296
-5.71,-7.674738556785584,-9.16167,1.4869314
-1.14,-1.4633993295097352,-1.21859,-0.24480933
-2.4,-2.330258915481567,-3.65181,1.3215511
-2.33,-1.7512057082939148,-2.13828,0.3870743
-1.14,-1.8307340778017043,-2.08024,0.24950592
2.38,1.7314818445205689,1.99285,-0.26136816
-5.88,-7.066700263086557,-7.03166,-0.035040263
-2.81,-2.2576729916381835,-3.49388,1.236207
1.77,1.4657244651174546,1.49411,-0.028385535
-1.62,-1.3633026574020386,-0.783938,-0.57936466
-1.79,-1.8624055806016924,-2.10896,0.24655442
-6.79,-6.256209976816177,-6.0964,-0.15980998
-1.1,-1.5481527078056336,-1.82824,0.2800873
-0.9,-1.7349797441864014,-1.62474,-0.110239744
-3.41,-2.9542307289123535,-3.92455,0.9703193
-3.52,-3.2901272045516965,-4.42939,1.1392628
-1.43,-0.8615385419082642,-1.41537,0.55383146
0.0,0.35937533430385593,0.166193,0.19318233
1.47,0.9436504265785217,1.41845,-0.47479957
-2.38,-2.419315312232971,-2.83859,0.4192747
-7.19,-7.1530774244308475,-7.9709,0.8178226
2.1,1.436033702583313,1.86422,-0.4281863
-4.02,-2.7730349568557737,-2.83267,0.059635043
-3.5,-3.096681856689453,-4.48506,1.3883781
-4.61,-3.6373904476165775,-4.84475,1.2073596
-2.07,-1.6708031940841677,-2.91204,1.2412368
-0.33,-0.12662033133029937,-0.33592,0.20929967
-0.9,-1.2681309818840028,-1.05546,-0.21267098
-2.7,-3.4256489410984514,-3.36853,-0.05711894
1.83,1.0861126323509216,1.58483,-0.49871737
0.1,-0.5144794838285447,-0.445985,-0.068494484
-3.9,-2.600419322052002,-3.87304,1.2726207
-6.6,-5.112607286721468,-5.06,-0.052607287
2.0,1.1701821526527405,1.7034,-0.53321785
-7.0,-8.583286665344238,-10.2434,1.6601133
-5.66,-4.429591756346226,-4.31219,-0.11740176
1.83,0.7867422421073913,1.23501,-0.44826776
-0.1,0.18381233173351288,-0.0144752,0.19828753
-0.45,-1.3331247417259215,-1.07818,-0.25494474
3.16,2.621678254108429,2.91848,-0.29680175
-0.63,-0.3742368686246872,-0.552755,0.17851813
2.51,1.9106028869581224,2.14692,-0.23631711
