expt,physics_ml,physics,ml
-4.72,-5.057726860046387,0,-5.057727
-3.04,-3.209731340408325,0,-3.2097313
-4.59,-5.098596096038818,0,-5.098596
-3.82,-3.811882734298706,0,-3.8118827
-2.93,-3.3085944652557373,0,-3.3085945
-0.98,-0.7688278555870056,0,-0.76882786
-0.74,-0.5457774996757507,0,-0.5457775
2.89,3.0209767818450928,0,3.0209768
-1.59,-1.9587863683700562,0,-1.9587864
-3.75,-3.4781761169433594,0,-3.478176
-0.25,0.09266871958971024,0,0.09266872
-2.82,-2.862338066101074,0,-2.862338
-5.48,-5.376745700836182,0,-5.3767457
2.51,2.803133249282837,0,2.8031332
-0.64,-0.653465986251831,0,-0.653466
-7.5,-6.301671028137207,0,-6.301671
-1.99,-1.8384060859680176,0,-1.8384061
-4.84,-5.134332656860352,0,-5.1343327
-5.22,-4.019960403442383,0,-4.0199604
-0.83,-0.7010194659233093,0,-0.70101947
-0.68,-0.5280405879020691,0,-0.5280406
-2.49,-3.0409510135650635,0,-3.040951
-4.93,-5.5721354484558105,0,-5.5721354
-6.16,-6.5227861404418945,0,-6.522786
-2.23,-2.3539631366729736,0,-2.3539631
-0.53,-0.6503843665122986,0,-0.65038437
-5.1,-4.013683319091797,0,-4.0136833
-4.47,-4.4978203773498535,0,-4.4978204
-7.17,-6.910251617431641,0,-6.9102516
0.29,-0.024468980729579926,0,-0.02446898
-2.78,-3.273672342300415,0,-3.2736723
3.43,3.288547992706299,0,3.288548
-3.15,-4.0015153884887695,0,-4.0015154
-6.21,-6.492273330688477,0,-6.4922733
-5.71,-4.2141289710998535,0,-4.214129
-1.14,-0.995540976524353,0,-0.995541
-2.4,-2.275304079055786,0,-2.275304
-2.33,-1.980280876159668,0,-1.9802809
-1.14,-0.676415205001831,0,-0.6764152
2.38,2.826154947280884,0,2.826155
-5.88,-5.280069828033447,0,-5.28007
-2.81,-2.8254597187042236,0,-2.8254597
1.77,1.8512505292892456,0,1.8512505
-1.62,-1.0789157152175903,0,-1.0789157
-1.79,-1.7763903141021729,0,-1.7763903
-6.79,-6.166640758514404,0,-6.1666408
-1.1,-0.5554603934288025,0,-0.5554604
-0.9,-0.9420396089553833,0,-0.9420396
-3.41,-3.480973482131958,0,-3.4809735
-3.52,-3.791260004043579,0,-3.79126
-1.43,-0.841988742351532,0,-0.84198874
0.0,0.40109509229660034,0,0.4010951
1.47,1.4314504861831665,0,1.4314505
-2.38,-2.2438242435455322,0,-2.2438242
-7.19,-6.133847713470459,0,-6.1338477
2.1,2.6197509765625,0,2.619751
-4.02,-3.507638931274414,0,-3.507639
-3.5,-4.13055944442749,0,-4.1305594
-4.61,-4.751566410064697,0,-4.7515664
-2.07,-2.209286689758301,0,-2.2092867
-0.33,-0.4732425808906555,0,-0.47324258
-0.9,-0.6853947639465332,0,-0.68539476
-2.7,-3.0861499309539795,0,-3.08615
1.83,2.3109235763549805,0,2.3109236
0.1,-0.28269875049591064,0,-0.28269875
-3.9,-3.537402391433716,0,-3.5374024
-6.6,-6.293002605438232,0,-6.2930026
2.0,2.3056960105895996,0,2.305696
-7.0,-6.415552616119385,0,-6.4155526
-5.66,-6.326441287994385,0,-6.3264413
1.83,1.6225894689559937,0,1.6225895
-0.1,0.05379409343004227,0,0.053794093
-0.45,-0.2789618968963623,0,-0.2789619
3.16,2.6278324127197266,0,2.6278324
-0.63,-0.7230928540229797,0,-0.72309285
2.51,2.909160852432251,0,2.9091609
-4.5,-4.779189109802246,0,-4.779189
-3.15,-3.3334553241729736,0,-3.3334553
-2.56,-3.31357741355896,0,-3.3135774
-5.0,-4.64389181137085,0,-4.643892
2.55,2.3532450199127197,0,2.353245
-2.56,-2.75697922706604,0,-2.7569792
-6.25,-6.400393962860107,0,-6.400394
-5.22,-5.256958484649658,0,-5.2569585
-2.92,-3.2814719676971436,0,-3.281472
-6.0,-4.202182292938232,0,-4.2021823
-4.5,-4.8609490394592285,0,-4.860949
-4.1,-3.793158769607544,0,-3.7931588
-1.45,-1.8148691654205322,0,-1.8148692
-1.93,-1.6554995775222778,0,-1.6554996
-1.36,-1.0515267848968506,0,-1.0515268
-1.23,-1.0109703540802002,0,-1.0109704
0.25,0.3832843601703644,0,0.38328436
0.34,0.6422191858291626,0,0.6422192
2.88,2.983272075653076,0,2.983272
-4.52,-3.5726914405822754,0,-3.5726914
-2.26,-2.6088969707489014,0,-2.608897
-5.33,-3.971299409866333,0,-3.9712994
-0.78,-0.3318136930465698,0,-0.3318137
1.23,2.0542056560516357,0,2.0542057
-5.04,-4.526523590087891,0,-4.5265236
-2.22,-2.913545846939087,0,-2.9135458
0.75,1.074493169784546,0,1.0744932
-4.01,-4.744258880615234,0,-4.744259
-3.68,-3.462547540664673,0,-3.4625475
-0.4,-0.054252080619335175,0,-0.05425208
-2.4,-2.9302783012390137,0,-2.9302783
-4.78,-3.7324635982513428,0,-3.7324636
-4.68,-4.231022834777832,0,-4.231023
-1.24,-1.0665439367294312,0,-1.0665439
-4.39,-4.5382585525512695,0,-4.5382586
-1.88,-2.2320306301116943,0,-2.2320306
-6.13,-6.251100063323975,0,-6.2511
-6.13,-6.278138160705566,0,-6.278138
-6.09,-6.098452091217041,0,-6.098452
-3.65,-3.3999135494232178,0,-3.3999135
-4.69,-5.6013264656066895,0,-5.6013265
-3.78,-3.3848602771759033,0,-3.3848603
-1.4,-1.3849756717681885,0,-1.3849757
1.16,1.3029712438583374,0,1.3029712
-1.08,-0.9084180593490601,0,-0.90841806
-4.31,-3.4070329666137695,0,-3.407033
1.32,1.0732712745666504,0,1.0732713
-6.69,-6.858236312866211,0,-6.8582363
-0.85,-0.7831282019615173,0,-0.7831282
-7.65,-6.935831546783447,0,-6.9358315
-0.9,-1.6653951406478882,0,-1.6653951
2.93,2.9912641048431396,0,2.991264
-2.93,-3.6401758193969727,0,-3.6401758
-4.85,-5.19141149520874,0,-5.1914115
-5.91,-6.406266212463379,0,-6.406266
-3.64,-4.235509872436523,0,-4.23551
2.88,2.6736390590667725,0,2.673639
-0.86,-0.6669970154762268,0,-0.666997
-5.53,-6.243900775909424,0,-6.243901
-4.95,-4.2734694480896,0,-4.2734694
0.14,0.3437510132789612,0,0.343751
-0.8,-0.5354563593864441,0,-0.53545636
-7.47,-6.148513317108154,0,-6.1485133
-1.92,-1.7742009162902832,0,-1.7742009
-2.01,-1.9388569593429565,0,-1.938857
-3.17,-3.3153607845306396,0,-3.3153608
-2.64,-2.7282745838165283,0,-2.7282746
-4.04,-3.9724442958831787,0,-3.9724443
-5.26,-5.888197898864746,0,-5.888198
-0.11,-0.39357346296310425,0,-0.39357346
-3.12,-2.9778192043304443,0,-2.9778192
-1.74,-1.762965440750122,0,-1.7629654
-3.92,-4.4636406898498535,0,-4.4636407
-1.21,-0.8663414120674133,0,-0.8663414
-4.7,-4.311311721801758,0,-4.3113117
-5.94,-6.31111478805542,0,-6.311115
-4.4,-4.672574043273926,0,-4.672574
-2.11,-2.1804850101470947,0,-2.180485
-3.04,-3.2933244705200195,0,-3.2933245
-4.59,-4.32960319519043,0,-4.329603
-0.16,-0.1537461280822754,0,-0.15374613
-4.91,-4.500101566314697,0,-4.5001016
-3.28,-3.192927122116089,0,-3.1929271
-2.28,-2.487694025039673,0,-2.487694
-2.82,-2.2939908504486084,0,-2.2939909
-6.5,-5.592942714691162,0,-5.5929427
-0.1,0.17940467596054077,0,0.17940468
-1.24,-0.932695209980011,0,-0.9326952
-0.19,-0.10440634936094284,0,-0.10440635
-1.31,-1.181792140007019,0,-1.1817921
-2.89,-2.782374382019043,0,-2.7823744
-1.66,-2.4376323223114014,0,-2.4376323
-7.28,-6.186503887176514,0,-6.186504
-3.8,-3.792823314666748,0,-3.7928233
-4.7,-4.931739807128906,0,-4.93174
-3.92,-3.742471933364868,0,-3.742472
-4.02,-3.7199831008911133,0,-3.719983
-3.64,-3.7312963008880615,0,-3.7312963
-1.24,-1.2880911827087402,0,-1.2880912
-0.84,-0.7860352993011475,0,-0.7860353
-2.74,-2.380103349685669,0,-2.3801033
-5.9,-6.497457027435303,0,-6.497457
1.68,1.6051521301269531,0,1.6051521
2.93,2.838571786880493,0,2.8385718
-7.58,-6.510299205780029,0,-6.510299
-3.67,-3.6652867794036865,0,-3.6652868
2.56,2.8181536197662354,0,2.8181536
-4.12,-3.689142942428589,0,-3.689143
0.16,-0.2562144994735718,0,-0.2562145
-4.39,-4.3492350578308105,0,-4.349235
0.01,-0.2193126678466797,0,-0.21931267
-3.84,-4.30211877822876,0,-4.302119
-0.89,-0.8369535803794861,0,-0.8369536
3.13,2.642793893814087,0,2.642794
-6.79,-6.3767409324646,0,-6.376741
