expt,physics_ml,physics,ml
-4.72,-4.8054589099884035,-3.232,-1.5734589
-3.04,-3.361162240982056,-1.083,-2.2781622
-4.59,-4.594197860240936,-3.953,-0.64119786
-3.82,-3.7681449337005617,-5.442,1.6738551
-2.93,-3.0319851536750795,-3.652,0.62001485
-0.98,-0.9437395787239075,-0.11,-0.8337396
-0.74,-1.059958251953125,-0.609,-0.45095825
2.89,2.71112342607975,2.542,0.16912343
-1.59,-2.1271006031036377,-0.617,-1.5101006
-3.75,-3.259634527802467,-3.344,0.08436547
-0.25,-0.39609784317016605,0.833,-1.2290978
-2.82,-2.1956432580947878,-1.325,-0.87064326
-5.48,-4.892301888465881,-4.345,-0.5473019
2.51,2.0622836229801176,2.506,-0.44371638
-0.64,-0.6115097904205322,0.885,-1.4965098
-7.5,-6.967349124908447,-10.251,3.2836509
-1.99,-1.733015474319458,-0.384,-1.3490155
-4.84,-4.110315364837646,-2.869,-1.2413154
-5.22,-3.2643693294525145,-1.284,-1.9803693
-0.83,-0.9566625983715057,-0.697,-0.2596626
-0.68,-0.49980260780453684,-0.456,-0.043802608
-2.49,-2.757851100444794,-2.563,-0.1948511
-4.93,-4.08514494228363,-3.343,-0.74214494
-6.16,-5.662289498329162,-5.148,-0.5142895
-2.23,-2.715608815193176,-2.929,0.21339118
-0.53,-0.814523962020874,-0.178,-0.63652396
-5.1,-4.838801923751831,-3.491,-1.3478019
-4.47,-4.143261325836182,-3.288,-0.8552613
-7.17,-7.135672751426696,-6.116,-1.0196728
0.29,-0.3609073491096496,0.553,-0.91390735
-2.78,-2.9676436214447017,-4.028,1.0603564
3.43,3.422359146595001,3.077,0.34535915
-3.15,-4.29523458480835,-4.9,0.6047654
-6.21,-6.726787784576416,-7.878,1.1512122
-5.71,-8.143509419441223,-8.683,0.5394906
-1.14,-1.1861217718124388,-0.473,-0.7131218
-2.4,-2.931090126276016,-3.304,0.37290987
-2.33,-2.5498548984527587,-1.275,-1.2748549
-1.14,-1.6583967399597168,-0.395,-1.2633967
2.38,1.9537130260467528,2.59,-0.636287
-5.88,-8.106221740752458,-8.161,0.05477826
-2.81,-2.7410286968946456,-2.86,0.1189713
1.77,0.818046823501587,1.691,-0.8729532
-1.62,-1.6948796882629393,0.136,-1.8308797
-1.79,-1.7298341636657715,-0.363,-1.3668342
-6.79,-6.070420770645142,-5.28,-0.7904208
-1.1,-1.441939432144165,-0.182,-1.2599394
-0.9,-1.0177028113603592,-0.79,-0.22770281
-3.41,-3.7649629592895506,-3.05,-0.71496296
-3.52,-3.4872171494960784,-3.166,-0.32121715
-1.43,-1.5882939491271972,-0.091,-1.497294
0.0,0.060183130264282125,1.261,-1.2008169
