expt,physics_ml,physics,ml
-4.72,-5.088708031196594,-3.22227,-1.866438
-3.04,-4.104354799003601,-2.11372,-1.9906348
-4.59,-2.940627769317627,-0.447715,-2.4929128
-3.82,-4.128215814666748,-6.57758,2.4493642
-2.93,-2.872573766937256,-3.66474,0.79216623
-0.98,-1.8542537977027893,-1.45543,-0.3988238
-0.74,-0.9090890428161621,0.116715,-1.025804
2.89,2.6800485158157348,2.25602,0.42402852
-1.59,-1.346756525657654,-0.907798,-0.43895853
-3.75,-3.5010972214126586,-2.45829,-1.0428072
-0.25,-0.18306283389663697,-0.333791,0.15072817
-2.82,-2.512982233657837,-2.20814,-0.30484223
-5.48,-5.445161843338013,-2.99454,-2.4506218
2.51,2.6162890566062926,1.90732,0.70896906
-0.64,-0.8274619269943237,1.07819,-1.9056519
-7.5,-7.589052527618408,-11.5907,4.0016475
-1.99,-2.8039059982919694,-2.59119,-0.212716
-4.84,-4.630415136032105,-4.24443,-0.38598514
-5.22,-3.3690388322753906,-0.845567,-2.5234718
-0.83,-1.1268525682067871,-0.78156,-0.34529257
-0.68,-0.43983770616340634,-0.174978,-0.2648597
-2.49,-2.4746861209106443,-2.04742,-0.42726612
-4.93,-4.649674262795449,-4.83966,0.18998574
-6.16,-5.594927094039917,-5.22681,-0.3681171
-2.23,-2.434524906463623,-2.60682,0.1722951
-0.53,-1.5492362386245728,-0.328502,-1.2207342
-5.1,-5.25782542427063,-4.24733,-1.0104954
-4.47,-4.3756048518753055,-3.01116,-1.3644449
-7.17,-6.1890634222602845,-5.51506,-0.6740034
0.29,0.4408638601484298,0.587594,-0.14673014
-2.78,-2.458226327514648,-4.6221,2.1638737
3.43,3.8889921447265148,3.87818,0.010812145
-3.15,-4.127253764190674,-6.23754,2.1102862
-6.21,-6.272248632164002,-8.16397,1.8917214
-5.71,-6.13871739528656,-7.41548,1.2767626
-1.14,-1.7720019613075257,-1.37383,-0.39817196
-2.4,-2.1642419984245302,-3.03474,0.870498
-2.33,-2.188723824783325,-0.656971,-1.5317528
-1.14,-0.4233431176338196,-0.168841,-0.25450212
2.38,2.597242000713348,1.92139,0.675852
-5.88,-6.559424674549103,-7.25704,0.6976153
-2.81,-2.6015230972659587,-2.60627,0.0047469027
1.77,1.565831965522766,2.14558,-0.57974803
-1.62,-1.6418791680107117,-0.702526,-0.93935317
-1.79,-2.7681302666664123,-2.24375,-0.52438027
-6.79,-5.967941793451309,-5.55451,-0.4134318
-1.1,-0.28258722904205325,0.13347,-0.41605723
-0.9,-1.3228387842464446,-1.10628,-0.21655878
-3.41,-3.516268283252716,-2.60413,-0.9121383
-3.52,-3.225376498966217,-2.92428,-0.3010965
-1.43,-2.0862893139648437,-1.25393,-0.8323593
0.0,-0.0031510197410583585,0.494274,-0.49742502
1.47,1.261659202079773,1.58098,-0.3193208
-2.38,-2.479102195100784,-2.19608,-0.2830222
-7.19,-6.832521306610108,-11.0791,4.2465787
2.1,2.0718337613296507,1.77912,0.29271376
-4.02,-3.9930407403850556,-3.53689,-0.45615074
-3.5,-3.0933230312919617,-3.82261,0.72928697
-4.61,-3.8176418759155273,-3.38543,-0.43221188
-2.07,-2.121433429145813,-1.9494,-0.17203343
-0.33,-0.39684342086982727,-0.111232,-0.28561142
-0.9,-0.912553907119751,-0.454687,-0.4578669
-2.7,-2.343475420780182,-3.21382,0.8703446
1.83,1.462512921463251,1.41048,0.05203292
0.1,0.6429993511009217,-0.295295,0.93829435
-3.9,-3.191321452217102,-2.54708,-0.64424145
-6.6,-6.219398131999969,-6.11241,-0.10698813
