expt,physics_ml,physics,ml
-4.72,-4.751328186988831,-3.08,-1.6713282
-3.04,-3.0912338981628413,0.8990000000000005,-3.990234
-4.59,-3.81778694152832,0.2400000000000002,-4.057787
-3.82,-3.5898332519531255,-8.342,4.7521667
-2.93,-2.7543700122833252,-4.915,2.16063
-0.98,-1.1015082693099978,-0.5100000000000002,-0.59150827
-0.74,-1.6044472078084948,-1.7760000000000002,0.17155279
2.89,2.3979467597007753,3.059,-0.66105324
-1.59,-0.9346754231452943,-0.3540000000000001,-0.5806754
-3.75,-3.89831032705307,-3.437,-0.46131033
-0.25,-0.22566112887859366,-0.1470000000000002,-0.07866113
-2.82,-2.6847436132431026,-1.0439999999999996,-1.6407436
-5.48,-5.29119055557251,-2.5780000000000003,-2.7131906
2.51,2.363871978163719,2.514,-0.15012802
-0.64,-0.49068928337097173,2.819,-3.3096893
-7.5,-7.136009513854981,-12.912,5.7759905
-1.99,-2.5816314668655393,-2.022,-0.55963147
-4.84,-4.354039107322693,-3.836,-0.5180391
-5.22,-2.87447261428833,2.454,-5.3284726
-0.83,-0.9697913122177124,-0.395,-0.5747913
-0.68,-0.3038247013092042,0.3349999999999999,-0.6388247
-2.49,-2.4318478455543513,-3.0489999999999995,0.61715215
-4.93,-4.623998876929283,-4.612,-0.011998877
-6.16,-5.812359041213989,-4.644,-1.168359
-2.23,-2.181909673213959,-3.18,0.9980903
-0.53,-0.24922060585022,0.5789999999999997,-0.8282206
-5.1,-5.222191895484924,-4.789,-0.4331919
-4.47,-4.924100799560547,-2.9200000000000004,-2.0041008
-7.17,-7.227067506790162,-4.813000000000001,-2.4140675
0.29,0.23302970504760734,1.031,-0.7979703
-2.78,-2.751692150115967,-6.998,4.246308
3.43,3.504489345550537,0.92,2.5844893
-3.15,-4.783038715958595,-4.664,-0.119038716
-6.21,-5.612615550994873,-9.289,3.6763844
-5.71,-5.86345546913147,-9.407,3.5435445
-1.14,-1.218833374977112,-0.6750000000000003,-0.5438334
-2.4,-2.729880422592163,-3.919,1.1891196
-2.33,-2.730040884017944,-0.5999999999999996,-2.130041
-1.14,-1.8635050673484805,-1.6020000000000003,-0.26150507
2.38,1.8362894067764284,2.551,-0.7147106
-5.88,-7.482103305935859,-7.278,-0.2041033
-2.81,-2.5131869993209843,-4.246,1.732813
1.77,2.1851812148094174,1.89,0.2951812
-1.62,-0.6917149000167844,1.2070000000000003,-1.8987149
-1.79,-2.3781159133911136,-2.1220000000000003,-0.2561159
-6.79,-6.245673008918763,-5.371,-0.874673
-1.1,-1.7218423480987548,-1.162,-0.55984235
-0.9,-0.9259889447689056,-0.815,-0.110988945
-3.41,-3.004711021423341,-3.689000000000001,0.684289
-3.52,-3.2994685497283935,-4.359,1.0595315
-1.43,-1.3768733682632446,-0.0689999999999999,-1.3078734
0.0,0.23260693693161016,1.064,-0.83139306
1.47,1.3693880395889284,2.083,-0.71361196
-2.38,-2.4404425559043883,-2.106,-0.33444256
-7.19,-7.2668607711792,-13.05,5.783139
2.1,1.7662924032211302,2.348,-0.5817076
-4.02,-4.012288902282715,-2.998,-1.0142889
-3.5,-2.8878851432800303,-6.277000000000001,3.3891149
-4.61,-4.704726715564728,-4.9830000000000005,0.27827328
-2.07,-2.0153159456253054,-3.333,1.317684
-0.33,-0.23150316619873038,0.1360000000000001,-0.36750317
-0.9,-0.9817806568145753,0.0409999999999999,-1.0227807
-2.7,-2.8895613125562667,-3.021,0.13143869
1.83,1.8674326410889626,1.76,0.10743264
0.1,-0.4291331443786621,-4.766,4.336867
-3.9,-3.6827530393600467,-3.2510000000000003,-0.43175304
-6.6,-6.312436802268028,-6.148,-0.1644368
2.0,1.8090984343290328,2.053,-0.24390157
-7.0,-8.078214672088624,-12.178,4.0997853
-5.66,-5.127723298549652,-4.423,-0.7047233
1.83,1.424253701210022,1.824,-0.3997463
-0.1,0.0021357202529905805,0.7149999999999999,-0.7128643
-0.45,-0.16679329061508197,0.2959999999999998,-0.4627933
3.16,2.9131022901535033,4.122,-1.2088977
-0.63,-0.4002707153558731,-0.375,-0.025270715
2.51,1.797033736228943,2.797,-0.99996626
-4.5,-4.184101613044739,-2.8080000000000003,-1.3761016
-3.15,-3.0469014735221864,-2.547,-0.49990147
-2.56,-2.314295875549316,-6.337,4.022704
-5.0,-5.25293844127655,-3.754,-1.4989384
2.55,1.7998425226211547,3.698,-1.8981575
-2.56,-2.541715182304383,-4.239000000000001,1.6972848
