model_num,epochs,train,valid,test,conv_criterion
0,49,0.5130266809038975,0.7796104475977013,2.48077560851243,converged
1,48,0.4946505495780704,0.7128545635071362,2.411756820669623,converged
2,83,0.3196713829047732,0.6273532999610684,2.4425044462731234,converged
3,56,0.385150819954459,0.7668651355153709,2.5419814093647766,converged
4,67,0.37567721584458924,0.8835349536710122,2.944169844709583,converged
5,27,0.7013607980289465,0.8032762484383438,2.351214587677087,converged
6,36,0.6474256178712836,0.7541134251719098,2.374690395917277,converged
7,58,0.44307737710893,0.7206949525084693,2.553958842654738,converged
8,76,0.2923020161162181,0.7551307363547894,2.562262331015191,converged
9,47,0.4358156125320171,0.784973524634704,2.513396775681616,converged
10,37,0.5458232765117325,0.7458087786834101,2.330161938754848,converged
11,34,0.614889981741791,0.7801186529877372,2.854900634480529,converged
12,60,0.4333711338527762,0.7340381728480729,2.763144831418685,converged
13,64,0.32955211986716393,0.763744306064874,2.476465230886539,converged
14,46,0.4406628952582384,0.7826359289613786,2.5471487238611057,converged
15,56,0.5188432290560434,0.7282303763329327,2.346869025415819,converged
16,45,0.5542317496322003,0.7592185798770104,2.4021393818267693,converged
17,78,0.41683353195284367,0.6016457531318679,2.4337997362307044,converged
18,29,0.734782197304947,0.8635275968439953,2.489052761540469,converged
19,48,0.5075440717144537,0.7037361117095802,2.6310158587477885,converged
