expt,physics_ml,physics,ml
-4.72,-4.784931765079499,-4.198,-0.58693177
-3.04,-2.449395487785339,-1.348,-1.1013955
-4.59,-4.86489161491394,-2.215,-2.6498916
-3.82,-4.122179874420166,-10.084,5.96182
-2.93,-3.0831040992736822,-5.664000000000001,2.580896
-0.98,-1.291283306121826,-1.884,0.5927167
-0.74,-0.9157413215637207,-2.347,1.4312587
2.89,2.5354628381729123,1.531,1.0044628
-1.59,-1.4206147737503052,-1.157,-0.26361477
-3.75,-3.8698870100975036,-4.779,0.909113
-0.25,0.23843131923675542,-0.941,1.1794313
-2.82,-2.7178673281669616,-1.839,-0.8788673
-5.48,-5.258133029937744,-3.6,-1.658133
2.51,2.2752502698898316,1.177,1.0982503
-0.64,-0.34463699674606324,0.054,-0.398637
-7.5,-7.440821063995362,-13.788,6.347179
-1.99,-2.794202907562256,-3.258,0.4637971
-4.84,-4.076933349132538,-4.9510000000000005,0.87406665
-5.22,-2.759164628982544,0.565,-3.3241646
-0.83,-1.2210566000938419,-1.9830000000000003,0.7619434
-0.68,-0.3698363046646118,-1.373,1.0031637
-2.49,-2.6996372060775755,-4.558,1.8583628
-4.93,-4.172371737480164,-5.8420000000000005,1.6696283
-6.16,-5.871835113048553,-6.337999999999999,0.4661649
-2.23,-1.9725517864227289,-4.436999999999999,2.4644482
-0.53,-1.0558503580093384,-0.47,-0.58585036
-5.1,-4.8836125102043155,-5.384,0.5003875
-4.47,-4.73602978181839,-3.952,-0.7840298
-7.17,-7.376516748428345,-4.476,-2.9005167
0.29,0.1391486835479736,-0.53,0.6691487
-2.78,-3.132867393493652,-7.81,4.6771326
3.43,4.002805423736572,-1.05,5.0528054
-3.15,-4.799703043937684,-6.369000000000001,1.569297
-6.21,-5.960898014068604,-10.271,4.310102
-5.71,-7.784075059890746,-10.415,2.630925
-1.14,-1.338977985858917,-2.143,0.804022
-2.4,-3.0207578306198117,-4.938,1.9172422
-2.33,-2.2862276725769046,-1.618,-0.6682277
-1.14,-1.7759316420555118,-2.2350000000000003,0.45906836
2.38,2.1605884680747987,1.201,0.95958847
-5.88,-7.915823470115662,-9.311,1.3951765
-2.81,-2.7771731452941895,-5.633,2.8558269
1.77,1.8911089458465575,-1.971,3.862109
-1.62,-1.1404283685684202,-0.4169999999999998,-0.72342837
-1.79,-2.193006769657135,-2.904,0.71099323
-6.79,-6.896698301792145,-7.431,0.5343017
-1.1,-1.369903881072998,-1.932,0.5620961
-0.9,-0.9956834192276003,-2.462,1.4663166
-3.41,-3.5178075551986696,-4.95,1.4321924
-3.52,-3.451310196876526,-5.341,1.8896898
-1.43,-1.7876933469772338,-1.914,0.12630665
0.0,0.4499064440727234,-0.238,0.68790644
1.47,1.3691661591529847,0.562,0.80716616
-2.38,-2.6149822406768797,-3.643,1.0280178
-7.19,-7.276298915863038,-13.637,6.360701
2.1,1.8985375089645387,1.092,0.8065375
-4.02,-3.883913468360901,-3.149,-0.73491347
-3.5,-3.6753501529693606,-6.937,3.2616498
-4.61,-4.391032130241394,-5.757,1.3659679
-2.07,-2.286072629928589,-5.094,2.8079274
-0.33,-0.01021988201141344,-0.7229999999999999,0.7127801
-0.9,-0.8583112988471986,-1.491,0.6326887
-2.7,-3.1692831134796142,-4.96,1.7907169
1.83,1.7701983942985535,0.8140000000000001,0.9561984
0.1,-1.6133709983825675,-8.008,6.394629
-3.9,-3.170027653694153,-4.517,1.3469723
-6.6,-6.180547956466675,-7.579000000000001,1.398452
2.0,1.8463960185050965,0.939,0.907396
-7.0,-7.666243564605713,-13.862,6.1957564
-5.66,-5.349917110443116,-6.384,1.0340829
1.83,1.5244858150482177,0.388,1.1364858
-0.1,0.23200418949127216,-0.4749999999999998,0.7070042
-0.45,-0.4432811164855952,-1.5649999999999995,1.1217189
3.16,2.709990776062012,2.063,0.6469908
-0.63,-0.11609901857376115,-1.0570000000000002,0.940901
2.51,2.049804650783539,1.349,0.70080465
-4.5,-4.306137213349342,-4.069,-0.23713721
-3.15,-3.0139454259872434,-4.164,1.1500546
-2.56,-2.880568393707275,-7.209,4.3284316
-5.0,-5.550789337635041,-4.6930000000000005,-0.85778934
2.55,2.165160285115242,1.933,0.23216029
-2.56,-2.822785934448242,-5.284,2.461214
-6.25,-5.476286166667938,-6.356,0.87971383
-5.22,-4.1496557636260984,-5.292,1.1423442
-2.92,-3.018220046043396,-4.378,1.35978
-6.0,-6.913515712738038,-11.502,4.5884843
