expt,physics_ml,physics,ml
-4.72,-4.759447558059692,-5.18839,0.42894244
-3.04,-3.8240353759613037,-0.459959,-3.3640764
-4.59,-4.023725962408447,-0.0271034,-3.9966226
-3.82,-3.081079504241943,-7.40799,4.3269105
-2.93,-3.042752576293945,-4.61494,1.5721874
-0.98,-1.1868078679275513,-1.03292,-0.15388787
-0.74,-0.8335226971435548,-3.15843,2.3249073
2.89,2.7375003558540345,1.81014,0.92736036
-1.59,-1.3542913997840882,-1.07732,-0.2769714
-3.75,-3.597038672018051,-3.77505,0.17801133
-0.25,0.20685863201141352,-0.71708,0.92393863
-2.82,-2.598972610244751,-1.56176,-1.0372126
-5.48,-5.382935450897217,-4.36136,-1.0215755
2.51,2.564541655197144,1.40514,1.1594017
-0.64,-1.0069252462768554,1.28346,-2.2903852
-7.5,-6.427029158020019,-10.8339,4.406871
-1.99,-2.560910683059692,-2.4254,-0.13551068
-4.84,-4.234728048028946,-4.16219,-0.07253805
-5.22,-4.010728291381836,0.758061,-4.7687893
-0.83,-1.12429523188591,-1.12182,-0.002475232
-0.68,-0.22260844394683843,-0.52897,0.30636156
-2.49,-2.5626965906333923,-3.53497,0.9722734
-4.93,-4.3931228180122375,-4.70552,0.31239718
-6.16,-6.130227694759369,-7.09326,0.9630323
-2.23,-2.3033810892486573,-3.54854,1.2451589
-0.53,-1.025895643814087,-0.480758,-0.54513764
-5.1,-4.723916483535767,-6.24389,1.5199735
-4.47,-4.571755519456864,-4.35282,-0.21893552
-7.17,-7.514905648956299,-4.25126,-3.2636456
0.29,0.20188866075515746,0.17009,0.03179866
-2.78,-2.4357481784057615,-5.86792,3.4321718
3.43,3.5677838756103517,0.254252,3.3135319
-3.15,-3.9278216008186337,-4.9079,0.9800784
-6.21,-5.452179264068603,-11.8365,6.3843207
-5.71,-7.0091528202056885,-8.60135,1.5921972
-1.14,-1.4278480651474,-1.29576,-0.13208807
-2.4,-2.947946488342285,-4.12996,1.1820135
-2.33,-1.7931506572246552,-1.8648,0.07164934
-1.14,-1.0697464776611327,-2.15556,1.0858135
2.38,2.1047027192306516,1.44952,0.6551827
-5.88,-6.508934154777527,-6.77053,0.26159585
-2.81,-2.8063967568206785,-4.20468,1.3982832
1.77,1.4762393903465272,0.791322,0.6849174
-1.62,-2.659374224472046,0.120075,-2.7794492
-1.79,-2.0878378656196594,-2.33928,0.25144213
-6.79,-6.722749061565399,-7.52273,0.79998094
-1.1,-1.1705692535400392,-1.8681,0.69753075
-0.9,-1.1776340822219848,-1.43665,0.25901592
-3.41,-3.465216628265381,-3.8887,0.42348337
-3.52,-3.3987344791221616,-4.39293,0.9941955
-1.43,-1.4266160268878938,-0.99751,-0.42910603
0.0,0.34332467837142944,0.101348,0.24197668
1.47,1.431789641981125,1.07213,0.35965964
-2.38,-2.4866118544006346,-2.95259,0.46597815
-7.19,-6.626653610992431,-10.7518,4.1251464
2.1,1.7663208126068115,1.31365,0.4526708
-4.02,-4.090822478561401,-2.79528,-1.2955425
-3.5,-3.1848201376342775,-5.56639,2.3815699
-4.61,-4.31063314868927,-4.83052,0.51988685
-2.07,-2.2395929751586916,-3.57202,1.332427
-0.33,-0.268274718875885,-0.47762,0.20934528
-0.9,-1.0605304874534607,-0.799137,-0.2613935
-2.7,-2.8889437286186217,-3.34068,0.45173627
1.83,1.3183481724586485,0.946109,0.37223917
0.1,0.12832603378295904,-3.94705,4.075376
-3.9,-3.279100229549408,-3.7048,0.42569977
-6.6,-6.607706818008422,-8.02315,1.4154432
2.0,1.8310108325767518,1.12003,0.71098083
-7.0,-8.176878302764893,-14.5282,6.3513217
-5.66,-5.219158011398315,-6.91146,1.692302
1.83,1.5578336166000366,0.970985,0.5868486
-0.1,0.12189040627670289,-0.133123,0.2550134
-0.45,-0.13399695460319516,-0.52667,0.39267305
3.16,2.861248276042938,2.51855,0.34269828
-0.63,-0.2623820471000672,-0.812795,0.55041295
2.51,1.9587049978351594,1.62481,0.333895
-4.5,-4.554860336284637,-5.00348,0.44861966
-3.15,-3.0718637366390227,-3.19751,0.12564626
-2.56,-2.316876455841064,-5.48206,3.1651835
-5.0,-4.820089310359955,-5.6162,0.7961107
2.55,2.406314370088577,2.29093,0.11538437
