expt,physics_ml,physics,ml
-4.72,-4.752536899566651,-3.232,-1.5205369
-3.04,-3.3451915340423586,-1.083,-2.2621915
-4.59,-4.774764767169952,-3.953,-0.82176477
-3.82,-2.9251485748291017,-5.442,2.5168514
-2.93,-3.0472786922454835,-3.652,0.6047213
-0.98,-1.1057182407379151,-0.11,-0.99571824
-0.74,-1.3335617508888244,-0.609,-0.72456175
2.89,2.47524289470911,2.542,-0.066757105
-1.59,-1.9371695680618286,-0.617,-1.3201696
-3.75,-3.675459641456604,-3.344,-0.33145964
-0.25,-0.2053459329605103,0.833,-1.0383459
-2.82,-2.9884969711303713,-1.325,-1.663497
-5.48,-5.652021975517273,-4.345,-1.307022
2.51,2.5413716313838957,2.506,0.03537163
-0.64,-0.4437367820739746,0.885,-1.3287368
-7.5,-6.807273937225341,-10.251,3.443726
-1.99,-1.7665068473815917,-0.384,-1.3825068
-4.84,-3.800476891040802,-2.869,-0.9314769
-5.22,-3.2625408973693846,-1.284,-1.9785409
-0.83,-1.3665393919944764,-0.697,-0.6695394
-0.68,-0.7422670719623565,-0.456,-0.28626707
-2.49,-2.917671269655228,-2.563,-0.35467127
-4.93,-3.8760400466918945,-3.343,-0.53304005
-6.16,-6.205115316390991,-5.148,-1.0571153
-2.23,-2.1871827044486998,-2.929,0.7418173
-0.53,-1.0164275436401367,-0.178,-0.83842754
-5.1,-5.115809384346008,-3.491,-1.6248094
-4.47,-4.294692409515381,-3.288,-1.0066924
-7.17,-7.112580123901367,-6.116,-0.9965801
0.29,0.030353811264038133,0.553,-0.5226462
-2.78,-2.9453882007598873,-4.028,1.0826118
3.43,3.8802902479171753,3.077,0.80329025
-3.15,-3.7173825740814213,-4.9,1.1826174
-6.21,-5.830083349227905,-7.878,2.0479167
-5.71,-7.917548687934875,-8.683,0.7654513
-1.14,-1.5035101871490477,-0.473,-1.0305102
-2.4,-2.598361054897308,-3.304,0.70563895
-2.33,-2.356275463104248,-1.275,-1.0812755
-1.14,-1.7287154388427735,-0.395,-1.3337154
2.38,2.3104879224300383,2.59,-0.27951208
-5.88,-7.27626483297348,-8.161,0.88473517
-2.81,-2.729713008403778,-2.86,0.13028699
1.77,1.3503706607818604,1.691,-0.34062934
-1.62,-1.7580632343292235,0.136,-1.8940632
-1.79,-1.6268376951217651,-0.363,-1.2638377
-6.79,-6.269317059516907,-5.28,-0.98931706
-1.1,-1.4533053226470947,-0.182,-1.2713053
-0.9,-1.2906465911865235,-0.79,-0.5006466
-3.41,-3.428513008356094,-3.05,-0.378513
-3.52,-3.5242617342472076,-3.166,-0.35826173
-1.43,-1.459727445602417,-0.091,-1.3687274
0.0,0.18413599586486806,1.261,-1.076864
1.47,1.5854163751602175,2.486,-0.9005836
-2.38,-2.271322056531906,-1.853,-0.41832206
-7.19,-6.925917545318603,-10.466,3.5400825
2.1,1.919577241420746,2.588,-0.66842276
-4.02,-3.956998419761658,-2.075,-1.8819984
-3.5,-4.178203961372375,-3.372,-0.80620396
-4.61,-3.4282051794528963,-3.043,-0.38520518
-2.07,-2.2086152181625365,-2.336,0.12738478
-0.33,-0.2770269412994385,0.973,-1.250027
-0.9,-1.384203818321228,-0.553,-0.8312038
-2.7,-2.96780488717556,-3.143,0.17519511
1.83,1.5127731227874754,2.465,-0.9522269
0.1,-0.2956751403808593,-1.156,0.86032486
-3.9,-4.32087583231926,-4.003,-0.31787583
-6.6,-6.571833116531372,-5.707,-0.8648331
2.0,1.7492665600776673,2.495,-0.74573344
-7.0,-8.118570930480956,-10.857,2.738429
-5.66,-5.554068320274353,-4.768,-0.7860683
1.83,1.4078615684509277,2.452,-1.0441384
-0.1,-0.02838169670104973,1.084,-1.1123817
-0.45,-0.2951625224947929,-0.22,-0.07516252
3.16,2.803595325946808,3.335,-0.5314047
-0.63,-0.4783646821975708,0.775,-1.2533647
2.51,2.2749850993156433,2.613,-0.3380149
-4.5,-4.550634984970093,-3.13,-1.420635
-3.15,-3.3894722919464115,-4.198,0.8085277
-2.56,-2.725779191970825,-3.867,1.1412208
-5.0,-4.951035803794861,-3.394,-1.5570358
2.55,2.1276742396354673,2.381,-0.25332576
-2.56,-2.8092436952590942,-3.492,0.6827563
-6.25,-6.015761777877808,-5.272,-0.7437618
-5.22,-3.9794167528152466,-3.201,-0.77841675
-2.92,-2.978512976408005,-2.704,-0.27451298
-6.0,-5.301871458053589,-6.716,1.4141285
-4.5,-4.399752479553223,-3.156,-1.2437525
-4.1,-4.043711150169372,-3.238,-0.80571115
-1.45,-1.5336562910079956,-0.379,-1.1546563
-1.93,-2.273584858894348,-1.742,-0.53158486
-1.36,-2.0036670236587524,-0.553,-1.450667
-1.23,-1.3012161407470704,0.059,-1.3602161
0.25,-0.31349853706359854,1.108,-1.4214985
0.34,0.40741075086593637,1.223,-0.81558925
2.88,2.512222449541092,2.686,-0.17377755
-4.52,-5.176044979095459,-6.79,1.613955
-2.26,-1.2160581531524657,-2.219,1.0029418
-5.33,-4.185291402339935,-4.055,-0.1302914
-0.78,-0.7949216117858886,0.326,-1.1209216
1.23,1.0862996666431426,1.503,-0.41670033
-5.04,-5.495604771077633,-5.495,-0.0006047711
-2.22,-2.574929169654846,-2.254,-0.32092917
0.75,1.925823197364807,2.485,-0.5591768
-4.01,-3.822363416671753,-2.767,-1.0553634
-3.68,-3.593305472612381,-3.123,-0.47030547
-0.4,-0.2237933707237244,0.705,-0.9287934
-2.4,-2.376901448249817,-3.213,0.83609855
-4.78,-4.291854919433594,-4.014,-0.27785492
-4.68,-6.5017237510681145,-8.809,2.3072762
-1.24,-1.8606458215713502,-1.078,-0.7826458
-4.39,-4.276511974334717,-2.945,-1.331512
-1.88,-1.7209751746058464,-1.835,0.114024825
-6.13,-6.374115279197693,-5.453,-0.9211153
-6.13,-6.634311918258667,-5.579,-1.0553119
-6.09,-6.084582942962646,-8.844,2.759417
-3.65,-3.351505358695984,-2.233,-1.1185054
-4.69,-3.891335918188095,-3.508,-0.38333592
-3.78,-3.871926734685898,-4.304,0.43207327
-1.4,-0.7266573932170868,-0.359,-0.3676574
1.16,1.3638478298187255,2.327,-0.96315217
-1.08,-1.2154374980926514,0.285,-1.5004375
-4.31,-4.227079912662506,-3.809,-0.4180799
1.32,0.9855770378112791,2.328,-1.342423
-6.69,-5.590806108474731,-7.281,1.6901939
-0.85,-1.0721967146396638,-0.761,-0.3111967
-7.65,-7.581628276824951,-10.552,2.9703717
-0.9,-1.1218850073814393,-0.806,-0.315885
2.93,2.903332793414593,2.97,-0.06666721
-2.93,-3.721738501548767,-3.221,-0.5007385
-4.85,-4.884308414459229,-3.33,-1.5543084
-5.91,-6.05858224773407,-5.014,-1.0445822
-3.64,-3.8080378971099855,-2.446,-1.3620379
2.88,2.526208878040314,3.088,-0.5617911
-0.86,-1.4956218433380126,-0.795,-0.70062184
-5.53,-5.283218522369862,-5.325,0.041781478
-4.95,-5.338958354949951,-5.646,0.30704165
0.14,0.22580020427703862,1.175,-0.9491998
-0.8,-1.2733985261917113,-0.658,-0.6153985
-7.47,-7.335224369049072,-8.003,0.66777563
-1.92,-2.7071585788726806,-3.964,1.2568414
-2.01,-1.6254128761291504,-0.657,-0.9684129
-3.17,-3.0764169425964356,-0.822,-2.254417
-2.64,-2.6332820727825164,-2.364,-0.26928207
-4.04,-4.6161930408477785,-5.559,0.94280696
-5.26,-5.029169823646545,-4.127,-0.9021698
-0.11,-0.19793627762794494,0.226,-0.42393628
-3.12,-2.9881205406188966,-1.809,-1.1791205
-1.74,-1.6854364461898803,-1.057,-0.62843645
-3.92,-3.808306173324585,-2.779,-1.0293062
-1.21,-1.4336685972213745,-0.883,-0.5506686
-4.7,-4.335856351852417,-4.91,0.57414365
-5.94,-5.71514827823639,-4.746,-0.9691483
-4.4,-4.469576358795166,-3.0,-1.4695764
-2.11,-1.5080756554603578,-2.176,0.66792434
-3.04,-3.3007758927345274,-2.945,-0.3557759
-4.59,-4.254444766521454,-3.638,-0.61644477
-0.16,-0.1620731658935547,0.993,-1.1550732
-4.91,-4.4802716600894925,-4.18,-0.30027166
-3.28,-2.9104879331588744,-1.795,-1.1154879
-2.28,-1.9973081269264221,-2.754,0.7566919
-2.82,-2.600173175096512,-3.081,0.48082682
-6.5,-6.8283522045612335,-6.96,0.1316478
-0.1,-0.06460177993774419,0.824,-0.8886018
-1.24,-1.2732155690193177,-0.651,-0.62221557
-0.19,-0.7209342670440674,0.505,-1.2259343
-1.31,-1.5626720066070556,0.038,-1.600672
-2.89,-3.033234166145325,-2.374,-0.65923417
-1.66,-1.5138372994065286,-1.596,0.0821627
-7.28,-6.982076575279236,-7.777,0.7949234
-3.8,-4.00029002404213,-3.506,-0.49429002
-4.7,-4.207132370710372,-3.889,-0.31813237
-3.92,-3.974321719169617,-4.921,0.9466783
-4.02,-4.279918821334839,-5.058,0.7780812
-3.64,-3.5368471117019658,-4.597,1.0601529
-1.24,-2.3884304857254026,-0.51,-1.8784305
-0.84,-1.1972113018035888,0.187,-1.3842113
-2.74,-2.620377167403698,-2.629,0.008622833
-5.9,-6.0996272811889645,-5.076,-1.0236273
1.68,1.3499876804351807,2.532,-1.1820123
2.93,2.5991188349723817,2.894,-0.29488117
-7.58,-8.18391306900978,-7.874,-0.30991307
-3.67,-2.6454426846504213,-3.321,0.6755573
2.56,2.615304050385952,2.674,-0.05869595
-4.12,-3.787945441007614,-3.46,-0.32794544
0.16,-0.2554784498810768,-0.257,0.0015215501
-4.39,-4.677152667522431,-3.873,-0.80415267
0.01,-0.05791750431060794,0.47,-0.5279175
-3.84,-3.4995757970809938,-2.491,-1.0085758
-0.89,-1.5734918389320374,-0.641,-0.93249184
3.13,2.675371213912964,3.221,-0.5456288
-6.79,-6.407892837524414,-5.14,-1.2678928
-0.55,-0.6975323543548584,0.764,-1.4615324
-4.97,-5.736290174484253,-8.006,2.2697098
-1.17,-0.44944991493225106,1.156,-1.6054499
-2.78,-2.5199418750405314,-2.47,-0.049941875
-0.8,-0.7312983188629151,-0.041,-0.6902983
-1.39,-1.6384028854370118,-0.894,-0.7444029
-0.11,0.03754448866844176,0.206,-0.16845551
2.34,2.3804974384903907,2.468,-0.08750256
-4.59,-4.238801401138305,-3.443,-0.7958014
-4.23,-3.706802103996277,-2.248,-1.4588021
-7.63,-8.278610459089279,-7.997,-0.28161046
-4.1,-3.1323050537109376,-3.604,0.47169495
-4.84,-4.306954696655273,-3.103,-1.2039547
-6.4,-5.692047657966613,-3.94,-1.7520477
-2.55,-1.4613653948307037,-0.974,-0.4873654
-3.54,-4.712971134185791,-3.42,-1.2929711
-2.29,-2.4416740310192107,-2.57,0.12832597
-1.27,-1.4014253759384157,-0.265,-1.1364254
1.58,1.5809961608052254,1.685,-0.10400384
0.27,-0.3014572710990906,0.228,-0.5294573
1.66,1.5924156532287599,2.761,-1.1685843
-6.01,-6.104467611312867,-4.98,-1.1244676
-6.16,-7.006489542007447,-9.053,2.0465105
-4.87,-4.119854349136353,-6.219,2.0991457
-6.96,-7.749283962726593,-7.393,-0.35628396
-5.49,-5.590631591558457,-5.543,-0.04763159
-4.59,-3.3852789962291716,-2.965,-0.420279
-3.52,-3.129028007507324,-2.147,-0.982028
-2.13,-2.259432996749878,-3.414,1.154567
-5.23,-5.42337735581398,-5.203,-0.22037736
-6.78,-6.323056974411011,-7.665,1.341943
-1.46,-0.7172744522094727,0.299,-1.0162745
-4.09,-3.8376281950473787,-3.591,-0.2466282
-6.02,-6.574091806411743,-5.765,-0.8090918
-1.28,-0.16134981870651244,0.64,-0.8013498
-4.58,-5.868473355293274,-5.667,-0.20147336
-6.12,-6.50639936542511,-6.771,0.26460063
-4.21,-4.355102722167969,-2.917,-1.4381027
-1.46,-1.7573161680698395,-1.752,-0.005316168
-2.63,-2.7745463054180144,-2.848,0.073453695
0.56,0.6673416662216187,1.955,-1.2876583
2.3,2.327209565639496,2.535,-0.20779043
-5.45,-6.0171298828125,-5.809,-0.20812988
-1.2,-1.6146264057159425,-0.273,-1.3416264
-2.4,-2.2174231157302855,-2.961,0.7435769
-5.73,-6.1829436663985256,-6.227,0.044056334
-7.43,-7.170895644068718,-7.349,0.17810436
-2.32,-1.7003428497314452,-0.404,-1.2963428
1.58,1.4555177478790284,2.628,-1.1724823
-6.62,-5.988511963367462,-5.133,-0.85551196
-3.45,-4.043090314626694,-4.426,0.3829097
-3.11,-3.1594799261689186,-3.234,0.074520074
-1.12,-1.1901507949829102,-0.685,-0.5051508
-3.1,-3.143586138725281,-4.054,0.91041386
-2.83,-2.8605060119628907,-3.552,0.691494
-6.48,-7.166265705108643,-10.753,3.5867343
-0.3,-0.7096483608484269,-0.674,-0.03564836
2.3,2.03483762550354,2.673,-0.6381624
-5.91,-6.297239141941071,-5.543,-0.75423914
-2.21,-2.052889196395874,-3.067,1.0141108
-2.78,-2.7282366364002226,-2.953,0.22476336
-3.81,-4.879501485824585,-2.775,-2.1045015
-5.57,-5.944870960950851,-5.494,-0.45087096
-2.55,-2.2055652866363524,-1.501,-0.7045653
-5.21,-5.796386815309525,-5.57,-0.22638682
-2.53,-2.747414587020874,-3.523,0.7755854
-2.86,-2.7831021897792816,-2.968,0.18489781
-2.47,-2.7274436604976655,-2.995,0.26755634
1.01,1.303054940223694,2.487,-1.1839451
-4.29,-4.1129161748886105,-2.991,-1.1219162
-3.58,-3.2991825478076935,-3.133,-0.16618255
-5.73,-5.4551884115338325,-5.436,-0.019188412
-4.57,-4.5448616542816165,-3.054,-1.4908617
-5.1,-4.841240631103515,-8.411,3.5697594
-6.619999999999999,-6.451820503234863,-4.686,-1.7658205
1.59,1.6220527327060699,1.785,-0.16294727
-6.25,-5.5928562641143795,-3.85,-1.7428563
-0.04,-0.27517268657684324,-0.1,-0.17517269
-2.44,-1.784971526145935,-2.453,0.6680285
-1.64,-2.038978485107422,-0.979,-1.0599785
-5.8,-5.603097507476806,-4.547,-1.0560975
2.51,2.3811350491642953,2.495,-0.11386495
-7.37,-7.785592023134232,-7.66,-0.12559202
0.1,-0.5494387836456298,1.328,-1.8774388
-4.42,-4.644759785652161,-3.237,-1.4077598
-4.77,-3.9820144019126893,-3.221,-0.7610144
-3.09,-3.118790983200073,-1.449,-1.669791
-3.43,-3.1777064201831817,-2.706,-0.47170642
1.28,0.9133918790817259,2.328,-1.4146081
