expt,physics_ml,physics,ml
-4.72,-4.8052261948776245,-3.22227,-1.5829562
-3.04,-2.849250138015747,-2.11372,-0.73553014
-4.59,-4.199250177230835,-0.447715,-3.7515352
-3.82,-3.7814519654083254,-6.57758,2.796128
-2.93,-3.0464765765571595,-3.66474,0.6182634
-0.98,-1.30728407102108,-1.45543,0.14814593
-0.74,-0.6897834083175659,0.116715,-0.8064984
2.89,2.9119195246887206,2.25602,0.6558995
-1.59,-1.6299098211746217,-0.907798,-0.7221118
-3.75,-3.5742274713897704,-2.45829,-1.1159375
-0.25,0.08396028245353698,-0.333791,0.41775128
-2.82,-2.7069974981689455,-2.20814,-0.4988575
-5.48,-5.302607798614503,-2.99454,-2.3080678
2.51,2.598687983818054,1.90732,0.691368
-0.64,-0.6136377740478516,1.07819,-1.6918278
-7.5,-7.506623595428467,-11.5907,4.0840764
-1.99,-2.5151394651556016,-2.59119,0.076050535
-4.84,-4.4132209662723545,-4.24443,-0.16879097
-5.22,-5.0196945787353515,-0.845567,-4.1741276
-0.83,-0.813201822308302,-0.78156,-0.031641822
-0.68,-0.1619263234360814,-0.174978,0.013051677
-2.49,-2.496568118495941,-2.04742,-0.44914812
-4.93,-4.848017149548829,-4.83966,-0.00835715
-6.16,-5.91971566444397,-5.22681,-0.69290566
-2.23,-2.043853176422119,-2.60682,0.5629668
-0.53,-0.9426388746757508,-0.328502,-0.6141369
-5.1,-5.18924974401474,-4.24733,-0.94191974
-4.47,-4.309583051834107,-3.01116,-1.298423
-7.17,-7.9022305532073975,-5.51506,-2.3871706
0.29,0.3694920067968368,0.587594,-0.218102
-2.78,-2.8443924232482907,-4.6221,1.7777076
3.43,3.615359607152939,3.87818,-0.2628204
-3.15,-3.4125997953796388,-6.23754,2.8249402
-6.21,-5.937983280868531,-8.16397,2.2259867
-5.71,-6.086457473258972,-7.41548,1.3290225
-1.14,-1.3752889624479414,-1.37383,-0.0014589624
-2.4,-2.5223973085784914,-3.03474,0.5123427
-2.33,-2.2327893002471924,-0.656971,-1.5758183
-1.14,-1.3868104175720215,-0.168841,-1.2179694
2.38,2.2712164551162717,1.92139,0.34982646
-5.88,-6.878782904186249,-7.25704,0.3782571
-2.81,-2.899298563261032,-2.60627,-0.29302856
1.77,1.6938849750328062,2.14558,-0.45169502
-1.62,-1.1214781968364715,-0.702526,-0.4189522
-1.79,-2.190086694061756,-2.24375,0.053663306
-6.79,-6.557863834152221,-5.55451,-1.0033538
-1.1,-1.1682260620880127,0.13347,-1.3016961
-0.9,-0.9632110158491134,-1.10628,0.14306898
-3.41,-3.311514705543518,-2.60413,-0.7073847
-3.52,-3.3476998927879333,-2.92428,-0.4234199
-1.43,-1.1329757919239998,-1.25393,0.12095421
0.0,0.4907171067928672,0.494274,-0.0035568932
1.47,1.5889764613541961,1.58098,0.007996461
-2.38,-2.259433918492794,-2.19608,-0.06335392
-7.19,-7.213210450744629,-11.0791,3.8658895
2.1,2.096454622144699,1.77912,0.31733462
-4.02,-3.8890099226379395,-3.53689,-0.35211992
-3.5,-3.772794836983681,-3.82261,0.049815163
-4.61,-4.5763397433090205,-3.38543,-1.1909097
-2.07,-2.2340989035606382,-1.9494,-0.2846989
-0.33,0.07174232363033295,-0.111232,0.18297432
-0.9,-0.6509927070970536,-0.454687,-0.1963057
-2.7,-2.606852431602478,-3.21382,0.60696757
1.83,1.7604366316604614,1.41048,0.34995663
0.1,0.08804887540817263,-0.295295,0.38334388
-3.9,-3.6174459057617185,-2.54708,-1.0703659
-6.6,-6.504939726028442,-6.11241,-0.39252973
2.0,1.9350991578197478,1.58001,0.35508916
-7.0,-7.843994571685791,-10.9895,3.1455054
-5.66,-5.612603730335236,-5.03739,-0.57521373
1.83,1.6310852533102036,1.48245,0.14863525
-0.1,0.27724470487856867,0.237144,0.040100705
-0.45,-0.11705115657305717,-0.175011,0.057959843
3.16,3.007866769287288,3.02248,-0.014613231
-0.63,-0.26772572729206084,-0.452146,0.18442027
2.51,2.381600189819336,2.09389,0.2877102
-4.5,-4.458465778579711,-3.06674,-1.3917258
-3.15,-3.2243926987338067,-3.33028,0.1058873
-2.56,-2.5877870916748043,-4.23319,1.6454029
-5.0,-4.932292126045227,-3.71136,-1.2209321
2.55,2.4194168346595766,2.63282,-0.21340317
-2.56,-2.6897233786010744,-3.25219,0.5624666
-6.25,-6.001464317245484,-5.03392,-0.9675443
-5.22,-4.7150881062650685,-4.53999,-0.1750981
-2.92,-3.0404077619171144,-2.03486,-1.0055478
-6.0,-5.858510374603272,-8.46006,2.6015496
-4.5,-4.244118175888062,-1.1554,-3.0887182
-4.1,-4.032947275466919,-5.42207,1.3891227
-1.45,-1.3775990845947266,-0.198253,-1.1793461
-1.93,-2.431884241337776,-2.59937,0.16748576
-1.36,-1.7465899694931508,-1.79157,0.04498003
-1.23,-1.1511825596046448,-0.64337,-0.50781256
0.25,0.1578961243247986,-0.30804,0.46593612
0.34,0.5209273897361755,1.16712,-0.6461926
2.88,2.835567312030792,2.27878,0.5567873
-4.52,-4.957110355911255,-5.89031,0.93319964
-2.26,-2.0087267642593383,-2.43606,0.42733324
-5.33,-4.618663146820069,-5.53734,0.91867685
-0.78,-0.7759371738562584,-0.872876,0.096938826
1.23,1.3570646964836122,1.72768,-0.3706153
-5.04,-4.883333294563293,-6.36168,1.4783467
-2.22,-2.0269221714782715,-3.02813,1.0012078
0.75,0.8993673746871949,1.24953,-0.35016263
-4.01,-4.305489132685661,-4.48067,0.17518087
-3.68,-3.6482450492239,-3.42936,-0.21888505
-0.4,-0.2666780530014038,0.501321,-0.76799905
-2.4,-2.5191681051445007,-3.16852,0.6493519
-4.78,-4.29533877984047,-4.12816,-0.16717878
-4.68,-5.583397093200684,-8.8229,3.239503
-1.24,-1.2579348952293397,-1.55695,0.2990151
-4.39,-4.492727536773682,-2.54335,-1.9493775
-1.88,-1.7418244373703002,-2.38699,0.64516556
-6.13,-5.994127603397369,-5.37761,-0.6165176
-6.13,-6.326778295841217,-5.73784,-0.5889383
-6.09,-6.003568064651489,-8.48621,2.482642
-3.65,-3.6468112942504884,-1.38743,-2.2593813
-4.69,-4.732020879478455,-5.19547,0.46344912
-3.78,-3.5086527249336243,-3.33095,-0.17770272
-1.4,-1.0412824712877273,-0.814638,-0.22664447
1.16,1.577280788002014,1.11506,0.4622208
-1.08,-0.9401234954018592,-0.824977,-0.115146495
-4.31,-4.152550422296524,-4.62461,0.47205958
1.32,1.2794208470783235,0.979696,0.29972485
-6.69,-7.1032966452026365,-9.75254,2.6492434
-0.85,-0.6228801021409631,-0.611056,-0.011824102
-7.65,-7.695079261016845,-10.5162,2.8211207
-0.9,-1.0229473002624512,-1.42557,0.4026227
2.93,3.1692691634559633,2.67309,0.49617916
-2.93,-2.9933350098896025,-3.25283,0.259495
-4.85,-4.989330006790161,-3.44245,-1.54688
-5.91,-5.651622520446777,-5.0985,-0.5531225
-3.64,-3.536303536376953,-1.99121,-1.5450935
2.88,2.6821761011576655,2.60951,0.0726661
-0.86,-0.7318486910982132,-0.601092,-0.13075669
-5.53,-5.399147392463684,-5.0237,-0.3754474
-4.95,-4.865585474395752,-7.45565,2.5900645
0.14,0.6282046600818634,0.9559,-0.32769534
-0.8,-0.781695004489243,-0.783307,0.0016119955
-7.47,-6.958692061104775,-7.11554,0.15684794
-1.92,-2.608998287239075,-3.26379,0.6547917
-2.01,-1.638441700515747,-1.13631,-0.5021317
-3.17,-2.569389229183197,-1.68438,-0.8850092
-2.64,-2.636196375846863,-1.58225,-1.0539464
-4.04,-4.5897175956726075,-6.64135,2.0516324
-5.26,-5.192709026031494,-5.20993,0.017220974
-0.11,0.006102934196472176,0.315228,-0.30912507
-3.12,-2.5850741194152835,-1.45809,-1.1269841
-1.74,-1.3864912646369933,-0.463833,-0.92265826
-3.92,-3.8936570181655883,-2.14173,-1.751927
-1.21,-0.8944020359325409,-0.721355,-0.17304704
-4.7,-4.91720603413105,-5.08732,0.17011397
-5.94,-5.4808314941978455,-6.28411,0.8032785
-4.4,-4.412663379821778,-2.81291,-1.5997534
-2.11,-2.082700161869526,-2.15562,0.07291984
-3.04,-2.9503998309135437,-2.4956,-0.45479983
-4.59,-4.173296097259522,-6.06873,1.8954339
-0.16,0.2310110420217514,0.078599,0.15241204
-4.91,-4.537147979354859,-3.19085,-1.346298
-3.28,-3.3195166773605345,-3.10348,-0.21603668
-2.28,-2.025624547615051,-2.54764,0.52201545
-2.82,-2.3995252721595763,-2.56703,0.16750473
-6.5,-6.860967471866608,-7.70803,0.8470625
-0.1,0.01849380080795293,0.740226,-0.7217322
-1.24,-0.8973384414124488,-1.00473,0.10739156
-0.19,-0.2122319679203033,-0.574444,0.36221203
-1.31,-1.5225536359405518,-1.38311,-0.13944364
-2.89,-2.7196555734825134,-2.31487,-0.40478557
-1.66,-1.6272527145767213,-2.12569,0.4984373
-7.28,-7.348048766131401,-7.15087,-0.19717877
-3.8,-3.7089958685302733,-3.77384,0.06484413
-4.7,-4.615808420982361,-3.22784,-1.3879684
-3.92,-3.9141673206329344,-5.5199,1.6057327
-4.02,-4.181702582206726,-5.31384,1.1321374
-3.64,-3.5968553577423092,-5.05235,1.4554946
-1.24,-1.5950117829999328,-1.59966,0.004648217
-0.84,-0.9190791700696945,-1.14971,0.23063083
-2.74,-2.741794164505005,-2.11109,-0.63070416
-5.9,-5.95094868478775,-5.4481,-0.5028487
1.68,1.590607912454605,1.46041,0.13019791
2.93,2.6694009410095214,2.34462,0.32478094
-7.58,-8.049922329788208,-5.11088,-2.9390423
-3.67,-3.3348843647766113,-5.00793,1.6730456
2.56,2.7630931354141235,2.41431,0.34878314
-4.12,-2.413962421417236,-4.6225,2.2085376
0.16,-0.08550293133926393,-0.216707,0.13120407
-4.39,-4.779806241283417,-5.64226,0.86245376
0.01,0.17997551038074494,0.375423,-0.19544749
-3.84,-3.895845792751312,-4.40698,0.5111342
-0.89,-0.8476393112068177,-0.142538,-0.7051013
3.13,2.841233561823368,2.81726,0.023973562
-6.79,-6.657096460266113,-5.57017,-1.0869265
-0.55,-0.3098181876144409,-0.567071,0.2572528
-4.97,-5.118529007720947,-7.81905,2.700521
-1.17,-1.3902870159053802,-1.58374,0.19345298
-2.78,-2.6173994052171707,-2.6631,0.045700595
-0.8,-0.5877976036205291,-0.724339,0.1365414
-1.39,-1.4243609441566467,-1.08663,-0.33773094
-0.11,-0.11139463400650029,0.736852,-0.84824663
2.34,2.4279852025222777,2.04397,0.3840152
-4.59,-4.565515704417229,-4.7434,0.1778843
-4.23,-5.28305174785614,-4.98006,-0.30299175
-7.63,-7.932368934288025,-9.17464,1.2422711
-4.1,-3.850921996998787,-3.8208,-0.030121997
-4.84,-4.94717700756073,-4.38188,-0.565297
-6.4,-6.808012078351974,-7.24782,0.43980792
-2.55,-2.143805945839882,-1.93859,-0.20521595
-3.54,-4.496377379255295,-4.08958,-0.40679738
-2.29,-2.451558213787079,-2.16333,-0.2882282
-1.27,-1.6876041431999207,-1.91256,0.22495586
1.58,2.166204663205147,2.0703,0.09590466
0.27,0.5272318082809448,1.3506,-0.8233682
1.66,1.9480171420168877,1.88402,0.06399714
-6.01,-5.599811022109986,-5.07957,-0.520241
-6.16,-6.437688880081177,-8.96362,2.5259311
-4.87,-4.968563016357422,-9.34169,4.373127
-6.96,-6.926780083236695,-8.77556,1.8487799
-5.49,-5.456356610302925,-5.40238,-0.05397661
-4.59,-4.497541026160717,-4.41861,-0.078931026
-3.52,-3.682515047326088,-3.90089,0.21837495
-2.13,-2.3283800398635863,-3.46643,1.13805
-5.23,-5.042104954109192,-6.01361,0.97150505
-6.78,-6.510062022781373,-9.0256,2.515538
-1.46,-1.6379929754638671,0.39826,-2.036253
-4.09,-3.711671850452423,-3.14276,-0.56891185
-6.02,-6.2775638254547115,-8.31284,2.0352762
-1.28,-1.0587069403076173,1.02436,-2.083067
-4.58,-6.039188330078124,-10.1749,4.1357117
-6.12,-6.350950394020081,-6.82336,0.4724096
-4.21,-4.185130757827759,-2.59802,-1.5871108
-1.46,-1.2120693966913223,-1.12808,-0.0839894
-2.63,-2.2741107060098646,-2.39904,0.124929294
0.56,0.7208288962087631,0.523721,0.1971079
2.3,2.2476911870765686,1.75318,0.4945112
-5.45,-5.396648382339477,-7.14591,1.7492616
-1.2,-1.0863764727859497,-0.364978,-0.7213985
-2.4,-2.1626628804779053,-2.47181,0.30914712
-5.73,-5.50441791343689,-7.8555,2.351082
-7.43,-7.158285425949097,-5.62005,-1.5382354
-2.32,-1.83001735455513,-1.73982,-0.090197355
1.58,1.7613694826650619,1.66878,0.09258948
-6.62,-6.829853809375763,-6.42277,-0.4070838
-3.45,-3.5239689710903166,-3.48933,-0.03463897
-3.11,-2.960694809679985,-2.79663,-0.16406481
-1.12,-1.1657535957169534,-1.10932,-0.056433596
-3.1,-3.360542226409912,-5.5931,2.2325578
-2.83,-2.762359230690002,-3.39293,0.63057077
-6.48,-6.505949902343749,-10.7023,4.19635
-0.3,-0.404693709218502,-0.523025,0.11833129
2.3,2.2922247194099423,1.98138,0.31084472
-5.91,-5.486234989738464,-4.97685,-0.509385
-2.21,-2.363246427383423,-3.06409,0.7008436
-2.78,-2.4518055088424684,-2.53649,0.08468449
-3.81,-3.327522106785774,-3.16477,-0.1627521
-5.57,-5.308351718497276,-5.08095,-0.22740172
-2.55,-2.545350545806885,-1.75492,-0.79043055
-5.21,-5.3850114785766605,-5.00541,-0.37960148
-2.53,-2.573567790412903,-1.84565,-0.7279178
-2.86,-2.877197515695095,-2.85653,-0.020667516
-2.47,-2.4081800977087022,-2.49026,0.0820799
1.01,1.2511603107008338,1.24393,0.0072303107
-4.29,-4.166092886123657,-3.15466,-1.0114329
-3.58,-3.4117030286979677,-4.33727,0.925567
-5.73,-6.118295933532714,-8.18555,2.067254
-4.57,-4.639531693267822,-3.01855,-1.6209817
-5.1,-3.8399832008361816,-7.4398,3.5998168
-6.619999999999999,-7.250952917804718,-7.53624,0.28528708
1.59,1.7778942693325877,1.78368,-0.0057857307
-6.25,-6.7403542666244505,-7.03698,0.29662573
-0.04,0.15892412316912413,0.145959,0.012965123
-2.44,-2.0908719011116026,-2.57108,0.4802081
-1.64,-2.3056829154815675,-0.752234,-1.5534489
-5.8,-6.01230065113306,-5.89725,-0.11505065
2.51,2.5560028251457214,2.04738,0.5086228
-7.37,-7.591278592185974,-8.65508,1.0638014
0.1,0.3757209514808655,1.03342,-0.65769905
-4.42,-4.706441631622314,-3.09007,-1.6163716
-4.77,-4.730805535844863,-4.72064,-0.010165536
-3.09,-2.668409361310005,-2.46107,-0.20733936
-3.43,-3.1993491497373583,-2.97766,-0.22168915
1.28,1.0548964082040788,0.821829,0.23306741
-4.27,-4.637485610790253,-5.00532,0.3678344
-2.37,-2.176706640916169,-2.18176,0.005053359
-7.1,-7.001432906341552,-8.3462,1.3447671
0.0,0.2502845121307373,-0.0453705,0.295655
0.08,0.27797682699203485,1.14509,-0.8671132
-5.56,-5.979076314587593,-5.73852,-0.24055631
-4.16,-4.058005588657856,-4.17257,0.11456441
-5.11,-5.162294423370361,-2.89253,-2.2697644
-4.4,-5.6934792423248295,-7.34625,1.6527708
-6.68,-6.7837453249359125,-8.93484,2.1510947
1.07,0.18231143959045415,-1.91092,2.0932314
0.08,0.43578601956558227,0.944102,-0.508316
-2.46,-2.444889208817482,-2.6889,0.24401079
-3.88,-4.220901980895996,-1.96277,-2.258132
-3.95,-3.824756877841949,-4.55744,0.7326831
2.13,2.041993968682289,2.20358,-0.16158603
-0.53,-0.3796271925377846,-0.48298,0.10335281
-1.69,-1.8101545566272734,-2.21412,0.40396544
-5.48,-5.806096067810058,-3.4979,-2.308196
-4.22,-3.9861965687799454,-3.93168,-0.05451657
0.67,0.7091386994171143,1.21238,-0.5032413
-2.49,-2.0820346348571777,-2.75453,0.67249537
-3.43,-3.3404443336105345,-3.24306,-0.09738433
-2.49,-2.1648864080871584,-0.0667414,-2.098145
-4.4,-3.4844112368011473,-2.03529,-1.4491212
-6.44,-6.498381467552185,-7.64047,1.1420885
-4.55,-4.497605412597656,-2.02662,-2.4709854
-3.44,-3.4001965237617493,-3.01885,-0.38134652
-5.06,-5.158462417144776,-4.27852,-0.8799424
-6.5,-6.2681029380035405,-5.20607,-1.0620329
3.12,2.7238274113464356,2.64568,0.07814741
-7.62,-7.772710006904601,-8.7282,0.95549
2.48,2.3837933528280257,2.18986,0.19393335
-1.29,-1.568472944946289,-3.30647,1.737997
-2.02,-2.2705267441940307,-3.71982,1.4492933
2.97,2.753252375330925,2.51909,0.23416238
-2.1,-1.9995575408554078,-1.29096,-0.70859754
-6.55,-6.528036901092529,-3.13285,-3.395187
-4.0,-4.308742334728241,-5.01888,0.71013767
-2.94,-2.7629238659667967,-3.94968,1.1867561
-2.64,-2.1905621631240844,-3.45626,1.2656978
-5.46,-5.496996650924682,-3.13974,-2.3572567
-1.91,-1.9730711440134048,-1.73128,-0.24179114
