expt,physics_ml,physics,ml
-4.72,-4.7945923376083375,-3.08,-1.7145923
-3.04,-2.9629027137756343,0.8990000000000005,-3.8619027
-4.59,-4.161312828063965,0.2400000000000002,-4.401313
-3.82,-3.6237974090576177,-8.342,4.7182026
-2.93,-3.1406791591644287,-4.915,1.7743208
-0.98,-1.1597976779937746,-0.5100000000000002,-0.6497977
-0.74,-1.3021768996715548,-1.7760000000000002,0.4738231
2.89,2.596540465593338,3.059,-0.46245953
-1.59,-1.495884446144104,-0.3540000000000001,-1.1418844
-3.75,-4.066119157791137,-3.437,-0.62911916
-0.25,-0.28209789109230066,-0.1470000000000002,-0.13509789
-2.82,-2.6166934671401973,-1.0439999999999996,-1.5726935
-5.48,-5.068582466125489,-2.5780000000000003,-2.4905825
2.51,2.666940958738327,2.514,0.15294096
-0.64,-0.18209934806823735,2.819,-3.0010993
-7.5,-7.488148509979249,-12.912,5.4238515
-1.99,-2.3548655660152433,-2.022,-0.33286557
-4.84,-4.3126689836978915,-3.836,-0.47666898
-5.22,-4.003199096679687,2.454,-6.457199
-0.83,-0.8823205125331879,-0.395,-0.4873205
-0.68,-0.11092031836509714,0.3349999999999999,-0.44592032
-2.49,-2.6003052642345423,-3.0489999999999995,0.44869474
-4.93,-4.725932743668556,-4.612,-0.11393274
-6.16,-5.837019270896912,-4.644,-1.1930193
-2.23,-2.2330846118927004,-3.18,0.9469154
-0.53,-0.757967468261719,0.5789999999999997,-1.3369675
-5.1,-5.083297069311142,-4.789,-0.29429707
-4.47,-4.157948894500732,-2.9200000000000004,-1.2379489
-7.17,-6.822881019592286,-4.813000000000001,-2.009881
0.29,0.3242977676391601,1.031,-0.70670223
-2.78,-3.0737331848144533,-6.998,3.9242668
3.43,3.114188356399536,0.92,2.1941884
-3.15,-3.895382846832275,-4.664,0.76861715
-6.21,-6.324192728042602,-9.289,2.9648073
-5.71,-6.0041081256866455,-9.407,3.4028919
-1.14,-1.2353271722793582,-0.6750000000000003,-0.5603272
-2.4,-2.4744279088974,-3.919,1.4445721
-2.33,-2.0963636398315426,-0.5999999999999996,-1.4963636
-1.14,-1.3950159568786624,-1.6020000000000003,0.20698404
2.38,2.0704272696971895,2.551,-0.48057273
-5.88,-7.312350961446762,-7.278,-0.03435096
-2.81,-3.055966683387757,-4.246,1.1900333
1.77,2.0185084933042523,1.89,0.1285085
-1.62,-0.969307678222656,1.2070000000000003,-2.1763077
-1.79,-2.0738463686108592,-2.1220000000000003,0.04815363
-6.79,-6.187432476043702,-5.371,-0.8164325
-1.1,-1.4086303408145904,-1.162,-0.24663034
-0.9,-0.9045460546016693,-0.815,-0.089546055
-3.41,-3.5117948546409616,-3.689000000000001,0.17720515
-3.52,-3.557051929473877,-4.359,0.8019481
-1.43,-1.2952102365493774,-0.0689999999999999,-1.2262102
0.0,0.41394125366210943,1.064,-0.65005875
1.47,1.491416509628296,2.083,-0.5915835
-2.38,-2.4545902547836302,-2.106,-0.34859025
-7.19,-7.448245811462403,-13.05,5.601754
2.1,1.8948085706233977,2.348,-0.45319143
-4.02,-3.393552068948746,-2.998,-0.39555207
-3.5,-3.556773235321046,-6.277000000000001,2.7202268
-4.61,-4.982708101153374,-4.9830000000000005,0.00029189885
-2.07,-2.340887363433838,-3.333,0.99211264
-0.33,-0.1997660472393035,0.1360000000000001,-0.33576605
-0.9,-0.715110429763794,0.0409999999999999,-0.7561104
-2.7,-2.7967364213466643,-3.021,0.22426358
1.83,1.8301129361987114,1.76,0.070112936
0.1,-0.5657570037841797,-4.766,4.200243
-3.9,-3.4683146009445194,-3.2510000000000003,-0.2173146
-6.6,-6.174679918169975,-6.148,-0.026679918
2.0,1.9336614577770233,2.053,-0.11933854
-7.0,-7.8684478073120125,-12.178,4.309552
-5.66,-4.994062088012695,-4.423,-0.5710621
1.83,1.584894775390625,1.824,-0.23910522
-0.1,0.147089328765869,0.7149999999999999,-0.5679107
-0.45,-0.016593221664428892,0.2959999999999998,-0.31259322
3.16,3.1195810050964354,4.122,-1.002419
-0.63,-0.33593597263097763,-0.375,0.039064027
2.51,2.1691668720245363,2.797,-0.6278331
-4.5,-4.695558817863464,-2.8080000000000003,-1.8875588
-3.15,-3.0196323783397676,-2.547,-0.47263238
-2.56,-2.530703174591064,-6.337,3.8062968
-5.0,-5.2531465806961055,-3.754,-1.4991466
2.55,2.2251960496902465,3.698,-1.472804
-2.56,-3.1502167358398445,-4.239000000000001,1.0887833
-6.25,-5.461200007438659,-4.834,-0.6272
-5.22,-4.731259419441224,-4.1770000000000005,-0.5542594
-2.92,-2.9449072098731994,-2.835,-0.10990721
-6.0,-6.452698623657227,-11.137,4.6843014
-4.5,-4.460035768508911,-0.891,-3.5690358
-4.1,-4.296517200469971,-5.445,1.1484828
-1.45,-1.0438604698181153,1.789,-2.8328605
-1.93,-2.7196608669757842,-2.432,-0.28766087
-1.36,-1.4939908628463745,-0.863,-0.63099086
-1.23,-1.0022889318466186,0.931,-1.9332889
0.25,0.4635754894018173,0.298,0.16557549
0.34,0.4757008056640626,1.723,-1.2472992
2.88,2.654520248889923,3.012,-0.35747975
-4.52,-4.455806144237519,-4.746,0.29019386
-2.26,-2.0296205568313597,-3.155,1.1253794
-5.33,-4.456545050382614,-4.789,0.33245495
-0.78,-0.3343607892990108,0.6010000000000004,-0.9353608
1.23,1.1043241853713988,2.562,-1.4576758
-5.04,-5.383826377868653,-6.2780000000000005,0.8941736
-2.22,-2.4522826241254805,-2.433,-0.019282624
0.75,0.17432418537139882,1.632,-1.4576758
-4.01,-3.9393035680651667,-3.986,0.046696432
-3.68,-4.13748654460907,-5.516,1.3785135
-0.4,-0.32319705390930187,0.7509999999999999,-1.074197
-2.4,-2.5143546442985536,-2.773,0.25864536
-4.78,-4.651750293970108,-4.81,0.1582497
-4.68,-6.409068626403808,-10.494,4.0849314
-1.24,-1.2523223818540568,-1.4969999999999994,0.24467762
-4.39,-4.252067308425904,-2.105,-2.1470673
-1.88,-1.7254745540618894,-0.8809999999999998,-0.84447455
-6.13,-5.7439962015151975,-5.236,-0.5079962
-6.13,-6.0902509224414825,-5.67,-0.42025092
-6.09,-5.751680555343627,-9.69,3.9383194
-3.65,-3.1026185111999514,-0.7080000000000002,-2.3946185
-4.69,-4.847172344446182,-5.032,0.18482766
-3.78,-2.976932482004165,-2.5729999999999995,-0.40393248
-1.4,-0.8938694565296172,-1.053,0.15913054
1.16,1.2622235882282258,1.455,-0.19277641
-1.08,-0.7561819496154785,-0.0689999999999999,-0.68718195
-4.31,-4.841114547729491,-7.677999999999999,2.8368855
1.32,1.3211148036718368,1.142,0.1791148
-6.69,-6.9998707199096675,-11.94,4.9401293
-0.85,-0.5668662912845615,-0.0820000000000003,-0.4848663
-7.65,-7.647943782806397,-9.675,2.0270562
-0.9,-1.0431572469472883,-1.2439999999999998,0.20084275
2.93,3.0638834969997406,3.508,-0.4441165
-2.93,-3.1796072639226916,-3.357,0.17739274
-4.85,-5.059906548500061,-3.394,-1.6659065
-5.91,-5.694223037719727,-4.541,-1.153223
-3.64,-3.1304460592269896,-1.332,-1.798446
2.88,2.6444111833572386,3.526,-0.8815888
-0.86,-0.7732443447113035,-0.0619999999999998,-0.71124434
-5.53,-5.223450397253036,-4.755,-0.4684504
-4.95,-4.798192816734313,-4.880999999999999,0.08280718
0.14,0.37072740840911855,1.638,-1.2672726
-0.8,-0.7924555723667144,-0.3879999999999999,-0.40445557
-7.47,-6.838979402840137,-6.896,0.057020597
-1.92,-2.111114639282227,-6.219,4.1078854
-2.01,-1.964307113647461,-0.7210000000000001,-1.2433071
-3.17,-2.1324917221069333,1.86,-3.9924917
-2.64,-2.3260441329479216,-2.159,-0.16704413
-4.04,-4.273255213737488,-5.059,0.7857448
