expt,physics_ml,physics,ml
-4.72,-4.859510994186401,-3.13599,-1.723521
-3.04,-3.711192561149597,-2.34475,-1.3664426
-4.59,-3.717938446044922,-1.75525,-1.9626884
-3.82,-3.8170252096939086,-5.70653,1.8895048
-2.93,-3.3332128741073612,-4.29168,0.9584671
-0.98,-0.9266718145647049,-0.999704,0.073032185
-0.74,-1.0603079011297225,-1.27761,0.2173021
2.89,2.7065839976882935,2.21496,0.491624
-1.59,-1.5540623271484375,-0.719727,-0.8343353
-3.75,-4.171053933050633,-4.06934,-0.10171393
-0.25,-0.040757611995696996,-0.471056,0.4302984
-2.82,-3.1874231479644775,-1.84855,-1.3388731
-5.48,-5.019827882270813,-3.16298,-1.8568479
2.51,2.742153611526489,1.94086,0.8012936
-0.64,-0.4236328331360817,-0.443376,0.019743167
-7.5,-8.252493722038269,-8.80233,0.5498363
-1.99,-2.392969372457266,-2.3491,-0.043869372
-4.84,-4.460845111427307,-4.40906,-0.05178511
-5.22,-4.069737533683776,-2.18137,-1.8883675
-0.83,-1.3557033401966094,-1.44315,0.08744666
-0.68,-0.45585424754714965,-0.835526,0.37967175
-2.49,-2.871192186393738,-3.65004,0.7788478
-4.93,-4.145109531993866,-4.65612,0.51101047
-6.16,-6.116663744850158,-4.45142,-1.6652437
-2.23,-2.498395219116211,-3.55178,1.0533848
-0.53,-1.4284894380508424,-0.0964986,-1.3319908
-5.1,-5.245836380729675,-4.07426,-1.1715764
-4.47,-4.619459016075134,-3.08674,-1.532719
-7.17,-7.3454062080764775,-6.12954,-1.2158662
0.29,0.14269276713562007,0.842092,-0.69939923
-2.78,-2.844920323829651,-4.36373,1.5188097
3.43,4.964143785624504,4.87378,0.090363786
-3.15,-3.7348146037817003,-3.9786,0.2437854
-6.21,-6.015411124305725,-7.45533,1.4399189
-5.71,-8.10646548931122,-9.16167,1.0552045
-1.14,-0.9232611444854737,-1.21859,0.29532886
-2.4,-2.668599674758911,-3.65181,0.9832103
-2.33,-1.923628042845726,-2.13828,0.21465196
-1.14,-1.6500910408401488,-2.08024,0.43014896
2.38,2.1077706608533857,1.99285,0.11492066
-5.88,-6.698999205741882,-7.03166,0.3326608
-2.81,-2.7372831963348387,-3.49388,0.7565968
1.77,1.5797021059846879,1.49411,0.085592106
-1.62,-2.011353680885315,-0.783938,-1.2274157
-1.79,-1.934028235397339,-2.10896,0.17493176
-6.79,-5.644074238681793,-6.0964,0.45232576
-1.1,-1.6426051634454728,-1.82824,0.18563484
-0.9,-1.1659622743034364,-1.62474,0.45877773
-3.41,-3.7411957414627075,-3.92455,0.18335426
-3.52,-3.6073850857162473,-4.42939,0.8220049
-1.43,-1.3856737217259407,-1.41537,0.029696278
0.0,0.32987806848812107,0.166193,0.16368507
1.47,1.2234035602331161,1.41845,-0.19504644
-2.38,-2.381246123638153,-2.83859,0.45734388
-7.19,-7.63829422082901,-7.9709,0.33260578
2.1,2.022155619354248,1.86422,0.15793562
-4.02,-4.27372076789856,-2.83267,-1.4410508
-3.5,-3.9552229877090452,-4.48506,0.529837
-4.61,-4.594108177185059,-4.84475,0.25064182
-2.07,-2.153870348968506,-2.91204,0.75816965
-0.33,-0.12875039271831512,-0.33592,0.2071696
-0.9,-0.9382113009309769,-1.05546,0.1172487
-2.7,-2.823932076244354,-3.36853,0.5445979
1.83,1.9781404276657104,1.58483,0.39331043
0.1,-0.5082248108243943,-0.445985,-0.06223981
-3.9,-3.627373719611168,-3.87304,0.24566628
-6.6,-6.16262656211853,-5.06,-1.1026266
2.0,2.0776220997810366,1.7034,0.3742221
-7.0,-8.355364344978332,-10.2434,1.8880357
-5.66,-5.702081386032105,-4.31219,-1.3898914
1.83,1.661479624042511,1.23501,0.42646962
-0.1,0.17392088132839204,-0.0144752,0.18839608
-0.45,-0.5969607083129882,-1.07818,0.4812193
3.16,2.9410687522101404,2.91848,0.022588752
-0.63,-0.4412878322649002,-0.552755,0.11146717
2.51,1.9433527037334444,2.14692,-0.2035673
-4.5,-4.47781458782196,-2.95749,-1.5203246
-3.15,-2.8001287767982483,-3.07776,0.27763122
-2.56,-2.9224209095382694,-4.44589,1.5234691
-5.0,-5.230731316642761,-3.49758,-1.7331513
2.55,2.1369333531188963,2.45293,-0.31599665
-2.56,-2.964655443153381,-3.93896,0.97430456
-6.25,-5.8211905841064455,-4.41767,-1.4035206
-5.22,-4.1798905798530575,-4.45391,0.27401942
-2.92,-3.157300523314476,-3.39716,0.23985948
-6.0,-7.538267589950561,-9.0964,1.5581324
-4.5,-4.629355760231018,-2.76389,-1.8654658
-4.1,-3.1053199261474607,-4.35713,1.2518101
-1.45,-1.6105728671722412,-0.516043,-1.0945299
-1.93,-2.168322134628296,-2.62514,0.45681787
-1.36,-1.2654858641576767,-1.42337,0.15788414
-1.23,-1.074964438688159,-1.06334,-0.011624439
0.25,0.48429241750717167,-0.15377,0.6380624
0.34,0.3363559521970749,0.154981,0.18137495
2.88,2.530934755110741,2.28365,0.24728476
-4.52,-4.505309592375755,-4.74726,0.24195041
-2.26,-2.190745987739563,-3.31809,1.127344
-5.33,-4.601958591284752,-4.45569,-0.14626859
-0.78,-1.1438007231407166,-0.522718,-0.6210827
1.23,1.2596132006645202,1.6215,-0.3618868
-5.04,-6.185354920692443,-6.65232,0.46696508
-2.22,-2.446133113937378,-2.90258,0.4564469
0.75,0.8278731410598754,1.18976,-0.36188686
-4.01,-4.093401871643066,-4.41646,0.32305813
-3.68,-3.6709336108207706,-4.5269,0.8559664
-0.4,-0.26245151495838165,-0.412074,0.14962249
-2.4,-2.5546204821395873,-2.97693,0.42230952
-4.78,-4.565581693592072,-5.43569,0.8701083
-4.68,-6.195244442939758,-8.1745,1.9792556
-1.24,-1.653939356327057,-2.152,0.49806064
-4.39,-4.465916329193115,-2.5708,-1.8951163
-1.88,-2.2666320737457273,-1.83761,-0.42902207
-6.13,-5.898197567901612,-4.28096,-1.6172376
-6.13,-6.2194967889022825,-4.56342,-1.6560768
-6.09,-5.556575115585328,-7.55965,2.003075
-3.65,-3.738217221031189,-1.81251,-1.9257072
-4.69,-4.092916893405914,-4.80417,0.7112531
-3.78,-3.13563122882843,-3.55265,0.41701877
-1.4,-1.5824107704925536,-2.35133,0.7689192
1.16,1.1293038373823165,0.988937,0.14036684
-1.08,-1.0297700992507934,-0.666442,-0.3633281
-4.31,-3.6573753002929688,-3.20438,-0.4529953
1.32,1.2087524079818726,0.735927,0.4728254
-6.69,-7.275172315177917,-8.97106,1.6958877
-0.85,-0.9132846685028075,-1.34506,0.43177533
-7.65,-9.928743006896973,-13.5122,3.583457
-0.9,-0.9487990551376342,-1.75629,0.80749094
2.93,2.8548560249280928,2.63907,0.21578602
-2.93,-2.7147932517623903,-2.99426,0.27946675
-4.85,-5.200299620170593,-3.33427,-1.8660296
-5.91,-5.866532094612122,-4.30714,-1.5593921
-3.64,-3.806010266151428,-2.09909,-1.7069203
2.88,2.6308517994642258,2.5646,0.0662518
-0.86,-1.0965346670532226,-1.18579,0.08925533
-5.53,-6.308767546653748,-6.689,0.38023245
-4.95,-5.458410282306671,-5.50793,0.049519718
0.14,0.5832469536309243,0.532738,0.050508954
-0.8,-1.111182553062439,-1.48351,0.37232745
-7.47,-8.715824056510925,-8.97363,0.25780594
-1.92,-3.3807102581024173,-5.60085,2.2201397
-2.01,-2.0111406752700804,-0.920562,-1.0905787
-3.17,-3.8009337083435057,-2.31716,-1.4837737
-2.64,-2.804338639063835,-2.97567,0.17133136
-4.04,-4.896258487110138,-5.70588,0.8096215
-5.26,-5.507385690994263,-3.98932,-1.5180657
-0.11,-0.6510149705314636,-1.13449,0.48347503
-3.12,-2.41452891954422,-1.46084,-0.9536889
-1.74,-0.8924432266616822,-1.37084,0.47839677
-3.92,-3.9891008736801146,-2.26997,-1.7191309
-1.21,-1.1772055614471435,-1.2888,0.11159444
-4.7,-4.147304396247864,-6.00335,1.8560456
-5.94,-6.576967088851928,-5.00766,-1.5693071
-4.4,-4.469453656272888,-2.75108,-1.7183737
-2.11,-2.024785173149109,-2.93872,0.9139348
-3.04,-3.2564538024902348,-4.0349,0.7784462
-4.59,-5.030290632390976,-4.9314,-0.09889063
-0.16,-0.06574141154289245,-0.180725,0.11498359
-4.91,-4.626772566094399,-4.80414,0.17736743
-3.28,-3.6467106060409544,-2.54119,-1.1055206
-2.28,-2.342215860710144,-3.40136,1.0591441
-2.82,-2.18844051548481,-2.41459,0.22614948
-6.5,-8.038230415992738,-8.87193,0.8336996
-0.1,0.00914122879886628,-0.204921,0.21406223
-1.24,-1.1178903783226013,-1.56209,0.44419962
