expt,physics_ml,physics,ml
-4.72,-4.401155890107155,-4.198,-0.20315589
-3.04,-3.591845224380493,-1.348,-2.2438452
-4.59,-4.188363399505615,-2.215,-1.9733634
-3.82,-3.91663349533081,-10.084,6.1673665
-2.93,-2.194896425247193,-5.664000000000001,3.4691036
-0.98,-1.0747081604003905,-1.884,0.80929184
-0.74,-1.0179307432174682,-2.347,1.3290693
2.89,2.3774164733886716,1.531,0.8464165
-1.59,-1.4565779514312744,-1.157,-0.29957795
-3.75,-3.4555105724334716,-4.779,1.3234894
-0.25,-0.12490226364135737,-0.941,0.81609774
-2.82,-2.6349535121917724,-1.839,-0.7959535
-5.48,-5.4214048147201535,-3.6,-1.8214048
2.51,2.44903369140625,1.177,1.2720337
-0.64,-0.2013202509880066,0.054,-0.25532025
-7.5,-7.562007320404053,-13.788,6.2259927
-1.99,-2.673100336074829,-3.258,0.58489966
-4.84,-3.856243277549744,-4.9510000000000005,1.0947567
-5.22,-3.340792474746704,0.565,-3.9057925
-0.83,-1.0768165783882144,-1.9830000000000003,0.9061834
-0.68,-0.4981763105392456,-1.373,0.8748237
-2.49,-2.4970299320220946,-4.558,2.06097
-4.93,-4.085244767189026,-5.8420000000000005,1.7567552
-6.16,-5.877775669574737,-6.337999999999999,0.46022433
-2.23,-1.8990501995086664,-4.436999999999999,2.5379498
-0.53,-1.446087212562561,-0.47,-0.9760872
-5.1,-4.982546385765076,-5.384,0.4014536
-4.47,-4.186353557229042,-3.952,-0.23435356
-7.17,-7.232911516189575,-4.476,-2.7569115
0.29,0.1302814197540283,-0.53,0.6602814
-2.78,-2.6594095802307125,-7.81,5.1505904
3.43,3.7100173950195314,-1.05,4.7600174
-3.15,-4.396217626571656,-6.369000000000001,1.9727824
-6.21,-6.037993999481202,-10.271,4.233006
-5.71,-6.856729545593261,-10.415,3.5582705
-1.14,-1.2421911292076109,-2.143,0.9008089
-2.4,-2.264048612594604,-4.938,2.6739514
-2.33,-2.158659308433533,-1.618,-0.5406593
-1.14,-1.4991683220863345,-2.2350000000000003,0.7358317
2.38,2.13944735622406,1.201,0.93844736
-5.88,-7.619787107467651,-9.311,1.6912129
-2.81,-2.553823335647583,-5.633,3.0791767
1.77,1.68539328956604,-1.971,3.6563933
-1.62,-1.8627288980484007,-0.4169999999999998,-1.4457289
-1.79,-2.0664904870986938,-2.904,0.8375095
-6.79,-6.57787317609787,-7.431,0.8531268
-1.1,-1.0727961845397949,-1.932,0.8592038
-0.9,-0.9106179351806643,-2.462,1.5513821
-3.41,-3.8012370586395265,-4.95,1.148763
-3.52,-3.1602949295043947,-5.341,2.180705
-1.43,-1.4011270656585693,-1.914,0.51287293
0.0,0.33515784692764283,-0.238,0.57315785
1.47,1.5878268117904664,0.562,1.0258268
-2.38,-2.245753639221191,-3.643,1.3972464
-7.19,-6.439814960479737,-13.637,7.197185
2.1,1.7638879342079163,1.092,0.67188793
-4.02,-3.6810869088172913,-3.149,-0.5320869
-3.5,-3.1863362426757815,-6.937,3.7506638
-4.61,-4.1478100128173825,-5.757,1.60919
-2.07,-2.1096326293945316,-5.094,2.9843674
-0.33,-0.041878054618835314,-0.7229999999999999,0.68112195
-0.9,-1.1846082839965821,-1.491,0.30639172
-2.7,-2.8635561084747314,-4.96,2.096444
1.83,1.528589297771454,0.8140000000000001,0.7145893
0.1,-2.1098424034118644,-8.008,5.8981576
-3.9,-3.1146302623748783,-4.517,1.4023697
-6.6,-5.880282763481141,-7.579000000000001,1.6987172
2.0,1.6562388434410096,0.939,0.71723884
-7.0,-8.115748893737793,-13.862,5.746251
-5.66,-5.467458840847016,-6.384,0.91654116
1.83,1.4786600952148437,0.388,1.0906601
-0.1,0.13655611276626606,-0.4749999999999998,0.6115561
-0.45,-0.476691546440124,-1.5649999999999995,1.0883085
3.16,2.5039804344177248,2.063,0.44098043
-0.63,-0.195726055622101,-1.0570000000000002,0.86127394
2.51,1.9428697457313537,1.349,0.59386975
-4.5,-3.9245388003587722,-4.069,0.1444612
-3.15,-2.849206532478332,-4.164,1.3147935
-2.56,-2.435154804229736,-7.209,4.773845
-5.0,-5.16292364525795,-4.6930000000000005,-0.46992365
2.55,2.1907319741249083,1.933,0.25773197
-2.56,-2.4900186862945555,-5.284,2.7939813
-6.25,-5.541047507286072,-6.356,0.8149525
-5.22,-4.115053002357483,-5.292,1.176947
-2.92,-3.4272385029792787,-4.378,0.9507615
-6.0,-5.998861457824708,-11.502,5.5031385
-4.5,-4.543859769821167,-3.277,-1.2668598
-4.1,-3.253254190444947,-6.191000000000001,2.9377458
-1.45,-1.3489006414413451,-0.1639999999999999,-1.1849006
-1.93,-2.3082899303436277,-3.897,1.5887101
-1.36,-1.2987018480300905,-2.164,0.86529815
-1.23,-1.4158767977952955,-1.5259999999999998,0.1101232
0.25,0.22727789735794057,-0.6140000000000001,0.8412779
0.34,0.10776454675197611,0.2330000000000001,-0.12523545
2.88,2.413747710227966,1.494,0.9197477
-4.52,-4.6040546932220465,-6.704000000000001,2.0999453
-2.26,-1.5205005168914791,-4.225,2.7044995
-5.33,-4.546346822738648,-6.216,1.6696532
-0.78,-1.0221660243272783,-0.9580000000000002,-0.064166024
1.23,1.203538367062807,1.196,0.007538367
-5.04,-6.0702323055267335,-8.035,1.9647677
-2.22,-2.290686834335327,-3.888,1.5973132
0.75,0.49453842666745185,0.487,0.0075384267
-4.01,-3.7031853294372556,-5.385,1.6818147
-3.68,-3.679695652008057,-6.573,2.8933043
-0.4,-0.43869065248966205,-0.2989999999999999,-0.13969065
-2.4,-2.43735696220398,-4.589,2.151643
-4.78,-4.110021032333374,-6.364,2.253979
-4.68,-6.768292804718017,-11.946,5.177707
-1.24,-1.1367101669311523,-3.25,2.1132898
-4.39,-4.524711550712585,-3.514,-1.0107116
-1.88,-1.4656553283929825,-1.661,0.19534467
-6.13,-5.900015544891357,-6.699999999999999,0.79998446
-6.13,-6.082794169425965,-7.054,0.97120583
-6.09,-5.049876037597656,-10.241,5.191124
-3.65,-3.8331197528839107,-1.2779999999999998,-2.5551198
-4.69,-4.014661981582642,-6.3020000000000005,2.287338
-3.78,-2.702784162521363,-4.531000000000001,1.8282158
-1.4,-0.01744639015197791,-2.2910000000000004,2.2735536
1.16,1.5190249404907226,0.1459999999999999,1.373025
-1.08,-1.1863720040321348,-1.6729999999999998,0.486628
-4.31,-4.5771856651306155,-8.711,4.1338143
1.32,1.341913860321045,-0.0569999999999999,1.3989139
-6.69,-6.379736881256104,-11.855,5.475263
-0.85,-0.9348765563964845,-1.745,0.81012344
-7.65,-8.240140335083009,-9.742,1.5018597
-0.9,-0.7795791053771968,-2.9399999999999995,2.160421
2.93,2.9114723777770997,1.81,1.1014724
-2.93,-3.3804097253084184,-3.555,0.17459027
-4.85,-4.62370557153225,-4.409000000000001,-0.21470557
-5.91,-5.78638304233551,-6.26,0.47361696
-3.64,-3.373443691372871,-3.2139999999999995,-0.15944369
2.88,2.234153984546661,1.736,0.49815398
-0.86,-1.2687011609077452,-1.5759999999999998,0.30729884
-5.53,-6.032566234588622,-7.146999999999999,1.1144338
-4.95,-5.0258118410110475,-5.277,0.25118816
0.14,0.47665342044830306,0.1869999999999998,0.28965342
-0.8,-1.1218197331428528,-1.986,0.86418027
-7.47,-7.542157764434814,-9.37,1.8278422
-1.92,-1.53433678817749,-6.957,5.422663
-2.01,-1.7439295883178711,-1.437,-0.3069296
-3.17,-3.193745916366577,-0.593,-2.600746
-2.64,-3.0605380330085756,-3.966,0.90546197
-4.04,-3.771618467330933,-5.906000000000001,2.1343815
-5.26,-5.040164299964905,-5.871,0.8308357
-0.11,0.5985876502990721,-3.156,3.7545877
-3.12,-2.058840416431427,-1.386,-0.6728404
-1.74,-1.152597516059875,-2.6179999999999994,1.4654025
-3.92,-3.4236202592849736,-3.1370000000000005,-0.28662026
-1.21,-1.3078228073120117,-1.633,0.3251772
-4.7,-3.462734668731689,-7.742999999999999,4.2802653
-5.94,-5.463734917640686,-7.055,1.5912651
-4.4,-4.0202034600973136,-3.829,-0.19120346
-2.11,-1.1998155345916741,-3.7239999999999993,2.5241845
-3.04,-2.832932725906372,-4.941,2.1080673
-4.59,-4.567575037479401,-5.5,0.93242496
-0.16,0.09374520349502569,-0.567,0.6607452
-4.91,-4.295354514598846,-5.242999999999999,0.9476455
-3.28,-2.810023696064949,-2.654,-0.1560237
-2.28,-1.6662963275909428,-4.238,2.5717037
-2.82,-2.262257925033569,-3.5409999999999995,1.2787421
-6.5,-6.261863506317139,-11.438,5.1761365
-0.1,-0.24379450953006726,-0.1059999999999998,-0.13779451
-1.24,-0.8091475362777709,-2.662,1.8528525
-0.19,-0.35141051626205466,-0.9960000000000002,0.6445895
-1.31,-1.6887144203186035,-2.137,0.44828558
-2.89,-2.2827180500030515,-4.087,1.804282
-1.66,-1.626846859097481,-1.4440000000000002,-0.18284686
-7.28,-7.319287207603455,-9.178,1.8587128
-3.8,-3.7733847026824954,-6.288,2.5146153
-4.7,-4.322425163269043,-5.313,0.99057484
-3.92,-3.2354326438903804,-7.645,4.4095674
-4.02,-3.4870700111389166,-8.749,5.26193
-3.64,-3.06484606552124,-7.053,3.988154
-1.24,-1.5279523417651653,-1.543,0.015047658
-0.84,-1.0556486978530886,-1.7140000000000002,0.6583513
-2.74,-2.621009663581848,-4.404,1.7829903
-5.9,-5.638860120773315,-6.765,1.1261399
1.68,1.5745076875686648,0.3730000000000001,1.2015077
2.93,2.3843003168106076,1.539,0.8453003
-7.58,-4.23526450920105,-0.3680000000000001,-3.8672645
-3.67,-3.491956339836121,-4.4110000000000005,0.91904366
2.56,2.3554435453414917,1.621,0.73444355
-4.12,-2.395543201446533,-4.508,2.1124568
0.16,0.21017096519470213,-1.645,1.855171
-4.39,-4.843100250244141,-6.463,1.6198997
0.01,-0.02516301155090339,-0.7050000000000001,0.679837
-3.84,-3.53247257232666,-5.085,1.5525274
-0.89,-0.9693768758773804,-2.677,1.7076231
3.13,2.3677441120147704,1.9,0.4677441
-6.79,-5.998037799358368,-6.346,0.3479622
