model_num,epochs,train,valid,test,conv_criterion
0,32,0.54166402793016,0.7355471722269387,2.1198737867485713,converged
1,60,0.4388325299782235,0.7468249373786783,2.1983484030741547,converged
2,47,0.5153669193042332,0.7585203186489977,2.3854311671540693,converged
3,45,0.6471042531107847,0.8259536761658023,2.295029786890183,converged
4,93,0.34419676886539446,0.7289040376001527,2.340405233075515,converged
5,54,0.6187413555316283,0.719942429351912,2.351046927590411,converged
6,36,0.49639550335224036,0.796641925129996,2.393535870828828,converged
7,57,0.45110327925199306,0.7541323380133921,2.271598083125914,converged
8,47,0.44841350415333175,0.706820200424189,2.352200085065198,converged
9,62,0.5489888082229912,0.7121722884301119,2.329607689903711,converged
10,36,0.6239154419603137,0.7598446230077845,2.159634208878591,converged
11,30,0.7205139636319643,0.8112277739129867,2.2777289372977685,converged
12,33,0.5437015753768197,0.7899088418383291,2.053024458261237,converged
13,63,0.38960708587072934,0.7201145394680596,2.1853217024245613,converged
14,56,0.42660850583977095,0.6892974549606589,2.2329727848036023,converged
15,44,0.4956827498700825,0.7266096897645591,2.21174531074139,converged
16,46,0.40786823205525563,0.6958681963495922,2.197737035207642,converged
17,97,0.25044652950893814,0.7278998535949867,2.5198759374625186,converged
18,68,0.3310578601267357,0.7040942750162569,2.188857679297752,converged
19,47,0.4350287663470005,0.7909874964979161,2.26920616889562,converged
