model_num,epochs,train,valid,test,conv_criterion
0,34,0.5142189343832839,0.5709112134714955,1.9732505268167322,converged
1,36,0.5559689992813716,0.609798587017077,2.2090099519338353,converged
2,36,0.46845429114729337,0.619199951546086,2.2561214156098326,converged
3,57,0.4675015468375451,0.6005922631323183,2.160581835739396,converged
4,32,0.5231835989606042,0.558283631501675,2.050378627192882,converged
5,57,0.34746588404989737,0.5400008761566533,2.2233409334572083,converged
6,30,0.6566602441510404,0.618472314679441,2.2263697879312563,converged
7,30,0.6711951422580258,0.6000885174014826,1.9881911744261402,converged
8,30,0.5197472725453066,0.5821524679914667,2.133189963599383,converged
9,40,0.4479314792237374,0.5249030292882535,2.1360723502544694,converged
10,43,0.3687092870250346,0.5440372668432678,1.985810313216337,converged
11,30,0.5257513165206059,0.5815321454546877,1.893415747278101,converged
12,31,0.5285482985086246,0.560813164949622,1.9967247523325913,converged
13,27,0.545122825907022,0.5454241939888949,1.9840874464584346,converged
14,24,0.6274839245361941,0.52720722183796,2.1717166436025503,converged
15,30,0.5531517663453586,0.5661117408590399,2.237512848257312,converged
16,28,0.5843309909497485,0.5669145746033076,2.067032882513132,converged
17,50,0.3710133410991379,0.5008150664174832,1.9108859114362764,converged
18,29,0.5691368736884346,0.5974339044169226,1.9909852806069654,converged
19,31,0.5185929897344241,0.5778140203607034,2.016995224776142,converged
