expt,physics_ml,physics,ml
-4.72,-4.863624918479919,-3.22227,-1.6413549
-3.04,-3.2793658377838133,-2.11372,-1.1656458
-4.59,-3.626181558456421,-0.447715,-3.1784666
-3.82,-3.7619774590301516,-6.57758,2.8156025
-2.93,-3.0625428297424317,-3.66474,0.6021972
-0.98,-1.2702767242717743,-1.45543,0.18515328
-0.74,-0.21538229194641112,0.116715,-0.3320973
2.89,2.8300573730659484,2.25602,0.5740374
-1.59,-1.4564195949058534,-0.907798,-0.5486216
-3.75,-3.307056505718231,-2.45829,-0.8487665
-0.25,0.0491685148563385,-0.333791,0.3829595
-2.82,-2.6963021897220614,-2.20814,-0.4881622
-5.48,-5.11865904335022,-2.99454,-2.124119
2.51,2.963753081626892,1.90732,1.0564331
-0.64,-0.0722810912704468,1.07819,-1.1504711
-7.5,-7.52391418762207,-11.5907,4.066786
-1.99,-2.231782008829117,-2.59119,0.359408
-4.84,-4.510020220689774,-4.24443,-0.26559022
-5.22,-4.809755098907471,-0.845567,-3.964188
-0.83,-0.9595516137456894,-0.78156,-0.17799161
-0.68,-0.1490811900048256,-0.174978,0.02589681
-2.49,-2.4823539604377745,-2.04742,-0.43493396
-4.93,-4.612358193788529,-4.83966,0.2273018
-6.16,-6.2707520938491825,-5.22681,-1.0439421
-2.23,-2.156742376871109,-2.60682,0.45007762
-0.53,-0.608077139284134,-0.328502,-0.27957514
-5.1,-4.799784888820648,-4.24733,-0.5524549
-4.47,-4.00403897348404,-3.01116,-0.992879
-7.17,-6.880348972854614,-5.51506,-1.365289
0.29,0.34030374636077876,0.587594,-0.24729025
-2.78,-3.1945025964736935,-4.6221,1.4275974
3.43,3.2710610954093933,3.87818,-0.6071189
-3.15,-3.581294529953003,-6.23754,2.6562455
-6.21,-6.110636955947877,-8.16397,2.053333
-5.71,-6.296659571151733,-7.41548,1.1188204
-1.14,-1.06014848692894,-1.37383,0.3136815
-2.4,-2.2398148467445376,-3.03474,0.79492515
