expt,physics_ml,physics,ml
-3.82,-3.5532684249877935,-8.342,4.7887316
-2.93,-3.1033912086486817,-4.915,1.8116088
-0.98,-1.1151055788993838,-0.5100000000000002,-0.6051056
-0.74,-1.6207330594062808,-1.7760000000000002,0.15526694
-1.59,-1.302657512664795,-0.3540000000000001,-0.9486575
-3.75,-3.7799317474365233,-3.437,-0.34293175
-4.55,-4.2809351608753206,-3.886,-0.39493516
-2.73,-2.541924144268036,-2.164,-0.37792414
-0.53,-1.0284684402346613,-1.1310000000000002,0.10253156
-0.25,-0.3470692188739779,-0.1470000000000002,-0.20006922
-5.48,-6.28049891281128,-2.5780000000000003,-3.702499
2.51,2.314497382879257,2.514,-0.19950262
-0.64,-0.112267261505127,2.819,-2.9312673
-0.83,-1.7881671028137207,1.117,-2.905167
-6.88,-5.376774456024171,-7.502000000000001,2.1252255
-4.84,-4.592839632987976,-3.836,-0.75683963
-5.22,-3.03849267578125,2.454,-5.4924927
-0.83,-1.162118752002716,-0.395,-0.76711875
-0.68,-0.5762883806228638,0.3349999999999999,-0.9112884
-4.93,-5.074035328149796,-4.612,-0.46203533
-8.42,-8.546564994812012,-15.736,7.189435
-6.16,-5.432414180278778,-4.644,-0.7884142
-2.23,-2.5098248648643495,-3.18,0.67017514
-0.53,-1.8168854675292971,0.5789999999999997,-2.3958855
-4.47,-4.8291222286224365,-2.9200000000000004,-1.9091222
-7.17,-6.707945740699769,-4.813000000000001,-1.8949457
-2.78,-3.2150646190643313,-6.998,3.7829354
3.43,3.980829162597656,0.92,3.0608292
-11.0,-9.716745866775513,-13.089,3.3722541
-6.21,-5.366071189880371,-9.289,3.9229288
-5.71,-6.673228675842285,-9.407,2.7337713
-5.26,-5.170763041019439,-4.414,-0.75676304
-1.14,-1.4842303872108462,-0.6750000000000003,-0.8092304
-2.4,-3.1249856057167054,-3.919,0.7940144
-2.33,-2.4239035606384274,-0.5999999999999996,-1.8239036
2.38,2.075235248565674,2.551,-0.47576475
-1.62,-1.1825368576049802,1.2070000000000003,-2.3895369
-6.79,-6.669110961914063,-5.371,-1.298111
-1.1,-1.736390411376953,-1.162,-0.5743904
-0.9,-1.3907452249526977,-0.815,-0.5757452
-3.52,-3.71766379737854,-4.359,0.6413362
-1.43,-1.6485254707336425,-0.0689999999999999,-1.5795255
0.0,-0.09061683273315424,1.064,-1.1546168
1.47,0.5669804172515871,2.083,-1.5160196
-4.62,-5.249527006149291,-2.405,-2.844527
-2.38,-2.4534466800689696,-2.106,-0.34744668
2.1,1.2020167808532713,2.348,-1.1459832
-9.34,-7.000808883666992,-5.351,-1.6498089
-10.0,-8.157760513305664,-9.663,1.5052395
-3.5,-2.8266301651000987,-6.277000000000001,3.4503698
-4.61,-4.9837436797022825,-4.9830000000000005,-0.0007436797
-2.07,-2.240046437263489,-3.333,1.0929536
-0.33,-0.6321174874305724,0.1360000000000001,-0.7681175
-0.9,-0.8266362037658692,0.0409999999999999,-0.8676362
-2.7,-3.2351535878181457,-3.021,-0.21415359
1.83,0.6672930812835693,1.76,-1.0927069
-3.9,-4.027447713375092,-3.2510000000000003,-0.7764477
-1.5,-1.6648706827163693,-0.4909999999999996,-1.1738707
-6.6,-6.275715855836868,-6.148,-0.12771586
2.0,0.8052093057632446,2.053,-1.2477907
-7.0,-6.651490238189698,-12.178,5.52651
-10.78,-13.744143936157226,-20.947,7.202856
-0.46,-1.1750320792198181,-1.375,0.19996792
-10.17,-10.096889644622802,-10.456,0.35911036
-2.75,-2.19520096206665,-6.869,4.673799
3.16,2.9080926389694213,4.122,-1.2139074
-10.21,-7.27798904800415,-13.469,6.191011
-4.42,-5.803321387290954,-5.502,-0.3013214
-2.56,-2.4587088699340818,-6.337,3.8782911
-9.51,-9.028557502746581,-11.187,2.1584425
-5.0,-4.4791114845275875,-3.754,-0.7251115
-14.21,-14.279332353591917,-15.301999999999998,1.0226676
2.55,2.2610972385406494,3.698,-1.4369028
-2.56,-3.149195708274842,-4.239000000000001,1.0898043
-2.64,-3.2540300064086907,-4.667999999999999,1.41397
-5.22,-5.0266075272560125,-4.1770000000000005,-0.8496075
-2.92,-3.2962090587615966,-2.835,-0.46120906
-4.5,-2.7252530727386475,-0.891,-1.8342531
-1.66,-1.6256729426383973,-0.6440000000000001,-0.98167294
-11.85,-11.428624591827393,-13.96,2.5313754
-4.1,-4.974923737049103,-5.445,0.47007626
-7.66,-7.546559922456742,-7.261000000000001,-0.28555992
-1.93,-2.9117401428222656,-2.432,-0.47974014
-3.28,-3.6743799214363104,-4.063000000000001,0.38862008
-1.36,-1.6358862166404724,-0.863,-0.7728862
-1.23,-1.5863335075378417,0.931,-2.5173335
0.25,-0.13832572889328004,0.298,-0.43632573
0.34,0.3048697214126588,1.723,-1.4181303
2.88,2.574132239341736,3.012,-0.43786776
-4.52,-4.970871546030045,-4.746,-0.22487155
-2.26,-2.110300211906433,-3.155,1.0446998
2.56,2.184484471321106,2.939,-0.7545155
-5.33,-5.186850453853607,-4.789,-0.39785045
-9.65,-9.000091269969941,-9.316,0.31590873
-0.78,-0.4660307874679561,0.6010000000000004,-1.0670308
1.23,0.8321666355133055,2.562,-1.7298334
-5.04,-6.785630050182343,-6.2780000000000005,-0.50763005
-9.8,-9.012490563392639,-7.93,-1.0824906
-18.72,-18.8632198638916,-20.982,2.1187801
-10.64,-8.608247710704804,-8.464,-0.14424771
-2.22,-3.1363652067184447,-2.433,-0.7033652
0.75,-0.04555365371704112,1.632,-1.6775537
-4.01,-4.290624259471894,-3.986,-0.30462426
-3.68,-3.1330876026153565,-5.516,2.3829124
-0.4,-0.6936215629577638,0.7509999999999999,-1.4446216
-1.24,-1.5023589791059488,-1.4969999999999994,-0.005358979
-4.39,-5.055788021087647,-2.105,-2.950788
-9.94,-8.142813232421876,-12.553,4.410187
-6.13,-6.086865662097931,-5.236,-0.85086566
-6.13,-6.2380842995643615,-5.67,-0.5680843
-6.09,-5.050816955566406,-9.69,4.639183
-4.69,-4.900460595607758,-5.032,0.1315394
-3.78,-3.2935146551132197,-2.5729999999999995,-0.72051466
-1.4,-1.7046149640083312,-1.053,-0.65161496
1.16,1.000769900083542,1.455,-0.4542301
-1.08,-1.510857099533081,-0.0689999999999999,-1.4418571
-4.31,-4.55462386894226,-7.677999999999999,3.1233761
-6.69,-7.391445579528808,-11.94,4.5485544
-0.85,-1.0031474657058719,-0.0820000000000003,-0.92114747
-7.65,-8.101258563995362,-9.675,1.5737414
-0.9,-1.3003484020531175,-1.2439999999999998,-0.056348402
2.93,2.974433882713318,3.508,-0.5335661
-2.93,-3.5816676087379458,-3.357,-0.22466761
-4.85,-4.815074509620667,-3.394,-1.4210745
