expt,physics_ml,physics,ml
-3.82,-4.545005687713623,-10.084,5.5389943
-2.93,-3.5831586971282965,-5.664000000000001,2.0808413
-0.98,-0.7285080518722533,-1.884,1.155492
-0.74,-1.1305859060287475,-2.347,1.2164141
-1.59,-1.7685003228187561,-1.157,-0.6115003
-3.75,-3.4266837396621703,-4.779,1.3523163
-4.55,-4.155492870330811,-5.567,1.4115071
-2.73,-2.155248251914978,-3.516,1.3607517
-0.53,-0.3961292934417724,-1.92,1.5238707
-0.25,-0.09996433591842646,-0.941,0.84103566
-5.48,-4.5166737794876095,-3.6,-0.9166738
2.51,3.0285580892562867,1.177,1.8515581
-0.64,0.15583873772621154,0.054,0.10183874
-0.83,-0.6607478985786439,-0.1260000000000001,-0.5347479
-6.88,-4.860053781509398,-8.578999999999999,3.7189462
-4.84,-4.332205916404725,-4.9510000000000005,0.6187941
-5.22,-2.1312618827819825,0.565,-2.696262
-0.83,-0.9115190105438236,-1.9830000000000003,1.071481
-0.68,-0.2798032503128052,-1.373,1.0931967
-4.93,-4.741527549743653,-5.8420000000000005,1.1004725
-8.42,-9.944777343749998,-17.747999999999998,7.8032227
-6.16,-5.427449286460876,-6.337999999999999,0.9105507
-2.23,-2.2235715026855463,-4.436999999999999,2.2134285
-0.53,-0.9856543850898742,-0.47,-0.5156544
-4.47,-4.419826932668686,-3.952,-0.46782693
-7.17,-6.187692214012146,-4.476,-1.7116922
-2.78,-3.539660034179687,-7.81,4.27034
3.43,3.3018939018249513,-1.05,4.351894
-11.0,-8.376079162597657,-13.534,5.157921
-6.21,-7.190189929962159,-10.271,3.08081
-5.71,-6.41996745109558,-10.415,3.9950325
-5.26,-5.085959144115448,-5.908,0.82204086
-1.14,-1.153800778865814,-2.143,0.9891992
-2.4,-2.5513418083190915,-4.938,2.3866582
-2.33,-2.1952094130516056,-1.618,-0.5772094
2.38,2.4793255577087403,1.201,1.2783256
-1.62,-0.8891772372722624,-0.4169999999999998,-0.47217724
-6.79,-6.875145977497101,-7.431,0.555854
-1.1,-1.3770628161430358,-1.932,0.5549372
-0.9,-1.1430935735702517,-2.462,1.3189064
-3.52,-3.5250180158615114,-5.341,1.815982
-1.43,-1.5684825136661529,-1.914,0.3455175
0.0,0.47774825048446656,-0.238,0.71574825
1.47,1.5024428601264954,0.562,0.94044286
-4.62,-4.483345242977142,-3.734,-0.74934524
-2.38,-2.2231233053207395,-3.643,1.4198767
2.1,2.382538191795349,1.092,1.2905382
-9.34,-7.786842020034791,-5.558000000000001,-2.228842
-10.0,-7.42597173500061,-10.138,2.7120283
-3.5,-3.756436311721802,-6.937,3.1805637
-4.61,-4.72021153640747,-5.757,1.0367885
-2.07,-2.3714469852447513,-5.094,2.722553
-0.33,-0.07463569450378404,-0.7229999999999999,0.6483643
-0.9,-0.5952078137397767,-1.491,0.8957922
-2.7,-3.258182487487793,-4.96,1.7018175
1.83,1.8247660293579102,0.8140000000000001,1.010766
-3.9,-2.878678004264832,-4.517,1.638322
-1.5,-1.4233640582263465,-1.4539999999999995,0.030635942
-6.6,-5.972485426902772,-7.579000000000001,1.6065146
2.0,2.458484877586365,0.939,1.5194849
-7.0,-8.04533101272583,-13.862,5.816669
-10.78,-14.52420907974243,-22.31,7.785791
-0.46,-0.055063398361205884,-2.058,2.0029366
-10.17,-9.449883383750915,-10.994,1.5441166
-2.75,-2.9740913963317874,-7.735,4.7609086
3.16,3.2132881050109865,2.063,1.1502881
-10.21,-7.964600337982178,-14.964,6.9993997
-4.42,-4.736409473180771,-5.131,0.39459053
-2.56,-3.9040685977935787,-7.209,3.3049314
-9.51,-8.416326862335206,-12.156,3.7396731
-5.0,-4.282687496423722,-4.6930000000000005,0.4103125
-14.21,-14.82049596118927,-16.648,1.827504
2.55,3.0085653381347655,1.933,1.0755653
-2.56,-2.7459882106781004,-5.284,2.5380118
-2.64,-2.9449029045104984,-5.408,2.463097
-5.22,-4.680758778572082,-5.292,0.6112412
-2.92,-2.9109899787902833,-4.378,1.46701
-4.5,-3.637953509807587,-3.277,-0.3609535
-1.66,-1.364804288625717,-1.4529999999999998,0.08819571
-11.85,-12.170168334960938,-16.782,4.6118317
-4.1,-4.524665490150452,-6.191000000000001,1.6663345
-7.66,-7.0882661581039415,-8.399999999999999,1.3117338
-1.93,-2.491883918762207,-3.897,1.4051161
-3.28,-3.4320906209945683,-5.23,1.7979094
-1.36,-1.2677753820419313,-2.164,0.8962246
-1.23,-1.3744719097614286,-1.5259999999999998,0.15152809
0.25,-0.17559749627113352,-0.6140000000000001,0.4384025
0.34,0.7149833338260652,0.2330000000000001,0.48198333
2.88,2.9980823221206663,1.494,1.5040823
-4.52,-5.05403674030304,-6.704000000000001,1.6499633
-2.26,-1.8266726493835446,-4.225,2.3983274
2.56,2.4999989519119263,1.451,1.048999
-5.33,-4.931601325035095,-6.216,1.2843987
-9.65,-8.541717669487,-10.122,1.5802823
-0.78,-0.4808879451751711,-0.9580000000000002,0.47711205
1.23,2.181410690307617,1.196,0.9854107
-5.04,-6.709083948135376,-8.035,1.325916
-9.8,-7.924242051839828,-8.065,0.14075795
-18.72,-18.448317722320557,-20.654,2.2056823
-10.64,-7.601647189140319,-9.078,1.4763528
-2.22,-2.696651328086853,-3.888,1.1913487
0.75,0.828344803571701,0.487,0.3413448
-4.01,-4.221220860481262,-5.385,1.1637791
-3.68,-3.2456191043853764,-6.573,3.327381
-0.4,0.03354674077034009,-0.2989999999999999,0.33254674
-1.24,-1.537887454032898,-3.25,1.7121125
-4.39,-4.247761548995971,-3.514,-0.73376155
-9.94,-8.446911945343018,-13.765,5.318088
-6.13,-5.53307933807373,-6.699999999999999,1.1669207
-6.13,-5.89470885181427,-7.054,1.1592911
-6.09,-6.401524606704712,-10.241,3.8394754
-4.69,-5.01549322795868,-6.3020000000000005,1.2865068
-3.78,-3.134479146957398,-4.531000000000001,1.3965209
-1.4,-1.2932535324096683,-2.2910000000000004,0.99774647
1.16,0.8654674611091613,0.1459999999999999,0.71946746
-1.08,-1.349203966140747,-1.6729999999999998,0.32379603
-4.31,-4.603514705657959,-8.711,4.1074853
-6.69,-8.200341205596924,-11.855,3.6546588
-0.85,-0.6033996295928956,-1.745,1.1416004
-7.65,-8.24573661518097,-9.742,1.4962634
-0.9,-1.2115414762496943,-2.9399999999999995,1.7284585
2.93,3.1984122371673585,1.81,1.3884122
-2.93,-3.137358002662659,-3.555,0.417642
-4.85,-4.464327083915473,-4.409000000000001,-0.055327084
-5.91,-5.347043941020965,-6.26,0.91295606
-3.64,-3.345270289421081,-3.2139999999999995,-0.13127029
2.88,2.9354032859802244,1.736,1.1994033
-4.91,-5.794818680763245,-7.1930000000000005,1.3981813
-0.86,-0.7287451276779173,-1.5759999999999998,0.8472549
-5.53,-6.116823837280273,-7.146999999999999,1.0301762
-4.95,-5.328373090595007,-5.277,-0.05137309
0.14,0.619075798511505,0.1869999999999998,0.4320758
-7.78,-9.74366003227234,-13.662,3.91834
-1.92,-2.717632038116455,-6.957,4.239368
-2.01,-1.6658741767406464,-1.437,-0.22887418
-3.17,-2.9231966190338134,-0.593,-2.3301966
-2.64,-2.448847571372986,-3.966,1.5171524
-4.04,-4.936277073383332,-5.906000000000001,0.9697229
-0.11,0.2711106719970702,-3.156,3.4271107
-16.92,-15.851940174102783,-20.52,4.66806
