expt,physics_ml,physics,ml
-3.82,-3.6875815603637694,-7.40799,3.7204084
-2.93,-3.0375090364837645,-4.61494,1.577431
-0.98,-1.3949357837867737,-1.03292,-0.36201578
-0.74,-1.008494754486084,-3.15843,2.1499352
-1.59,-1.5584634149742127,-1.07732,-0.48114341
-3.75,-3.9703443205833433,-3.77505,-0.19529432
-4.55,-4.916655666255951,-5.87065,0.95399433
-2.73,-2.5067353112745283,-2.41788,-0.08885531
-0.53,-0.5945326610565185,-2.7346,2.1400673
-0.25,0.17356437150955195,-0.71708,0.8906444
-5.48,-5.1744001968956,-4.36136,-0.8130402
2.51,2.678677635803223,1.40514,1.2735376
-0.64,-0.3173575611495971,1.28346,-1.6008176
-0.83,-0.8032927044410706,-0.126202,-0.6770907
-6.88,-4.8607347844314575,-6.78707,1.9263352
-4.84,-4.828111866893768,-4.16219,-0.66592187
-5.22,-3.3056258476867675,0.758061,-4.063687
-0.83,-1.1027494380247593,-1.12182,0.019070562
-0.68,-0.6119768141222001,-0.52897,-0.083006814
-4.93,-5.275952841777801,-4.70552,-0.57043284
-8.42,-9.066678947448729,-17.769,8.702321
-6.16,-6.107926974544525,-7.09326,0.985333
-2.23,-2.2732368746185303,-3.54854,1.2753031
-0.53,-0.9554544573860169,-0.480758,-0.47469646
-4.47,-4.921306571311951,-4.35282,-0.5684866
-7.17,-7.581384378204346,-4.25126,-3.3301244
-2.78,-2.845980245513916,-5.86792,3.0219398
3.43,4.0655556155700685,0.254252,3.8113036
-11.0,-11.153770424133539,-11.1336,-0.020170424
-6.21,-5.6501510848999015,-11.8365,6.186349
-5.71,-6.525420358276367,-8.60135,2.0759296
-5.26,-5.5148449796772,-5.99241,0.47756502
-1.14,-1.3872668238973618,-1.29576,-0.091506824
-2.4,-2.5868317479705807,-4.12996,1.5431283
-2.33,-2.253342830944061,-1.8648,-0.38854283
2.38,2.201690622348785,1.44952,0.7521706
-1.62,-2.515107857513428,0.120075,-2.6351829
-6.79,-7.23812118885994,-7.52273,0.2846088
-1.1,-1.74301774559021,-1.8681,0.12508225
-0.9,-1.3875988232433796,-1.43665,0.049051177
-3.52,-3.6466588069725034,-4.39293,0.7462712
-1.43,-1.8315075476264955,-0.99751,-0.83399755
0.0,0.23825489206123351,0.101348,0.13690689
1.47,1.0831632034528256,1.07213,0.011033203
-4.62,-4.858551118602753,-4.35224,-0.5063111
-2.38,-2.288925718631744,-2.95259,0.6636643
2.1,1.7902097581863403,1.31365,0.47655976
-9.34,-8.249614127349854,-5.4432,-2.8064141
-10.0,-9.490501838665008,-8.58373,-0.90677184
-3.5,-3.4477381330871584,-5.56639,2.1186519
-4.61,-4.195817317504883,-4.83052,0.6347027
-2.07,-2.201014703292847,-3.57202,1.3710053
-0.33,-0.38132307862758635,-0.47762,0.09629692
-0.9,-0.7940482422764301,-0.799137,0.0050887577
-2.7,-3.318918347917795,-3.34068,0.021761652
1.83,1.6105195315208434,0.946109,0.66441053
-3.9,-3.892744918870926,-3.7048,-0.18794492
-1.5,-1.3581994267158508,-0.982718,-0.37548143
-6.6,-7.012571725273132,-8.02315,1.0105783
2.0,2.426688387184143,1.12003,1.3066584
-7.0,-7.451630919647217,-14.5282,7.076569
-10.78,-13.170431640625,-21.678,8.507568
-0.46,-0.5075446060180666,-3.0203,2.5127554
-10.17,-10.21004845161438,-11.2377,1.0276515
-2.75,-2.611884199752808,-5.86739,3.2555058
3.16,2.8109594200134276,2.51855,0.29240942
-10.21,-7.063208427429199,-15.2775,8.214292
-4.42,-4.632892809181214,-5.43428,0.8013872
-2.56,-2.3728681054687497,-5.48206,3.109192
-9.51,-10.513146655654907,-12.4726,1.9594533
-5.0,-4.732949107837677,-5.6162,0.8832509
-14.21,-13.501145608520506,-16.0251,2.5239544
2.55,2.4070095539617538,2.29093,0.116079554
-2.56,-2.809865679664612,-4.24467,1.4348043
-2.64,-3.101965424766541,-4.53924,1.4372746
-5.22,-5.002521288852692,-4.42823,-0.5742913
-2.92,-3.6494673848342893,-3.33477,-0.31469738
-4.5,-4.241603984924317,-0.838771,-3.402833
-1.66,-2.0615140919113157,-1.30244,-0.7590741
-11.85,-11.79465390701294,-12.3627,0.5680461
-4.1,-4.022693846492768,-4.60303,0.58033615
-7.66,-7.786321444549561,-9.20204,1.4157186
-1.93,-2.402925712976456,-2.69166,0.2887343
-3.28,-3.641973981933594,-4.23033,0.588356
-1.36,-1.7781915695381165,-1.36047,-0.41772157
-1.23,-1.4978713344573975,-0.274275,-1.2235963
0.25,-0.09925734512901307,-0.276351,0.17709365
0.34,0.2730604280223846,0.119949,0.15311143
2.88,2.840397417831421,1.77155,1.0688474
-4.52,-5.202240112439394,-5.18411,-0.018130112
-2.26,-2.3013923358154296,-3.36217,1.0607777
2.56,2.6198501177215574,1.71404,0.9058101
-5.33,-5.414197469921112,-5.15847,-0.25572747
-9.65,-9.256321632957459,-10.4176,1.1612784
-0.78,-1.2302228347854613,-0.214983,-1.0152398
1.23,1.4359965137660504,1.45995,-0.023953486
-5.04,-5.247829336395264,-6.16124,0.91341066
-9.8,-10.230044929885864,-7.23115,-2.998895
-18.72,-19.23280251121521,-17.676,-1.5568025
-10.64,-9.098695973205567,-10.1438,1.045104
-2.22,-3.2087874181175233,-2.91149,-0.29729742
0.75,0.5142531930885315,0.837996,-0.3237428
-4.01,-4.501102332267761,-4.14466,-0.35644233
-3.68,-3.6930938797760007,-5.10333,1.4102361
-0.4,-0.40083507946586605,-0.532461,0.13162592
-1.24,-1.5277422999763488,-1.92444,0.3966977
-4.39,-4.743659692974091,-4.11972,-0.6239397
-9.94,-9.922452374267579,-14.8108,4.8883476
-6.13,-6.054512777137757,-7.28605,1.2315372
-6.13,-6.490594857406617,-7.64695,1.1563551
-6.09,-6.251877135467529,-11.9917,5.739823
-4.69,-5.572475561923981,-5.02207,-0.55040556
-3.78,-3.187964552809,-3.22477,0.036805447
-1.4,-1.7188844163227082,-1.49848,-0.22040442
1.16,0.7425384000244141,0.614294,0.1282444
-1.08,-1.4604898166160583,-0.784598,-0.6758918
-4.31,-4.868607256622315,-9.77372,4.9051127
-6.69,-7.901036152648926,-13.4748,5.573764
-0.85,-0.9521389679386616,-0.925864,-0.026274968
-7.65,-7.716542207908631,-8.7222,1.0056578
-0.9,-1.65812421230793,-1.75567,0.09754579
2.93,3.162705399284363,2.13476,1.0279454
-2.93,-3.714407362689972,-3.26924,-0.44516736
-4.85,-4.661633224334717,-5.40434,0.7427068
-5.91,-6.088405065193176,-7.01664,0.92823493
-3.64,-3.6975327287864683,-4.00587,0.30833727
2.88,2.438903130569458,2.11479,0.32411313
-4.91,-4.95856148197174,-4.36802,-0.5905415
-0.86,-0.9200820132124424,-0.910305,-0.009777013
-5.53,-4.850580985736847,-4.4052,-0.445381
-4.95,-5.282741249847412,-4.82255,-0.46019125
0.14,0.0694882864341736,0.701361,-0.6318727
-7.78,-9.155115384674072,-12.8871,3.7319846
-1.92,-2.23118083190918,-5.8345,3.6033192
-2.01,-1.9058614381408692,-1.37636,-0.52950144
-3.17,-3.9051578303527834,0.12063,-4.025788
-2.64,-3.04962842297554,-2.89825,-0.15137842
-4.04,-3.251508907928467,-6.10414,2.852631
-0.11,0.37452441207885734,-2.31658,2.6911044
-16.92,-16.597594058799743,-17.3403,0.74270594
-3.88,-3.894173932495117,-4.20869,0.31451607
-3.12,-2.7833080963897707,-1.51698,-1.2663281
-1.74,-1.9447519699001314,-2.20109,0.25633803
-3.92,-3.9493831656837464,-3.46184,-0.48754317
-1.21,-0.9998544200336934,-1.00181,0.00195558
-4.7,-4.603786868286133,-6.24795,1.6441631
-5.94,-6.574257475166321,-7.69278,1.1185225
-0.23,-0.4733954134132862,-0.421059,-0.052336413
-2.11,-1.969049916667938,-2.91517,0.9461201
-4.09,-4.057426760349274,-4.38816,0.33073324
-8.11,-7.914779282684327,-9.05962,1.1448407
-4.91,-4.9901701525783535,-4.61091,-0.37926015
-3.28,-3.572650999393463,-2.91009,-0.662561
-2.28,-2.2329191934204102,-3.43541,1.2024908
2.06,2.0197673962020875,1.81549,0.2042774
-2.82,-2.622314866000414,-2.5709,-0.051414866
-1.24,-1.2335243915987015,-1.35657,0.12304561
-0.19,-0.46396043564033507,-0.574862,0.110901564
-2.89,-2.8997815640974043,-2.83423,-0.065551564
-8.84,-6.654982430620193,-6.28067,-0.37431243
-1.66,-1.9433805030250548,-1.15759,-0.7857905
-7.28,-6.539912358560562,-6.20454,-0.33537236
-4.7,-4.701810598912239,-4.62444,-0.0773706
-3.92,-4.17697137714386,-6.07176,1.8947886
-4.02,-4.551564239196777,-6.62393,2.0723658
-3.64,-3.8553735832214358,-5.5929,1.7375264
-1.24,-2.370080678329468,-0.91786,-1.4522207
-3.13,-3.5208683955764775,-5.32551,1.8046416
-0.84,-1.2415641779339313,-1.27666,0.035095822
-2.74,-3.0097732018089296,-3.45786,0.4480868
-5.9,-6.427799486465454,-7.32407,0.8962705
1.68,1.2115364371414183,0.945712,0.26582444
2.93,2.4431486791419985,1.85463,0.5885187
-3.67,-3.4773645454597473,-3.09537,-0.38199455
2.56,2.9935554776382447,1.90077,1.0927855
-9.29,-10.132102689666748,-8.61467,-1.5174327
-7.48,-6.68183258682251,-6.40956,-0.2722726
-1.34,-2.3224420305023195,-0.257251,-2.065191
0.16,-0.42129866630840307,-0.559973,0.13867433
-4.63,-5.253709675998688,-4.68447,-0.5692397
-4.39,-4.955819682531357,-5.18593,0.23011032
3.13,2.6264253747653963,2.31727,0.30915537
-6.79,-6.2782081198501585,-7.21648,0.9382719
-4.97,-4.445621353454589,-9.34982,4.9041986
-1.17,-1.479549317318201,-1.49105,0.011500683
-2.78,-2.827922113585472,-2.90755,0.07962789
-1.39,-1.8654367097091675,-1.50682,-0.3586167
-0.11,-0.13994975227355955,-1.19719,1.0572402
-4.59,-4.631259748668671,-4.28572,-0.34553975
-23.62,-25.45411411590576,-31.9107,6.456586
-4.23,-5.051490457162857,-4.83936,-0.21213046
-7.63,-9.382528855056762,-8.85897,-0.52355886
-4.1,-3.6788773236083987,-4.72123,1.0423527
-4.84,-4.761851911602021,-4.42806,-0.3337919
-9.3,-9.083848932647705,-13.8859,4.802051
1.07,1.1779735153198243,-3.6782,4.8561735
-6.4,-6.344648969421387,-9.00201,2.657361
-2.55,-2.417800539161682,-0.774127,-1.6436735
-3.54,-4.584865385665894,-3.96239,-0.6224754
-2.29,-2.360613826599121,-3.76334,1.4027262
1.58,2.101127741394043,1.76431,0.33681774
0.27,0.3095425775909424,-1.93516,2.2447026
-6.01,-5.90158501953125,-6.97794,1.076355
-6.16,-6.660031011199951,-12.6951,6.035069
-5.49,-5.162499834012985,-4.7797,-0.38279983
-4.59,-4.955097281074524,-4.3041,-0.6509973
-3.52,-3.487346023426056,-3.68186,0.19451398
0.6,0.16494940350341797,0.371253,-0.2063036
-5.23,-5.5542461812973025,-5.37755,-0.17669618
-6.78,-7.637137812042237,-12.9509,5.313762
-5.99,-6.341574684791565,-8.26693,1.9253553
-1.46,-1.3330217974700926,-0.813754,-0.5192678
-11.53,-11.393725275039673,-12.074,0.6802747
-4.09,-3.6558120740890505,-4.5464,0.8905879
-3.3,-3.2076162687683105,-1.74864,-1.4589763
-4.58,-9.549085745620728,-11.2873,1.7382143
-6.12,-6.151583348731995,-5.84548,-0.30610335
-4.21,-4.242644597997665,-4.58149,0.3388454
-2.63,-2.468304334965944,-2.45856,-0.009744335
0.56,0.8997826166023254,-0.0848311,0.9846137
-3.73,-4.462253536796569,-4.23835,-0.22390354
2.3,2.4571765961456298,1.27798,1.1791966
-5.45,-6.018530173740387,-6.97596,0.9574298
-2.4,-2.550124632669687,-2.50642,-0.043704633
-5.73,-5.593209059009552,-5.15276,-0.44044906
