expt,physics_ml,physics,ml
-3.82,-4.9899139404296875,0,-4.989914
-2.93,-3.9077467918395996,0,-3.9077468
-0.98,-1.8573838472366333,0,-1.8573838
-0.74,-0.6079903841018677,0,-0.6079904
-1.59,-1.313004732131958,0,-1.3130047
-3.75,-5.040200710296631,0,-5.0402007
-4.55,-5.90979528427124,0,-5.9097953
-2.73,-1.8791674375534058,0,-1.8791674
-0.53,-0.55460125207901,0,-0.55460125
-0.25,0.17752325534820557,0,0.17752326
-5.48,-5.329305648803711,0,-5.3293056
2.51,2.6813647747039795,0,2.6813648
-0.64,-1.3502496480941772,0,-1.3502496
-0.83,-0.9752165675163269,0,-0.97521657
-6.88,-5.059905052185059,0,-5.059905
-4.84,-4.267454147338867,0,-4.267454
-5.22,-2.705728054046631,0,-2.705728
-0.83,-1.251179575920105,0,-1.2511796
-0.68,-0.8711118102073669,0,-0.8711118
-4.93,-5.4534454345703125,0,-5.4534454
-8.42,-7.795076370239258,0,-7.7950764
-6.16,-5.174271583557129,0,-5.1742716
-2.23,-4.070446014404297,0,-4.070446
-0.53,-1.9565905332565308,0,-1.9565905
-4.47,-3.369832992553711,0,-3.369833
-7.17,-7.997570037841797,0,-7.99757
-2.78,-2.64662504196167,0,-2.646625
3.43,-2.6280884742736816,0,-2.6280885
-11.0,-9.482760429382324,0,-9.48276
-6.21,-6.452263832092285,0,-6.452264
-5.71,-6.57874870300293,0,-6.5787487
-5.26,-5.3350725173950195,0,-5.3350725
-1.14,-1.5643655061721802,0,-1.5643655
-2.4,-3.7834973335266113,0,-3.7834973
-2.33,-2.040414333343506,0,-2.0404143
2.38,2.460897445678711,0,2.4608974
-1.62,-2.3321824073791504,0,-2.3321824
-6.79,-6.631841659545898,0,-6.6318417
-1.1,-0.681050717830658,0,-0.6810507
-0.9,-1.4516421556472778,0,-1.4516422
-3.52,-3.072739601135254,0,-3.0727396
-1.43,-1.391004204750061,0,-1.3910042
0.0,-0.06347916275262833,0,-0.06347916
1.47,0.597435712814331,0,0.5974357
-4.62,-4.64583683013916,0,-4.645837
-2.38,-1.2825969457626343,0,-1.282597
2.1,2.2658963203430176,0,2.2658963
-9.34,-4.162029266357422,0,-4.1620293
-10.0,-5.985665798187256,0,-5.985666
-3.5,-4.641003608703613,0,-4.6410036
-4.61,-4.244592666625977,0,-4.2445927
-2.07,-2.236567735671997,0,-2.2365677
-0.33,-0.7229958176612854,0,-0.7229958
-0.9,-1.2327907085418701,0,-1.2327907
-2.7,-2.902876377105713,0,-2.9028764
1.83,1.9848963022232056,0,1.9848963
-3.9,-3.759345054626465,0,-3.759345
-1.5,-1.759423851966858,0,-1.7594239
-6.6,-6.440420627593994,0,-6.4404206
2.0,2.355069637298584,0,2.3550696
-7.0,-6.113276481628418,0,-6.1132765
-10.78,-9.597225189208984,0,-9.597225
-0.46,0.36733946204185486,0,0.36733946
-10.17,-6.872349739074707,0,-6.8723497
-2.75,-3.6264591217041016,0,-3.6264591
3.16,2.4279158115386963,0,2.4279158
-10.21,-6.6615519523620605,0,-6.661552
-4.42,-2.9796528816223145,0,-2.979653
-2.56,-3.8932666778564453,0,-3.8932667
-9.51,-6.308748245239258,0,-6.3087482
-5.0,-5.803427219390869,0,-5.803427
-14.21,-9.839201927185059,0,-9.839202
2.55,2.4125237464904785,0,2.4125237
-2.56,-3.9270925521850586,0,-3.9270926
-2.64,-3.759385824203491,0,-3.7593858
-5.22,-4.867959976196289,0,-4.86796
-2.92,-2.7262401580810547,0,-2.7262402
-4.5,-6.611211776733398,0,-6.611212
-1.66,-1.433284044265747,0,-1.433284
-11.85,-10.567544937133789,0,-10.567545
-4.1,-3.9901201725006104,0,-3.9901202
-7.66,-5.834830284118652,0,-5.8348303
-1.93,-1.648300290107727,0,-1.6483003
-3.28,-2.867913246154785,0,-2.8679132
-1.36,-1.5564922094345093,0,-1.5564922
-1.23,-1.391809344291687,0,-1.3918093
0.25,-0.6938421130180359,0,-0.6938421
0.34,0.10980623215436935,0,0.10980623
2.88,2.6561100482940674,0,2.65611
-4.52,-3.51292085647583,0,-3.5129209
-2.26,-3.2808427810668945,0,-3.2808428
2.56,2.5427446365356445,0,2.5427446
-5.33,-2.83953857421875,0,-2.8395386
-9.65,-7.730806350708008,0,-7.7308064
-0.78,-2.1238598823547363,0,-2.12386
1.23,2.377422571182251,0,2.3774226
-5.04,-5.053409099578857,0,-5.053409
-9.8,-4.954839706420898,0,-4.9548397
-18.72,-16.89790916442871,0,-16.89791
-10.64,-6.230727672576904,0,-6.2307277
-2.22,-1.9755322933197021,0,-1.9755323
0.75,1.6862455606460571,0,1.6862456
-4.01,-4.520820140838623,0,-4.52082
-3.68,-3.511786460876465,0,-3.5117865
-0.4,-0.25039947032928467,0,-0.25039947
