expt,physics_ml,physics,ml
-3.82,-4.4134256525039675,-5.442,1.0285743
-2.93,-3.065004517555237,-3.652,0.5869955
-0.98,-1.081323609352112,-0.11,-0.9713236
-0.74,-0.8631353106498718,-0.609,-0.2541353
-1.59,-1.9493193788528442,-0.617,-1.3323194
-3.75,-2.5990368905067442,-3.344,0.7449631
-4.55,-4.422767488479614,-3.317,-1.1057675
-2.73,-1.70642591714859,-1.325,-0.38142592
-0.53,-0.7126027755737305,-0.443,-0.26960278
-0.25,-0.28104120922088627,0.833,-1.1140412
-5.48,-4.968070061206817,-4.345,-0.62307006
2.51,1.9821779904365537,2.506,-0.523822
-0.64,-0.21239840030670165,0.885,-1.0973984
-0.83,-0.49405968046188353,0.139,-0.6330597
-6.88,-6.744197100877762,-6.588,-0.1561971
-4.84,-3.4603785099983217,-2.869,-0.5913785
-5.22,-2.565352639198303,-1.284,-1.2813526
-0.83,-0.9401705296039581,-0.697,-0.24317053
-0.68,-0.6070637104511261,-0.456,-0.15106371
-4.93,-4.308302765369415,-3.343,-0.96530277
-8.42,-12.395261219024658,-13.953,1.5577388
-6.16,-6.003548799037933,-5.148,-0.8555488
-2.23,-1.906925419807434,-2.929,1.0220746
-0.53,-0.8671166567802429,-0.178,-0.68911666
-4.47,-4.296576989173889,-3.288,-1.008577
-7.17,-6.912456515789032,-6.116,-0.7964565
-2.78,-3.4174229531288143,-4.028,0.61057705
3.43,2.2397092957496643,3.077,-0.8372907
-11.0,-9.934770047187806,-10.412,0.47722995
-6.21,-6.895116844654083,-7.878,0.98288316
-5.71,-7.774476857662201,-8.683,0.90852314
-5.26,-4.8134032802581785,-4.308,-0.5054033
-1.14,-1.2151788573265074,-0.473,-0.74217886
-2.4,-2.8186074295043944,-3.304,0.48539257
-2.33,-1.8374363422393798,-1.275,-0.56243634
2.38,1.8522813582420348,2.59,-0.73771864
-1.62,-1.5536890401840209,0.136,-1.689689
-6.79,-6.5062415885925295,-5.28,-1.2262416
-1.1,-1.6518234796524047,-0.182,-1.4698235
-0.9,-1.0205375337600708,-0.79,-0.23053753
-3.52,-2.9738811168670654,-3.166,0.19211888
-1.43,-1.2373655233383178,-0.091,-1.1463655
0.0,-0.005642212867736918,1.261,-1.2666422
1.47,1.7708953604698183,2.486,-0.71510464
-4.62,-4.44083191871643,-3.145,-1.2958319
-2.38,-2.437082782268524,-1.853,-0.5840828
2.1,1.338765085220337,2.588,-1.2492349
-9.34,-7.794819977462292,-7.873,0.07818002
-10.0,-7.968325890064239,-8.276,0.3076741
-3.5,-3.3183950768113135,-3.372,0.053604923
-4.61,-2.6990253500938417,-3.043,0.34397465
-2.07,-2.2889285952448843,-2.336,0.047071405
