expt,physics_ml,physics,ml
-3.82,-4.164321447448731,-6.57758,2.4132586
-2.93,-3.2642123439216615,-3.66474,0.40052766
-0.98,-1.2652369876432419,-1.45543,0.19019301
-0.74,-0.8896753331756592,0.116715,-1.0063903
-1.59,-1.3788861412029267,-0.907798,-0.47108814
-3.75,-3.8216986847305296,-2.45829,-1.3634087
-4.55,-4.7574802566576,-4.56098,-0.19650026
-2.73,-2.6486199724960326,-1.61028,-1.03834
-0.53,-0.6363372515487671,0.516745,-1.1530823
-0.25,0.005832302221298213,-0.333791,0.3396233
-5.48,-5.310438418426514,-2.99454,-2.3158984
2.51,2.6159448397827147,1.90732,0.70862484
-0.64,0.18574765438079832,1.07819,-0.89244235
-0.83,-0.7871595260604858,0.0647066,-0.8518661
-6.88,-6.132067252388,-7.73074,1.5986727
-4.84,-4.7897340599823,-4.24443,-0.54530406
-5.22,-3.43093658694458,-0.845567,-2.5853696
-0.83,-0.9410574100589753,-0.78156,-0.15949741
-0.68,-0.38931512542057034,-0.174978,-0.21433713
-4.93,-4.781952731255293,-4.83966,0.05770727
-8.42,-8.398783646392822,-13.7258,5.3270164
-6.16,-5.936338207778931,-5.22681,-0.7095282
-2.23,-2.2262500949573516,-2.60682,0.3805699
-0.53,-0.591004670288086,-0.328502,-0.26250267
-4.47,-4.473912103805542,-3.01116,-1.4627521
-7.17,-6.5788111014938355,-5.51506,-1.0637511
-2.78,-2.540914659118652,-4.6221,2.0811853
3.43,3.480031314306259,3.87818,-0.3981487
-11.0,-10.907627115774154,-10.5443,-0.36332712
-6.21,-6.262668735237122,-8.16397,1.9013013
-5.71,-6.565747124176025,-7.41548,0.8497329
-5.26,-5.349253353347779,-4.98249,-0.36676335
-1.14,-1.350672474192381,-1.37383,0.023157526
-2.4,-2.9499407400989535,-3.03474,0.08479926
-2.33,-1.977359674736023,-0.656971,-1.3203887
2.38,2.3906345695400235,1.92139,0.46924457
-1.62,-1.0493227808246612,-0.702526,-0.34679678
-6.79,-6.540231826553344,-5.55451,-0.9857218
-1.1,-0.6062774050521851,0.13347,-0.7397474
-0.9,-1.0231610993432998,-1.10628,0.0831189
-3.52,-3.4614816429901123,-2.92428,-0.53720164
-1.43,-1.6206869160461426,-1.25393,-0.36675692
0.0,-0.11011900537109376,0.494274,-0.604393
1.47,1.4941159159946442,1.58098,-0.086864084
-4.62,-4.569884039802551,-2.76292,-1.806964
-2.38,-2.325611770944595,-2.19608,-0.12953177
2.1,1.9332643169116974,1.77912,0.15414432
-9.34,-9.048015008850097,-6.18442,-2.863595
-10.0,-10.622586565399171,-7.0254,-3.5971866
-3.5,-3.678197497353554,-3.82261,0.1444125
-4.61,-4.033727071456909,-3.38543,-0.6482971
-2.07,-1.9566089694440365,-1.9494,-0.0072089694
-0.33,-0.6210729652709961,-0.111232,-0.50984097
-0.9,-0.8948788947696686,-0.454687,-0.4401919
-2.7,-2.3367810443115236,-3.21382,0.87703896
1.83,1.5905442758607864,1.41048,0.18006428
-3.9,-3.573295314865112,-2.54708,-1.0262153
-1.5,-1.24769470337677,0.226437,-1.4741317
-6.6,-6.750577381286621,-6.11241,-0.6381674
2.0,1.6637193889713286,1.58001,0.08370939
-7.0,-6.558760120391845,-10.9895,4.43074
-10.78,-12.214846557617186,-17.7065,5.4916534
-0.46,-0.2958870346450806,0.349135,-0.64502203
-10.17,-10.10742372777462,-10.1784,0.07097627
-2.75,-2.785849199142456,-3.91934,1.1334908
3.16,3.2466383317518233,3.02248,0.22415833
-10.21,-8.317032448577882,-13.1193,4.8022676
-4.42,-5.149521433286667,-5.63668,0.48715857
-2.56,-2.702109992446899,-4.23319,1.53108
-9.51,-9.402330021095276,-10.0267,0.62437
-5.0,-4.690574072227478,-3.71136,-0.9792141
-14.21,-13.876984527438879,-13.9255,0.048515473
2.55,2.7732688235712053,2.63282,0.14044882
-2.56,-2.635919338645935,-3.25219,0.61627066
-2.64,-2.764026675605774,-3.4179,0.6538733
