expt,physics_ml,physics,ml
-3.82,-3.863444949417114,-5.70653,1.843085
-2.93,-3.0281168438720707,-4.29168,1.2635632
-0.98,-1.1302230920829772,-0.999704,-0.13051909
-0.74,-0.635818954334259,-1.27761,0.64179105
-1.59,-1.007495304347992,-0.719727,-0.2877683
-3.75,-3.5785636995697025,-4.06934,0.4907763
-4.55,-5.054504489440918,-3.02802,-2.0264845
-2.73,-2.192292602777481,-2.63325,0.4409574
-0.53,-0.2729296085128784,-0.940476,0.6675464
-0.25,0.17841951488876345,-0.471056,0.6494755
-5.48,-5.30575720451355,-3.16298,-2.1427772
2.51,3.196900811538696,1.94086,1.2560408
-0.64,-0.20619028337097167,-0.443376,0.23718572
-0.83,-0.4748321772445679,0.0773561,-0.5521883
-6.88,-5.810726529788971,-6.14795,0.33722347
-4.84,-4.27746358376503,-4.40906,0.13159642
-5.22,-5.080157260055541,-2.18137,-2.8987873
-0.83,-1.3502835792541503,-1.44315,0.09286642
-0.68,-0.9597332209715843,-0.835526,-0.12420722
-4.93,-4.636475281382799,-4.65612,0.019644719
-8.42,-9.333367454528808,-12.837,3.5036325
-6.16,-6.179585507316589,-4.45142,-1.7281655
-2.23,-2.2618127014923095,-3.55178,1.2899673
-0.53,-0.6269637260375976,-0.0964986,-0.5304651
-4.47,-4.274050934066772,-3.08674,-1.1873109
-7.17,-6.980455729999543,-6.12954,-0.85091573
-2.78,-2.651381300430298,-4.36373,1.7123487
3.43,3.9534211633491516,4.87378,-0.92035884
-11.0,-10.865248878717422,-11.027,0.16175112
-6.21,-5.772205219345093,-7.45533,1.6831248
-5.71,-5.515324623031617,-9.16167,3.6463454
-5.26,-5.243240556869507,-4.11941,-1.1238306
-1.14,-1.430361547794342,-1.21859,-0.21177155
-2.4,-2.2010895705795286,-3.65181,1.4507204
-2.33,-1.8550201909828186,-2.13828,0.2832598
2.38,2.2883339169979093,1.99285,0.29548392
-1.62,-1.385734269416809,-0.783938,-0.60179627
-6.79,-6.649958468818665,-6.0964,-0.55355847
-1.1,-1.5621316063308717,-1.82824,0.2661084
-0.9,-1.5653819806182385,-1.62474,0.05935802
-3.52,-3.329149292602539,-4.42939,1.1002407
-1.43,-0.928873909111023,-1.41537,0.4864961
0.0,0.41179748527336124,0.166193,0.24560449
1.47,1.5290856903910637,1.41845,0.11063569
-4.62,-4.376886256599427,-2.75965,-1.6172363
-2.38,-2.043214831676483,-2.83859,0.79537517
2.1,1.8698462696161866,1.86422,0.0056262696
-9.34,-9.294831105041503,-7.0233,-2.271531
-10.0,-9.445317059001923,-8.86721,-0.57810706
-3.5,-3.3510241742706297,-4.48506,1.1340358
-4.61,-4.477557075977326,-4.84475,0.36719292
-2.07,-2.0696156669044496,-2.91204,0.84242433
-0.33,-0.05505474798202514,-0.33592,0.28086525
-0.9,-1.02352063875556,-1.05546,0.03193936
-2.7,-2.8447353489685057,-3.36853,0.52379465
1.83,1.562736109765172,1.58483,-0.02209389
-3.9,-3.4941025767707825,-3.87304,0.37893742
-1.5,-0.8823951169872284,-1.21919,0.33679488
-6.6,-7.345509824752807,-5.06,-2.2855098
2.0,1.8623170098304749,1.7034,0.15891701
-7.0,-6.744311712646484,-10.2434,3.4990883
-10.78,-12.820104349517823,-16.3334,3.5132957
-0.46,-0.3878113720321654,-1.27049,0.8826786
-10.17,-9.707514720993043,-7.41383,-2.2936847
-2.75,-2.515728839035034,-3.69162,1.1758912
3.16,2.800137235324383,2.91848,-0.118342765
-10.21,-7.500286630249024,-10.9961,3.4958134
-4.42,-5.1021511945915226,-4.54452,-0.5576312
-2.56,-2.6976511980438236,-4.44589,1.7482388
-9.51,-10.171424797058105,-8.1405,-2.0309248
-5.0,-4.580837675170899,-3.49758,-1.0832577
-14.21,-12.48017158279419,-14.8526,2.3724284
2.55,2.37131551312685,2.45293,-0.08161449
-2.56,-2.7036869964218138,-3.93896,1.235273
-2.64,-2.784483925170899,-4.44732,1.6628361
-5.22,-4.709643013153076,-4.45391,-0.255733
-2.92,-2.956219143066406,-3.39716,0.44094086
-4.5,-4.267616363182068,-2.76389,-1.5037264
-1.66,-1.4497788160476683,-0.987116,-0.46266282
-11.85,-11.39359362335205,-16.8997,5.5061064
-4.1,-3.7408044427680966,-4.35713,0.61632556
-7.66,-7.974563710174561,-5.90371,-2.0708537
-1.93,-1.933633435382843,-2.62514,0.69150656
-3.28,-3.122923107070923,-4.24967,1.1267469
-1.36,-1.577830445046425,-1.42337,-0.15446045
-1.23,-1.1825692794585227,-1.06334,-0.11922928
0.25,0.2042905685710907,-0.15377,0.35806057
0.34,0.47907309012985233,0.154981,0.3240921
2.88,3.1917702149391176,2.28365,0.9081202
-4.52,-4.352865959892273,-4.74726,0.39439404
-2.26,-1.6869564436340334,-3.31809,1.6311336
2.56,2.6703875124931336,2.26505,0.4053375
-5.33,-4.247906345667839,-4.45569,0.20778365
-9.65,-9.03651770050049,-6.91532,-2.1211977
-0.78,-0.5549839425437451,-0.522718,-0.032265943
1.23,1.2866163697242736,1.6215,-0.33488363
-5.04,-4.895057770080566,-6.65232,1.7572622
-9.8,-9.285790220870972,-8.14114,-1.1446502
-18.72,-18.03674854736328,-18.2348,0.19805145
-10.64,-8.460824007797243,-6.17855,-2.282274
-2.22,-1.919280506210327,-2.90258,0.9832995
0.75,0.7734000389671325,1.18976,-0.41635996
-4.01,-4.475537195823192,-4.41646,-0.059077196
-3.68,-3.7100203103065494,-4.5269,0.8168797
-0.4,-0.06733721530342102,-0.412074,0.34473678
-1.24,-1.0578451652526857,-2.152,1.0941548
-4.39,-4.271867328453064,-2.5708,-1.7010673
-9.94,-7.8759559715271,-9.41755,1.541594
-6.13,-6.566651261291504,-4.28096,-2.2856913
-6.13,-6.813107671661377,-4.56342,-2.2496877
-6.09,-5.782596643829346,-7.55965,1.7770534
-4.69,-4.377616452617645,-4.80417,0.42655355
-3.78,-3.469767230594158,-3.55265,0.08288277
-1.4,-1.8654276011753081,-2.35133,0.4859024
1.16,1.3173221146697998,0.988937,0.3283851
-1.08,-0.8537042817754745,-0.666442,-0.18726228
-4.31,-5.030466521148682,-3.20438,-1.8260865
-6.69,-7.086773477134704,-8.97106,1.8842865
-0.85,-1.3386956535181402,-1.34506,0.0063643465
-7.65,-7.978874327850342,-13.5122,5.5333257
-0.9,-1.2889496200466155,-1.75629,0.46734038
2.93,3.5473851817321775,2.63907,0.9083152
-2.93,-2.858153806934357,-2.99426,0.1361062
-4.85,-4.598554610748291,-3.33427,-1.2642846
-5.91,-5.981488950386048,-4.30714,-1.674349
-3.64,-3.552118678894043,-2.09909,-1.4530287
2.88,2.46128670296669,2.5646,-0.1033133
-4.91,-5.2407541845321655,-7.0248,1.7840458
-0.86,-1.2219363390290736,-1.18579,-0.03614634
-5.53,-4.905269493103027,-6.689,1.7837305
-4.95,-5.053435732297897,-5.50793,0.45449427
0.14,0.4856712593083382,0.532738,-0.04706674
-7.78,-7.77212628112793,-9.22536,1.4532337
-1.92,-1.8622454544067386,-5.60085,3.7386045
-2.01,-1.655815095626831,-0.920562,-0.7352531
-3.17,-3.3595603601074218,-2.31716,-1.0424004
-2.64,-2.559487034959793,-2.97567,0.41618297
-4.04,-3.82090194404602,-5.70588,1.884978
-0.11,-0.6453442442321777,-1.13449,0.48914576
-16.92,-17.18873447775841,-17.5375,0.34876552
-3.88,-3.7624883544158934,-2.30847,-1.4540184
-3.12,-2.3365526927375795,-1.46084,-0.8757127
-1.74,-1.415865046914816,-1.37084,-0.045025047
-3.92,-4.1929816605758665,-2.26997,-1.9230117
-1.21,-1.4179793435811996,-1.2888,-0.12917934
-4.7,-4.333526830291748,-6.00335,1.6698232
-5.94,-6.0560890122985835,-5.00766,-1.048429
-0.23,-0.3007786278343201,-1.05596,0.7551814
-2.11,-1.5962227704238892,-2.93872,1.3424972
-4.09,-3.8827721738815306,-2.43375,-1.4490222
-8.11,-7.806621459960938,-5.76025,-2.0463715
-4.91,-4.4059341236495975,-4.80414,0.39820588
-3.28,-3.105169685306549,-2.54119,-0.5639797
-2.28,-2.0185528644180297,-3.40136,1.3828071
2.06,2.440354936466217,1.93711,0.50324494
-2.82,-2.595756797876358,-2.41459,-0.1811668
-1.24,-1.0388453210258484,-1.56209,0.5232447
-0.19,-0.1144174887084961,-1.01339,0.8989725
-2.89,-3.379962980861664,-3.72112,0.34115702
-8.84,-8.404952363128663,-9.68762,1.2826676
-1.66,-1.3841582376098633,-1.57366,0.18950176
-7.28,-6.703983048362732,-8.42742,1.723437
-4.7,-4.50647152305603,-4.89176,0.38528848
-3.92,-4.296790956783295,-5.28305,0.98625904
-4.02,-3.9536265738677976,-5.96932,2.0156934
