expt,physics_ml,physics,ml
-3.82,-3.0763682212829586,-10.084,7.007632
-2.93,-1.9073252334594732,-5.664000000000001,3.7566748
-0.98,-0.9179925289154052,-1.884,0.9660075
-0.74,-0.5813106269836426,-2.347,1.7656894
-1.59,-0.6195178575515747,-1.157,0.53748214
-3.75,-3.5273794689178466,-4.779,1.2516205
-4.55,-4.372637240409851,-5.567,1.1943628
-2.73,-1.9335876379013062,-3.516,1.5824124
-0.53,-0.3009839487075805,-1.92,1.619016
-0.25,0.1621572818756104,-0.941,1.1031573
-5.48,-4.656206226348877,-3.6,-1.0562062
2.51,2.4054862995147706,1.177,1.2284863
-0.64,0.3517890074253082,0.054,0.297789
-0.83,0.20303498411178578,-0.1260000000000001,0.32903498
-6.88,-8.182084057569503,-8.578999999999999,0.39691594
-4.84,-4.052568460464478,-4.9510000000000005,0.89843154
-5.22,0.7181766355037689,0.565,0.15317664
-0.83,-0.7562772827148441,-1.9830000000000003,1.2267227
-0.68,-0.3666254024505615,-1.373,1.0063746
-4.93,-4.448147646903992,-5.8420000000000005,1.3938524
-8.42,-10.660919044494626,-17.747999999999998,7.087081
-6.16,-5.392977595806121,-6.337999999999999,0.9450224
-2.23,-1.8200149173736566,-4.436999999999999,2.616985
-0.53,-0.4304113772511482,-0.47,0.039588623
-4.47,-2.7556009073257446,-3.952,1.1963991
-7.17,-7.443922210693359,-4.476,-2.9679222
-2.78,-2.471581993103027,-7.81,5.338418
3.43,4.922165584564209,-1.05,5.9721656
-11.0,-10.704639514923096,-13.534,2.8293605
-6.21,-4.942669006347657,-10.271,5.328331
-5.71,-7.593768634796142,-10.415,2.8212314
-5.26,-4.871030815124512,-5.908,1.0369692
-1.14,-0.8685598306655882,-2.143,1.2744402
-2.4,-1.662084138870239,-4.938,3.2759159
-2.33,-1.3292805843353273,-1.618,0.28871942
2.38,1.9086376080513001,1.201,0.7076376
-1.62,-1.584564034461975,-0.4169999999999998,-1.167564
-6.79,-5.943367367744446,-7.431,1.4876326
-1.1,-1.089711088657379,-1.932,0.8422889
-0.9,-0.965600597381592,-2.462,1.4963994
-3.52,-3.2737535629272463,-5.341,2.0672464
-1.43,-1.1576309456825256,-1.914,0.75636905
0.0,0.5636270995140076,-0.238,0.8016271
1.47,1.7632823820114136,0.562,1.2012824
-4.62,-3.499862911939621,-3.734,0.23413709
-2.38,-2.2999503545761106,-3.643,1.3430496
2.1,1.7843066377639771,1.092,0.69230664
-9.34,-4.9481808261871345,-5.558000000000001,0.6098192
-10.0,-9.1911667470932,-10.138,0.94683325
-3.5,-3.1366276378631595,-6.937,3.8003724
-4.61,-3.7266316719055173,-5.757,2.0303683
-2.07,-2.167330402374268,-5.094,2.9266696
-0.33,0.14690720033645643,-0.7229999999999999,0.8699072
-0.9,-0.5605487260818482,-1.491,0.9304513
-2.7,-2.8448941326141357,-4.96,2.1151059
1.83,1.6648260846138,0.8140000000000001,0.8508261
-3.9,-2.563271681785584,-4.517,1.9537283
-1.5,-0.46280569219589185,-1.4539999999999995,0.9911943
-6.6,-6.381975773811341,-7.579000000000001,1.1970242
2.0,1.8625795736312867,0.939,0.9235796
-7.0,-6.847872268676758,-13.862,7.0141277
-10.78,-15.21268039703369,-22.31,7.0973196
-0.46,-0.3852403478622435,-2.058,1.6727597
-10.17,-9.823068541526794,-10.994,1.1709315
-2.75,-0.836733207702637,-7.735,6.898267
3.16,2.4918346469402315,2.063,0.42883465
-10.21,-7.882383598327637,-14.964,7.0816164
-4.42,-4.232768374443054,-5.131,0.8982316
-2.56,-1.9688342895507809,-7.209,5.2401657
-9.51,-8.371608596801758,-12.156,3.7843914
-5.0,-4.063166301727295,-4.6930000000000005,0.6298337
-14.21,-11.602807758331299,-16.648,5.0451922
2.55,1.4904049651622773,1.933,-0.44259503
-2.56,-2.277389844894409,-5.284,3.0066102
-2.64,-1.4140636997222904,-5.408,3.9939363
-5.22,-4.036922280311584,-5.292,1.2550777
-2.92,-3.0432785539627076,-4.378,1.3347214
-4.5,-5.134067227363587,-3.277,-1.8570672
-1.66,-0.9757863192558287,-1.4529999999999998,0.47721368
-11.85,-11.422069007873535,-16.782,5.359931
-4.1,-4.043781057357789,-6.191000000000001,2.147219
-7.66,-7.078601980209349,-8.399999999999999,1.321398
-1.93,-2.2752678842544554,-3.897,1.6217321
-3.28,-3.2084412384033207,-5.23,2.0215588
-1.36,-1.0166320457458498,-2.164,1.147368
-1.23,-1.036328263044357,-1.5259999999999998,0.48967174
0.25,0.6007159576416015,-0.6140000000000001,1.214716
0.34,0.521814663887024,0.2330000000000001,0.28881466
2.88,2.3265729370117185,1.494,0.83257294
-4.52,-4.652146343231202,-6.704000000000001,2.0518537
-2.26,-0.2902542114257809,-4.225,3.9347458
2.56,2.214414263725281,1.451,0.76341426
-5.33,-4.3306764755249025,-6.216,1.8853235
-9.65,-8.838695308685303,-10.122,1.2833047
-0.78,-0.6327973263263704,-0.9580000000000002,0.32520267
1.23,0.8089718720912933,1.196,-0.38702813
-5.04,-6.940911326408386,-8.035,1.0940887
-9.8,-9.608664455413818,-8.065,-1.5436645
-18.72,-17.201077178955078,-20.654,3.4529228
-10.64,-8.846448173999786,-9.078,0.23155183
-2.22,-2.1736396436691283,-3.888,1.7143604
0.75,0.08675111484527587,0.487,-0.4002489
-4.01,-4.084025869369507,-5.385,1.3009741
-3.68,-3.231047437667847,-6.573,3.3419526
-0.4,0.13618644571304334,-0.2989999999999999,0.43518645
-1.24,-1.4836996793746948,-3.25,1.7663003
-4.39,-3.3576427414417265,-3.514,0.15635726
-9.94,-6.996144905090333,-13.765,6.768855
-6.13,-5.7411370992660515,-6.699999999999999,0.9588629
-6.13,-6.125860671043396,-7.054,0.9281393
-6.09,-4.212590518951416,-10.241,6.0284095
-4.69,-4.072964860916138,-6.3020000000000005,2.2290351
-3.78,-2.9585772571563727,-4.531000000000001,1.5724227
-1.4,-0.012866607666015994,-2.2910000000000004,2.2781334
1.16,1.836191864967346,0.1459999999999999,1.6901919
-1.08,-0.7462780098915098,-1.6729999999999998,0.926722
-4.31,-2.926293884277344,-8.711,5.784706
-6.69,-5.7678561019897465,-11.855,6.087144
-0.85,-0.3871971321105958,-1.745,1.3578029
-7.65,-8.002720133781434,-9.742,1.7392799
-0.9,-0.7328962707519526,-2.9399999999999995,2.2071037
2.93,2.6166592812538148,1.81,0.8066593
-2.93,-2.629674963951111,-3.555,0.92532504
-4.85,-4.019622376203538,-4.409000000000001,0.38937762
-5.91,-5.429453620910644,-6.26,0.8305464
-3.64,-3.109614422857761,-3.2139999999999995,0.10438558
2.88,2.2351158246994016,1.736,0.49911582
-4.91,-5.833422940254212,-7.1930000000000005,1.3595771
-0.86,-0.6816362986564635,-1.5759999999999998,0.8943637
-5.53,-5.651515051841735,-7.146999999999999,1.495485
-4.95,-5.116680731296539,-5.277,0.16031927
0.14,0.984410726547241,0.1869999999999998,0.7974107
-7.78,-8.926744758605958,-13.662,4.7352552
-1.92,-1.1439521141052245,-6.957,5.813048
-2.01,-0.9396986300945283,-1.437,0.49730137
-3.17,-2.7249031715393066,-0.593,-2.1319032
-2.64,-2.631265202522278,-3.966,1.3347348
-4.04,-4.504093152046204,-5.906000000000001,1.4019068
-0.11,-0.04986200904846205,-3.156,3.106138
-16.92,-16.22289945602417,-20.52,4.2971005
-3.88,-3.2851955974102025,-3.4150000000000005,0.1298044
-3.12,-2.2068720684051515,-1.386,-0.82087207
-1.74,-1.468749492645263,-2.6179999999999994,1.1492505
-3.92,-2.1215544099807744,-3.1370000000000005,1.0154456
-1.21,-0.6382452087402344,-1.633,0.9947548
-4.7,-3.9751617603301996,-7.742999999999999,3.7678382
-5.94,-5.399290375709533,-7.055,1.6557096
-0.23,-0.11606027603149394,-1.5199999999999998,1.4039397
-2.11,-0.8617077102661126,-3.7239999999999993,2.8622923
-4.09,-3.365320463180542,-3.52,0.15467954
-8.11,-7.621035176277161,-8.756,1.1349648
-4.91,-3.836111634254455,-5.242999999999999,1.4068884
-3.28,-3.127294824361801,-2.654,-0.47329482
-2.28,-1.6214025859832768,-4.238,2.6165974
2.06,2.3656009607315065,1.043,1.322601
-2.82,-2.1885061178207392,-3.5409999999999995,1.3524939
-1.24,-1.2110001440048217,-2.662,1.4509999
-0.19,-0.04629672384262107,-0.9960000000000002,0.9497033
-2.89,-2.7374267454147336,-4.087,1.3495733
-8.84,-8.726443328380585,-8.952,0.22555667
-1.66,-1.2716728689670564,-1.4440000000000002,0.17232713
-7.28,-7.198078301429749,-9.178,1.9799217
-4.7,-3.8868594532012937,-5.313,1.4261405
-3.92,-3.761932868957519,-7.645,3.8830671
-4.02,-3.3627580871582037,-8.749,5.386242
-3.64,-3.5497403411865234,-7.053,3.5032597
-1.24,-1.1415677540302276,-1.543,0.40143225
-3.13,-1.1158372421264646,-6.377,5.2611628
-0.84,-0.6503449811935427,-1.7140000000000002,1.063655
-2.74,-3.001214102745056,-4.404,1.4027859
