expt,physics_ml,physics,ml
-3.82,-3.7428839418792723,-7.40799,3.665106
-2.93,-3.072060656967163,-4.61494,1.5428793
-0.98,-0.9286721319389344,-1.03292,0.10424787
-0.74,-0.7993983227539063,-3.15843,2.3590317
-1.59,-1.4854940081310273,-1.07732,-0.408174
-3.75,-3.5756453580141065,-3.77505,0.19940464
-4.55,-4.11360973777771,-5.87065,1.7570403
-2.73,-2.1143825961399076,-2.41788,0.3034974
-0.53,-0.5385379119873046,-2.7346,2.196062
-0.25,0.06406295005798335,-0.71708,0.78114295
-5.48,-5.322028802261353,-4.36136,-0.9606688
2.51,2.912779050483704,1.40514,1.507639
-0.64,-0.3345370502853393,1.28346,-1.617997
-0.83,-0.41370497427177433,-0.126202,-0.28750297
-6.88,-7.1837531266880035,-6.78707,-0.39668313
-4.84,-4.45661498087883,-4.16219,-0.29442498
-5.22,-3.6326731957092284,0.758061,-4.390734
-0.83,-0.9107714863491059,-1.12182,0.21104851
-0.68,-0.29482389673709875,-0.52897,0.2341461
-4.93,-4.4640466679525375,-4.70552,0.24147333
-8.42,-9.664773887634276,-17.769,8.104226
-6.16,-5.260568568954468,-7.09326,1.8326914
-2.23,-2.08580065158844,-3.54854,1.4627393
-0.53,-0.5475580802397728,-0.480758,-0.06680008
-4.47,-4.141594996995926,-4.35282,0.211225
-7.17,-7.515798288116455,-4.25126,-3.2645383
-2.78,-3.1187127417755125,-5.86792,2.7492073
3.43,3.2012012435455324,0.254252,2.9469492
-11.0,-10.80512601480484,-11.1336,0.328474
-6.21,-6.4507468452453605,-11.8365,5.385753
-5.71,-6.431546142196655,-8.60135,2.1698039
-5.26,-4.674485142860412,-5.99241,1.3179249
-1.14,-1.1070516946411133,-1.29576,0.1887083
-2.4,-2.3955841655349728,-4.12996,1.7343758
-2.33,-2.2466253874778745,-1.8648,-0.3818254
2.38,2.227539845485687,1.44952,0.77801985
-1.62,-2.5922345989227296,0.120075,-2.7123096
-6.79,-6.5668076348114015,-7.52273,0.95592237
-1.1,-1.2174921160697938,-1.8681,0.6506079
-0.9,-1.04103671708107,-1.43665,0.39561328
-3.52,-3.5670291473197935,-4.39293,0.82590085
-1.43,-1.425791754255295,-0.99751,-0.42828175
0.0,0.24557201785850524,0.101348,0.14422402
1.47,1.5104568654346466,1.07213,0.43832687
-4.62,-4.863912854423523,-4.35224,-0.51167285
-2.38,-2.6049503498935698,-2.95259,0.34763965
2.1,1.8475717782020569,1.31365,0.5339218
-9.34,-8.831982262802125,-5.4432,-3.3887823
-10.0,-9.934080737571716,-8.58373,-1.3503507
-3.5,-3.781959615364075,-5.56639,1.7844304
-4.61,-4.606612454791069,-4.83052,0.22390755
-2.07,-1.9704658446502687,-3.57202,1.6015542
-0.33,-0.2890671435546875,-0.47762,0.18855286
-0.9,-1.1525122858638763,-0.799137,-0.3533753
-2.7,-2.8054653970527648,-3.34068,0.5352146
1.83,1.5315871866073607,0.946109,0.5854782
-3.9,-3.557856997060776,-3.7048,0.146943
-1.5,-1.2231196852378845,-0.982718,-0.24040169
-6.6,-6.681691917800903,-8.02315,1.3414581
2.0,1.886270417957306,1.12003,0.7662404
-7.0,-6.471918910217285,-14.5282,8.056281
-10.78,-13.582397010803223,-21.678,8.095603
-0.46,-0.7848432949066164,-3.0203,2.2354567
-10.17,-9.91539181728363,-11.2377,1.3223082
-2.75,-2.8468519083404544,-5.86739,3.020538
3.16,2.7249331090927122,2.51855,0.20638311
-10.21,-7.172878112792969,-15.2775,8.104622
-4.42,-4.809349916248322,-5.43428,0.6249301
-2.56,-2.805182978210449,-5.48206,2.676877
-9.51,-10.522572414970398,-12.4726,1.9500276
-5.0,-4.946428269100189,-5.6162,0.66977173
-14.21,-14.674562103843687,-16.0251,1.3505379
2.55,2.1778726771998405,2.29093,-0.11305732
-2.56,-2.720903243942261,-4.24467,1.5237668
-2.64,-2.611958739509583,-4.53924,1.9272813
-5.22,-4.48862047986269,-4.42823,-0.06039048
-2.92,-2.9684955537509916,-3.33477,0.36627445
-4.5,-4.672387971969605,-0.838771,-3.833617
-1.66,-1.662543338956833,-1.30244,-0.36010334
-11.85,-11.24921430606842,-12.3627,1.1134857
-4.1,-4.1090999284076695,-4.60303,0.49393007
-7.66,-7.916107578315735,-9.20204,1.2859324
-1.93,-2.3537058960533144,-2.69166,0.3379541
-3.28,-3.4431704974937443,-4.23033,0.7871595
-1.36,-1.183819267244339,-1.36047,0.17665073
-1.23,-1.5284503053665162,-0.274275,-1.2541753
0.25,0.06374586112403868,-0.276351,0.34009686
0.34,0.1251944168908298,0.119949,0.005245417
2.88,2.858282745170593,1.77155,1.0867327
-4.52,-4.706591590509415,-5.18411,0.4775184
-2.26,-1.5191098641586303,-3.36217,1.8430601
2.56,2.5461470075035093,1.71404,0.832107
-5.33,-4.728993351430893,-5.15847,0.42947665
-9.65,-9.169297421073914,-10.4176,1.2483026
-0.78,-0.8077386157112122,-0.214983,-0.5927556
1.23,1.1487952768325806,1.45995,-0.31115472
-5.04,-5.4527873580360415,-6.16124,0.70845264
-9.8,-10.130110828781127,-7.23115,-2.8989608
-18.72,-17.70508497303724,-17.676,-0.029084973
-10.64,-11.36681197052002,-10.1438,-1.223012
-2.22,-2.645629293432236,-2.91149,0.2658607
0.75,0.3796026944599151,0.837996,-0.4583933
-4.01,-3.8954176048374176,-4.14466,0.2492424
-3.68,-3.658502562599182,-5.10333,1.4448274
-0.4,-0.4570340713009834,-0.532461,0.07542693
-1.24,-1.5398755704784393,-1.92444,0.38456443
-4.39,-4.269346895785332,-4.11972,-0.1496269
-9.94,-7.061326428222657,-14.8108,7.7494736
-6.13,-5.997565069007874,-7.28605,1.2884849
-6.13,-6.278133862686158,-7.64695,1.3688161
-6.09,-5.402194327545166,-11.9917,6.5895057
-4.69,-4.5421568844985964,-5.02207,0.47991312
-3.78,-2.8772727453899383,-3.22477,0.34749725
-1.4,-1.013630249004364,-1.49848,0.48484975
1.16,1.4253803566398622,0.614294,0.81108636
-1.08,-1.137382663438797,-0.784598,-0.35278466
-4.31,-4.80925056716919,-9.77372,4.9644694
-6.69,-6.007054695892334,-13.4748,7.4677453
-0.85,-0.6648645588531494,-0.925864,0.26099944
-7.65,-8.205542468738557,-8.7222,0.51665753
-0.9,-1.2364896425437928,-1.75567,0.51918036
2.93,3.1503400580978393,2.13476,1.01558
-2.93,-2.9207068762683868,-3.26924,0.34853312
-4.85,-4.931468130197525,-5.40434,0.47287187
-5.91,-5.479182772293091,-7.01664,1.5374572
-3.64,-3.7269395445537565,-4.00587,0.27893046
2.88,2.393284566679001,2.11479,0.27849457
