expt,physics_ml,physics,ml
-3.82,-4.148827075958252,0,-4.148827
-2.93,-3.235788345336914,0,-3.2357883
-0.98,-1.488783836364746,0,-1.4887838
-0.74,-1.1766858100891113,0,-1.1766858
-1.59,-2.321967601776123,0,-2.3219676
-3.75,-4.327659606933594,0,-4.3276596
-4.55,-5.606871128082275,0,-5.606871
-2.73,-2.14453387260437,0,-2.1445339
-0.53,-0.7316958904266357,0,-0.7316959
-0.25,0.2598850131034851,0,0.259885
-5.48,-5.171665668487549,0,-5.1716657
2.51,2.512355327606201,0,2.5123553
-0.64,-0.9851136207580566,0,-0.9851136
-0.83,-1.8470500707626343,0,-1.8470501
-6.88,-7.40123176574707,0,-7.401232
-4.84,-5.315274715423584,0,-5.3152747
-5.22,-4.578221321105957,0,-4.5782213
-0.83,-0.9491864442825317,0,-0.94918644
-0.68,-0.5828295946121216,0,-0.5828296
-4.93,-4.632074356079102,0,-4.6320744
-8.42,-9.43816089630127,0,-9.438161
-6.16,-6.063032150268555,0,-6.063032
-2.23,-2.890293598175049,0,-2.8902936
-0.53,-1.6116366386413574,0,-1.6116366
-4.47,-3.8169336318969727,0,-3.8169336
-7.17,-7.6787848472595215,0,-7.678785
-2.78,-3.53287410736084,0,-3.532874
3.43,2.483768939971924,0,2.483769
-11.0,-11.258482933044434,0,-11.258483
-6.21,-6.984030723571777,0,-6.9840307
-5.71,-4.676937103271484,0,-4.676937
-5.26,-5.956155300140381,0,-5.9561553
-1.14,-1.5416349172592163,0,-1.5416349
-2.4,-2.0741467475891113,0,-2.0741467
-2.33,-1.7643173933029175,0,-1.7643174
2.38,2.4075400829315186,0,2.40754
-1.62,-2.5313239097595215,0,-2.531324
-6.79,-7.090132713317871,0,-7.0901327
-1.1,-2.1128549575805664,0,-2.112855
-0.9,-1.1318457126617432,0,-1.1318457
-3.52,-3.679131269454956,0,-3.6791313
-1.43,-1.0937654972076416,0,-1.0937655
0.0,0.6430684328079224,0,0.64306843
1.47,1.2599925994873047,0,1.2599926
-4.62,-4.7064313888549805,0,-4.7064314
-2.38,-2.188152313232422,0,-2.1881523
2.1,2.500887870788574,0,2.5008879
-9.34,-5.673715114593506,0,-5.673715
-10.0,-10.413172721862793,0,-10.413173
-3.5,-3.6280808448791504,0,-3.6280808
-4.61,-5.243376731872559,0,-5.2433767
-2.07,-2.7596497535705566,0,-2.7596498
-0.33,-0.21046267449855804,0,-0.21046267
-0.9,-0.8678226470947266,0,-0.86782265
-2.7,-2.5057969093322754,0,-2.505797
1.83,2.4401159286499023,0,2.440116
-3.9,-4.25315523147583,0,-4.253155
-1.5,-0.9963867664337158,0,-0.99638677
-6.6,-7.160766124725342,0,-7.160766
2.0,2.437347412109375,0,2.4373474
-7.0,-8.654444694519043,0,-8.654445
-10.78,-10.463387489318848,0,-10.4633875
-0.46,-0.5444604754447937,0,-0.5444605
-10.17,-10.081969261169434,0,-10.081969
-2.75,-3.155153751373291,0,-3.1551538
3.16,2.419222354888916,0,2.4192224
-10.21,-10.033793449401855,0,-10.033793
-4.42,-4.281308174133301,0,-4.281308
-2.56,-3.362025260925293,0,-3.3620253
-9.51,-9.801621437072754,0,-9.801621
-5.0,-4.98365592956543,0,-4.983656
-14.21,-11.340865135192871,0,-11.340865
2.55,2.00484299659729,0,2.004843
-2.56,-3.048344135284424,0,-3.0483441
-2.64,-3.2599005699157715,0,-3.2599006
-5.22,-5.043331146240234,0,-5.043331
-2.92,-3.4575071334838867,0,-3.4575071
-4.5,-4.426736354827881,0,-4.4267364
-1.66,-1.4775187969207764,0,-1.4775188
-11.85,-12.668334007263184,0,-12.668334
-4.1,-4.830300331115723,0,-4.8303003
-7.66,-8.46617603302002,0,-8.466176
-1.93,-1.9695754051208496,0,-1.9695754
-3.28,-3.3886256217956543,0,-3.3886256
-1.36,-1.9097986221313477,0,-1.9097986
-1.23,-1.3679742813110352,0,-1.3679743
0.25,-0.12548482418060303,0,-0.12548482
0.34,0.3397007882595062,0,0.3397008
2.88,2.505659818649292,0,2.5056598
-4.52,-5.038313865661621,0,-5.038314
-2.26,-2.849548816680908,0,-2.8495488
2.56,2.514043092727661,0,2.514043
-5.33,-4.119139671325684,0,-4.1191397
-9.65,-8.811749458312988,0,-8.811749
-0.78,-1.6055328845977783,0,-1.6055329
1.23,2.0446739196777344,0,2.044674
-5.04,-4.841911315917969,0,-4.8419113
-9.8,-9.900627136230469,0,-9.900627
-18.72,-18.44193458557129,0,-18.441935
-10.64,-11.303210258483887,0,-11.30321
-2.22,-2.4651622772216797,0,-2.4651623
0.75,1.0923240184783936,0,1.092324
-4.01,-4.792250156402588,0,-4.79225
-3.68,-4.037967205047607,0,-4.037967
-0.4,-0.42606911063194275,0,-0.4260691
-1.24,-1.2064546346664429,0,-1.2064546
-4.39,-4.777331352233887,0,-4.7773314
-9.94,-10.106244087219238,0,-10.106244
-6.13,-7.7175092697143555,0,-7.7175093
-6.13,-7.662704944610596,0,-7.662705
-6.09,-6.730973243713379,0,-6.7309732
-4.69,-4.522083759307861,0,-4.5220838
-3.78,-3.05098557472229,0,-3.0509856
-1.4,-1.8485021591186523,0,-1.8485022
1.16,1.4023760557174683,0,1.402376
-1.08,-1.4971143007278442,0,-1.4971143
-4.31,-3.3198142051696777,0,-3.3198142
-6.69,-6.728617191314697,0,-6.728617
-0.85,-1.0306717157363892,0,-1.0306717
-7.65,-9.069388389587402,0,-9.069388
-0.9,-1.4660531282424927,0,-1.4660531
2.93,2.473323345184326,0,2.4733233
-2.93,-3.1638288497924805,0,-3.1638288
-4.85,-4.967067241668701,0,-4.9670672
-5.91,-6.160101890563965,0,-6.160102
-3.64,-3.7866270542144775,0,-3.786627
2.88,2.4353079795837402,0,2.435308
-4.91,-5.291691303253174,0,-5.2916913
-0.86,-0.9962926506996155,0,-0.99629265
-5.53,-5.563257217407227,0,-5.563257
-4.95,-4.917017936706543,0,-4.917018
0.14,0.7718154191970825,0,0.7718154
-7.78,-8.567065238952637,0,-8.567065
-1.92,-2.328248977661133,0,-2.328249
-2.01,-1.673677682876587,0,-1.6736777
-3.17,-3.5440869331359863,0,-3.544087
-2.64,-3.296833038330078,0,-3.296833
-4.04,-4.586194038391113,0,-4.586194
-0.11,1.0180999040603638,0,1.0180999
-16.92,-18.477323532104492,0,-18.477324
-3.88,-3.976921796798706,0,-3.9769218
-3.12,-3.071852207183838,0,-3.0718522
-1.74,-1.6638422012329102,0,-1.6638422
-3.92,-3.5194852352142334,0,-3.5194852
-1.21,-1.270023226737976,0,-1.2700232
-4.7,-4.947774887084961,0,-4.947775
-5.94,-6.236128807067871,0,-6.236129
-0.23,-0.3724570572376251,0,-0.37245706
-2.11,-2.659224510192871,0,-2.6592245
-4.09,-4.181733131408691,0,-4.181733
-8.11,-8.593563079833984,0,-8.593563
-4.91,-4.989009857177734,0,-4.98901
-3.28,-4.27822208404541,0,-4.278222
-2.28,-3.0180070400238037,0,-3.018007
2.06,1.969801664352417,0,1.9698017
-2.82,-2.6642262935638428,0,-2.6642263
-1.24,-1.3853707313537598,0,-1.3853707
-0.19,-0.608885645866394,0,-0.60888565
-2.89,-3.6328296661376953,0,-3.6328297
-8.84,-8.779952049255371,0,-8.779952
-1.66,-2.6840388774871826,0,-2.6840389
-7.28,-7.072928428649902,0,-7.0729284
-4.7,-5.396258354187012,0,-5.3962584
-3.92,-5.076230049133301,0,-5.07623
-4.02,-4.887351036071777,0,-4.887351
-3.64,-4.816038131713867,0,-4.816038
-1.24,-2.507190704345703,0,-2.5071907
-3.13,-4.717723369598389,0,-4.7177234
-0.84,-1.0180301666259766,0,-1.0180302
-2.74,-3.069251537322998,0,-3.0692515
-5.9,-6.051308631896973,0,-6.0513086
1.68,1.5899577140808105,0,1.5899577
2.93,2.3919506072998047,0,2.3919506
-3.67,-4.140018463134766,0,-4.1400185
2.56,2.2672805786132812,0,2.2672806
-9.29,-10.286361694335938,0,-10.286362
-7.48,-8.298691749572754,0,-8.298692
-1.34,-2.940486431121826,0,-2.9404864
0.16,-0.37163370847702026,0,-0.3716337
-4.63,-4.223968505859375,0,-4.2239685
-4.39,-5.113977432250977,0,-5.1139774
3.13,2.4280004501342773,0,2.4280005
-6.79,-7.148187637329102,0,-7.1481876
-4.97,-6.2344770431518555,0,-6.234477
-1.17,-0.8665351271629333,0,-0.8665351
-2.78,-2.429450035095215,0,-2.42945
-1.39,-1.488313913345337,0,-1.4883139
-0.11,-0.4586490988731384,0,-0.4586491
-4.59,-3.8975491523742676,0,-3.8975492
-23.62,-18.95157814025879,0,-18.951578
-4.23,-2.3355536460876465,0,-2.3355536
-7.63,-6.835412979125977,0,-6.835413
-4.1,-4.453580379486084,0,-4.4535804
-4.84,-4.495121955871582,0,-4.495122
-9.3,-9.4506254196167,0,-9.450625
1.07,0.31178081035614014,0,0.3117808
-6.4,-6.376498222351074,0,-6.376498
-2.55,-1.1583442687988281,0,-1.1583443
-3.54,-4.62069034576416,0,-4.6206903
-2.29,-2.9254679679870605,0,-2.925468
1.58,2.0868916511535645,0,2.0868917
0.27,0.3232501149177551,0,0.32325011
-6.01,-6.78433895111084,0,-6.784339
-6.16,-7.3380279541015625,0,-7.338028
-5.49,-5.907782554626465,0,-5.9077826
-4.59,-4.930871963500977,0,-4.930872
-3.52,-3.7494168281555176,0,-3.7494168
0.6,0.5424596071243286,0,0.5424596
-5.23,-4.9682393074035645,0,-4.9682393
-6.78,-8.226935386657715,0,-8.226935
-5.99,-5.9590606689453125,0,-5.9590607
-1.46,-1.002940058708191,0,-1.00294
-11.53,-12.361746788024902,0,-12.361747
-4.09,-3.4986798763275146,0,-3.4986799
-3.3,-3.2384164333343506,0,-3.2384164
-4.58,-7.212419509887695,0,-7.2124195
-6.12,-5.913422584533691,0,-5.9134226
-4.21,-4.399423599243164,0,-4.3994236
-2.63,-2.675142765045166,0,-2.6751428
0.56,0.07840116322040558,0,0.07840116
-3.73,-4.065098285675049,0,-4.0650983
2.3,2.2429044246673584,0,2.2429044
-5.45,-6.346315383911133,0,-6.3463154
-2.4,-2.830071449279785,0,-2.8300714
-5.73,-6.885569095611572,0,-6.885569
-2.32,-1.0032542943954468,0,-1.0032543
1.58,1.830040454864502,0,1.8300405
-6.62,-6.148889064788818,0,-6.148889
-3.11,-3.4242587089538574,0,-3.4242587
-1.12,-1.1015307903289795,0,-1.1015308
-3.1,-4.457176685333252,0,-4.4571767
-2.83,-3.3119828701019287,0,-3.3119829
-6.48,-7.097873687744141,0,-7.0978737
2.3,2.4427502155303955,0,2.4427502
-5.91,-6.9426422119140625,0,-6.942642
-2.78,-2.559401035308838,0,-2.559401
-8.41,-7.877477645874023,0,-7.8774776
-4.42,-3.9647815227508545,0,-3.9647815
-5.57,-6.659335613250732,0,-6.6593356
-2.55,-3.3455376625061035,0,-3.3455377
-2.16,-2.587043523788452,0,-2.5870435
-5.21,-5.562981128692627,0,-5.562981
-2.53,-3.6717519760131836,0,-3.671752
-2.86,-2.7958083152770996,0,-2.7958083
-2.47,-2.4787352085113525,0,-2.4787352
-4.29,-3.6119232177734375,0,-3.6119232
-10.27,-9.934357643127441,0,-9.934358
-3.58,-4.115006446838379,0,-4.1150064
-4.57,-4.917405128479004,0,-4.917405
-5.1,-5.118935585021973,0,-5.1189356
