model_num,epochs,train,valid,test,conv_criterion
0,52,0.5837042759351555,1.23156621720053,1.1005325506025332,converged
1,55,0.8384666995301668,1.5050012118003202,1.3355252159932185,converged
2,74,0.5182662973841643,1.1561515528474358,0.9711229562968219,converged
3,51,0.8815082655048708,1.264203107301729,1.1757668479514947,converged
4,66,0.6726430845713741,1.1758031184076294,1.1350155090599128,converged
5,62,0.7221813041256843,1.269260958504682,1.2574705743019132,converged
6,55,0.7003815976961505,1.1463135829715405,1.3498047426524566,converged
7,63,0.9019331799238359,1.469589298658626,1.3256493660938913,converged
8,67,0.9366988692853042,1.3962148035399016,1.254232215422788,converged
9,63,0.8935805310974267,1.5029774154374738,1.4560204487801867,converged
10,66,0.562364436460724,1.4441824318619787,1.251753606102519,converged
11,48,0.9330631923532259,1.393767171206231,1.1750079590938187,converged
12,56,1.0392100040135528,1.6180287626571415,1.1872722260766253,converged
13,50,0.8648697688124538,1.5031539604080786,1.3191495348652642,converged
14,62,0.716789715079598,1.7712533119870384,1.2629438235186257,converged
15,83,0.6969127336204225,1.4048345332958356,1.2898687975107457,converged
16,82,0.5810288808258066,1.3564578995254872,1.1260665954968794,converged
17,46,1.0154769804105772,1.2308039868522072,1.1815284634310754,converged
18,48,0.7787252177117154,1.2670604021214396,1.2035479425190043,converged
19,59,0.8213388727484217,1.564438078890696,1.3377780548152947,converged
