expt,physics_ml,physics,ml
-3.82,-3.819156734466553,-5.442,1.6228433
-2.93,-3.024672438621521,-3.652,0.62732756
-0.98,-0.7735985970497131,-0.11,-0.6635986
-0.74,-1.2741793718338013,-0.609,-0.6651794
-1.59,-1.5214542908668518,-0.617,-0.9044543
-3.75,-4.029969114303588,-3.344,-0.6859691
-4.55,-4.237552492141724,-3.317,-0.9205525
-2.73,-1.8942093968391418,-1.325,-0.5692094
-0.53,-1.053767424106598,-0.443,-0.6107674
-0.25,0.1180047945976257,0.833,-0.7149952
-5.48,-5.517218799591064,-4.345,-1.1722188
2.51,2.854554819822311,2.506,0.34855482
-0.64,-0.21871112823486327,0.885,-1.1037111
-0.83,-0.5376371726989746,0.139,-0.6766372
-6.88,-6.887922347068787,-6.588,-0.29992235
-4.84,-3.908002537727356,-2.869,-1.0390025
-5.22,-4.054359992980957,-1.284,-2.77036
-0.83,-1.1788751215934754,-0.697,-0.48187512
-0.68,-0.8489912447929382,-0.456,-0.39299124
-4.93,-3.9738719515800476,-3.343,-0.63087195
-8.42,-10.025282552719116,-13.953,3.9277174
-6.16,-5.903083799362182,-5.148,-0.7550838
-2.23,-1.8519941368103026,-2.929,1.0770059
-0.53,-0.7428051500320434,-0.178,-0.56480515
-4.47,-3.9610872988700865,-3.288,-0.6730873
-7.17,-7.221796337127685,-6.116,-1.1057963
-2.78,-3.0858756332397457,-4.028,0.94212437
3.43,3.80957052898407,3.077,0.7325705
-11.0,-10.871417074918748,-10.412,-0.45941707
-6.21,-5.7054850845336915,-7.878,2.172515
-5.71,-7.25611999797821,-8.683,1.42688
-5.26,-5.244456441879272,-4.308,-0.93645644
-1.14,-1.2120326261520384,-0.473,-0.7390326
-2.4,-2.60926328086853,-3.304,0.6947367
-2.33,-2.186040425300598,-1.275,-0.9110404
2.38,2.349029522538185,2.59,-0.24097048
-1.62,-1.5308096780776976,0.136,-1.6668097
-6.79,-6.718578844070435,-5.28,-1.4385788
-1.1,-1.5409637279510497,-0.182,-1.3589637
-0.9,-1.1917517864704132,-0.79,-0.4017518
-3.52,-3.5985051009655,-3.166,-0.4325051
-1.43,-1.2550243530273437,-0.091,-1.1640244
0.0,0.2634617910385131,1.261,-0.9975382
1.47,1.6964090452194216,2.486,-0.78959095
-4.62,-4.411611814498901,-3.145,-1.2666118
-2.38,-2.075597628831863,-1.853,-0.22259763
2.1,2.094330907344818,2.588,-0.4936691
-9.34,-8.51047262954712,-7.873,-0.6374726
-10.0,-9.424938417434692,-8.276,-1.1489384
-3.5,-4.240057012557983,-3.372,-0.868057
-4.61,-3.5540040307044984,-3.043,-0.51100403
-2.07,-2.3283214353621005,-2.336,0.0076785646
-0.33,-0.092754771232605,0.973,-1.0657548
-0.9,-1.1593600182533264,-0.553,-0.60636
-2.7,-2.9329669408798216,-3.143,0.21003306
1.83,1.6410876178741454,2.465,-0.8239124
-3.9,-4.378833868980408,-4.003,-0.37583387
-1.5,-0.6182653083801269,0.386,-1.0042653
-6.6,-6.153192234754562,-5.707,-0.44619223
2.0,2.020476098060608,2.495,-0.4745239
-7.0,-6.927316791534423,-10.857,3.9296832
-10.78,-13.316913501739503,-17.242,3.9250865
-0.46,-0.8281058533191681,-0.492,-0.33610585
-10.17,-9.775960578918458,-8.39,-1.3859606
-2.75,-2.8282063889503477,-3.155,0.3267936
3.16,2.9191469764709472,3.335,-0.41585302
-10.21,-8.273004173278808,-12.199,3.9259958
-4.42,-4.2818920612335205,-4.625,0.34310794
-2.56,-2.6238860054016113,-3.867,1.243114
-9.51,-10.154895458221436,-9.785,-0.36989546
-5.0,-4.878045028686524,-3.394,-1.484045
-14.21,-13.59963306465745,-13.599,-0.00063306466
2.55,2.045070188999176,2.381,-0.3359298
-2.56,-2.7246828241348267,-3.492,0.7673172
-2.64,-2.598541599273682,-3.406,0.8074584
-5.22,-4.081738615989686,-3.201,-0.8807386
-2.92,-3.0294490792751314,-2.704,-0.32544908
-4.5,-4.20670447921753,-3.156,-1.0507045
-1.66,-2.028506944656372,-0.598,-1.430507
-11.85,-12.654318954467774,-15.252,2.597681
-4.1,-4.6285661106109615,-3.238,-1.3905661
-7.66,-7.050849351525307,-6.969,-0.08184935
-1.93,-2.1097223920822143,-1.742,-0.3677224
-3.28,-3.427114087104797,-3.006,-0.4211141
-1.36,-1.5043238668441772,-0.553,-0.95132387
-1.23,-1.135119930267334,0.059,-1.1941199
0.25,0.2405627565383912,1.108,-0.86743724
0.34,0.6123358707427979,1.223,-0.6106641
2.88,2.833733598947525,2.686,0.1477336
-4.52,-5.736667432785034,-6.79,1.0533326
-2.26,-1.4745317878723143,-2.219,0.7444682
2.56,2.474435841321945,2.593,-0.11856416
-5.33,-4.087369304448366,-4.055,-0.032369304
-9.65,-9.083025015830994,-7.739,-1.344025
-0.78,-0.44027802848815917,0.326,-0.766278
1.23,1.1590605764389037,1.503,-0.34393942
-5.04,-5.917996312379837,-5.495,-0.4229963
-9.8,-8.847759037971496,-7.831,-1.016759
