expt,physics_ml,physics,ml
-3.82,-2.7113699836730962,-8.342,5.63063
-2.93,-1.1576135540008545,-4.915,3.7573864
-0.98,-1.3621239757537844,-0.5100000000000002,-0.852124
-0.74,-0.832693494319916,-1.7760000000000002,0.9433065
-1.59,-0.846823749780655,-0.3540000000000001,-0.49282375
-3.75,-2.848207377910614,-3.437,0.5887926
-4.55,-4.664756380081177,-3.886,-0.7787564
-2.73,-2.3649755671024324,-2.164,-0.20097557
-0.53,-0.5466568050384524,-1.1310000000000002,0.5843432
-0.25,0.1794285922050474,-0.1470000000000002,0.3264286
-5.48,-5.137365749359131,-2.5780000000000003,-2.5593657
2.51,3.027886272907257,2.514,0.5138863
-0.64,-0.0947344360351563,2.819,-2.9137344
-0.83,0.30980558824539184,1.117,-0.8071944
-6.88,-4.8608838577270514,-7.502000000000001,2.6411161
-4.84,-4.593968902587891,-3.836,-0.7579689
-5.22,-3.3437738380432127,2.454,-5.797774
-0.83,-1.239862461090088,-0.395,-0.84486246
-0.68,-0.3586538815498353,0.3349999999999999,-0.6936539
-4.93,-4.737931918621063,-4.612,-0.12593192
-8.42,-8.925345836639405,-15.736,6.810654
-6.16,-5.743647402763367,-4.644,-1.0996474
-2.23,-1.2630889940261842,-3.18,1.916911
-0.53,-1.1380624732971194,0.5789999999999997,-1.7170625
-4.47,-4.430860085487366,-2.9200000000000004,-1.5108601
-7.17,-7.26019409942627,-4.813000000000001,-2.447194
-2.78,-1.8696897964477541,-6.998,5.12831
3.43,3.6175696086883544,0.92,2.6975696
-11.0,-10.10407568359375,-13.089,2.9849243
-6.21,-5.078510250091552,-9.289,4.2104897
-5.71,-4.63607018661499,-9.407,4.77093
-5.26,-5.435106481552124,-4.414,-1.0211065
-1.14,-1.4653288602828982,-0.6750000000000003,-0.79032886
-2.4,-2.0703489484786988,-3.919,1.848651
-2.33,-1.3739696502685543,-0.5999999999999996,-0.77396965
2.38,2.3526342520713808,2.551,-0.19836575
-1.62,-2.4755678348541257,1.2070000000000003,-3.6825678
-6.79,-6.075331278800965,-5.371,-0.7043313
-1.1,-2.012609838962555,-1.162,-0.85060984
