expt,physics_ml,physics,ml
-3.82,-3.7582122338104247,-5.70653,1.9483178
-2.93,-2.7961983897018436,-4.29168,1.4954816
-0.98,-0.7490332689323426,-0.999704,0.25067073
-0.74,-0.49597596727371207,-1.27761,0.78163403
-1.59,-1.369157513381958,-0.719727,-0.6494305
-3.75,-3.7887128685379032,-4.06934,0.28062713
-4.55,-4.683188890953064,-3.02802,-1.6551689
-2.73,-2.2608764786720275,-2.63325,0.37237352
-0.53,-0.4599122699985504,-0.940476,0.48056373
-0.25,0.12092934488677981,-0.471056,0.59198534
-5.48,-5.100056687812805,-3.16298,-1.9370767
2.51,2.894047882900238,1.94086,0.9531879
-0.64,-0.7156985653171539,-0.443376,-0.27232257
-0.83,-0.686650395475769,0.0773561,-0.7640065
-6.88,-6.8310394947052,-6.14795,-0.6830895
-4.84,-4.614025263605118,-4.40906,-0.20496526
-5.22,-4.592209080810546,-2.18137,-2.410839
-0.83,-1.3718904343485832,-1.44315,0.071259566
-0.68,-1.4256342158088684,-0.835526,-0.5901082
-4.93,-4.729273086006641,-4.65612,-0.073153086
-8.42,-9.467914449691772,-12.837,3.3690856
-6.16,-6.444030096931457,-4.45142,-1.9926101
-2.23,-1.6345420029449462,-3.55178,1.917238
-0.53,-0.8630035433708191,-0.0964986,-0.76650494
-4.47,-4.17260585521698,-3.08674,-1.0858659
-7.17,-6.600283447542191,-6.12954,-0.47074345
-2.78,-2.578001426200867,-4.36373,1.7857286
3.43,3.523845302848816,4.87378,-1.3499347
-11.0,-10.531914492368697,-11.027,0.4950855
-6.21,-5.698789105491638,-7.45533,1.7565409
-5.71,-7.233623892707826,-9.16167,1.9280461
-5.26,-5.339284501228333,-4.11941,-1.2198745
-1.14,-0.9659319308662415,-1.21859,0.25265807
-2.4,-2.346638391075134,-3.65181,1.3051716
-2.33,-2.1486717568922042,-2.13828,-0.010391757
2.38,2.414549523925781,1.99285,0.42169952
-1.62,-1.2122721765403748,-0.783938,-0.42833418
-6.79,-6.563109703207016,-6.0964,-0.4667097
-1.1,-2.089476935853958,-1.82824,-0.26123694
-0.9,-1.1014595582389832,-1.62474,0.52328044
-3.52,-3.0836508737945554,-4.42939,1.3457391
-1.43,-1.3454216322255135,-1.41537,0.06994837
0.0,0.4726532017402649,0.166193,0.3064602
1.47,1.6203566214561462,1.41845,0.20190662
-4.62,-4.436197169685364,-2.75965,-1.6765472
-2.38,-2.4937307873630523,-2.83859,0.3448592
2.1,2.218487954826355,1.86422,0.35426795
-9.34,-8.707464285659789,-7.0233,-1.6841643
-10.0,-9.615750043830872,-8.86721,-0.74854004
-3.5,-3.2316607471084593,-4.48506,1.2533993
-4.61,-4.544628722429276,-4.84475,0.30012128
-2.07,-2.0188444900894167,-2.91204,0.8931955
-0.33,-0.032471471948623654,-0.33592,0.30344853
-0.9,-1.3161972105121613,-1.05546,-0.2607372
-2.7,-3.088936025648117,-3.36853,0.27959397
1.83,1.5123047744202613,1.58483,-0.072525226
-3.9,-3.5756855998420716,-3.87304,0.2973544
-1.5,-1.1396388024115562,-1.21919,0.0795512
-6.6,-7.4532235240936275,-5.06,-2.3932235
2.0,2.5169452866554263,1.7034,0.8135453
-7.0,-6.874230764770507,-10.2434,3.3691692
-10.78,-12.965786445999147,-16.3334,3.3676136
-0.46,-0.549937853565216,-1.27049,0.72055215
-10.17,-10.170458751754762,-7.41383,-2.7566288
-2.75,-2.5073695260238646,-3.69162,1.1842505
3.16,3.2928125769901277,2.91848,0.37433258
-10.21,-7.62827830657959,-10.9961,3.3678217
-4.42,-5.098370829601288,-4.54452,-0.5538508
-2.56,-2.20786099685669,-4.44589,2.238029
-9.51,-11.012760570526122,-8.1405,-2.8722606
-5.0,-4.880999871330261,-3.49758,-1.3834199
-14.21,-11.359694621658326,-14.8526,3.4929054
2.55,2.598101120762825,2.45293,0.14517112
-2.56,-2.3722061357116697,-3.93896,1.5667539
-2.64,-2.744993583030701,-4.44732,1.7023264
-5.22,-5.024860865745544,-4.45391,-0.57095087
-2.92,-2.9570374552345275,-3.39716,0.44012254
-4.5,-4.634715171470642,-2.76389,-1.8708252
-1.66,-1.6120389311943053,-0.987116,-0.62492293
-11.85,-13.308146550369262,-16.8997,3.5915534
-4.1,-3.8391517490196225,-4.35713,0.51797825
-7.66,-8.387179247817993,-5.90371,-2.4834692
-1.93,-2.320127118244171,-2.62514,0.30501288
-3.28,-2.8982435177993775,-4.24967,1.3514265
-1.36,-1.0128569267940521,-1.42337,0.41051307
-1.23,-1.2699004031085968,-1.06334,-0.2065604
0.25,0.29963466499328617,-0.15377,0.45340466
0.34,0.37394632177925113,0.154981,0.21896532
2.88,3.0005924295425417,2.28365,0.7169424
-4.52,-4.982800121793747,-4.74726,-0.23554012
-2.26,-1.616078533973694,-3.31809,1.7020115
2.56,2.6283052921772003,2.26505,0.3632553
-5.33,-5.003567430915832,-4.45569,-0.54787743
-9.65,-9.463760694808961,-6.91532,-2.5484407
-0.78,-0.5671135883383751,-0.522718,-0.04439559
1.23,1.5690336000323295,1.6215,-0.0524664
-5.04,-5.583700271911621,-6.65232,1.0686197
-9.8,-9.880847469940186,-8.14114,-1.7397075
-18.72,-17.960554618644714,-18.2348,0.27424538
-10.64,-9.052254671859743,-6.17855,-2.8737047
-2.22,-2.1310978899765014,-2.90258,0.7714821
0.75,1.1372935851311683,1.18976,-0.052466415
-4.01,-3.789530955276489,-4.41646,0.62692904
-3.68,-3.6504146522521976,-4.5269,0.87648535
-0.4,-0.19036519563102722,-0.412074,0.2217088
-1.24,-1.2639235754013063,-2.152,0.8880764
-4.39,-4.153388315010071,-2.5708,-1.5825883
-9.94,-8.71496907119751,-9.41755,0.7025809
-6.13,-6.348222887954712,-4.28096,-2.067263
-6.13,-7.2961980723571775,-4.56342,-2.732778
-6.09,-5.493184383773804,-7.55965,2.0664656
-4.69,-4.171291160030365,-4.80417,0.63287884
-3.78,-3.6698640166163443,-3.55265,-0.11721402
-1.4,-1.4826090513038634,-2.35133,0.86872095
1.16,1.2832467949028015,0.988937,0.2943098
-1.08,-0.7304457432312965,-0.666442,-0.06400374
-4.31,-4.065176809196473,-3.20438,-0.8607968
-6.69,-6.976250730094909,-8.97106,1.9948093
-0.85,-1.4733387322998046,-1.34506,-0.12827873
-7.65,-7.389167430114746,-13.5122,6.1230326
-0.9,-0.9487135820770263,-1.75629,0.8075764
2.93,3.205086614437103,2.63907,0.5660166
-2.93,-3.8492480385398866,-2.99426,-0.85498804
-4.85,-4.489616751213074,-3.33427,-1.1553468
-5.91,-6.580345995559693,-4.30714,-2.273206
-3.64,-3.5836330850982665,-2.09909,-1.4845431
2.88,2.9540786536693573,2.5646,0.38947865
-4.91,-5.795403895187378,-7.0248,1.2293961
-0.86,-1.7136980271720885,-1.18579,-0.527908
-5.53,-5.660199870109558,-6.689,1.0288001
-4.95,-5.442816537492275,-5.50793,0.06511346
0.14,0.4021436868553162,0.532738,-0.13059431
