expt,physics_ml,physics,ml
-3.82,-4.617060073852539,-10.084,5.46694
-2.93,-3.0316140308380133,-5.664000000000001,2.632386
-0.98,-0.9113451805114745,-1.884,0.9726548
-0.74,-0.5939490766525268,-2.347,1.7530509
-1.59,-1.5701328165531159,-1.157,-0.41313282
-3.75,-4.149361328125,-4.779,0.6296387
-4.55,-3.9186958951950075,-5.567,1.6483041
-2.73,-2.379204836845398,-3.516,1.1367952
-0.53,-0.8001380395889282,-1.92,1.119862
-0.25,0.24698172473907476,-0.941,1.1879817
-5.48,-5.310217475891113,-3.6,-1.7102175
2.51,2.5694012184143067,1.177,1.3924012
-0.64,-0.5678631267547607,0.054,-0.6218631
-0.83,-0.36194239354133617,-0.1260000000000001,-0.2359424
-6.88,-5.910468820571898,-8.578999999999999,2.6685312
-4.84,-4.312175417900086,-4.9510000000000005,0.6388246
-5.22,-3.7431979751586915,0.565,-4.308198
-0.83,-1.3861591415405277,-1.9830000000000003,0.59684086
-0.68,-0.6057650785446167,-1.373,0.7672349
-4.93,-4.996895782470704,-5.8420000000000005,0.8451042
-8.42,-8.822648857116697,-17.747999999999998,8.925351
-6.16,-6.09729495692253,-6.337999999999999,0.24070504
-2.23,-2.1897937889099115,-4.436999999999999,2.2472062
-0.53,-1.16729745388031,-0.47,-0.69729745
-4.47,-4.12306956243515,-3.952,-0.17106956
-7.17,-6.987460781097412,-4.476,-2.5114608
-2.78,-2.963798103332519,-7.81,4.846202
3.43,3.491693210601807,-1.05,4.541693
-11.0,-11.314277490615845,-13.534,2.2197225
-6.21,-5.922569843292237,-10.271,4.34843
-5.71,-6.382129707336425,-10.415,4.0328703
-5.26,-5.595459021806717,-5.908,0.31254098
-1.14,-1.2330216102600096,-2.143,0.9099784
-2.4,-2.3664362792968747,-4.938,2.5715637
-2.33,-1.9618201546669007,-1.618,-0.34382015
2.38,2.135015154838562,1.201,0.93401515
-1.62,-1.6416042490005491,-0.4169999999999998,-1.2246042
-6.79,-6.471953040122986,-7.431,0.95904696
-1.1,-1.5007390863895416,-1.932,0.4312609
-0.9,-1.5195366020202639,-2.462,0.9424634
-3.52,-3.638657370567322,-5.341,1.7023426
-1.43,-1.49859535241127,-1.914,0.41540465
0.0,0.4101865644454956,-0.238,0.64818656
1.47,1.1905494565963746,0.562,0.62854946
-4.62,-5.058508309364319,-3.734,-1.3245083
-2.38,-2.2968665294647215,-3.643,1.3461335
2.1,1.8893982095718385,1.092,0.7973982
-9.34,-7.860758932113648,-5.558000000000001,-2.302759
-10.0,-9.982235271215439,-10.138,0.15576473
-3.5,-4.17245241355896,-6.937,2.7645476
-4.61,-4.2956618375778195,-5.757,1.4613382
-2.07,-2.443732637405396,-5.094,2.6502674
-0.33,-0.16019744682311998,-0.7229999999999999,0.56280255
-0.9,-0.8365199003219606,-1.491,0.6544801
-2.7,-3.062508783340454,-4.96,1.8974912
1.83,1.3518477573394776,0.8140000000000001,0.53784776
-3.9,-3.1989242238998417,-4.517,1.3180758
-1.5,-1.4172895290851588,-1.4539999999999995,0.03671047
