expt,physics_ml,physics,ml
-3.82,-3.5981395456695555,-7.40799,3.8098505
-2.93,-2.7294765238189695,-4.61494,1.8854635
-0.98,-1.3832366437149048,-1.03292,-0.35031664
-0.74,-2.7035350102710725,-3.15843,0.454895
-1.59,-0.7607488239479065,-1.07732,0.31657118
-3.75,-3.1399864113807676,-3.77505,0.6350636
-4.55,-3.65675110282898,-5.87065,2.213899
-2.73,-2.052888782148361,-2.41788,0.36499122
-0.53,-2.3824213667869567,-2.7346,0.35217863
-0.25,-0.4512872129249573,-0.71708,0.2657928
-5.48,-4.027620272264481,-4.36136,0.33373973
2.51,1.812152313604355,1.40514,0.4070123
-0.64,1.4802886335468293,1.28346,0.19682863
-0.83,0.14976994910049438,-0.126202,0.27597195
-6.88,-4.4288420317840576,-6.78707,2.358228
-4.84,-4.252476113321781,-4.16219,-0.09028611
-5.22,-1.824329546798706,0.758061,-2.5823905
-0.83,-1.209404786117077,-1.12182,-0.087584786
-0.68,-0.3651439665269852,-0.52897,0.16382603
-4.93,-4.727340746362209,-4.70552,-0.021820746
-8.42,-12.235931343078612,-17.769,5.5330687
-6.16,-5.116587231407165,-7.09326,1.9766728
-2.23,-2.086385730781555,-3.54854,1.4621543
-0.53,-0.13622729836273195,-0.480758,0.3445307
-4.47,-3.6685109942626957,-4.35282,0.684309
-7.17,-6.7745806748962405,-4.25126,-2.5233207
-2.78,-2.8121307677459715,-5.86792,3.0557892
3.43,4.225769562866211,0.254252,3.9715176
-11.0,-10.802238288974761,-11.1336,0.3313617
-6.21,-6.505122970581054,-11.8365,5.331377
-5.71,-6.703164866065979,-8.60135,1.8981851
-5.26,-3.810749109420776,-5.99241,2.181661
-1.14,-1.7234947922325135,-1.29576,-0.4277348
-2.4,-2.2852348680114742,-4.12996,1.8447251
-2.33,-1.5906905470371246,-1.8648,0.27410945
2.38,1.730273493309021,1.44952,0.2807535
-1.62,-1.5425597303390504,0.120075,-1.6626347
-6.79,-6.266214377861023,-7.52273,1.2565156
-1.1,-1.554500979757309,-1.8681,0.31359902
-0.9,-1.4557076389431953,-1.43665,-0.019057639
-3.52,-3.5426854183006284,-4.39293,0.8502446
-1.43,-0.9443069536781311,-0.99751,0.053203046
0.0,0.029374087582111352,0.101348,-0.07197391
1.47,1.4782485121536255,1.07213,0.4061185
-4.62,-3.8118903973007203,-4.35224,0.5403496
-2.38,-2.7807133012676237,-2.95259,0.1718767
2.1,1.5691698669433594,1.31365,0.25551987
-9.34,-6.000752695274353,-5.4432,-0.5575527
-10.0,-9.134759205322265,-8.58373,-0.5510292
-3.5,-3.6448931318664552,-5.56639,1.9214969
-4.61,-3.959296431083679,-4.83052,0.87122357
-2.07,-2.7254086790275576,-3.57202,0.8466113
-0.33,-0.393748471493721,-0.47762,0.08387153
-0.9,-0.9133529923911095,-0.799137,-0.11421599
-2.7,-2.9675929514694213,-3.34068,0.37308705
1.83,1.2907498212184905,0.946109,0.34464082
-3.9,-3.0225499175071717,-3.7048,0.6822501
-1.5,-0.6776309104614258,-0.982718,0.3050871
-6.6,-5.90089109840393,-8.02315,2.122259
2.0,1.3908555350589753,1.12003,0.27082554
-7.0,-9.123636573028564,-14.5282,5.4045634
-10.78,-16.15916397857666,-21.678,5.518836
-0.46,-2.581285803604126,-3.0203,0.4390142
-10.17,-9.75383450050354,-11.2377,1.4838655
-2.75,-2.0116303793334964,-5.86739,3.8557596
3.16,2.6551032875061034,2.51855,0.13655329
-10.21,-9.777329292297363,-15.2775,5.5001707
-4.42,-4.5758939602661135,-5.43428,0.85838604
-2.56,-2.675567671356201,-5.48206,2.8064923
-9.51,-9.799266593551636,-12.4726,2.6733334
-5.0,-4.242149859619141,-5.6162,1.3740501
-14.21,-14.15346956977844,-16.0251,1.8716304
2.55,2.363799099676609,2.29093,0.0728691
-2.56,-2.557908263130188,-4.24467,1.6867617
-2.64,-2.2527970049285893,-4.53924,2.286443
-5.22,-4.678397727470398,-4.42823,-0.25016773
-2.92,-2.7587672829818723,-3.33477,0.5760027
-4.5,-3.394454135986328,-0.838771,-2.5556831
-1.66,-0.9662982646846772,-1.30244,0.33614174
-11.85,-10.499248638343811,-12.3627,1.8634514
-4.1,-3.8932370283889774,-4.60303,0.709793
-7.66,-7.720680041351319,-9.20204,1.48136
-1.93,-2.778056358907223,-2.69166,-0.08639636
-3.28,-3.443464109973908,-4.23033,0.7868659
-1.36,-2.028252843112946,-1.36047,-0.66778284
-1.23,-0.16496358325481414,-0.274275,0.10931142
0.25,-0.03953977935409547,-0.276351,0.23681122
0.34,0.3334288467159271,0.119949,0.21347985
2.88,2.095002740907669,1.77155,0.32345274
-4.52,-4.914623811111451,-5.18411,0.2694862
-2.26,-1.3300881575775145,-3.36217,2.0320818
2.56,2.015241432943344,1.71404,0.30120143
-5.33,-4.496532405586243,-5.15847,0.6619376
-9.65,-8.869767510986328,-10.4176,1.5478325
-0.78,-0.6861188547210694,-0.214983,-0.47113585
1.23,1.2419053017616273,1.45995,-0.2180447
-5.04,-5.914445180168152,-6.16124,0.24679482
-9.8,-9.331713287734985,-7.23115,-2.1005633
-18.72,-16.815035940170286,-17.676,0.86096406
-10.64,-9.025297263908387,-10.1438,1.1185027
-2.22,-2.4733384020233156,-2.91149,0.4381516
0.75,0.6199513315639495,0.837996,-0.21804467
-4.01,-4.383301113042831,-4.14466,-0.23864111
-3.68,-3.611175044136047,-5.10333,1.492155
-0.4,-0.27140910676574703,-0.532461,0.2610519
-1.24,-0.9750591253662109,-1.92444,0.9493809
-4.39,-3.6463119864177704,-4.11972,0.473408
-9.94,-9.222005768585205,-14.8108,5.588794
-6.13,-5.990814008522034,-7.28605,1.295236
-6.13,-5.801824324798584,-7.64695,1.8451257
-6.09,-6.576588458251953,-11.9917,5.4151115
-4.69,-4.6633259747695925,-5.02207,0.35874403
-3.78,-3.553963592071533,-3.22477,-0.3291936
-1.4,-1.0828291554260254,-1.49848,0.41565084
1.16,1.2704371884765626,0.614294,0.6561432
-1.08,-1.1656763624649047,-0.784598,-0.38107836
-4.31,-5.736962530822755,-9.77372,4.0367575
-6.69,-7.769925484466553,-13.4748,5.7048745
-0.85,-1.0606942960395813,-0.925864,-0.1348303
-7.65,-10.159151279640199,-8.7222,-1.4369513
-0.9,-1.370283026380539,-1.75567,0.38538697
2.93,2.456952519903183,2.13476,0.32219252
-2.93,-2.5929652235412597,-3.26924,0.6762748
-4.85,-4.420223207321167,-5.40434,0.9841168
-5.91,-5.014142326965332,-7.01664,2.0024977
-3.64,-3.601651177282333,-4.00587,0.40421882
2.88,2.3196792974853517,2.11479,0.2048893
-4.91,-5.188556971092224,-4.36802,-0.820537
-0.86,-1.1520486838150026,-0.910305,-0.24174368
-5.53,-5.0203763200759886,-4.4052,-0.6151763
-4.95,-4.966002137708664,-4.82255,-0.14345214
0.14,0.9396145338401795,0.701361,0.23825353
-7.78,-10.776659507369995,-12.8871,2.1104405
-1.92,-3.887197539329529,-5.8345,1.9473025
-2.01,-1.011137158498764,-1.37636,0.36522284
-3.17,-1.7556929846954346,0.12063,-1.876323
-2.64,-2.3846159143447876,-2.89825,0.5136341
-4.04,-4.989921168937683,-6.10414,1.1142188
-0.11,-0.8228084469604493,-2.31658,1.4937716
