expt,physics_ml,physics,ml
-3.82,-4.644150257110596,0,-4.6441503
-2.93,-3.3016698360443115,0,-3.3016698
-0.98,-1.2483657598495483,0,-1.2483658
-0.74,-1.1126844882965088,0,-1.1126845
-1.59,-2.0638561248779297,0,-2.0638561
-3.75,-4.191954135894775,0,-4.191954
-4.55,-5.777700424194336,0,-5.7777004
-2.73,-2.5602357387542725,0,-2.5602357
-0.53,-0.9284822344779968,0,-0.92848223
-0.25,-0.666418194770813,0,-0.6664182
-5.48,-5.131107807159424,0,-5.131108
2.51,2.5220534801483154,0,2.5220535
-0.64,-0.7231916189193726,0,-0.7231916
-0.83,-1.510783076286316,0,-1.5107831
-6.88,-5.630082130432129,0,-5.630082
-4.84,-6.375805377960205,0,-6.3758054
-5.22,-3.8081281185150146,0,-3.808128
-0.83,-1.0869500637054443,0,-1.0869501
-0.68,-1.2355118989944458,0,-1.2355119
-4.93,-5.1152143478393555,0,-5.1152143
-8.42,-9.016931533813477,0,-9.016932
-6.16,-6.28589391708374,0,-6.285894
-2.23,-2.875107765197754,0,-2.8751078
-0.53,-1.48423433303833,0,-1.4842343
-4.47,-4.172192096710205,0,-4.172192
-7.17,-7.30421257019043,0,-7.3042126
-2.78,-2.8109230995178223,0,-2.810923
3.43,2.3365960121154785,0,2.336596
-11.0,-10.259465217590332,0,-10.259465
-6.21,-6.05703592300415,0,-6.057036
-5.71,-3.9503567218780518,0,-3.9503567
-5.26,-5.6713104248046875,0,-5.6713104
-1.14,-1.597219705581665,0,-1.5972197
-2.4,-2.3689987659454346,0,-2.3689988
-2.33,-2.0809643268585205,0,-2.0809643
2.38,2.40952205657959,0,2.409522
-1.62,-2.1783177852630615,0,-2.1783178
-6.79,-6.654466152191162,0,-6.654466
-1.1,-1.9762638807296753,0,-1.9762639
-0.9,-1.2652089595794678,0,-1.265209
-3.52,-3.662914991378784,0,-3.662915
-1.43,-1.3453384637832642,0,-1.3453385
0.0,-0.6933173537254333,0,-0.69331735
1.47,1.3958274126052856,0,1.3958274
-4.62,-5.022611141204834,0,-5.022611
-2.38,-2.8433475494384766,0,-2.8433475
2.1,2.4061105251312256,0,2.4061105
-9.34,-7.8024983406066895,0,-7.8024983
-10.0,-10.424823760986328,0,-10.424824
-3.5,-3.6517999172210693,0,-3.6518
-4.61,-4.587093830108643,0,-4.587094
-2.07,-2.344940662384033,0,-2.3449407
-0.33,-1.1991044282913208,0,-1.1991044
-0.9,-0.9877214431762695,0,-0.98772144
-2.7,-3.0252346992492676,0,-3.0252347
1.83,2.571795701980591,0,2.5717957
-3.9,-3.971379518508911,0,-3.9713795
-1.5,-1.5657154321670532,0,-1.5657154
-6.6,-7.561088562011719,0,-7.5610886
2.0,2.4689834117889404,0,2.4689834
-7.0,-8.803175926208496,0,-8.803176
-10.78,-9.081920623779297,0,-9.081921
-0.46,-0.8213927745819092,0,-0.8213928
-10.17,-8.58759880065918,0,-8.587599
-2.75,-3.2250804901123047,0,-3.2250805
3.16,1.9210057258605957,0,1.9210057
-10.21,-8.96605110168457,0,-8.966051
-4.42,-4.125833988189697,0,-4.125834
-2.56,-3.052325487136841,0,-3.0523255
-9.51,-8.533796310424805,0,-8.533796
-5.0,-5.704946041107178,0,-5.704946
-14.21,-12.99142837524414,0,-12.991428
2.55,1.6735119819641113,0,1.673512
-2.56,-2.9499270915985107,0,-2.949927
-2.64,-2.844174861907959,0,-2.8441749
-5.22,-5.309615135192871,0,-5.309615
-2.92,-3.822307825088501,0,-3.8223078
-4.5,-4.682045936584473,0,-4.682046
-1.66,-1.955663800239563,0,-1.9556638
-11.85,-11.804412841796875,0,-11.804413
