expt,physics_ml,physics,ml
-3.82,-2.93852099609375,-5.442,2.503479
-2.93,-2.812369157791138,-3.652,0.83963084
-0.98,-0.8695452666282654,-0.11,-0.75954527
-0.74,-1.0001550045013428,-0.609,-0.391155
-1.59,-1.1640856428146362,-0.617,-0.54708564
-3.75,-3.9601617040634154,-3.344,-0.6161617
-4.55,-4.600994555473328,-3.317,-1.2839946
-2.73,-1.7627631843090057,-1.325,-0.43776318
-0.53,-0.759581815481186,-0.443,-0.31658182
-0.25,0.2118220882415771,0.833,-0.6211779
-5.48,-4.970253796577453,-4.345,-0.6252538
2.51,2.7575648901462553,2.506,0.2515649
-0.64,0.13639522552490235,0.885,-0.7486048
-0.83,-0.3146457359790802,0.139,-0.45364574
-6.88,-7.966916382789612,-6.588,-1.3789164
-4.84,-3.8412604751586916,-2.869,-0.9722605
-5.22,-3.6160662975311277,-1.284,-2.3320663
-0.83,-0.8859106929302215,-0.697,-0.1889107
-0.68,-0.5043807846903801,-0.456,-0.048380785
-4.93,-3.9311441831588745,-3.343,-0.5881442
-8.42,-9.83005659866333,-13.953,4.1229434
-6.16,-6.013153729915619,-5.148,-0.86515373
-2.23,-1.8906910219192503,-2.929,1.038309
-0.53,-0.9027856259346008,-0.178,-0.7247856
-4.47,-3.973086905956268,-3.288,-0.6850869
-7.17,-7.052874628067016,-6.116,-0.9368746
-2.78,-2.8405365972518917,-4.028,1.1874634
3.43,4.092123605728149,3.077,1.0151236
-11.0,-11.285300671577454,-10.412,-0.8733007
-6.21,-6.035128930091858,-7.878,1.8428711
-5.71,-7.488158257484436,-8.683,1.1948417
-5.26,-5.145127804756164,-4.308,-0.8371278
-1.14,-1.1787101130485533,-0.473,-0.7057101
-2.4,-2.564814309120178,-3.304,0.7391857
-2.33,-2.0073447465896606,-1.275,-0.73234475
2.38,2.174266424179077,2.59,-0.41573358
-1.62,-1.6998927965164183,0.136,-1.8358928
-6.79,-6.4079296875,-5.28,-1.1279297
-1.1,-1.7324109859466552,-0.182,-1.550411
-0.9,-0.9439586484432221,-0.79,-0.15395865
-3.52,-3.67584650850296,-3.166,-0.5098465
-1.43,-0.9091002140045166,-0.091,-0.8181002
0.0,0.36979749059677114,1.261,-0.8912025
1.47,1.6279081687927248,2.486,-0.85809183
-4.62,-4.050967831611633,-3.145,-0.90596783
-2.38,-1.8974536358118057,-1.853,-0.044453636
2.1,2.2553457622528077,2.588,-0.33265424
-9.34,-8.767834518432618,-7.873,-0.8948345
-10.0,-9.036132551193237,-8.276,-0.76013255
-3.5,-4.202282270908356,-3.372,-0.8302823
-4.61,-3.4792188279628755,-3.043,-0.43621883
-2.07,-2.5169926629066466,-2.336,-0.18099266
-0.33,-0.0019279022216797115,0.973,-0.9749279
-0.9,-0.7773535816669465,-0.553,-0.22435358
-2.7,-2.9637142949104307,-3.143,0.1792857
1.83,1.675157811641693,2.465,-0.7898422
-3.9,-4.43204207110405,-4.003,-0.42904207
-1.5,-0.4798081293106079,0.386,-0.8658081
-6.6,-6.518355412006378,-5.707,-0.8113554
2.0,2.1767838549613954,2.495,-0.31821615
-7.0,-6.725410110473632,-10.857,4.13159
