expt,physics_ml,physics,ml
-3.82,-3.7657408963012697,-6.57758,2.811839
-2.93,-2.9951468446159364,-3.66474,0.66959316
-0.98,-1.2182825495529175,-1.45543,0.23714745
-0.74,-0.6351068159675598,0.116715,-0.7518218
-1.59,-1.0656459558229447,-0.907798,-0.15784796
-3.75,-3.735462327041626,-2.45829,-1.2771723
-4.55,-5.1237690825271605,-4.56098,-0.5627891
-2.73,-2.4914780485916137,-1.61028,-0.88119805
-0.53,-0.28821411836624145,0.516745,-0.8049591
-0.25,0.07052441204452514,-0.333791,0.4043154
-5.48,-5.104923749008179,-2.99454,-2.1103837
2.51,2.607049025363922,1.90732,0.699729
-0.64,0.16495558732986448,1.07819,-0.9132344
-0.83,-0.23164128632392883,0.0647066,-0.2963479
-6.88,-6.736035217037201,-7.73074,0.9947048
-4.84,-4.779962176494599,-4.24443,-0.5355322
-5.22,-4.555016291229248,-0.845567,-3.7094493
-0.83,-0.9606141857481003,-0.78156,-0.17905419
-0.68,-0.25851189799594876,-0.174978,-0.0835339
-4.93,-5.001539748106003,-4.83966,-0.16187975
-8.42,-8.814259968566894,-13.7258,4.91154
-6.16,-6.167567095813752,-5.22681,-0.9407571
-2.23,-2.0927881129455566,-2.60682,0.5140319
-0.53,-0.45511353078079225,-0.328502,-0.12661153
-4.47,-4.016549213562012,-3.01116,-1.0053892
-7.17,-6.623091749725342,-5.51506,-1.1080317
-2.78,-2.8953748985290524,-4.6221,1.7267251
3.43,3.545434686355591,3.87818,-0.3327453
-11.0,-11.056375424194336,-10.5443,-0.5120754
-6.21,-6.171184784622193,-8.16397,1.9927852
-5.71,-5.944056135635376,-7.41548,1.4714239
-5.26,-5.2486275105381015,-4.98249,-0.2661375
-1.14,-1.4324738849568368,-1.37383,-0.058643885
-2.4,-2.477250783672333,-3.03474,0.5574892
-2.33,-2.0775752289733886,-0.656971,-1.4206042
2.38,2.0952186614418027,1.92139,0.17382866
-1.62,-1.8565746812591553,-0.702526,-1.1540487
-6.79,-6.298628452072143,-5.55451,-0.74411845
-1.1,-1.738128482131958,0.13347,-1.8715985
-0.9,-1.3199952552604675,-1.10628,-0.21371526
-3.52,-3.339949620037079,-2.92428,-0.41566962
-1.43,-1.4210788285064697,-1.25393,-0.16714883
0.0,0.6355943477859497,0.494274,0.14132035
1.47,1.0470484466362,1.58098,-0.53393155
-4.62,-5.033919193191528,-2.76292,-2.2709992
-2.38,-2.2261376537847517,-2.19608,-0.030057654
2.1,1.9656898993206025,1.77912,0.1865699
-9.34,-8.13880814163208,-6.18442,-1.9543881
-10.0,-10.043412762069703,-7.0254,-3.0180128
