expt,physics_ml,physics,ml
-2.49,-2.5902420165252686,-3.72622,1.135978
-3.82,-4.54066815498352,-5.70653,1.1658618
-0.98,-0.9687146213092804,-0.999704,0.030989379
-1.59,-1.2130418622512817,-0.719727,-0.49331486
-4.55,-3.8852640147399904,-3.02802,-0.857244
-2.73,-2.502704279541969,-2.63325,0.13054572
-0.53,-0.49310624568557737,-0.940476,0.44736975
-0.25,-0.12368388534164426,-0.471056,0.3473721
-2.82,-2.799387254524231,-1.84855,-0.95083725
2.51,2.32905020986557,1.94086,0.3881902
-0.83,-0.5929205418457031,0.0773561,-0.67027664
-7.5,-9.449605030612945,-8.80233,-0.64727503
-1.99,-2.3429098788261413,-2.3491,0.006190121
-6.88,-6.9382465545654295,-6.14795,-0.79029655
-5.22,-3.0811301270675657,-2.18137,-0.8997601
-0.83,-1.3692638290166854,-1.44315,0.07388617
-0.68,-0.8687070936331749,-0.835526,-0.033181094
-2.49,-2.325222342529297,-3.65004,1.3248177
-0.99,-1.6218713787651062,-1.62836,0.0064886212
-6.16,-5.4342710284423825,-4.45142,-0.982851
-2.23,-2.4003646519470214,-3.55178,1.1514153
-0.53,-0.9118717822967529,-0.0964986,-0.8153732
-5.1,-3.7594383990859983,-4.07426,0.3148216
-4.47,-3.4786927530670164,-3.08674,-0.39195275
-7.17,-7.8770988321685795,-6.12954,-1.7475588
1.38,0.9710915387659073,0.995003,-0.023911461
0.29,0.6831943616790771,0.842092,-0.15889764
-10.08,-10.949350911903382,-11.4593,0.5099491
-2.78,-3.3167281613159183,-4.36373,1.0470018
-11.0,-9.919990350723266,-11.027,1.1070096
-3.15,-4.472931300258637,-3.9786,-0.4943313
-6.21,-6.258345828132629,-7.45533,1.1969842
-5.26,-4.848647914085388,-4.11941,-0.7292379
-1.14,-1.1929872644209862,-1.21859,0.025602736
-2.4,-2.6221206880187986,-3.65181,1.0296893
-2.33,-2.093654553799629,-2.13828,0.044625446
2.38,2.288976127243042,1.99285,0.29612613
1.77,1.8505985258674622,1.49411,0.35648853
-1.62,-1.6797019932632447,-0.783938,-0.895764
-1.79,-2.1973353299713136,-2.10896,-0.08837533
-6.79,-6.110241941952705,-6.0964,-0.013841942
-1.1,-1.8318727987909318,-1.82824,-0.0036327988
-0.9,-1.4422024294042588,-1.62474,0.18253757
-3.41,-2.888347092437744,-3.92455,1.0362029
-3.52,-3.1383959518814084,-4.42939,1.290994
-1.43,-1.1293997889709473,-1.41537,0.2859702
0.0,0.15154708079624177,0.166193,-0.014645919
-20.52,-16.009126681137083,-13.1838,-2.8253267
1.47,0.8462684175491333,1.41845,-0.5721816
-4.62,-5.13855100479126,-2.75965,-2.378901
-2.38,-2.6123652944231033,-2.83859,0.2262247
-7.19,-8.997253240013123,-7.9709,-1.0263532
2.1,1.842710836918354,1.86422,-0.021509163
-4.02,-3.695975926322937,-2.83267,-0.8633059
-10.0,-7.687329023323059,-8.86721,1.179881
-3.5,-3.2342841859436033,-4.48506,1.2507758
-2.07,-1.7654936361694338,-2.91204,1.1465464
-0.33,-0.3538839309644699,-0.33592,-0.017963931
-0.9,-1.185991370639801,-1.05546,-0.13053137
1.83,1.2848143716621399,1.58483,-0.30001563
0.1,-0.4532296465492249,-0.445985,-0.0072446465
-1.5,-1.2749091371917725,-1.21919,-0.055719137
-6.6,-6.196994123458862,-5.06,-1.1369941
-7.0,-9.04593791809082,-10.2434,1.1974621
-0.46,-0.5506882760429381,-1.27049,0.7198017
-10.17,-7.97016008480072,-7.41383,-0.5563301
-5.66,-5.173601154270172,-4.31219,-0.86141115
1.83,1.164328830370903,1.23501,-0.07068117
-0.1,-0.03722276133556366,-0.0144752,-0.022747561
-0.45,-1.1224023846912383,-1.07818,-0.044222385
3.16,3.05857790122509,2.91848,0.1400979
-0.63,-0.5732529926347733,-0.552755,-0.020497993
2.51,2.3088671162557604,2.14692,0.16194712
-3.15,-3.049890171954632,-3.07776,0.027869828
-2.56,-3.3492092396163944,-4.44589,1.0966808
-9.51,-7.109101942062377,-8.1405,1.031398
-5.0,-4.935500093536377,-3.49758,-1.4379201
-14.21,-13.751656911468507,-14.8526,1.1009431
2.55,2.6318613107728956,2.45293,0.17893131
-2.56,-2.8026420316314695,-3.93896,1.136318
-6.25,-5.58845709602356,-4.41767,-1.1707871
-2.92,-2.334213680419922,-3.39716,1.0629463
-6.0,-7.920931078338622,-9.0964,1.1754689
-1.66,-1.3669185846481322,-0.987116,-0.37980258
-11.85,-15.789155318450927,-16.8997,1.1105447
-4.1,-4.954715320472717,-4.35713,-0.5975853
-7.66,-6.8183458966827395,-5.90371,-0.9146359
-1.45,-1.480485253112793,-0.516043,-0.96444225
-1.93,-2.4972623771572113,-2.62514,0.12787762
-1.36,-1.4975204281759262,-1.42337,-0.07415043
0.25,0.3766202626037598,-0.15377,0.53039026
0.34,0.27631884592151645,0.154981,0.121337846
2.88,2.775917191410065,2.28365,0.4922672
-4.52,-4.780892554113865,-4.74726,-0.033632554
-2.26,-2.0900786302948,-3.31809,1.2280114
2.56,2.763394838619232,2.26505,0.49834484
-5.33,-5.120175692977905,-4.45569,-0.6644857
-4.8,-5.5008389922523495,-4.92789,-0.572949
-9.76,-7.457211659545898,-8.48162,1.0244083
-9.65,-7.55313476020813,-6.91532,-0.63781476
-0.78,-0.5687370698504448,-0.522718,-0.04601907
-5.04,-6.107012125320434,-6.65232,0.5453079
-9.8,-6.968071953430176,-8.14114,1.173068
-18.72,-17.089426059532165,-18.2348,1.145374
-10.64,-7.197800869750977,-6.17855,-1.0192509
-2.22,-3.4900732408332824,-2.90258,-0.58749324
-7.77,-9.059944419555663,-7.02368,-2.0362644
-9.61,-11.301534284210206,-12.4311,1.1295657
-3.68,-3.384878463172913,-4.5269,1.1420215
-4.78,-5.187183021845818,-5.43569,0.24850698
-4.68,-7.119883071899414,-8.1745,1.0546169
-1.24,-2.0338373531103136,-2.152,0.11816265
-4.39,-4.723814659881592,-2.5708,-2.1530147
-9.94,-8.053388508605957,-9.41755,1.3641615
-6.13,-5.53455582901001,-4.28096,-1.2535958
-6.13,-5.8169335746002195,-4.56342,-1.2535136
-6.09,-6.293561991119385,-7.55965,1.266088
-3.65,-3.3203544480895997,-1.81251,-1.5078444
-3.78,-3.5415680362224577,-3.55265,0.011081964
-1.4,-2.3222464947271346,-2.35133,0.029083505
1.16,0.8009226119155883,0.988937,-0.18801439
-1.08,-1.1767313710136413,-0.666442,-0.5102894
-4.31,-3.7000346425819397,-3.20438,-0.49565464
1.32,1.1400848769683838,0.735927,0.40415788
-6.69,-7.695689521369934,-8.97106,1.2753705
-0.85,-1.3407898934459686,-1.34506,0.0042701066
-0.9,-1.4947125130081176,-1.75629,0.2615775
2.93,3.121497895069122,2.63907,0.4824279
-2.93,-2.970016824016571,-2.99426,0.024243176
-5.91,-5.383496768608094,-4.30714,-1.0763568
