expt,physics_ml,physics,ml
-2.49,-2.8294946994781496,-5.059,2.2295053
-3.82,-4.2438882675170895,-10.084,5.8401117
-0.98,-1.1359704699516295,-1.884,0.74802953
-1.59,-2.1113679356575012,-1.157,-0.95436794
-4.55,-4.499139396667481,-5.567,1.0678606
-2.73,-2.623090175151825,-3.516,0.8929098
-0.53,-0.5882287454605102,-1.92,1.3317713
-0.25,-0.3865454349517822,-0.941,0.55445457
-2.82,-1.822779165893793,-1.839,0.016220834
2.51,2.2212200899124146,1.177,1.0442201
-0.83,-1.7953791151046754,-0.1260000000000001,-1.6693791
-7.5,-8.071572673797608,-13.788,5.7164273
-1.99,-2.9743137197494507,-3.258,0.28368628
-6.88,-6.523828271865844,-8.578999999999999,2.0551717
-5.22,-2.6931491470336915,0.565,-3.2581491
-0.83,-1.0433429675102237,-1.9830000000000003,0.93965703
-0.68,-0.30176219749450683,-1.373,1.0712378
-2.49,-2.4288608150482176,-4.558,2.1291392
-0.99,-1.6470980887413027,-1.7380000000000002,0.09090191
-6.16,-5.189818680763244,-6.337999999999999,1.1481813
-2.23,-2.126804315567016,-4.436999999999999,2.3101957
-0.53,-2.288217635154724,-0.47,-1.8182176
-5.1,-3.997031148910523,-5.384,1.3869689
-4.47,-4.536047496318817,-3.952,-0.5840475
-7.17,-7.197506595611572,-4.476,-2.7215066
1.38,0.9564932594299316,0.176,0.78049326
0.29,0.6574805688858032,-0.53,1.1874806
-10.08,-12.096988712310791,-15.336,3.2390113
-2.78,-4.796089706420898,-7.81,3.0139103
-11.0,-10.247669538497926,-13.534,3.2863305
-3.15,-4.4601332368850715,-6.369000000000001,1.9088668
-6.21,-6.571922393798829,-10.271,3.6990776
-5.26,-4.783099301338196,-5.908,1.1249007
-1.14,-1.4146754674911497,-2.143,0.72832453
-2.4,-2.8022742633819577,-4.938,2.1357257
-2.33,-1.7700509123802186,-1.618,-0.15205091
2.38,2.2343513021469117,1.201,1.0333513
1.77,-0.056337877273559656,-1.971,1.9146621
-1.62,-0.9211870474815367,-0.4169999999999998,-0.50418705
-1.79,-2.443383351802826,-2.904,0.46061665
-6.79,-6.536114281177521,-7.431,0.8948857
-1.1,-1.626318950176239,-1.932,0.30568105
-0.9,-1.207451092720032,-2.462,1.2545489
-3.41,-2.80088586807251,-4.95,2.1491141
-3.52,-3.4354478511810305,-5.341,1.9055521
-1.43,-1.9572900227606296,-1.914,-0.043290023
0.0,-0.053605878829956044,-0.238,0.18439412
-20.52,-19.26260702896118,-14.703,-4.559607
1.47,1.7487870092391968,0.562,1.186787
-4.62,-5.045571359634399,-3.734,-1.3115714
-2.38,-2.900687151432037,-3.643,0.74231285
-7.19,-8.067409908294678,-13.637,5.56959
2.1,1.5093584580421449,1.092,0.41735846
-4.02,-2.5357990374565125,-3.149,0.61320096
-10.0,-8.314436185836792,-10.138,1.8235638
-3.5,-3.262661659240723,-6.937,3.6743383
