expt,physics_ml,physics,ml
-2.49,-2.392199809341431,-4.00628,1.6140802
-3.82,-3.4890439722442625,-7.40799,3.918946
-0.98,-1.8163456887435914,-1.03292,-0.7834257
-1.59,-1.5328868830871583,-1.07732,-0.45556688
-4.55,-5.114057249450684,-5.87065,0.75659275
-2.73,-2.6144655360031126,-2.41788,-0.19658554
-0.53,-0.4597286506652831,-2.7346,2.2748713
-0.25,-0.3724236219692231,-0.71708,0.34465638
-2.82,-2.8004068648910523,-1.56176,-1.2386469
2.51,2.678781347885132,1.40514,1.2736413
-0.83,-1.58708108744812,-0.126202,-1.4608791
-7.5,-7.023752714538574,-10.8339,3.8101473
-1.99,-2.720948617839813,-2.4254,-0.29554862
-6.88,-7.445768320388794,-6.78707,-0.6586983
-5.22,-1.1602165020599364,0.758061,-1.9182775
-0.83,-0.8264744551849366,-1.12182,0.29534554
-0.68,-0.3918214409065247,-0.52897,0.13714856
-2.49,-2.7989543225479125,-3.53497,0.7360157
-0.99,-1.4995305968856811,-1.64191,0.1423794
-6.16,-5.97730107093811,-7.09326,1.1159589
-2.23,-2.346730474510193,-3.54854,1.2018095
-0.53,-0.4061275607185364,-0.480758,0.07463044
-5.1,-4.992567253723145,-6.24389,1.2513227
-4.47,-4.113273760623932,-4.35282,0.23954624
-7.17,-7.452065425643921,-4.25126,-3.2008054
1.38,1.8140496748199464,0.742274,1.0717757
0.29,0.34235105928421017,0.17009,0.17226106
-10.08,-9.96821729698181,-12.6779,2.7096827
-2.78,-2.209471065444946,-5.86792,3.658449
-11.0,-10.16630536661148,-11.1336,0.96729463
-3.15,-4.173237228775024,-4.9079,0.7346628
-6.21,-5.20711595916748,-11.8365,6.629384
-5.26,-5.23278766456604,-5.99241,0.75962234
-1.14,-1.2454300428426266,-1.29576,0.050329957
-2.4,-1.4995118970489498,-4.12996,2.630448
-2.33,-1.9077551713168621,-1.8648,-0.04295517
2.38,2.451262124557495,1.44952,1.0017421
1.77,2.0593044829101563,0.791322,1.2679825
-1.62,-1.5182340019226075,0.120075,-1.638309
-1.79,-2.375369103668928,-2.33928,-0.036089104
-6.79,-6.959802157859802,-7.52273,0.56292784
-1.1,-1.598667753314972,-1.8681,0.26943225
-0.9,-1.0556123773097992,-1.43665,0.38103762
-3.41,-3.4561252212047577,-3.8887,0.43257478
-3.52,-3.616242497138977,-4.39293,0.7766875
-1.43,-1.449525370130539,-0.99751,-0.45201537
0.0,0.08244239387917518,0.101348,-0.018905606
-20.52,-19.192446878051758,-21.1951,2.0026531
1.47,1.0765649171221257,1.07213,0.004434917
-4.62,-4.634721461763382,-4.35224,-0.28248146
-2.38,-2.0335828774833677,-2.95259,0.9190071
-7.19,-8.52603357963562,-10.7518,2.2257664
2.1,2.0981913088798523,1.31365,0.7845413
-4.02,-3.7761074507522583,-2.79528,-0.98082745
-10.0,-7.8047437844085685,-8.58373,0.7789862
-3.5,-3.3124098402404787,-5.56639,2.2539802
-2.07,-1.580599730987549,-3.57202,1.9914203
-0.33,-0.3807607535076141,-0.47762,0.09685925
-0.9,-0.7792201340253353,-0.799137,0.019916866
1.83,1.3921031387176512,0.946109,0.44599414
0.1,0.7478543273925782,-3.94705,4.6949043
-1.5,-1.7795180769615173,-0.982718,-0.7968001
-6.6,-6.4287442296981805,-8.02315,1.5944058
-7.0,-8.01865705795288,-14.5282,6.509543
-0.46,-0.4829190662384035,-3.0203,2.537381
-10.17,-10.089213266563416,-11.2377,1.1484867
-5.66,-6.3693957504844665,-6.91146,0.54206425
1.83,2.112263505325317,0.970985,1.1412785
-0.1,-0.12512901503252982,-0.133123,0.007993985
-0.45,-0.19492488209724423,-0.52667,0.33174512
3.16,3.200386724281311,2.51855,0.6818367
-0.63,-0.4758457409572602,-0.812795,0.33694926
2.51,2.5075684981918336,1.62481,0.8827585
-3.15,-2.9691830087995528,-3.19751,0.22832699
-2.56,-2.1887386289215085,-5.48206,3.2933214
-9.51,-9.768749969100952,-12.4726,2.70385
-5.0,-5.043961018276215,-5.6162,0.572239
-14.21,-14.192554838752745,-16.0251,1.8325452
2.55,2.576669541053772,2.29093,0.28573954
-2.56,-2.5542399548721315,-4.24467,1.69043
-6.25,-5.720559098129272,-6.98088,1.2603209
-2.92,-3.2300676465225218,-3.33477,0.10470235
-6.0,-6.717205799789429,-9.76472,3.0475142
-1.66,-3.58588988822937,-1.30244,-2.28345
-11.85,-9.645999922943115,-12.3627,2.7167
-4.1,-3.5234990456390385,-4.60303,1.079531
-7.66,-8.460753185787201,-9.20204,0.7412868
-1.45,-1.534569474182129,0.526665,-2.0612345
-1.93,-2.4780707340574266,-2.69166,0.21358927
-1.36,-2.3478810221862796,-1.36047,-0.987411
0.25,0.3934619177093506,-0.276351,0.6698129
0.34,0.4789213706245422,0.119949,0.35897237
2.88,2.708342016029358,1.77155,0.936792
-4.52,-4.777787341938019,-5.18411,0.40632266
-2.26,-1.9069786261749266,-3.36217,1.4551914
2.56,2.548802930870056,1.71404,0.83476293
-5.33,-4.829355980129242,-5.15847,0.32911402
-4.8,-4.4593656520366665,-4.1267,-0.33266565
-9.76,-8.56477663989067,-8.4712,-0.09357664
-9.65,-9.343381846046448,-10.4176,1.0742182
-0.78,-1.3733979599075317,-0.214983,-1.158415
-5.04,-5.010994810333252,-6.16124,1.1502452
-9.8,-8.485076277160644,-7.23115,-1.2539263
-18.72,-18.29561621046066,-17.676,-0.6196162
-10.64,-10.75672463541031,-10.1438,-0.61292464
-2.22,-3.027498073091507,-2.91149,-0.11600807
-7.77,-6.864147682723999,-4.21856,-2.6455877
-9.61,-9.209869892883301,-12.1478,2.93793
-3.68,-2.55829129989624,-5.10333,2.5450387
-4.78,-4.30868316608429,-4.43881,0.13012683
-4.68,-8.66626460609436,-12.0556,3.3893354
-1.24,-0.9296248888397216,-1.92444,0.9948151
-4.39,-4.301576215000153,-4.11972,-0.18185622
-9.94,-8.469141884613038,-14.8108,6.341658
-6.13,-5.511072554397583,-7.28605,1.7749774
-6.13,-5.890421264839173,-7.64695,1.7565287
-6.09,-5.37932903213501,-11.9917,6.612371
-3.65,-3.233603630477905,-0.687282,-2.5463216
-3.78,-2.8679631257247924,-3.22477,0.35680687
-1.4,-1.8906458098697663,-1.49848,-0.3921658
1.16,0.7926112637224197,0.614294,0.17831726
-1.08,-0.8208205435674191,-0.784598,-0.036222544
-4.31,-5.437435362548829,-9.77372,4.3362846
1.32,1.3985279750976563,0.457816,0.940712
-6.69,-7.058273682403565,-13.4748,6.4165263
-0.85,-0.7385269590988159,-0.925864,0.18733704
-0.9,-1.4127778598499299,-1.75567,0.34289214
2.93,2.894693054447174,2.13476,0.75993305
-2.93,-3.4176265082263946,-3.26924,-0.14838651
-5.91,-5.88003259147644,-7.01664,1.1366074
-3.64,-3.482109800453186,-4.00587,0.5237602
-4.91,-4.685179503698349,-4.36802,-0.3171595
-0.86,-0.9899427658843994,-0.910305,-0.079637766
-5.53,-4.70510753531456,-4.4052,-0.29990754
-4.95,-5.395104469108581,-4.82255,-0.57255447
0.14,0.5234929317817688,0.701361,-0.17786807
-0.8,-0.9261068686389924,-1.11664,0.19053313
-13.43,-14.019960797500609,-17.8482,3.8282392
-7.78,-8.66300799331665,-12.8871,4.224092
-1.92,-1.7388374061584475,-5.8345,4.0956626
-2.64,-2.3350588245391846,-2.89825,0.5631912
-8.61,-8.172059382629394,-10.5117,2.3396406
-4.04,-5.370004968299866,-6.10414,0.73413503
-5.26,-4.372499282531738,-6.42043,2.0479307
-0.11,0.3730652903747558,-2.31658,2.6896453
-16.92,-16.552444553661346,-17.3403,0.78785545
-3.88,-3.6881249670410154,-4.20869,0.52056503
-3.12,-2.980716653327942,-1.51698,-1.4637367
-1.74,-1.6608371952438357,-2.20109,0.5402528
-0.77,-0.48924652473449726,-2.51867,2.0294235
-1.21,-0.7960878021097184,-1.00181,0.2057222
-4.7,-4.338745874595642,-6.24795,1.9092041
-5.94,-5.744379025726318,-7.69278,1.948401
-0.23,-0.5047995622005463,-0.421059,-0.08374056
-4.4,-4.281903140096665,-4.77228,0.49037686
-2.11,-1.7054422358703611,-2.91517,1.2097278
-3.04,-3.264466806755066,-3.97811,0.7136432
-4.59,-4.9876869282341,-5.70146,0.7137731
-4.09,-3.8854422070121766,-4.38816,0.5027178
-0.16,-0.3097516387164593,-0.29635,-0.013401639
-3.28,-3.1609967356586455,-2.91009,-0.25090674
-2.28,-2.2355799447631837,-3.43541,1.19983
-6.5,-6.100534628219604,-9.19807,3.0975354
-0.1,0.04865554754829404,-0.297899,0.34655455
-1.24,-0.7931960766983033,-1.35657,0.5633739
-0.19,-0.6478961970920563,-0.574862,-0.0730342
-1.31,-1.5559125562703608,-1.50151,-0.054402556
-2.89,-2.472370022754669,-2.83423,0.36185998
-8.84,-7.041475010795593,-6.28067,-0.760805
-1.66,-2.4462591093444823,-1.15759,-1.2886691
-3.8,-4.799945864810944,-5.39714,0.59719414
-4.7,-3.9888946270370482,-4.62444,0.6355454
-3.92,-3.4573155057525637,-6.07176,2.6144445
-4.02,-3.1624636875915524,-6.62393,3.4614663
-3.64,-2.9864220241546633,-5.5929,2.606478
-1.24,-2.3910439895248414,-0.91786,-1.473184
-3.13,-2.8690325963592533,-5.32551,2.4564774
-0.84,-1.2489068964755534,-1.27666,0.027753104
-2.74,-2.279922373161316,-3.45786,1.1779376
-5.9,-6.094588660545349,-7.32407,1.2294813
-18.17,-17.905038536548613,-16.926,-0.97903854
2.93,2.7605760163116457,1.85463,0.905946
-7.58,-6.3625285941314695,-3.68537,-2.6771586
-3.67,-3.011919429297447,-3.09537,0.08345057
2.56,2.66036712266922,1.90077,0.7595971
-9.29,-8.42215975276947,-8.61467,0.19251025
-4.12,-4.18482648973465,-3.50505,-0.6797765
-7.48,-6.364503474382162,-6.40956,0.045056526
-1.34,-2.0613710637817384,-0.257251,-1.8041201
