expt,physics_ml,physics,ml
-2.49,-2.4311435570716857,-3.299,0.86785644
-3.82,-3.665758697509766,-5.442,1.7762413
-0.98,-0.89570157289505,-0.11,-0.7857016
-1.59,-1.983267442703247,-0.617,-1.3662674
-4.55,-4.526354400634766,-3.317,-1.2093544
-2.73,-2.3357307434082033,-1.325,-1.0107307
-0.53,-0.45245016741752625,-0.443,-0.009450167
-0.25,-0.13323057126998905,0.833,-0.9662306
-2.82,-2.54259033203125,-1.325,-1.2175903
2.51,1.5243594822883604,2.506,-0.9816405
-0.83,-0.5248738512992859,0.139,-0.66387385
-7.5,-6.900750709533691,-10.251,3.3502493
-1.99,-1.7754732933044433,-0.384,-1.3914733
-6.88,-6.251927286863327,-6.588,0.3360727
-5.22,-2.750016054153442,-1.284,-1.466016
-0.83,-0.6159973175525665,-0.697,0.08100268
-0.68,-0.7478832302093505,-0.456,-0.29188323
-2.49,-2.54364361512661,-2.563,0.019356385
-0.99,-1.3759369602203368,-0.174,-1.201937
-6.16,-5.950612125873565,-5.148,-0.8026121
-2.23,-2.3109257616996763,-2.929,0.61807424
-0.53,-1.2632558612823486,-0.178,-1.0852559
-5.1,-4.860946479797363,-3.491,-1.3699465
-4.47,-4.839435947418213,-3.288,-1.551436
-7.17,-6.89612603521347,-6.116,-0.78012604
1.38,0.973006383895874,2.367,-1.3939936
0.29,-0.2813707919120788,0.553,-0.8343708
-10.08,-9.209044679641723,-10.559,1.3499553
-2.78,-3.1787598161697384,-4.028,0.8492402
-11.0,-9.265505849838258,-10.412,1.1464942
-3.15,-4.516751044988633,-4.9,0.38324896
-6.21,-6.340219953536987,-7.878,1.53778
-5.26,-4.79624942111969,-4.308,-0.48824942
-1.14,-0.9193902115821838,-0.473,-0.4463902
-2.4,-3.4341232576370238,-3.304,-0.13012326
-2.33,-2.5840200424194335,-1.275,-1.30902
2.38,1.7651911044120787,2.59,-0.8248089
1.77,1.4817241731882096,1.691,-0.20927583
-1.62,-1.4982618465423583,0.136,-1.6342618
-1.79,-1.91160258102417,-0.363,-1.5486026
-6.79,-6.88603928565979,-5.28,-1.6060393
-1.1,-1.5730565376281738,-0.182,-1.3910565
-0.9,-0.7004274213314057,-0.79,0.08957258
-3.41,-3.9414933204650877,-3.05,-0.8914933
-3.52,-3.371360025167465,-3.166,-0.20536003
-1.43,-1.3312141094207763,-0.091,-1.2402141
0.0,0.10419043159484853,1.261,-1.1568096
-20.52,-15.6452186088562,-14.148,-1.4972186
1.47,1.5510795102119448,2.486,-0.9349205
-4.62,-4.728401679992675,-3.145,-1.5834017
-2.38,-2.3406045584678647,-1.853,-0.48760456
-7.19,-7.021281162261962,-10.466,3.4447188
2.1,1.3598980312347413,2.588,-1.228102
-4.02,-3.4161283493041994,-2.075,-1.3411283
-10.0,-8.034593291044235,-8.276,0.24140671
-3.5,-3.3796232850551604,-3.372,-0.007623285
-2.07,-2.029384230136871,-2.336,0.30661577
-0.33,-0.4184132118225098,0.973,-1.3914132
-0.9,-0.7135025529861451,-0.553,-0.16050255
1.83,0.6478770637512206,2.465,-1.8171229
0.1,-0.5628825244903564,-1.156,0.5931175
-1.5,-1.0110935344696044,0.386,-1.3970935
-6.6,-6.738343460083008,-5.707,-1.0313435
-7.0,-9.342064029693603,-10.857,1.514936
-0.46,-0.4692762209177017,-0.492,0.02272378
-10.17,-9.48657645225525,-8.39,-1.0965765
-5.66,-5.358236485004425,-4.768,-0.5902365
1.83,1.5120561499595642,2.452,-0.93994385
-0.1,-0.10186063385009758,1.084,-1.1858606
-0.45,0.007277338504791259,-0.22,0.22727734
3.16,2.6273035621643066,3.335,-0.70769644
-0.63,-0.6818789005279541,0.775,-1.4568789
2.51,2.223175371170044,2.613,-0.38982463
-3.15,-3.6668507914543156,-4.198,0.5311492
-2.56,-2.436148063659668,-3.867,1.4308519
-9.51,-9.111076686382294,-9.785,0.6739233
-5.0,-4.913349575042725,-3.394,-1.5193496
-14.21,-13.850635789871216,-13.599,-0.2516358
2.55,1.7469411668777464,2.381,-0.63405883
-2.56,-2.631281690120697,-3.492,0.8607183
-6.25,-6.329488441467285,-5.272,-1.0574884
-2.92,-3.0878258385658266,-2.704,-0.38382584
-6.0,-6.28560791349411,-6.716,0.4303921
