expt,physics_ml,physics,ml
-2.49,-3.118105701651573,-3.00434,-0.1137657
-3.82,-4.87181463344574,-6.57758,1.7057654
-0.98,-1.6743620027828217,-1.45543,-0.218932
-1.59,-1.3672026771526338,-0.907798,-0.45940468
-4.55,-4.737414844732284,-4.56098,-0.17643484
-2.73,-2.328091048030853,-1.61028,-0.71781105
-0.53,-0.43648007619857787,0.516745,-0.9532251
-0.25,-0.4092076841506958,-0.333791,-0.075416684
-2.82,-2.240201602920294,-2.20814,-0.032061603
2.51,2.546961463756561,1.90732,0.63964146
-0.83,-0.9407086011871337,0.0647066,-1.0054152
-7.5,-7.668014615249634,-11.5907,3.9226854
-1.99,-3.022355248155594,-2.59119,-0.43116525
-6.88,-6.563385416259766,-7.73074,1.1673546
-5.22,-1.9119960189743042,-0.845567,-1.066429
-0.83,-1.0385322533226014,-0.78156,-0.25697225
-0.68,-0.7020300448684692,-0.174978,-0.52705204
-2.49,-2.717158471508026,-2.04742,-0.6697385
-0.99,-0.05065290532875061,0.370867,-0.4215199
-6.16,-5.219914409426451,-5.22681,0.0068955906
-2.23,-2.926126969642639,-2.60682,-0.31930697
-0.53,-1.4637489921112061,-0.328502,-1.135247
-5.1,-4.557035585241318,-4.24733,-0.3097056
-4.47,-3.987845345172882,-3.01116,-0.97668535
-7.17,-6.641081385192871,-5.51506,-1.1260214
1.38,0.20373955966949464,1.24102,-1.0372804
0.29,0.23468419660949702,0.587594,-0.3529098
-10.08,-8.87871427154541,-12.6835,3.8047857
-2.78,-3.1907130523681637,-4.6221,1.431387
-11.0,-9.123498479652405,-10.5443,1.4208015
-3.15,-5.9849153690719605,-6.23754,0.25262463
-6.21,-6.7601829831314095,-8.16397,1.403787
-5.26,-5.1468150286579135,-4.98249,-0.16432503
-1.14,-1.4558358882236482,-1.37383,-0.08200589
-2.4,-3.0891336602771284,-3.03474,-0.05439366
-2.33,-1.9098615868530273,-0.656971,-1.2528906
2.38,2.149317044034004,1.92139,0.22792704
1.77,2.0172296527194975,2.14558,-0.12835035
-1.62,-1.506165531135559,-0.702526,-0.80363953
-1.79,-2.9939521193504333,-2.24375,-0.7502021
-6.79,-5.858649286279678,-5.55451,-0.3041393
-1.1,-0.1680366683292389,0.13347,-0.30150667
-0.9,-1.230265469341278,-1.10628,-0.12398547
-3.41,-3.565866261844635,-2.60413,-0.96173626
-3.52,-3.8660298111724853,-2.92428,-0.9417498
-1.43,-1.2621182290542126,-1.25393,-0.008188229
0.0,0.12124992377662658,0.494274,-0.37302408
-20.52,-16.46382153453827,-15.0244,-1.4394215
1.47,0.6134500474739075,1.58098,-0.96752995
-4.62,-4.4689507264328,-2.76292,-1.7060307
-2.38,-2.706765622692108,-2.19608,-0.5106856
-7.19,-7.153522359466553,-11.0791,3.9255776
2.1,1.0998971182060242,1.77912,-0.6792229
-4.02,-3.010653644695282,-3.53689,0.52623636
-10.0,-7.7423669270515445,-7.0254,-0.7169669
-3.5,-2.1843652518844605,-3.82261,1.6382447
-2.07,-2.4581466835975645,-1.9494,-0.5087467
-0.33,-0.3581770533390045,-0.111232,-0.24694505
-0.9,-0.7824969596500397,-0.454687,-0.32780996
1.83,0.4520590677070617,1.41048,-0.95842093
0.1,0.17909094698905947,-0.295295,0.47438595
-1.5,-0.9341369593505859,0.226437,-1.160574
-6.6,-5.917441418800354,-6.11241,0.19496858
-7.0,-9.804007007598877,-10.9895,1.185493
-0.46,-0.3249991352462769,0.349135,-0.67413414
-10.17,-8.82041021194458,-10.1784,1.3579898
-5.66,-5.1515953306102755,-5.03739,-0.11420533
1.83,0.16092061157226567,1.48245,-1.3215294
-0.1,-0.11766036682701111,0.237144,-0.35480437
-0.45,-0.5119097739086151,-0.175011,-0.33689877
3.16,2.6666052529621123,3.02248,-0.35587475
-0.63,-0.7960698369464874,-0.452146,-0.34392384
2.51,1.9393035358333588,2.09389,-0.15458646
-3.15,-3.5508218050289155,-3.33028,-0.2205418
-2.56,-2.5083362459564205,-4.23319,1.7248538
-9.51,-8.913196067047119,-10.0267,1.1135039
-5.0,-4.41743715845108,-3.71136,-0.70607716
-14.21,-13.122204566478729,-13.9255,0.80329543
2.55,2.071703125782013,2.63282,-0.5611169
-2.56,-3.425137570681572,-3.25219,-0.17294757
-6.25,-5.214414606494904,-5.03392,-0.1804946
-2.92,-3.2720801681137086,-2.03486,-1.2372202
-6.0,-8.19915541964531,-8.46006,0.26090458
-1.66,-1.630968458595276,-1.05319,-0.57777846
-11.85,-11.965494225502015,-13.2855,1.3200058
-4.1,-3.953956577606201,-5.42207,1.4681134
-7.66,-7.323903291540146,-7.57558,0.2516767
-1.45,-0.15384547955679895,-0.198253,0.04440752
-1.93,-2.718150478835106,-2.59937,-0.11878048
-1.36,-2.285879037923813,-1.79157,-0.49430904
0.25,-0.25532415831923483,-0.30804,0.05271584
0.34,0.17751224863052362,1.16712,-0.98960775
2.88,2.957746701030731,2.27878,0.6789667
-4.52,-5.703700105962754,-5.89031,0.1866099
-2.26,-2.0285141056156157,-2.43606,0.4075459
2.56,2.936805031223297,2.20842,0.72838503
-5.33,-5.439117595281601,-5.53734,0.098222405
-4.8,-5.622600786972046,-6.7953,1.1726992
-9.76,-8.487321173934937,-7.04878,-1.4385412
-9.65,-8.054549394454956,-9.32659,1.2720406
-0.78,-1.1993927772769928,-0.872876,-0.32651678
-5.04,-6.23249404030323,-6.36168,0.12918596
-9.8,-6.846676689300537,-5.59666,-1.2500167
-18.72,-17.675300100708007,-14.1359,-3.5394
-10.64,-8.33114370786667,-9.25937,0.9282263
-2.22,-2.960702692632675,-3.02813,0.06742731
-7.77,-8.16243089416504,-6.11753,-2.044901
-9.61,-9.627362338161468,-10.4711,0.84373766
-3.68,-3.507627216682434,-3.42936,-0.07826722
-4.78,-3.9041526021099093,-4.12816,0.2240074
-4.68,-7.434807243728638,-8.8229,1.3880928
-1.24,-1.3891826093912125,-1.55695,0.16776739
-4.39,-4.18817319355011,-2.54335,-1.6448232
-9.94,-9.353057221794128,-11.0994,1.7463428
-6.13,-5.601552279815674,-5.37761,-0.22394228
-6.13,-5.843361529912949,-5.73784,-0.10552153
-6.09,-6.767501723251343,-8.48621,1.7187083
-3.65,-3.6459403511810304,-1.38743,-2.2585104
-3.78,-3.2124028435468674,-3.33095,0.11854716
-1.4,-0.8366646692340374,-0.814638,-0.02202667
1.16,0.6373844726657867,1.11506,-0.47767553
-1.08,-1.0690140619297028,-0.824977,-0.24403706
-4.31,-4.175194077835083,-4.62461,0.44941592
1.32,0.591759080072403,0.979696,-0.38793692
-6.69,-8.146915324249267,-9.75254,1.6056247
-0.85,-0.8771457672176362,-0.611056,-0.26608977
-0.9,-1.2420148738098145,-1.42557,0.18355513
2.93,3.3512907813453676,2.67309,0.6782008
-2.93,-3.5532885802555083,-3.25283,-0.30045858
-5.91,-5.2374419883489605,-5.0985,-0.13894199
-3.64,-3.387828366241455,-1.99121,-1.3966184
-4.91,-5.83017592748642,-5.41284,-0.41733593
-0.86,-0.8930391859931945,-0.601092,-0.2919472
-5.53,-5.144341052722931,-5.0237,-0.12064105
-4.95,-6.258080391311646,-7.45565,1.1975696
0.14,-0.2915956512451172,0.9559,-1.2474957
-0.8,-1.072686984140396,-0.783307,-0.28937998
-13.43,-14.139327822303771,-13.0406,-1.0987278
-7.78,-10.165013682842254,-11.0125,0.8474863
-1.92,-3.6734157984638216,-3.26379,-0.4096258
-2.64,-2.620199562072754,-1.58225,-1.0379496
-8.61,-7.176362606430054,-10.5289,3.3525374
-4.04,-6.81492075214386,-6.64135,-0.17357075
-5.26,-5.4351702901649475,-5.20993,-0.22524029
-0.11,0.021124168947219857,0.315228,-0.29410383
-16.92,-14.3578349193573,-14.2034,-0.15443492
-3.88,-3.661103938140869,-2.24879,-1.4123139
-3.12,-2.630940608825684,-1.45809,-1.1728506
-1.74,-2.7876700418548586,-0.463833,-2.323837
-0.77,-2.0607268056297303,-1.07919,-0.9815368
-1.21,-0.8992997197914123,-0.721355,-0.17794472
-4.7,-4.506881982154846,-5.08732,0.580438
-5.94,-6.1430292628860474,-6.28411,0.14108074
-0.23,-0.402088078068161,-0.0397684,-0.36231968
-4.4,-4.216404358062745,-2.81291,-1.4034944
-2.11,-2.7914169641685485,-2.15562,-0.63579696
-3.04,-3.2088723331451416,-2.4956,-0.71327233
-4.59,-7.104591253738404,-6.06873,-1.0358613
-4.09,-3.8319658878326415,-2.42155,-1.4104159
-0.16,-0.2583932935962677,0.078599,-0.3369923
-3.28,-3.586708951692581,-3.10348,-0.48322895
-2.28,-3.351769183292389,-2.54764,-0.8041292
-6.5,-6.003605380325317,-7.70803,1.7044246
-0.1,-0.2491290276756286,0.740226,-0.989355
-1.24,-1.4206497211265563,-1.00473,-0.41591972
-0.19,-0.34943984853649135,-0.574444,0.22500415
-1.31,-2.050361527309418,-1.38311,-0.6672515
-2.89,-2.3541188501966,-2.31487,-0.03924885
-8.84,-7.590390018348694,-8.43913,0.84874
-1.66,-1.587189571800232,-2.12569,0.5385004
-3.8,-3.0737239020729064,-3.77384,0.7001161
-4.7,-4.485802107658387,-3.22784,-1.2579621
-3.92,-4.046045577430725,-5.5199,1.4738544
-4.02,-3.833637682762146,-5.31384,1.4802023
-3.64,-3.471918538665771,-5.05235,1.5804315
-1.24,-2.502387007865906,-1.59966,-0.902727
-3.13,-4.02320501914978,-4.21666,0.19345498
-0.84,-1.2083664056575298,-1.14971,-0.058656406
-2.74,-2.942374463405609,-2.11109,-0.83128446
-5.9,-5.441431249803305,-5.4481,0.00666875
-18.17,-18.257790445327757,-14.699,-3.5587904
2.93,2.6366137670230865,2.34462,0.29199377
-7.58,-7.093779188995361,-5.11088,-1.9828992
-3.67,-4.957085058711767,-5.00793,0.05084494
2.56,2.8548912323093414,2.41431,0.44058123
-9.29,-8.785660307388305,-7.24523,-1.5404303
-4.12,-3.688735721111297,-4.6225,0.9337643
-7.48,-7.2262800788497925,-7.35921,0.13292992
-1.34,-2.199722611694336,-1.09878,-1.1009426
0.16,-0.30582232163619993,-0.216707,-0.08911532
-3.84,-3.1665384392547606,-4.40698,1.2404416
-15.83,-14.405356342697143,-12.7274,-1.6779563
-0.89,-1.6019795426254273,-0.142538,-1.4594415
-9.53,-14.927217936325075,-16.0648,1.1375821
-6.79,-5.655317202014923,-5.57017,-0.0851472
-0.55,-1.530950883289337,-0.567071,-0.9638799
-4.97,-7.3732106843471525,-7.81905,0.44583932
-2.78,-2.5182367223262787,-2.6631,0.14486328
-0.8,-0.5886551654472351,-0.724339,0.13568383
-1.39,-1.7904012335586548,-1.08663,-0.70377123
-0.11,-0.14689063048172002,0.736852,-0.88374263
-1.01,-1.6978704314804076,-1.60231,-0.09556043
2.34,2.41879550740242,2.04397,0.3748255
-23.62,-24.405389840316772,-22.5047,-1.9006898
-4.23,-5.552449841079712,-4.98006,-0.57238984
-9.2,-8.374784932136535,-9.61,1.2352151
-7.63,-9.059321850671768,-9.17464,0.11531815
1.07,0.9095239459304809,-0.157097,1.066621
-6.4,-7.744400570936203,-7.24782,-0.49658057
-2.55,-1.8929401995503903,-1.93859,0.0456498
-3.54,-4.315724909858703,-4.08958,-0.22614491
-1.27,-2.4177905459976197,-1.91256,-0.50523055
1.66,0.7832447581481934,1.88402,-1.1007752
-6.01,-5.292125766105652,-5.07957,-0.21255577
-6.16,-7.372293763275147,-8.96362,1.5913262
-4.87,-5.475044425430298,-9.34169,3.8666456
-6.96,-8.65975446349144,-8.77556,0.11580554
-5.49,-5.150113920812607,-5.40238,0.25226608
-3.52,-4.110764302148819,-3.90089,-0.2098743
-2.13,-1.9617167031097411,-3.46643,1.5047133
-5.23,-6.045859983400106,-6.01361,-0.032249983
-6.78,-7.548652215576173,-9.0256,1.4769478
-5.99,-7.332231112823486,-8.47186,1.1396289
-1.46,-0.7616350624465942,0.39826,-1.1598951
-11.53,-10.867931269454957,-12.2513,1.3833687
-4.09,-4.151549777755737,-3.14276,-1.0087898
-1.28,-0.0264499794387818,1.02436,-1.05081
-3.3,-3.0594418196868896,-1.71277,-1.3466718
-4.58,-9.38875771036148,-10.1749,0.7861423
-6.12,-6.69146827255249,-6.82336,0.13189173
-4.21,-4.018510264892578,-2.59802,-1.4204903
-1.46,-1.9665484920310974,-1.12808,-0.8384685
0.56,0.6017275208673477,0.523721,0.07800652
2.3,2.0618864027786254,1.75318,0.3087064
-5.45,-7.108239175323248,-7.14591,0.037670825
-1.2,-1.4071786845474243,-0.364978,-1.0422007
-5.73,-6.66143752861023,-7.8555,1.1940625
-7.43,-6.617025600719452,-5.62005,-0.9969756
-2.32,-2.137477573223114,-1.73982,-0.39765757
1.58,0.5672761509704589,1.66878,-1.1015038
-6.62,-6.310530981917381,-6.42277,0.11223902
-3.45,-4.393360382633209,-3.48933,-0.9040304
-3.11,-2.8250332486379146,-2.79663,-0.028403249
-1.12,-1.3301406355571748,-1.10932,-0.22082064
-3.1,-5.496695834970474,-5.5931,0.096404165
-0.3,-1.0493845581054688,-0.523025,-0.52635956
2.3,1.4159975789833068,1.98138,-0.5653824
-5.91,-4.908149388408661,-4.97685,0.06870061
-8.41,-7.590535565700531,-7.36834,-0.22219557
-3.81,-3.901256256122589,-3.16477,-0.73648626
-5.57,-5.255676009368896,-5.08095,-0.17472601
-2.55,-1.8129179084432125,-1.75492,-0.05799791
-5.21,-5.4350467764472965,-5.00541,-0.42963678
-11.01,-10.752497463531494,-9.22382,-1.5286775
-2.86,-3.797586966781616,-2.85653,-0.94105697
1.01,0.15985335700988768,1.24393,-1.0840766
-4.29,-4.499072565231323,-3.15466,-1.3444126
-10.27,-8.870605744218826,-9.3376,0.46699426
-3.58,-3.732011714000702,-4.33727,0.6052583
-5.73,-8.50007277302742,-8.18555,-0.31452277
-4.57,-4.410966715621948,-3.01855,-1.3924167
-5.1,-3.935498928833008,-7.4398,3.504301
-6.619999999999999,-7.802659351100922,-7.53624,-0.26641935
1.59,0.8136462947654723,1.78368,-0.9700337
-5.72,-6.060581789226532,-6.34872,0.2881382
-6.25,-7.5480635433006285,-7.03698,-0.51108354
-0.04,-0.22031324087715148,0.145959,-0.36627224
-1.64,-2.0328079641189576,-0.752234,-1.280574
-5.8,-5.947801857799291,-5.89725,-0.050551858
2.51,2.753017991428375,2.04738,0.705638
-7.37,-7.883876601295471,-8.65508,0.7712034
-3.95,-2.7593594823913574,-0.380633,-2.3787265
-3.43,-3.1111720350122454,-2.97766,-0.13351204
-9.82,-8.685175013389587,-9.72809,1.042915
1.28,0.9897832660713196,0.821829,0.16795427
-4.27,-3.8927400582504275,-5.00532,1.11258
-8.68,-9.378550850849152,-9.88973,0.51117915
-8.84,-10.8797625415802,-12.6393,1.7595375
-9.37,-8.300468176174164,-8.57705,0.27658182
0.0,-0.001067734719991685,-0.0453705,0.044302765
-18.06,-17.735539541977644,-17.6828,-0.052739542
-3.65,-2.400657215940552,-0.00730733,-2.39335
-5.82,-5.427974187960625,-5.54474,0.11676581
-0.03,-0.4585247665367126,0.523229,-0.98175377
-4.16,-4.181116497672797,-4.17257,-0.008546498
-5.11,-5.291050708084106,-2.89253,-2.3985207
-4.4,-6.150254073143006,-7.34625,1.1959959
1.07,-0.8535215615463256,-1.91092,1.0573984
-3.88,-4.2819616942596435,-1.96277,-2.3191917
-3.95,-4.381628247323036,-4.55744,0.17581175
2.13,1.529327847557068,2.20358,-0.67425215
-0.53,-0.8878649046230316,-0.48298,-0.4048849
-1.69,-3.1562812620353697,-2.21412,-0.94216126
-5.48,-5.723233452224731,-3.4979,-2.2253335
-0.59,-0.8541406387348175,-0.467877,-0.38626364
0.67,0.026935406570434584,1.21238,-1.1854446
-9.61,-10.305453440213203,-10.4759,0.17044656
-3.43,-3.9456039143180845,-3.24306,-0.7025439
-2.49,-1.5944153597320556,-0.0667414,-1.527674
-6.44,-7.7023317124855515,-7.64047,-0.061861712
-4.55,-3.3411645585250853,-2.02662,-1.3145446
-8.18,-7.986956794967652,-9.17524,1.1882832
-3.44,-2.9121501905679703,-3.01885,0.10669981
-5.06,-4.297699847091437,-4.27852,-0.019179847
-6.5,-5.255818774617911,-5.20607,-0.049748775
3.12,3.9202096955108643,2.64568,1.2745297
-1.34,-1.4912007858390808,-0.815437,-0.6757638
-1.29,-3.1283745847654343,-3.30647,0.17809542
-2.02,-2.1815742028427123,-3.71982,1.5382458
-2.1,-1.417191074333191,-1.29096,-0.12623107
-6.55,-4.281560966110229,-3.13285,-1.148711
-2.64,-1.7258568151092528,-3.45626,1.7304032
-6.27,-5.524166443004608,-5.40789,-0.11627644
-3.88,-4.507409377999306,-4.69257,0.18516062
-7.03,-6.3738883047676085,-6.21981,-0.1540783
-0.57,-0.8908114894523621,-0.680189,-0.21062249
