expt,physics_ml,physics,ml
-2.49,-2.669205173492432,-5.059,2.3897948
-3.82,-3.02640665435791,-10.084,7.0575933
-0.98,-1.1320114698410033,-1.884,0.75198853
-1.59,-1.3043382264375687,-1.157,-0.14733823
-4.55,-4.618149845123291,-5.567,0.94885015
-2.73,-3.0692222986221314,-3.516,0.4467777
-0.53,-0.6988531780242919,-1.92,1.2211468
-0.25,-0.3201372179985046,-0.941,0.6208628
-2.82,-3.0594864025115966,-1.839,-1.2204864
2.51,2.2536767263412476,1.177,1.0766767
-0.83,-0.5391745696067811,-0.1260000000000001,-0.41317457
-7.5,-7.615312469482422,-13.788,6.1726875
-1.99,-2.9818690853118897,-3.258,0.2761309
-6.88,-6.717807177543639,-8.578999999999999,1.8611928
-5.22,-4.184930381774903,0.565,-4.7499304
-0.83,-0.9957113461494449,-1.9830000000000003,0.98728865
-0.68,-0.9305816631317139,-1.373,0.44241834
-2.49,-2.8610617237091063,-4.558,1.6969383
-0.99,-1.1896082406044008,-1.7380000000000002,0.54839176
-6.16,-5.754606903076171,-6.337999999999999,0.5833931
-2.23,-2.7834862108230585,-4.436999999999999,1.6535138
-0.53,-1.75977370262146,-0.47,-1.2897737
-5.1,-5.3429642435312275,-5.384,0.041035756
-4.47,-4.102153681635857,-3.952,-0.15015368
-7.17,-7.512821365356445,-4.476,-3.0368214
1.38,1.064937473297119,0.176,0.8889375
0.29,0.0613358926773071,-0.53,0.5913359
-10.08,-10.510044609069825,-15.336,4.8259554
-2.78,-2.828863201141357,-7.81,4.981137
-11.0,-10.982707818984986,-13.534,2.5512922
-3.15,-4.210325044631959,-6.369000000000001,2.158675
-6.21,-5.940407844543458,-10.271,4.330592
-5.26,-5.416919894695282,-5.908,0.4910801
-1.14,-1.3442314200401304,-2.143,0.7987686
-2.4,-2.449090755462646,-4.938,2.4889092
-2.33,-1.7514916800260545,-1.618,-0.13349168
2.38,2.2218500623703004,1.201,1.0208501
1.77,1.5206868209838866,-1.971,3.4916868
-1.62,-1.553825919151306,-0.4169999999999998,-1.1368259
-1.79,-2.511322096824646,-2.904,0.3926779
-6.79,-6.5328463373184205,-7.431,0.89815366
-1.1,-1.425722140789032,-1.932,0.50627786
-0.9,-0.930785881996155,-2.462,1.5312141
-3.41,-3.9618300914764406,-4.95,0.9881699
-3.52,-3.617190996170044,-5.341,1.723809
-1.43,-1.9333479508161544,-1.914,-0.01934795
0.0,0.02174184274673463,-0.238,0.25974184
-20.52,-19.985545566558837,-14.703,-5.2825456
1.47,1.107862913131714,0.562,0.5458629
-4.62,-4.577726277351379,-3.734,-0.8437263
-2.38,-2.4037841491699217,-3.643,1.2392159
-7.19,-7.751874362945557,-13.637,5.8851256
2.1,1.7138314170837403,1.092,0.6218314
-4.02,-3.6846295108795166,-3.149,-0.5356295
-10.0,-10.036133233189583,-10.138,0.10186677
-3.5,-3.603341304779053,-6.937,3.3336587
-2.07,-2.6001597824096683,-5.094,2.4938402
-0.33,-0.4069584112167357,-0.7229999999999999,0.3160416
-0.9,-1.093540969848633,-1.491,0.39745903
1.83,1.3414482369422913,0.8140000000000001,0.52744824
0.1,-0.9014359550476065,-8.008,7.106564
-1.5,-2.0567528047561643,-1.4539999999999995,-0.6027528
-6.6,-6.309261683464051,-7.579000000000001,1.2697383
-7.0,-7.547902118682861,-13.862,6.314098
-0.46,-1.0472661571502684,-2.058,1.0107338
-10.17,-10.201383513450622,-10.994,0.7926165
-5.66,-5.407959159851075,-6.384,0.97604084
1.83,1.3055132513046264,0.388,0.91751325
-0.1,-0.1747465491294859,-0.4749999999999998,0.30025345
-0.45,-0.8172097229957576,-1.5649999999999995,0.7477903
3.16,2.2351365600824358,2.063,0.17213656
-0.63,-0.6211351342201235,-1.0570000000000002,0.43586487
2.51,1.4428882380723953,1.349,0.09388824
-3.15,-2.8427110567092893,-4.164,1.321289
-2.56,-2.8176106300354,-7.209,4.3913894
-9.51,-9.372215610504151,-12.156,2.7837844
-5.0,-4.719115879416466,-4.6930000000000005,-0.02611588
-14.21,-14.07901167678833,-16.648,2.5689883
2.55,1.6196012811660767,1.933,-0.31339872
-2.56,-2.862949451446533,-5.284,2.4210505
-6.25,-6.014836841583252,-6.356,0.34116316
-2.92,-3.548735239982605,-4.378,0.82926476
-6.0,-6.112401630401612,-11.502,5.3895984
-1.66,-1.6502515136003493,-1.4529999999999998,-0.19725151
-11.85,-10.274147445678711,-16.782,6.5078526
-4.1,-4.573975578308106,-6.191000000000001,1.6170244
-7.66,-7.691366338729857,-8.399999999999999,0.70863366
-1.45,-1.9769506111145019,-0.1639999999999999,-1.8129506
-1.93,-2.4539254159927366,-3.897,1.4430746
-1.36,-1.6374438657760622,-2.164,0.52655613
0.25,0.23732145881652822,-0.6140000000000001,0.85132146
0.34,-0.039467911243438625,0.2330000000000001,-0.2724679
2.88,2.546113652229309,1.494,1.0521137
-4.52,-4.543110374450684,-6.704000000000001,2.1608896
-2.26,-2.2677891016006466,-4.225,1.9572109
2.56,1.9792801389694215,1.451,0.52828014
-5.33,-4.4957107696533205,-6.216,1.7202892
-4.8,-4.726962277293206,-4.9,0.17303772
-9.76,-9.728972380518913,-9.946,0.21702762
-9.65,-9.333967170238495,-10.122,0.7880328
-0.78,-0.9613526271581652,-0.9580000000000002,-0.0033526272
-5.04,-6.791021857261658,-8.035,1.2439781
-9.8,-9.775084676742553,-8.065,-1.7100847
-18.72,-19.194714144706726,-20.654,1.4592859
-10.64,-8.933937704443931,-9.078,0.1440623
-2.22,-2.523245680809021,-3.888,1.3647543
-7.77,-7.801002040863038,-3.0660000000000003,-4.735002
-9.61,-9.50405067062378,-15.111,5.6069493
-3.68,-4.392908142089844,-6.573,2.1800919
-4.78,-4.459541834831238,-6.364,1.9044582
-4.68,-5.5053748092651364,-11.946,6.440625
-1.24,-1.5245541334152222,-3.25,1.7254459
-4.39,-4.32048112297058,-3.514,-0.8064811
-9.94,-8.032025470733643,-13.765,5.7329745
-6.13,-6.49591779410839,-6.699999999999999,0.2040822
-6.13,-6.813362623095513,-7.054,0.24063738
-6.09,-5.924571815490722,-10.241,4.316428
-3.65,-3.6102558403015133,-1.2779999999999998,-2.3322558
-3.78,-2.8155612764358526,-4.531000000000001,1.7154387
-1.4,-0.3443635616302494,-2.2910000000000004,1.9466364
1.16,0.798175486087799,0.1459999999999999,0.6521755
-1.08,-1.2193246703147886,-1.6729999999999998,0.45367533
-4.31,-4.737201963424683,-8.711,3.973798
1.32,0.6871274523735047,-0.0569999999999999,0.74412745
-6.69,-5.907734851837159,-11.855,5.947265
-0.85,-0.8466489267349244,-1.745,0.8983511
-0.9,-1.0739522600173945,-2.9399999999999995,1.8660477
2.93,2.8391173458099366,1.81,1.0291173
-2.93,-3.5016413110494615,-3.555,0.05335869
-5.91,-6.15437697827816,-6.26,0.10562302
-3.64,-3.7111849918365474,-3.2139999999999995,-0.497185
-4.91,-6.180827301025391,-7.1930000000000005,1.0121727
-0.86,-1.462359617114067,-1.5759999999999998,0.11364038
-5.53,-5.845222041130065,-7.146999999999999,1.301778
-4.95,-5.042330836176872,-5.277,0.23466916
0.14,0.6902614469528197,0.1869999999999998,0.50326145
-0.8,-1.1466222987174988,-1.986,0.8393777
-13.43,-15.527949508666993,-14.259,-1.2689495
-7.78,-8.484371006011964,-13.662,5.177629
-1.92,-2.042322856903076,-6.957,4.914677
-2.64,-3.113019624710083,-3.966,0.8529804
-8.61,-8.800499137878418,-11.634,2.8335009
-4.04,-4.547118526458741,-5.906000000000001,1.3588815
-5.26,-5.196906276702881,-5.871,0.6740937
-0.11,0.4798122825622557,-3.156,3.6358123
-16.92,-16.739939470291137,-20.52,3.7800605
