expt,physics_ml,physics,ml
-2.49,-2.6739132950592044,-4.00628,1.3323667
-3.82,-3.9522092554473875,-7.40799,3.4557807
-0.98,-1.401636597557068,-1.03292,-0.3687166
-1.59,-1.8702671731185914,-1.07732,-0.7929472
-4.55,-4.739003009223938,-5.87065,1.131647
-2.73,-2.1893194629001616,-2.41788,0.22856054
-0.53,-0.4285942836761474,-2.7346,2.3060057
-0.25,0.1236643761825561,-0.71708,0.8407444
-2.82,-3.005558542022705,-1.56176,-1.4437985
2.51,2.660018640174866,1.40514,1.2548786
-0.83,-0.6871906646270752,-0.126202,-0.56098866
-7.5,-7.6826493991851805,-10.8339,3.1512506
-1.99,-2.0726329795360563,-2.4254,0.35276702
-6.88,-6.8036338253092765,-6.78707,-0.016563825
-5.22,-2.9497105396881103,0.758061,-3.7077715
-0.83,-1.1851195441555977,-1.12182,-0.063299544
-0.68,-0.4435479982209206,-0.52897,0.085422
-2.49,-2.764173462600708,-3.53497,0.77079654
-0.99,-0.99254636302948,-1.64191,0.64936364
-6.16,-6.3150491216278075,-7.09326,0.7782109
-2.23,-2.1937998571777344,-3.54854,1.3547401
-0.53,-0.8304565137462616,-0.480758,-0.3496985
-5.1,-5.060343337669373,-6.24389,1.1835467
-4.47,-4.257061852462292,-4.35282,0.09575815
-7.17,-7.538455682525635,-4.25126,-3.2871957
1.38,1.1993122535457612,0.742274,0.45703825
0.29,0.18089120354890822,0.17009,0.010801204
-10.08,-10.109234972381591,-12.6779,2.568665
-2.78,-2.665394384307861,-5.86792,3.2025256
-11.0,-11.118100057995319,-11.1336,0.015499942
-3.15,-3.885938430213928,-4.9079,1.0219616
-6.21,-5.086661170959472,-11.8365,6.749839
-5.26,-5.298636551532745,-5.99241,0.69377345
-1.14,-1.419542940208912,-1.29576,-0.12378294
-2.4,-2.536120473823547,-4.12996,1.5938395
-2.33,-1.8160071833014488,-1.8648,0.048792817
2.38,2.214552291412353,1.44952,0.7650323
1.77,1.6029485535354615,0.791322,0.81162655
-1.62,-1.9608516567230225,0.120075,-2.0809267
-1.79,-2.2398259621548653,-2.33928,0.09945404
-6.79,-6.833520717601776,-7.52273,0.6892093
-1.1,-1.1948226815223695,-1.8681,0.6732773
-0.9,-1.2063662628173828,-1.43665,0.23028374
-3.41,-3.5179602121829987,-3.8887,0.3707398
-3.52,-3.618598132305145,-4.39293,0.77433187
