expt,physics_ml,physics,ml
-2.49,-2.7024148752689365,-3.299,0.5965851247310634
-3.82,-3.629892484664917,-5.442,1.8121075153350832
-0.98,-1.0637816673517229,-0.11,-0.9537816673517229
-1.59,-1.6869143767356873,-0.617,-1.0699143767356873
-4.55,-4.895451257944108,-3.317,-1.5784512579441081
-2.73,-2.6164012253284463,-1.325,-1.2914012253284464
-0.53,-0.9626473993361,-0.443,-0.5196473993360999
-0.25,-0.1623092873096466,0.833,-0.9953092873096465
-2.82,-2.8650084674358376,-1.325,-1.5400084674358376
2.51,2.5523413640856747,2.506,0.04634136408567491
-0.83,-0.8705823466777802,0.139,-1.0095823466777802
-7.5,-7.394829786777497,-10.251,2.8561702132225024
-1.99,-1.953296059012413,-0.384,-1.5692960590124132
-6.88,-6.468769479088484,-6.588,0.11923052091151565
-5.22,-4.6934832777977,-1.284,-3.4094832777977
-0.83,-0.9052039571367203,-0.697,-0.20820395713672035
-0.68,-0.5768303164690731,-0.456,-0.1208303164690731
-2.49,-2.757409502169584,-2.563,-0.19440950216958397
-0.99,-1.418366633892059,-0.174,-1.2443666338920591
-6.16,-6.245791838645934,-5.148,-1.097791838645934
-2.23,-2.4541408010721204,-2.929,0.4748591989278794
-0.53,-0.9749959154725076,-0.178,-0.7969959154725077
-5.1,-5.391416493415832,-3.491,-1.900416493415832
-4.47,-4.186675242066383,-3.288,-0.8986752420663833
-7.17,-7.272968766450882,-6.116,-1.1569687664508823
1.38,1.2039242370128633,2.367,-1.1630757629871367
0.29,0.19598199415206913,0.553,-0.3570180058479309
-10.08,-10.05268392191827,-10.559,0.5063160780817295
-2.78,-2.923911189913749,-4.028,1.1040888100862505
-11.0,-11.058244260482493,-10.412,-0.6462442604824918
-3.15,-3.5442129425704487,-4.9,1.3557870574295516
-6.21,-5.169684341430664,-7.878,2.7083156585693358
-5.26,-5.1954289959669095,-4.308,-0.8874289959669097
-1.14,-1.024574547216296,-0.473,-0.551574547216296
-2.4,-2.675348900720478,-3.304,0.628651099279522
-2.33,-2.4837284088134766,-1.275,-1.2087284088134767
2.38,2.287424108162523,2.59,-0.3025758918374768
1.77,1.6330684352517124,1.691,-0.057931564748287645
-1.62,-1.5313617959022523,0.136,-1.6673617959022522
-1.79,-1.8000031356811523,-0.363,-1.4370031356811523
-6.79,-6.617824872136116,-5.28,-1.3378248721361157
-1.1,-1.4384078867435452,-0.182,-1.2564078867435453
-0.9,-0.8740166881680487,-0.79,-0.08401668816804864
-3.41,-3.431473546102642,-3.05,-0.3814735461026424
-3.52,-3.3558950930684803,-3.166,-0.1898950930684804
-1.43,-1.3303971651792528,-0.091,-1.2393971651792528
0.0,0.0374761835336684,1.261,-1.2235238164663316
-20.52,-20.338687346458435,-14.148,-6.190687346458436
1.47,1.4578448460102085,2.486,-1.0281551539897917
-4.62,-4.61183211326599,-3.145,-1.46683211326599
-2.38,-2.247867066293955,-1.853,-0.39486706629395507
-7.19,-7.462014142036438,-10.466,3.0039858579635617
2.1,1.995334065437317,2.588,-0.592665934562683
-4.02,-4.051978307962419,-2.075,-1.976978307962419
-10.0,-9.685302547574045,-8.276,-1.409302547574045
-3.5,-3.6601218146532775,-3.372,-0.2881218146532776
-2.07,-2.4162649697288865,-2.336,-0.08026496972888664
-0.33,-0.33294528317451483,0.973,-1.3059452831745149
-0.9,-0.9275328918099405,-0.553,-0.3745328918099404
1.83,1.6281366312503813,2.465,-0.8368633687496185
0.1,-0.36721732741594304,-1.156,0.7887826725840569
-1.5,-1.2279545917510988,0.386,-1.613954591751099
-6.6,-6.72730100673437,-5.707,-1.0203010067343703
-7.0,-7.180369431495666,-10.857,3.6766305685043337
-0.46,-0.7974478527978064,-0.492,-0.3054478527978064
-10.17,-10.00878027319908,-8.39,-1.6187802731990786
-5.66,-5.6972642697691915,-4.768,-0.9292642697691917
1.83,1.6063329969048497,2.452,-0.8456670030951503
-0.1,-0.1718243006467818,1.084,-1.255824300646782
-0.45,-0.15799306806176897,-0.22,0.062006931938231036
3.16,2.7895353189110756,3.335,-0.5454646810889243
-0.63,-0.5949942737817764,0.775,-1.3699942737817765
2.51,2.1743044314086433,2.613,-0.4386955685913567
-3.15,-3.2370305101871493,-4.198,0.9609694898128511
-2.56,-2.6932604534626003,-3.867,1.1737395465373996
-9.51,-9.53485654372722,-9.785,0.2501434562727809
-5.0,-5.091327536344529,-3.394,-1.6973275363445293
-14.21,-12.93116985017061,-13.599,0.6678301498293902
2.55,1.9621929956078528,2.381,-0.418807004392147
-2.56,-2.8766889898180956,-3.492,0.6153110101819044
-6.25,-6.34258951854706,-5.272,-1.0705895185470595
-2.92,-3.1019930631816393,-2.704,-0.3979930631816391
-6.0,-5.893995654940604,-6.716,0.8220043450593959
-1.66,-1.8519822101593015,-0.598,-1.2539822101593017
-11.85,-12.804659010887146,-15.252,2.4473409891128544
-4.1,-4.573474574565887,-3.238,-1.3354745745658874
-7.66,-7.966098627686501,-6.969,-0.9970986276865004
-1.45,-1.4771229871511462,-0.379,-1.0981229871511462
-1.93,-2.128882774531841,-1.742,-0.38688277453184083
-1.36,-1.4245826138854027,-0.553,-0.8715826138854027
0.25,-0.014540378570556544,1.108,-1.1225403785705566
0.34,0.21767418193817142,1.223,-1.0053258180618287
2.88,2.670101687092334,2.686,-0.015898312907665968
-4.52,-4.774011846780779,-6.79,2.0159881532192214
-2.26,-1.9052346747890117,-2.219,0.3137653252109882
2.56,2.5505834331801163,2.593,-0.042416566819883705
-5.33,-4.70856605499983,-4.055,-0.6535660549998301
-4.8,-5.131161695092917,-5.322,0.19083830490708298
-9.76,-9.587402844190596,-8.081,-1.5064028441905961
-9.65,-9.332692415952684,-7.739,-1.5936924159526837
-0.78,-0.8907765617370604,0.326,-1.2167765617370605
-5.04,-5.3337563601369045,-5.495,0.16124363986309564
-9.8,-9.63541772341728,-7.831,-1.8044177234172798
-18.72,-18.96684776228667,-17.742,-1.224847762286668
-10.64,-9.845642921447753,-8.472,-1.373642921447754
-2.22,-2.1898565894886843,-2.254,0.06414341051131567
-7.77,-8.34889781023562,-8.173,-0.1758978102356199
-9.61,-9.884697037935254,-11.825,1.9403029620647452
-3.68,-3.708209251940251,-3.123,-0.5852092519402508
-4.78,-4.7500241264104845,-4.014,-0.7360241264104843
-4.68,-6.705162354946135,-8.809,2.103837645053864
-1.24,-1.4505904047489164,-1.078,-0.37259040474891636
-4.39,-4.41828598499298,-2.945,-1.4732859849929798
-9.94,-9.278296155925839,-9.399,0.12070384407416057
-6.13,-6.433231986939909,-5.453,-0.9802319869399083
-6.13,-6.484036611855029,-5.579,-0.9050366118550297
-6.09,-5.923003334045409,-8.844,2.9209966659545907
-3.65,-3.1220055924654,-2.233,-0.8890055924653999
-3.78,-3.8896391537934547,-4.304,0.41436084620654556
-1.4,-1.4080684306249025,-0.359,-1.0490684306249025
1.16,1.2701347936391827,2.327,-1.0568652063608173
-1.08,-1.1047567629814148,0.285,-1.3897567629814147
-4.31,-4.3039345471337445,-3.809,-0.4949345471337443
1.32,1.0463540791273114,2.328,-1.2816459208726885
-6.69,-6.795695253223181,-7.281,0.48530474677681834
-0.85,-0.8398804754614829,-0.761,-0.07888047546148291
-0.9,-0.8028343330547216,-0.806,0.0031656669452784225
2.93,2.9781949528306724,2.97,0.008194952830672175
-2.93,-3.096677305739374,-3.221,0.12432269426062614
-5.91,-6.0291820868253705,-5.014,-1.0151820868253703
-3.64,-3.924149259090423,-2.446,-1.4781492590904226
-4.91,-5.23788287986815,-4.847,-0.3908828798681494
-0.86,-1.0747845877707007,-0.795,-0.2797845877707007
-5.53,-5.256704365182669,-5.325,0.06829563481733114
-4.95,-5.319896829411388,-5.646,0.3261031705886115
0.14,0.3398703932762146,1.175,-0.8351296067237854
-0.8,-0.8613389570191503,-0.658,-0.20333895701915028
-13.43,-13.593771781921385,-10.14,-3.4537717819213842
-7.78,-7.416703849107027,-8.292,0.8752961508929724
-1.92,-2.555084367036819,-3.964,1.408915632963181
-2.64,-2.746611461542546,-2.364,-0.3826114615425462
-8.61,-8.72876117134094,-9.624,0.8952388286590605
-4.04,-4.236803373336791,-5.559,1.3221966266632093
-5.26,-5.275679414391517,-4.127,-1.148679414391517
-0.11,-0.13003197067975997,0.226,-0.35603197067976
-16.92,-17.14695138512551,-16.371,-0.7759513851255129
-3.88,-4.067310108184813,-2.564,-1.503310108184813
-3.12,-2.97056390607357,-1.809,-1.1615639060735699
-1.74,-1.8667862139344216,-1.057,-0.8097862139344216
-0.77,-1.1823722205162048,-0.171,-1.0113722205162048
-1.21,-1.0424006746076047,-0.883,-0.15940067460760465
-4.7,-4.114948338866233,-4.91,0.7950516611337672
-5.94,-5.945058061838149,-4.746,-1.1990580618381488
-0.23,-0.07096820460259913,-0.094,0.02303179539740087
-4.4,-4.597524380683899,-3.0,-1.5975243806838986
-2.11,-1.7108757032305006,-2.176,0.4651242967694995
-3.04,-3.1369461472076368,-2.945,-0.19194614720763692
-4.59,-4.601228429853917,-3.638,-0.9632284298539169
-4.09,-4.221193774938582,-2.69,-1.5311937749385822
-0.16,-0.2974680877923965,0.993,-1.2904680877923964
-3.28,-2.972731302380562,-1.795,-1.177731302380562
-2.28,-2.273407393783331,-2.754,0.480592606216669
-6.5,-6.6793534642457955,-6.96,0.2806465357542045
-0.1,-0.23995742297172554,0.824,-1.0639574229717255
-1.24,-1.2326514354199172,-0.651,-0.5816514354199172
-0.19,-0.41886406362056733,0.505,-0.9238640636205673
-1.31,-1.461661749601364,0.038,-1.499661749601364
-2.89,-3.129634077638388,-2.374,-0.7556340776383879
-8.84,-8.744952261909845,-8.204,-0.5409522619098439
-1.66,-1.6135290769897401,-1.596,-0.017529076989740044
-3.8,-3.841843189619482,-3.506,-0.335843189619482
-4.7,-4.297265088498591,-3.889,-0.4082650884985912
-3.92,-4.204652843534948,-4.921,0.7163471564650523
-4.02,-3.950142531275749,-5.058,1.1078574687242506
-3.64,-3.9842740853577845,-4.597,0.6127259146422159
-1.24,-1.737964496612549,-0.51,-1.227964496612549
-3.13,-3.2028139176964756,-3.83,0.6271860823035245
-0.84,-1.0972730611562727,0.187,-1.2842730611562727
