expt,physics_ml,physics,ml
-2.49,-2.658123110771179,-3.299,0.6408769
-3.82,-4.080289332389832,-5.442,1.3617107
-0.98,-1.2308007335662843,-0.11,-1.1208007
-1.59,-1.8655328912734985,-0.617,-1.2485329
-4.55,-4.801943389892578,-3.317,-1.4849434
-2.73,-2.798897218704224,-1.325,-1.4738972
-0.53,-0.9103633575439454,-0.443,-0.46736336
-0.25,0.026760752677917443,0.833,-0.80623925
-2.82,-3.6667952060699465,-1.325,-2.3417952
2.51,2.7298185852766035,2.506,0.22381859
-0.83,-1.0824938402175903,0.139,-1.2214938
-7.5,-7.8895593414306635,-10.251,2.3614407
-1.99,-1.6821990575790404,-0.384,-1.298199
-6.88,-6.8010357921123505,-6.588,-0.21303579
-5.22,-4.697065671920776,-1.284,-3.4130657
-0.83,-1.1744207770824433,-0.697,-0.47742078
-0.68,-0.8764281866550445,-0.456,-0.4204282
-2.49,-2.717624700546265,-2.563,-0.1546247
-0.99,-1.5203104963302612,-0.174,-1.3463105
-6.16,-6.296712635040283,-5.148,-1.1487126
-2.23,-2.6556060411930082,-2.929,0.27339396
-0.53,-0.8319353132247924,-0.178,-0.6539353
-5.1,-5.177000108718872,-3.491,-1.6860001
-4.47,-3.866612446784973,-3.288,-0.57861245
-7.17,-6.946682635307312,-6.116,-0.83068264
1.38,1.118562237739563,2.367,-1.2484378
0.29,0.18748312878608708,0.553,-0.36551687
-10.08,-10.328815653562545,-10.559,0.23018435
-2.78,-3.145396235466003,-4.028,0.88260376
-11.0,-11.046758532047273,-10.412,-0.63475853
-3.15,-3.7791806697845463,-4.9,1.1208193
-6.21,-5.399819353103638,-7.878,2.4781806
-5.26,-5.165650995254516,-4.308,-0.857651
-1.14,-1.445665250301361,-0.473,-0.97266525
-2.4,-2.6437517204284666,-3.304,0.6602483
-2.33,-2.1626640796661376,-1.275,-0.8876641
2.38,2.282877262830734,2.59,-0.30712274
1.77,1.5533266369104386,1.691,-0.13767336
-1.62,-1.1252762451171874,0.136,-1.2612762
-1.79,-1.4878624324798584,-0.363,-1.1248624
-6.79,-6.65441897392273,-5.28,-1.374419
-1.1,-1.4665456600189208,-0.182,-1.2845457
-0.9,-1.2295147264003754,-0.79,-0.43951473
-3.41,-3.537058699131012,-3.05,-0.4870587
-3.52,-3.3161185297966003,-3.166,-0.15011853
-1.43,-1.0787822399139404,-0.091,-0.98778224
0.0,-0.16076413536071787,1.261,-1.4217641
-20.52,-19.66735577392578,-14.148,-5.519356
1.47,1.2159926280975344,2.486,-1.2700074
-4.62,-4.352088232040405,-3.145,-1.2070882
-2.38,-2.5548187046051023,-1.853,-0.7018187
-7.19,-7.491568723678588,-10.466,2.9744313
2.1,2.064836144924164,2.588,-0.52316386
-4.02,-4.194425296783447,-2.075,-2.1194253
-10.0,-9.28506491279602,-8.276,-1.0090649
-3.5,-3.8098302097320556,-3.372,-0.4378302
-2.07,-2.4915318683385848,-2.336,-0.15553187
-0.33,-0.4160159130096436,0.973,-1.3890159
-0.9,-0.8688415257930756,-0.553,-0.31584153
1.83,1.617307629585266,2.465,-0.8476924
0.1,-0.41041062450408927,-1.156,0.7455894
-1.5,-1.4609340801239012,0.386,-1.8469341
-6.6,-6.981528980255127,-5.707,-1.274529
-7.0,-7.237500793457031,-10.857,3.6194992
-0.46,-0.6376778198480606,-0.492,-0.14567782
-10.17,-9.66094841003418,-8.39,-1.2709484
-5.66,-5.988937490463257,-4.768,-1.2209375
1.83,1.4187633771896362,2.452,-1.0332366
-0.1,-0.33999644851684563,1.084,-1.4239964
-0.45,-0.2951605555415153,-0.22,-0.075160556
3.16,2.802625141143799,3.335,-0.53237486
-0.63,-0.5067068099975586,0.775,-1.2817068
2.51,2.284610027551651,2.613,-0.32838997
-3.15,-3.3798908452987675,-4.198,0.81810915
-2.56,-2.946315483570099,-3.867,0.9206845
-9.51,-9.342883977890015,-9.785,0.44211602
-5.0,-4.721349185943604,-3.394,-1.3273492
-14.21,-11.846359037399292,-13.599,1.752641
2.55,1.879189032077789,2.381,-0.50181097
-2.56,-2.8502804203033447,-3.492,0.6417196
-6.25,-6.522463366508484,-5.272,-1.2504634
-2.92,-3.1417805888652803,-2.704,-0.4377806
-6.0,-6.037700870990753,-6.716,0.6782991
-1.66,-1.7621385555267333,-0.598,-1.1641386
-11.85,-13.484295036315919,-15.252,1.767705
-4.1,-4.258555973052978,-3.238,-1.020556
-7.66,-8.2012735786438,-6.969,-1.2322736
-1.45,-1.3574883260726929,-0.379,-0.9784883
-1.93,-2.3985175652503967,-1.742,-0.65651757
-1.36,-1.8857856063842773,-0.553,-1.3327856
0.25,-0.15253929328918447,1.108,-1.2605393
0.34,0.0007261734008789933,1.223,-1.2222738
2.88,2.801057609975338,2.686,0.11505761
-4.52,-5.198455491065979,-6.79,1.5915445
-2.26,-2.266747332602739,-2.219,-0.047747333
2.56,2.850645159959793,2.593,0.25764516
-5.33,-5.170758061408996,-4.055,-1.1157581
-4.8,-5.238500747203827,-5.322,0.08349925
-9.76,-9.736960083007812,-8.081,-1.6559601
-9.65,-8.98662773513794,-7.739,-1.2476277
-0.78,-0.7022257795333862,0.326,-1.0282258
-5.04,-5.448827980905771,-5.495,0.04617202
-9.8,-9.998019844055175,-7.831,-2.1670198
-18.72,-19.180640356063844,-17.742,-1.4386404
-10.64,-9.22171044063568,-8.472,-0.74971044
-2.22,-1.9586479880809784,-2.254,0.295352
-7.77,-7.86879803943634,-8.173,0.30420196
-9.61,-9.774966430664062,-11.825,2.0500336
-3.68,-3.7632738094329836,-3.123,-0.6402738
-4.78,-4.804035963058472,-4.014,-0.79003596
-4.68,-7.464237913131713,-8.809,1.3447621
-1.24,-1.5049577860832215,-1.078,-0.4269578
-4.39,-4.106056995391846,-2.945,-1.161057
-9.94,-9.453741699248551,-9.399,-0.0547417
-6.13,-6.729145219802857,-5.453,-1.2761452
-6.13,-6.847935322761535,-5.579,-1.2689353
-6.09,-6.218768733978271,-8.844,2.6252313
-3.65,-3.4334632949829103,-2.233,-1.2004633
-3.78,-4.221240850627423,-4.304,0.08275915
-1.4,-1.5550289478302002,-0.359,-1.196029
1.16,0.980200626373291,2.327,-1.3467994
-1.08,-0.962506856918335,0.285,-1.2475069
-4.31,-4.218657895565033,-3.809,-0.4096579
1.32,1.0639302043914793,2.328,-1.2640698
-6.69,-7.200416077435016,-7.281,0.08058392
-0.85,-0.9808065519332886,-0.761,-0.21980655
-0.9,-1.2805693504810334,-0.806,-0.47456935
2.93,3.0746277806162836,2.97,0.10462778
-2.93,-3.231222574695945,-3.221,-0.010222575
-5.91,-6.272585691452027,-5.014,-1.2585857
-3.64,-3.938764234542847,-2.446,-1.4927642
-4.91,-5.841366049766541,-4.847,-0.99436605
-0.86,-1.2151893508434295,-0.795,-0.42018935
-5.53,-5.610815447568894,-5.325,-0.28581545
-4.95,-5.424074964880943,-5.646,0.22192504
0.14,0.46898667812347417,1.175,-0.7060133
-0.8,-1.130131699323654,-0.658,-0.4721317
-13.43,-12.350259199142457,-10.14,-2.2102592
-7.78,-8.496477176070213,-8.292,-0.20447718
-1.92,-1.8622672691345215,-3.964,2.1017327
-2.64,-2.8019598200321196,-2.364,-0.43795982
-8.61,-8.956462310791016,-9.624,0.6675377
-4.04,-4.330545171737671,-5.559,1.2284548
-5.26,-5.368963148117065,-4.127,-1.2419631
-0.11,0.02803875899314881,0.226,-0.19796124
-16.92,-17.41844291305542,-16.371,-1.0474429
-3.88,-4.057942618370056,-2.564,-1.4939426
-3.12,-3.119271978378296,-1.809,-1.310272
-1.74,-2.0354847497940063,-1.057,-0.97848475
-0.77,-1.1524457893371582,-0.171,-0.9814458
-1.21,-1.1007252918481827,-0.883,-0.21772529
-4.7,-4.406887505054474,-4.91,0.5031125
-5.94,-5.976572938919068,-4.746,-1.2305729
-0.23,-0.19151442819833756,-0.094,-0.09751443
-4.4,-4.498345851898193,-3.0,-1.4983459
-2.11,-1.894679338693619,-2.176,0.28132066
-3.04,-3.1023194861412047,-2.945,-0.15731949
-4.59,-4.963253844261169,-3.638,-1.3252538
-4.09,-4.185137214660644,-2.69,-1.4951372
-0.16,-0.4319224662780762,0.993,-1.4249225
-3.28,-3.0873086881637573,-1.795,-1.2923087
-2.28,-2.4798834838867188,-2.754,0.27411652
-6.5,-6.693959287405014,-6.96,0.2660407
-0.1,-0.41540968513488774,0.824,-1.2394097
-1.24,-1.1554968128204346,-0.651,-0.5044968
-0.19,-0.19575464248657226,0.505,-0.70075464
-1.31,-1.4652122135162353,0.038,-1.5032122
-2.89,-3.5083899965286256,-2.374,-1.13439
-8.84,-8.727818612098694,-8.204,-0.5238186
-1.66,-1.5033102101683617,-1.596,0.09268979
-3.8,-3.731041717290878,-3.506,-0.22504172
-4.7,-4.400989474296569,-3.889,-0.5119895
-3.92,-4.622145738363266,-4.921,0.29885426
-4.02,-4.112808378219604,-5.058,0.9451916
-3.64,-4.491115544855595,-4.597,0.105884455
-1.24,-1.8335384225845337,-0.51,-1.3235384
-3.13,-3.349554913043976,-3.83,0.4804451
-0.84,-1.0091617469787597,0.187,-1.1961617
-2.74,-2.8978607275485992,-2.629,-0.26886073
-5.9,-6.272257829666137,-5.076,-1.1962578
-18.17,-18.75606276798248,-17.298,-1.4580628
2.93,2.6016001763343812,2.894,-0.29239982
-7.58,-7.666564660310745,-7.874,0.20743534
-3.67,-3.525530715942383,-3.321,-0.20453072
2.56,2.238151018857956,2.674,-0.43584898
-9.29,-9.768452728271484,-8.113,-1.6554527
-4.12,-3.6048308676481247,-3.46,-0.14483087
-7.48,-7.261102405548096,-7.016,-0.2451024
-1.34,-1.6262661018371583,-0.304,-1.3222661
0.16,-0.4332826144695282,-0.257,-0.17628261
-3.84,-3.824751440048218,-2.491,-1.3337514
-15.83,-16.138602831840515,-15.128,-1.0106028
-0.89,-1.3220897588729859,-0.641,-0.68108976
-9.53,-9.216724666595459,-10.984,1.7672753
-6.79,-6.3285148286819455,-5.14,-1.1885148
-0.55,-0.5221039638519287,0.764,-1.286104
-4.97,-6.229754167556763,-8.006,1.7762458
-2.78,-2.788043023347855,-2.47,-0.31804302
-0.8,-0.7324589405059815,-0.041,-0.69145894
-1.39,-1.9399691286087037,-0.894,-1.0459691
-0.11,-0.26506805443763737,0.206,-0.47106805
-1.01,-1.2830924415588378,-0.19,-1.0930924
2.34,2.1515274398326873,2.468,-0.31647256
-23.62,-23.67083913040161,-18.162,-5.508839
-4.23,-3.9604497890472414,-2.248,-1.7124498
-9.2,-9.41197146087885,-9.535,0.12302854
-7.63,-8.133680722236633,-7.997,-0.13668072
1.07,0.976553235054016,-0.34,1.3165532
-6.4,-5.935964765548706,-3.94,-1.9959648
-2.55,-1.5893231859207153,-0.974,-0.6153232
-3.54,-4.542000694274902,-3.42,-1.1220007
-1.27,-1.4626535320281984,-0.265,-1.1976535
1.66,1.540831886291504,2.761,-1.2201681
-6.01,-6.168447713851929,-4.98,-1.1884477
-6.16,-6.579764869689942,-9.053,2.4732351
-4.87,-5.090371984481812,-6.219,1.128628
-6.96,-7.540892951965332,-7.393,-0.14789295
-5.49,-6.052419083595276,-5.543,-0.5094191
-3.52,-3.592836544036865,-2.147,-1.4458365
-2.13,-2.5275958433151247,-3.414,0.88640416
-5.23,-5.493053099393845,-5.203,-0.2900531
-6.78,-7.403337367773056,-7.665,0.26166263
-5.99,-5.942229878425598,-5.362,-0.5802299
-1.46,-1.4493516931533814,0.299,-1.7483517
-11.53,-12.16236855506897,-13.895,1.7326314
-4.09,-4.104955771923065,-3.591,-0.5139558
-1.28,-1.2705142354965209,0.64,-1.9105142
-3.3,-2.682727071285248,-1.984,-0.6987271
-4.58,-5.534577061057091,-5.667,0.13242294
-6.12,-6.431702735185623,-6.771,0.33929726
-4.21,-4.413062874794006,-2.917,-1.4960629
-1.46,-1.7009643163979054,-1.752,0.051035684
0.56,0.7382742929458619,1.955,-1.2167257
2.3,2.1703738307952882,2.535,-0.36462617
-5.45,-5.624702885389328,-5.809,0.18429711
-1.2,-1.8150714616775514,-0.273,-1.5420715
-5.73,-6.054307760715485,-6.227,0.17269224
-7.43,-7.409650605708361,-7.349,-0.060650606
-2.32,-1.8623654403686523,-0.404,-1.4583654
1.58,1.4057974605560304,2.628,-1.2222025
-6.62,-6.298786027908325,-5.133,-1.165786
-3.45,-3.7919882545471193,-4.426,0.63401175
-3.11,-3.450959223151207,-3.234,-0.21695922
-1.12,-1.3484513139724732,-0.685,-0.6634513
-3.1,-3.6173379220962527,-4.054,0.43666208
-0.3,-0.7787030314803124,-0.674,-0.10470303
2.3,2.103920720100403,2.673,-0.5690793
-5.91,-6.59444214630127,-5.543,-1.0514421
-8.41,-7.60733073425293,-6.282,-1.3253307
-3.81,-3.868844175338745,-2.775,-1.0938442
-5.57,-6.0059993090629575,-5.494,-0.5119993
-2.55,-2.5688963661193847,-1.501,-1.0678964
-5.21,-5.873091138601303,-5.57,-0.30309114
-11.01,-11.283618927001953,-9.625,-1.6586189
-2.86,-2.8870733954310417,-2.968,0.080926605
1.01,1.2544493789672853,2.487,-1.2325506
-4.29,-4.401348892211914,-2.991,-1.4103489
-10.27,-8.874795513153076,-8.205,-0.6697955
-3.58,-2.85216463971138,-3.133,0.28083536
-5.73,-5.696048657655716,-5.436,-0.26004866
-4.57,-4.551763633728028,-3.054,-1.4977636
-5.1,-4.611831890106201,-8.411,3.799168
-6.619999999999999,-6.56369889831543,-4.686,-1.8776989
1.59,1.6698660215735435,1.785,-0.11513398
-5.72,-4.391252912521362,-4.989,0.5977471
-6.25,-5.842091417312622,-3.85,-1.9920914
-0.04,-0.20014946013689042,-0.1,-0.10014946
-1.64,-1.782671956062317,-0.979,-0.80367196
-5.8,-5.790399024009704,-4.547,-1.243399
2.51,2.768330956697464,2.495,0.27333096
-7.37,-7.416272956728935,-7.66,0.24372704
-3.95,-3.886700436592102,-2.772,-1.1147004
-3.43,-3.3465922174453735,-2.706,-0.6405922
-9.82,-9.859776577711106,-9.416,-0.44377658
1.28,0.9619933872222899,2.328,-1.3660066
-4.27,-4.069943608283997,-5.014,0.9440564
-8.68,-9.016436382293701,-9.846,0.8295636
-8.84,-10.590359623908997,-12.333,1.7426404
-9.37,-8.81787136912346,-8.945,0.12712863
0.0,0.22949673128128056,0.927,-0.69750327
-18.06,-19.55758825492859,-21.762,2.2044117
-3.65,-3.6635134353637695,-2.589,-1.0745134
-5.82,-6.242276657104492,-5.138,-1.1042767
-0.03,-0.5594845237731934,0.756,-1.3154845
-4.16,-4.220523112297058,-3.518,-0.7025231
-5.11,-5.147827480316162,-3.873,-1.2748275
-4.4,-6.074015152454376,-6.575,0.50098485
1.07,0.8173293914794921,-1.441,2.2583294
-3.88,-4.018676452159882,-3.467,-0.55167645
-3.95,-4.226170145988465,-5.187,0.96082985
2.13,1.6763898451328276,2.102,-0.42561015
-0.53,-0.6038625389933586,-0.511,-0.09286254
-1.69,-2.0959953832626343,-2.58,0.48400462
-5.48,-5.496161225318908,-4.278,-1.2181612
-0.59,-0.46110075759887703,1.162,-1.6231008
0.67,0.7692524795532227,1.338,-0.5687475
-9.61,-9.720539403915405,-11.126,1.4054606
-3.43,-3.33925771522522,-3.148,-0.19125772
-2.49,-2.689616531848907,-1.882,-0.80761653
-6.44,-6.722705583572388,-5.98,-0.7427056
-4.55,-4.956096227645874,-3.583,-1.3730962
-8.18,-7.31905329322815,-6.676,-0.6430533
-3.44,-3.797687749862671,-3.23,-0.56768775
-5.06,-5.3407440843582155,-4.269,-1.0717441
-6.5,-6.719764991760254,-5.471,-1.248765
3.12,2.9801111295223235,2.489,0.49111113
-1.34,-1.3193317317962647,0.035,-1.3543317
-1.29,-2.2840142421722414,-3.043,0.75898576
-2.02,-1.9430421981811525,-3.591,1.6479578
-2.1,-1.8571202373504638,-0.71,-1.1471202
-6.55,-6.2268956203460695,-5.027,-1.1998956
-2.64,-1.5731929025650024,-3.371,1.7978071
-6.27,-6.616166585922241,-5.444,-1.1721666
-3.88,-4.433684052467346,-5.264,0.83031595
-7.03,-6.599243853569031,-5.373,-1.2262439
-0.57,-0.34942555999755864,0.944,-1.2934256
2.51,2.517243357181549,2.808,-0.29075664
-4.09,-3.962467155456543,-2.835,-1.1274672
-2.3,-2.1567422542572023,-1.091,-1.0657423
0.29,0.054935447692871175,1.467,-1.4120646
-3.25,-2.7792222480773927,-2.023,-0.75622225
-9.62,-8.709262432098388,-7.889,-0.82026243
-5.29,-4.748448058128357,-3.346,-1.402448
-4.35,-3.904767023086548,-2.786,-1.118767
