expt,physics_ml,physics,ml
-2.49,-2.4344155671310426,-3.72622,1.2918044
-3.82,-3.7090896618652343,-5.70653,1.9974403
-0.98,-1.0816526379623412,-0.999704,-0.08194864
-1.59,-1.1818112337608337,-0.719727,-0.46208423
-4.55,-4.795835828323364,-3.02802,-1.7678158
-2.73,-2.110914768695831,-2.63325,0.52233523
-0.53,-0.9490004625806808,-0.940476,-0.008524463
-0.25,-0.01658387542343137,-0.471056,0.45447212
-2.82,-2.663016953277588,-1.84855,-0.81446695
2.51,2.749248352394104,1.94086,0.80838835
-0.83,-0.5019133091796875,0.0773561,-0.5792694
-7.5,-7.178279740409851,-8.80233,1.6240503
-1.99,-2.149131676888466,-2.3491,0.19996832
-6.88,-6.898570484352112,-6.14795,-0.7506205
-5.22,-2.927361230010986,-2.18137,-0.74599123
-0.83,-1.568080903315544,-1.44315,-0.1249309
-0.68,-0.8834055133531094,-0.835526,-0.047879513
-2.49,-2.6323883228683473,-3.65004,1.0176517
-0.99,-2.062708464012146,-1.62836,-0.43434846
-6.16,-6.3041626719665524,-4.45142,-1.8527427
-2.23,-2.242860093383789,-3.55178,1.3089199
-0.53,-0.6991314802108765,-0.0964986,-0.6026329
-5.1,-6.0259581840133665,-4.07426,-1.9516982
-4.47,-2.9819579849147795,-3.08674,0.104782015
-7.17,-7.237430367507935,-6.12954,-1.1078904
1.38,1.7975747735290528,0.995003,0.8025718
0.29,0.3038400039596557,0.842092,-0.538252
-10.08,-12.047369438934327,-11.4593,-0.58806944
-2.78,-2.5719863638687137,-4.36373,1.7917436
-11.0,-8.967813779830932,-11.027,2.0591862
-3.15,-3.409686778640747,-3.9786,0.5689132
-6.21,-6.496629104690552,-7.45533,0.9587009
-5.26,-5.834584913406372,-4.11941,-1.7151749
-1.14,-1.2408864882850648,-1.21859,-0.022296488
-2.4,-2.0656330085372923,-3.65181,1.586177
-2.33,-1.886217023639679,-2.13828,0.25206298
2.38,2.054027685856819,1.99285,0.061177686
1.77,2.6159628747558594,1.49411,1.1218529
-1.62,-1.4214484188919068,-0.783938,-0.6375104
-1.79,-1.711020377597809,-2.10896,0.39793962
-6.79,-7.320206619644165,-6.0964,-1.2238066
-1.1,-2.0332130122089387,-1.82824,-0.20497301
-0.9,-1.1234350159072877,-1.62474,0.501305
-3.41,-2.484474840927124,-3.92455,1.4400752
-3.52,-2.807330773963928,-4.42939,1.6220592
-1.43,-0.754795265789032,-1.41537,0.66057473
0.0,-0.2143437350578308,0.166193,-0.38053674
-20.52,-16.486633318710325,-13.1838,-3.3028333
1.47,2.7203522941589355,1.41845,1.3019023
-4.62,-4.8906545719146735,-2.75965,-2.1310046
-2.38,-2.337856803264618,-2.83859,0.5007332
-7.19,-8.716665447616577,-7.9709,-0.74576545
2.1,1.7824372194123268,1.86422,-0.08178278
-4.02,-3.5907970337104795,-2.83267,-0.75812703
-10.0,-8.773000954828262,-8.86721,0.094209045
-3.5,-3.2662012811279295,-4.48506,1.2188587
-2.07,-2.6550449777030947,-2.91204,0.25699502
-0.33,-0.3424325450491905,-0.33592,-0.006512545
-0.9,-1.5965989470100403,-1.05546,-0.54113895
1.83,1.794236927227974,1.58483,0.20940693
